Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Almería, Andalucía/Cádiz, Andalucía/Córdoba, Andalucía/Granada, Andalucía/Huelva, Andalucía/Jaén, Andalucía/Málaga, Andalucía/Sevilla, Aragón/Huesca, Aragón/Teruel, Aragón/Zaragoza, Asturias (Principado de)/Asturias, Balears (Illes)/Balears (Illes), Canarias/Palmas (Las), Canarias/Santa Cruz de Tenerife, Cantabria/Cantabria, Castilla y León/Ávila, Castilla y León/Burgos, Castilla y León/León, Castilla y León/Palencia, Castilla y León/Salamanca, Castilla y León/Segovia, Castilla y León/Soria, Castilla y León/Valladolid, Castilla y León/Zamora, Castilla-La Mancha/Albacete, Castilla-La Mancha/Ciudad Real, Castilla-La Mancha/Cuenca, Castilla-La Mancha/Guadalajara, Castilla-La Mancha/Toledo, Cataluña/Barcelona, Cataluña/Girona, Cataluña/Lleida, Cataluña/Tarragona, Ceuta/Ceuta, Comunitat Valenciana/Alicante/Alacant, Comunitat Valenciana/Castellón/Castelló, Comunitat Valenciana/Valencia/València, Desconocida/Desconocido, Extranjero/Extranjero, Extremadura/Badajoz, Extremadura/Cáceres, Galicia/Coruña (A), Galicia/Lugo, Galicia/Ourense, Galicia/Pontevedra, Madrid (Comunidad de)/Madrid, Melilla/Melilla, Murcia (Región de)/Murcia, Navarra (Comunidad Foral de)/Navarra, País Vasco/Araba/Álava, País Vasco/Gipuzkoa, País Vasco/Bizkaia, Rioja (La)/Rioja (La)
Tipo de Vehículo: CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, FURGONETAS, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;31896073
TOTAL;CAMIONES HASTA 3500kg;TOTAL;2151703
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;348034
TOTAL;CICLOMOTORES;TOTAL;1874314
TOTAL;FURGONETAS;TOTAL;2567991
TOTAL;TURISMOS;TOTAL;24954031
Andalucía/Almería;CAMIONES HASTA 3500kg;TOTAL;47910
Andalucía/Almería;CAMIONES HASTA 3500kg;Diesel;47248
Andalucía/Almería;CAMIONES HASTA 3500kg;Eléctrico;10
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;17
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Almería;CAMIONES HASTA 3500kg;Gasolina;634
Andalucía/Almería;CAMIONES MÁS DE 3500kg;TOTAL;9255
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Diesel;9184
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;1
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gasolina;68
Andalucía/Almería;CICLOMOTORES;TOTAL;41468
Andalucía/Almería;CICLOMOTORES;Diesel;1198
Andalucía/Almería;CICLOMOTORES;Eléctrico;267
Andalucía/Almería;CICLOMOTORES;Gasolina;39999
Andalucía/Almería;CICLOMOTORES;Sin especificar;4
Andalucía/Almería;FURGONETAS;TOTAL;42283
Andalucía/Almería;FURGONETAS;Diesel;36512
Andalucía/Almería;FURGONETAS;Eléctrico;41
Andalucía/Almería;FURGONETAS;Gas Licuado de Petroleo;48
Andalucía/Almería;FURGONETAS;Gas Natural Comprimido;1
Andalucía/Almería;FURGONETAS;Gasolina;5679
Andalucía/Almería;FURGONETAS;Sin especificar;2
Andalucía/Almería;TURISMOS;TOTAL;388253
Andalucía/Almería;TURISMOS;Butano;3
