Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: 
Tipo de Vehículo: CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, FURGONETAS, MOTOCICLETAS, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;35726992
TOTAL;CAMIONES HASTA 3500kg;TOTAL;2136388
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;346800
TOTAL;CICLOMOTORES;TOTAL;1868090
TOTAL;FURGONETAS;TOTAL;2569481
TOTAL;MOTOCICLETAS;TOTAL;3866162
TOTAL;TURISMOS;TOTAL;24940071
Andalucía/Almería;CAMIONES HASTA 3500kg;TOTAL;47624
Andalucía/Almería;CAMIONES HASTA 3500kg;Diesel;46968
Andalucía/Almería;CAMIONES HASTA 3500kg;Eléctrico;13
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;16
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Almería;CAMIONES HASTA 3500kg;Gasolina;626
Andalucía/Almería;CAMIONES MÁS DE 3500kg;TOTAL;9240
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Diesel;9171
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;1
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gasolina;68
Andalucía/Almería;CICLOMOTORES;TOTAL;41344
Andalucía/Almería;CICLOMOTORES;Diesel;1200
Andalucía/Almería;CICLOMOTORES;Eléctrico;279
Andalucía/Almería;CICLOMOTORES;Gasolina;39861
Andalucía/Almería;CICLOMOTORES;Sin especificar;4
Andalucía/Almería;FURGONETAS;TOTAL;42179
Andalucía/Almería;FURGONETAS;Diesel;36414
Andalucía/Almería;FURGONETAS;Eléctrico;42
Andalucía/Almería;FURGONETAS;Gas Licuado de Petroleo;45
Andalucía/Almería;FURGONETAS;Gas Natural Comprimido;1
Andalucía/Almería;FURGONETAS;Gasolina;5675
Andalucía/Almería;FURGONETAS;Sin especificar;2
Andalucía/Almería;MOTOCICLETAS;TOTAL;50166
Andalucía/Almería;MOTOCICLETAS;Diesel;104
Andalucía/Almería;MOTOCICLETAS;Eléctrico;129
Andalucía/Almería;MOTOCICLETAS;Gasolina;49929
Andalucía/Almería;MOTOCICLETAS;Sin especificar;4
Andalucía/Almería;TURISMOS;TOTAL;387897
Andalucía/Almería;TURISMOS;Butano;3
Andalucía/Almería;TURISMOS;Diesel;258863
Andalucía/Almería;TURISMOS;Eléctrico;417
Andalucía/Almería;TURISMOS;Etanol;1
Andalucía/Almería;TURISMOS;Gas Licuado de Petroleo;682
Andalucía/Almería;TURISMOS;Gas Natural Comprimido;8
Andalucía/Almería;TURISMOS;Gasolina;127904
Andalucía/Almería;TURISMOS;Otros;16
Andalucía/Almería;TURISMOS;Sin especificar;3
Andalucía/Cádiz;CAMIONES HASTA 3500kg;TOTAL;46880
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Diesel;45849
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Eléctrico;30
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;29
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Natural Comprimido;9
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gasolina;961
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Sin especificar;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;TOTAL;5751
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Diesel;5694
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Eléctrico;4
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;14
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gasolina;36
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Otros;1
Andalucía/Cádiz;CICLOMOTORES;TOTAL;102293
Andalucía/Cádiz;CICLOMOTORES;Diesel;2480
Andalucía/Cádiz;CICLOMOTORES;Eléctrico;589
Andalucía/Cádiz;CICLOMOTORES;Gasolina;99220
Andalucía/Cádiz;CICLOMOTORES;Sin especificar;4
Andalucía/Cádiz;FURGONETAS;TOTAL;40368
Andalucía/Cádiz;FURGONETAS;Diesel;34140
Andalucía/Cádiz;FURGONETAS;Eléctrico;54
Andalucía/Cádiz;FURGONETAS;Gas Licuado de Petroleo;48
Andalucía/Cádiz;FURGONETAS;Gas Natural Comprimido;4
Andalucía/Cádiz;FURGONETAS;Gasolina;6122
Andalucía/Cádiz;MOTOCICLETAS;TOTAL;118198
Andalucía/Cádiz;MOTOCICLETAS;Diesel;127
Andalucía/Cádiz;MOTOCICLETAS;Eléctrico;1891
Andalucía/Cádiz;MOTOCICLETAS;Gas Licuado de Petroleo;9
Andalucía/Cádiz;MOTOCICLETAS;Gasolina;116159
Andalucía/Cádiz;MOTOCICLETAS;Otros;2
Andalucía/Cádiz;MOTOCICLETAS;Sin especificar;10
Andalucía/Cádiz;TURISMOS;TOTAL;597408
Andalucía/Cádiz;TURISMOS;Biodiesel;2
Andalucía/Cádiz;TURISMOS;Biometano;1
Andalucía/Cádiz;TURISMOS;Butano;2
Andalucía/Cádiz;TURISMOS;Diesel;354510
Andalucía/Cádiz;TURISMOS;Eléctrico;602
Andalucía/Cádiz;TURISMOS;Etanol;1
Andalucía/Cádiz;TURISMOS;Gas Licuado de Petroleo;875
Andalucía/Cádiz;TURISMOS;Gas Natural Comprimido;66
Andalucía/Cádiz;TURISMOS;Gas Natural Licuado;1
Andalucía/Cádiz;TURISMOS;Gasolina;241333
Andalucía/Cádiz;TURISMOS;Hidrógeno;1
Andalucía/Cádiz;TURISMOS;Otros;8
Andalucía/Cádiz;TURISMOS;Sin especificar;6
