Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Almería, Andalucía/Cádiz, Andalucía/Córdoba, Andalucía/Granada, Andalucía/Huelva, Andalucía/Jaén, Andalucía/Málaga, Andalucía/Sevilla, Aragón/Huesca, Aragón/Teruel, Aragón/Zaragoza, Asturias (Principado de)/Asturias, Balears (Illes)/Balears (Illes), Canarias/Palmas (Las), Canarias/Santa Cruz de Tenerife, Cantabria/Cantabria, Castilla y León/Ávila, Castilla y León/Burgos, Castilla y León/León, Castilla y León/Palencia, Castilla y León/Salamanca, Castilla y León/Segovia, Castilla y León/Soria, Castilla y León/Valladolid, Castilla y León/Zamora, Castilla-La Mancha/Albacete, Castilla-La Mancha/Ciudad Real, Castilla-La Mancha/Cuenca, Castilla-La Mancha/Guadalajara, Castilla-La Mancha/Toledo, Cataluña/Barcelona, Cataluña/Girona, Cataluña/Lleida, Cataluña/Tarragona, Ceuta/Ceuta, Comunitat Valenciana/Alicante/Alacant, Comunitat Valenciana/Castellón/Castelló, Comunitat Valenciana/Valencia/València, Desconocida/Desconocido, Extranjero/Extranjero, Extremadura/Badajoz, Extremadura/Cáceres, Galicia/Coruña (A), Galicia/Lugo, Galicia/Ourense, Galicia/Pontevedra, Madrid (Comunidad de)/Madrid, Melilla/Melilla, Murcia (Región de)/Murcia, Navarra (Comunidad Foral de)/Navarra, País Vasco/Araba/Álava, País Vasco/Gipuzkoa, País Vasco/Bizkaia, Rioja (La)/Rioja (La)
Tipo de Vehículo: CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, FURGONETAS, MOTOCICLETAS, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;35522561
TOTAL;CAMIONES HASTA 3500kg;TOTAL;2166718
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;346586
TOTAL;CICLOMOTORES;TOTAL;1884308
TOTAL;FURGONETAS;TOTAL;2537904
TOTAL;MOTOCICLETAS;TOTAL;3777599
TOTAL;TURISMOS;TOTAL;24809446
Andalucía/Almería;CAMIONES HASTA 3500kg;TOTAL;48055
Andalucía/Almería;CAMIONES HASTA 3500kg;Diesel;47393
Andalucía/Almería;CAMIONES HASTA 3500kg;Eléctrico;9
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;15
Andalucía/Almería;CAMIONES HASTA 3500kg;Gasolina;638
Andalucía/Almería;CAMIONES MÁS DE 3500kg;TOTAL;9122
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Diesel;9050
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gasolina;68
Andalucía/Almería;CICLOMOTORES;TOTAL;41576
Andalucía/Almería;CICLOMOTORES;Diesel;1199
Andalucía/Almería;CICLOMOTORES;Eléctrico;208
Andalucía/Almería;CICLOMOTORES;Gasolina;40167
Andalucía/Almería;CICLOMOTORES;Sin especificar;2
Andalucía/Almería;FURGONETAS;TOTAL;41794
Andalucía/Almería;FURGONETAS;Diesel;36032
Andalucía/Almería;FURGONETAS;Eléctrico;35
Andalucía/Almería;FURGONETAS;Gas Licuado de Petroleo;36
Andalucía/Almería;FURGONETAS;Gasolina;5688
Andalucía/Almería;FURGONETAS;Otros;1
Andalucía/Almería;FURGONETAS;Sin especificar;2
Andalucía/Almería;MOTOCICLETAS;TOTAL;48792
Andalucía/Almería;MOTOCICLETAS;Diesel;100
Andalucía/Almería;MOTOCICLETAS;Eléctrico;94
Andalucía/Almería;MOTOCICLETAS;Gasolina;48594
Andalucía/Almería;MOTOCICLETAS;Sin especificar;4
Andalucía/Almería;TURISMOS;TOTAL;384807
Andalucía/Almería;TURISMOS;Butano;2
Andalucía/Almería;TURISMOS;Diesel;258668
Andalucía/Almería;TURISMOS;Eléctrico;277
Andalucía/Almería;TURISMOS;Etanol;1
Andalucía/Almería;TURISMOS;Gas Licuado de Petroleo;488
Andalucía/Almería;TURISMOS;Gas Natural Comprimido;4
Andalucía/Almería;TURISMOS;Gas Natural Licuado;1
Andalucía/Almería;TURISMOS;Gasolina;125348
Andalucía/Almería;TURISMOS;Otros;15
Andalucía/Almería;TURISMOS;Sin especificar;3
Andalucía/Cádiz;CAMIONES HASTA 3500kg;TOTAL;47813
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Diesel;46774
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Eléctrico;27
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;23
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Natural Comprimido;7
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gasolina;980
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Sin especificar;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;TOTAL;5718
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Diesel;5661
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Eléctrico;4
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;14
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gasolina;36
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Otros;1
Andalucía/Cádiz;CICLOMOTORES;TOTAL;103277
Andalucía/Cádiz;CICLOMOTORES;Diesel;2485
Andalucía/Cádiz;CICLOMOTORES;Eléctrico;437
Andalucía/Cádiz;CICLOMOTORES;Gasolina;100353
Andalucía/Cádiz;CICLOMOTORES;Sin especificar;2
Andalucía/Cádiz;FURGONETAS;TOTAL;39634
Andalucía/Cádiz;FURGONETAS;Biodiesel;1
Andalucía/Cádiz;FURGONETAS;Diesel;33475
Andalucía/Cádiz;FURGONETAS;Eléctrico;41
Andalucía/Cádiz;FURGONETAS;Gas Licuado de Petroleo;35
Andalucía/Cádiz;FURGONETAS;Gas Natural Comprimido;4
Andalucía/Cádiz;FURGONETAS;Gasolina;6077
Andalucía/Cádiz;FURGONETAS;Otros;1
Andalucía/Cádiz;MOTOCICLETAS;TOTAL;114246
Andalucía/Cádiz;MOTOCICLETAS;Diesel;116
Andalucía/Cádiz;MOTOCICLETAS;Eléctrico;1758
Andalucía/Cádiz;MOTOCICLETAS;Gas Licuado de Petroleo;8
Andalucía/Cádiz;MOTOCICLETAS;Gasolina;112352
Andalucía/Cádiz;MOTOCICLETAS;Otros;2
Andalucía/Cádiz;MOTOCICLETAS;Sin especificar;10
Andalucía/Cádiz;TURISMOS;TOTAL;594046
Andalucía/Cádiz;TURISMOS;Biodiesel;2
Andalucía/Cádiz;TURISMOS;Biometano;1
Andalucía/Cádiz;TURISMOS;Butano;2
Andalucía/Cádiz;TURISMOS;Diesel;354976
Andalucía/Cádiz;TURISMOS;Eléctrico;409
Andalucía/Cádiz;TURISMOS;Etanol;1
Andalucía/Cádiz;TURISMOS;Gas Licuado de Petroleo;586
Andalucía/Cádiz;TURISMOS;Gas Natural Comprimido;69
Andalucía/Cádiz;TURISMOS;Gasolina;237986
Andalucía/Cádiz;TURISMOS;Hidrógeno;1
Andalucía/Cádiz;TURISMOS;Otros;8
Andalucía/Cádiz;TURISMOS;Sin especificar;5
Andalucía/Córdoba;CAMIONES HASTA 3500kg;TOTAL;34450
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Diesel;33889
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Eléctrico;38
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;15
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gasolina;507
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;TOTAL;6523
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Diesel;6463
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;5
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Gasolina;55
Andalucía/Córdoba;CICLOMOTORES;TOTAL;51363
Andalucía/Córdoba;CICLOMOTORES;Diesel;1586
Andalucía/Córdoba;CICLOMOTORES;Eléctrico;132
Andalucía/Córdoba;CICLOMOTORES;Gasolina;49642
Andalucía/Córdoba;CICLOMOTORES;Sin especificar;3
Andalucía/Córdoba;FURGONETAS;TOTAL;51556
Andalucía/Córdoba;FURGONETAS;Diesel;45370
Andalucía/Córdoba;FURGONETAS;Eléctrico;33
Andalucía/Córdoba;FURGONETAS;Gas Licuado de Petroleo;54
Andalucía/Córdoba;FURGONETAS;Gas Natural Comprimido;1
Andalucía/Córdoba;FURGONETAS;Gasolina;6097
