;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
201301;Enero de 2013;1;Andalucía;4;Almería;4001;Abla;29;2;11;0;0;16;0;7;0;2;20
201301;Enero de 2013;1;Andalucía;4;Almería;4002;Abrucena;40;0;27;0;0;12;1;5;3;13;19
201301;Enero de 2013;1;Andalucía;4;Almería;4003;Adra;328;4;175;2;4;138;5;151;9;24;144
201301;Enero de 2013;1;Andalucía;4;Almería;4004;Albánchez;15;0;7;0;0;8;0;0;0;0;15
201301;Enero de 2013;1;Andalucía;4;Almería;4005;Alboloduy;9;0;5;0;0;4;0;3;0;0;6
201301;Enero de 2013;1;Andalucía;4;Almería;4006;Albox;150;3;84;0;1;61;1;26;22;17;85
201301;Enero de 2013;1;Andalucía;4;Almería;4007;Alcolea;56;0;23;1;0;31;1;19;0;2;35
201301;Enero de 2013;1;Andalucía;4;Almería;4008;Alcóntar;5;0;3;0;0;2;0;0;1;0;4
201301;Enero de 2013;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;9;1;8;0;0;0;0;0;1;0;8
201301;Enero de 2013;1;Andalucía;4;Almería;4010;Alhabia;16;0;15;0;0;1;0;12;0;3;1
201301;Enero de 2013;1;Andalucía;4;Almería;4011;Alhama de Almería;42;1;23;0;1;16;1;6;1;6;29
201301;Enero de 2013;1;Andalucía;4;Almería;4012;Alicún;2;0;0;0;0;2;0;0;0;0;2
201301;Enero de 2013;1;Andalucía;4;Almería;4013;Almería;4180;101;1922;45;105;1946;61;392;104;345;3339
201301;Enero de 2013;1;Andalucía;4;Almería;4014;Almócita;9;0;5;0;0;4;0;5;0;0;4
201301;Enero de 2013;1;Andalucía;4;Almería;4015;Alsodux;6;0;5;0;0;1;0;0;0;4;2
201301;Enero de 2013;1;Andalucía;4;Almería;4016;Antas;194;3;144;1;0;45;1;66;0;13;115
201301;Enero de 2013;1;Andalucía;4;Almería;4017;Arboleas;41;1;21;0;0;19;0;5;0;6;30
201301;Enero de 2013;1;Andalucía;4;Almería;4018;Armuña de Almanzora;18;0;6;0;0;12;0;13;5;0;0
201301;Enero de 2013;1;Andalucía;4;Almería;4019;Bacares;9;0;4;0;0;5;0;4;0;1;4
201301;Enero de 2013;1;Andalucía;4;Almería;4020;Bayárcal;1;0;0;0;0;1;0;0;0;0;1
