;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
201601;Enero de 2016;1;Andalucía;4;Almería;4001;Abla;166;4;31;46;8;27;50;39;5;8;109;5
201601;Enero de 2016;1;Andalucía;4;Almería;4002;Abrucena;209;5;25;60;9;34;76;71;4;7;120;7
201601;Enero de 2016;1;Andalucía;4;Almería;4003;Adra;2953;176;593;686;129;745;624;658;136;408;1428;323
201601;Enero de 2016;1;Andalucía;4;Almería;4004;Albánchez;45;2;9;12;2;14;6;6;3;3;29;4
201601;Enero de 2016;1;Andalucía;4;Almería;4005;Alboloduy;106;5;15;35;3;19;29;41;8;7;48;2
201601;Enero de 2016;1;Andalucía;4;Almería;4006;Albox;1272;55;255;247;61;340;314;175;76;182;731;108
201601;Enero de 2016;1;Andalucía;4;Almería;4007;Alcolea;171;10;22;65;12;23;39;62;3;26;75;5
201601;Enero de 2016;1;Andalucía;4;Almería;4008;Alcóntar;58;0;11;15;1;11;20;21;6;7;21;3
201601;Enero de 2016;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;16;1;1;6;0;4;4;5;0;0;11;0
201601;Enero de 2016;1;Andalucía;4;Almería;4010;Alhabia;124;3;27;38;5;30;21;30;18;24;43;9
201601;Enero de 2016;1;Andalucía;4;Almería;4011;Alhama de Almería;564;48;111;120;44;122;119;66;29;53;351;65
201601;Enero de 2016;1;Andalucía;4;Almería;4012;Alicún;30;3;2;13;1;6;5;2;1;5;21;1
201601;Enero de 2016;1;Andalucía;4;Almería;4013;Almería;26384;1164;5501;5911;1154;6698;5956;2072;966;3195;16799;3352
201601;Enero de 2016;1;Andalucía;4;Almería;4014;Almócita;15;1;1;5;1;2;5;4;1;1;9;0
201601;Enero de 2016;1;Andalucía;4;Almería;4015;Alsodux;16;1;4;5;0;3;3;5;0;0;10;1
201601;Enero de 2016;1;Andalucía;4;Almería;4016;Antas;237;13;29;35;8;84;68;70;4;16;128;19
201601;Enero de 2016;1;Andalucía;4;Almería;4017;Arboleas;235;12;40;48;14;61;60;33;8;34;140;20
201601;Enero de 2016;1;Andalucía;4;Almería;4018;Armuña de Almanzora;49;4;12;6;0;14;13;12;3;4;26;4
201601;Enero de 2016;1;Andalucía;4;Almería;4019;Bacares;19;1;1;6;2;1;8;3;0;0;15;1
201601;Enero de 2016;1;Andalucía;4;Almería;4020;Bayárcal;43;0;10;15;1;5;12;17;0;6;19;1
201601;Enero de 2016;1;Andalucía;4;Almería;4021;Bayarque;24;2;4;5;0;6;7;5;1;3;15;0
201601;Enero de 2016;1;Andalucía;4;Almería;4022;Bédar;66;3;9;21;3;13;17;11;4;3;40;8
201601;Enero de 2016;1;Andalucía;4;Almería;4023;Beires;14;0;1;8;1;2;2;1;0;0;12;1
201601;Enero de 2016;1;Andalucía;4;Almería;4024;Benahadux;554;29;110;115;28;150;122;38;31;55;366;64
201601;Enero de 2016;1;Andalucía;4;Almería;4026;Benitagla;7;1;1;1;1;0;3;1;0;0;5;1
201601;Enero de 2016;1;Andalucía;4;Almería;4027;Benizalón;39;1;7;9;3;7;12;8;0;2;24;5
201601;Enero de 2016;1;Andalucía;4;Almería;4028;Bentarique;50;0;13;15;1;4;17;14;1;3;31;1
201601;Enero de 2016;1;Andalucía;4;Almería;4029;Berja;1795;80;372;473;87;385;398;427;58;325;853;132
201601;Enero de 2016;1;Andalucía;4;Almería;4030;Canjáyar;261;16;49;76;12;34;74;71;7;21;147;15
201601;Enero de 2016;1;Andalucía;4;Almería;4031;Cantoria;434;22;61;122;14;94;121;66;45;50;240;33
201601;Enero de 2016;1;Andalucía;4;Almería;4032;Carboneras;812;41;172;158;22;237;182;87;61;103;488;73
201601;Enero de 2016;1;Andalucía;4;Almería;4033;Castro de Filabres;19;1;0;5;2;3;8;10;0;0;9;0
201601;Enero de 2016;1;Andalucía;4;Almería;4034;Cóbdar;22;1;9;4;0;4;4;10;0;0;12;0
201601;Enero de 2016;1;Andalucía;4;Almería;4035;Cuevas del Almanzora;1647;77;376;318;74;426;376;412;57;189;872;117
201601;Enero de 2016;1;Andalucía;4;Almería;4036;Chercos;40;3;12;7;1;9;8;1;5;2;30;2
201601;Enero de 2016;1;Andalucía;4;Almería;4037;Chirivel;163;12;23;41;6;37;44;55;1;6;84;17
201601;Enero de 2016;1;Andalucía;4;Almería;4038;Dalías;330;16;64;95;16;67;72;69;9;53;167;32
201601;Enero de 2016;1;Andalucía;4;Almería;4041;Enix;23;0;6;10;0;2;5;1;2;4;15;1
201601;Enero de 2016;1;Andalucía;4;Almería;4043;Felix;52;2;9;14;5;10;12;13;0;1;35;3
201601;Enero de 2016;1;Andalucía;4;Almería;4044;Fines;324;14;59;72;17;82;80;23;44;39;188;30
201601;Enero de 2016;1;Andalucía;4;Almería;4045;Fiñana;449;19;75;105;17;97;136;168;15;34;204;28
201601;Enero de 2016;1;Andalucía;4;Almería;4046;Fondón;128;4;20;45;2;25;32;28;14;15;66;5
201601;Enero de 2016;1;Andalucía;4;Almería;4047;Gádor;484;35;109;117;21;110;92;64;28;56;276;60
201601;Enero de 2016;1;Andalucía;4;Almería;4048;Gallardos, Los;245;8;36;69;5;74;53;47;5;28;156;9
201601;Enero de 2016;1;Andalucía;4;Almería;4049;Garrucha;1291;50;285;254;41;373;288;42;40;123;1014;72
201601;Enero de 2016;1;Andalucía;4;Almería;4050;Gérgal;130;8;22;34;4;26;36;49;1;15;62;3
201601;Enero de 2016;1;Andalucía;4;Almería;4051;Huécija;57;1;10;16;0;15;15;14;1;4;37;1
201601;Enero de 2016;1;Andalucía;4;Almería;4052;Huércal de Almería;2174;113;500;393;108;668;392;67;118;295;1512;182
201601;Enero de 2016;1;Andalucía;4;Almería;4053;Huércal-Overa;1897;64;328;390;93;590;432;310;117;177;1146;147
201601;Enero de 2016;1;Andalucía;4;Almería;4054;Illar;67;8;13;23;2;8;13;23;3;1;36;4
201601;Enero de 2016;1;Andalucía;4;Almería;4055;Instinción;62;1;15;22;1;13;10;13;1;4;42;2
201601;Enero de 2016;1;Andalucía;4;Almería;4056;Laroya;26;3;3;9;0;7;4;3;3;2;16;2
201601;Enero de 2016;1;Andalucía;4;Almería;4057;Láujar de Andarax;220;7;28;72;0;44;69;30;16;26;145;3
201601;Enero de 2016;1;Andalucía;4;Almería;4058;Líjar;69;2;15;18;3;14;17;11;7;2;47;2
201601;Enero de 2016;1;Andalucía;4;Almería;4059;Lubrín;180;2;29;55;4;44;46;42;6;19;106;7
201601;Enero de 2016;1;Andalucía;4;Almería;4060;Lucainena de las Torres;52;3;8;14;1;15;11;16;3;11;21;1
201601;Enero de 2016;1;Andalucía;4;Almería;4061;Lúcar;104;5;7;31;6;20;35;31;10;6;50;7
201601;Enero de 2016;1;Andalucía;4;Almería;4062;Macael;774;29;129;145;45;222;204;35;167;32;449;91
201601;Enero de 2016;1;Andalucía;4;Almería;4063;María;192;2;27;39;4;33;87;69;10;5;107;1
201601;Enero de 2016;1;Andalucía;4;Almería;4064;Mojácar;651;15;126;148;19;156;187;7;18;48;543;35
201601;Enero de 2016;1;Andalucía;4;Almería;4065;Nacimiento;65;5;8;18;3;9;22;23;15;1;21;5
201601;Enero de 2016;1;Andalucía;4;Almería;4066;Níjar;2797;112;770;627;118;688;482;1079;74;228;1223;193
201601;Enero de 2016;1;Andalucía;4;Almería;4067;Ohanes;128;8;24;37;5;25;29;23;1;8;86;10
201601;Enero de 2016;1;Andalucía;4;Almería;4068;Olula de Castro;6;0;3;2;0;0;1;1;0;1;4;0
201601;Enero de 2016;1;Andalucía;4;Almería;4069;Olula del Río;936;42;151;238;26;252;227;63;196;68;494;115
