;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201101;Enero de 2011;1;Andalucía;4;Almería;40304;23204;13453;1633;2014
201101;Enero de 2011;1;Andalucía;11;Cádiz;83016;46192;25996;5766;5062
201101;Enero de 2011;1;Andalucía;14;Córdoba;47960;23200;13366;1799;9595
201101;Enero de 2011;1;Andalucía;18;Granada;56058;30454;16717;1935;6952
201101;Enero de 2011;1;Andalucía;21;Huelva;41859;24034;12029;1145;4651
201101;Enero de 2011;1;Andalucía;23;Jaén;34424;15908;8579;1345;8592
201101;Enero de 2011;1;Andalucía;29;Málaga;105659;66330;30249;4158;4922
201101;Enero de 2011;1;Andalucía;41;Sevilla;125828;69190;36803;4791;15044
201101;Enero de 2011;2;Aragón;22;Huesca;10114;8228;1778;108;0
201101;Enero de 2011;2;Aragón;44;Teruel;6467;4888;1515;64;0
201101;Enero de 2011;2;Aragón;50;Zaragoza;50532;39922;9834;776;0
201101;Enero de 2011;3;Asturias, Principado de;33;Asturias;54165;39757;13330;1078;0
201101;Enero de 2011;4;Balears, Illes;7;Balears, Illes;98187;74424;22897;866;0
201101;Enero de 2011;5;Canarias;35;Palmas, Las;69769;42602;22852;4315;0
201101;Enero de 2011;5;Canarias;38;Santa Cruz de Tenerife;62662;39381;20600;2681;0
201101;Enero de 2011;6;Cantabria;39;Cantabria;29010;22450;5981;579;0
201101;Enero de 2011;7;Castilla y León;5;Ávila;8390;5911;2265;214;0
201101;Enero de 2011;7;Castilla y León;9;Burgos;18785;14869;3613;303;0
201101;Enero de 2011;7;Castilla y León;24;León;26874;20796;5592;486;0
201101;Enero de 2011;7;Castilla y León;34;Palencia;7516;5666;1652;198;0
201101;Enero de 2011;7;Castilla y León;37;Salamanca;16118;11586;3979;553;0
201101;Enero de 2011;7;Castilla y León;40;Segovia;6590;5308;1210;72;0
201101;Enero de 2011;7;Castilla y León;42;Soria;3963;3150;760;53;0
201101;Enero de 2011;7;Castilla y León;47;Valladolid;25363;20028;4684;651;0
201101;Enero de 2011;7;Castilla y León;49;Zamora;8335;6106;2002;227;0
201101;Enero de 2011;8;Castilla - La Mancha;2;Albacete;22320;14888;6626;806;0
201101;Enero de 2011;8;Castilla - La Mancha;13;Ciudad Real;27547;18272;8531;744;0
201101;Enero de 2011;8;Castilla - La Mancha;16;Cuenca;9412;6291;2905;216;0
201101;Enero de 2011;8;Castilla - La Mancha;19;Guadalajara;14829;11546;3144;139;0
201101;Enero de 2011;8;Castilla - La Mancha;45;Toledo;40751;29011;10976;764;0
201101;Enero de 2011;9;Cataluña;8;Barcelona;348999;276512;69116;3371;0
201101;Enero de 2011;9;Cataluña;17;Girona;49204;37229;11622;353;0
201101;Enero de 2011;9;Cataluña;25;Lleida;21109;16283;4572;254;0
201101;Enero de 2011;9;Cataluña;43;Tarragona;54220;40848;12662;710;0
201101;Enero de 2011;10;Comunitat Valenciana;3;Alicante/Alacant;105200;68688;31517;4995;0
