;;;;GASTOS DE PRESTACIONES POR DESEMPLEO (miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201601;Enero de 2016;1;Andalucía;4;Almería;24944,98;13193,45;7892,25;2125,94;1419,63
201601;Enero de 2016;1;Andalucía;11;Cádiz;57613,44;28658,3;19017,02;5199,53;3837,58
201601;Enero de 2016;1;Andalucía;14;Córdoba;36446,25;13749,4;12020,27;2253,08;8129,15
201601;Enero de 2016;1;Andalucía;18;Granada;40183,82;18317,25;13303,81;2811,43;5350,43
201601;Enero de 2016;1;Andalucía;21;Huelva;28809,13;14384,65;9023,49;1665,63;3519,72
201601;Enero de 2016;1;Andalucía;23;Jaén;25065,93;9317,18;7884,02;1542,99;6106,35
201601;Enero de 2016;1;Andalucía;29;Málaga;69119,63;39455,68;20436,77;4969,3;3685,61
201601;Enero de 2016;1;Andalucía;41;Sevilla;91250,83;41942,83;29586,81;6425,93;12312,37
201601;Enero de 2016;2;Aragón;22;Huesca;6544,53;5008,52;1289,44;223,47;0
201601;Enero de 2016;2;Aragón;44;Teruel;4172,12;3030,69;954,51;167,6;0
201601;Enero de 2016;2;Aragón;50;Zaragoza;30616,5;22956,26;6176,43;1383,57;0
201601;Enero de 2016;3;Asturias, Principado de;33;Asturias;34998,68;24010,5;8946,61;1959,61;0
201601;Enero de 2016;4;Balears, Illes;7;Balears, Illes;85662,93;66387,43;17967,64;1254,38;0
201601;Enero de 2016;5;Canarias;35;Palmas, Las;43912,68;25892,29;13134,79;4354,65;0
201601;Enero de 2016;5;Canarias;38;Santa Cruz de Tenerife;40527,37;22330,54;13628,76;4113,57;0
201601;Enero de 2016;6;Cantabria;39;Cantabria;21104,25;14704,82;5406,19;939,88;0
201601;Enero de 2016;7;Castilla y León;5;Ávila;5234,03;3171,44;1645,95;361,19;0
201601;Enero de 2016;7;Castilla y León;9;Burgos;12875;9315,9;2998,41;511,44;0
201601;Enero de 2016;7;Castilla y León;24;León;15635,54;10595,9;4178,38;808,02;0
201601;Enero de 2016;7;Castilla y León;34;Palencia;5026,41;3541,13;1238,71;225,87;0
201601;Enero de 2016;7;Castilla y León;37;Salamanca;10766,04;6878,53;3127,36;671,93;0
201601;Enero de 2016;7;Castilla y León;40;Segovia;4381,42;3154,29;1031,09;179,21;0
201601;Enero de 2016;7;Castilla y León;42;Soria;2558,36;1855,3;598,74;100,71;0
201601;Enero de 2016;7;Castilla y León;47;Valladolid;15364,82;10992,42;3506,43;800,47;0
201601;Enero de 2016;7;Castilla y León;49;Zamora;5636,24;3534,01;1727,4;341,97;0
201601;Enero de 2016;8;Castilla - La Mancha;2;Albacete;13731,71;8043,47;4206,96;1317,26;0
201601;Enero de 2016;8;Castilla - La Mancha;13;Ciudad Real;18395,97;10098,76;6140,83;1818,07;0
