CÓDIGO DEL CENTRO;DENOMINACIÓN DEL CENTRO;PROVINCIA;MUNICIPIO;LOCALIDAD;CÓDIGO DEL CUERPO;DENOMINACIÓN DEL CUERPO;CÓDIGO DE LA ESPECIALIDAD;DENOMINACIÓN DE LA ESPECIALIDAD;PLANTILLA
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;001;FILOSOFIA;2
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;002;GRIEGO;0
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;003;LATIN;1
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;004;LENGUA CASTELLANA Y LITERATURA;3
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;005;GEOGRAFIA E HISTORIA;3
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;006;MATEMATICAS;3
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;007;FISICA Y QUIMICA;2
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;008;BIOLOGIA Y GEOLOGIA;2
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;009;DIBUJO;1
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;010;FRANCES;1
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;011;INGLES;3
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;016;MUSICA;1
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;017;EDUCACION FISICA;2
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;018;ORIENTACION EDUCATIVA;1
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;019;TECNOLOGIA;2
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;061;ECONOMIA;1
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;101;ADMINISTRACION DE EMPRESAS;3
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;AREVALO;AREVALO;0591;PROFESORES TECNICOS DE FORMACION PROFESIONAL;222;PROCESOS DE GESTION ADMINISTRATIVA;2
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;001;FILOSOFIA;2
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;002;GRIEGO;0
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;003;LATIN;0
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;004;LENGUA CASTELLANA Y LITERATURA;5
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;005;GEOGRAFIA E HISTORIA;3
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;006;MATEMATICAS;5
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;007;FISICA Y QUIMICA;3
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;008;BIOLOGIA Y GEOLOGIA;2
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;009;DIBUJO;2
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;010;FRANCES;2
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;011;INGLES;6
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;016;MUSICA;1
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;017;EDUCACION FISICA;2
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;018;ORIENTACION EDUCATIVA;1
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;019;TECNOLOGIA;2
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;058;APOYO AL AREA DE LENGUA Y CIENCIAS SOCIALES;1
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;059;APOYO AL AREA DE CIENCIAS O TECNOLOGIA;1
05000701;IES ALONSO DE MADRIGAL;AVILA;AVILA;AVILA;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;061;ECONOMIA;1
