cuenca_hidrografica,embalse_nombre,mes,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cantábrico Occidental,Alfilorios,1,6.0,6.25,6.0,4.75,4.5,4.0,6.2,6.5,8.0,7.0
Cantábrico Occidental,Alfilorios,2,6.75,7.75,6.75,6.0,5.5,4.75,7.75,8.0,8.0,8.0
Cantábrico Occidental,Alfilorios,3,8.0,8.0,7.75,7.8,7.4,5.0,8.0,7.75,8.0,8.0
Cantábrico Occidental,Alfilorios,4,8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0
Cantábrico Occidental,Alfilorios,5,8.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0
Cantábrico Occidental,Alfilorios,6,8.0,8.0,7.75,7.0,8.0,3.75,8.0,7.0,8.0,8.0
Cantábrico Occidental,Alfilorios,7,7.0,8.0,6.8,5.75,7.75,3.0,8.0,6.8,7.25,8.0
Cantábrico Occidental,Alfilorios,8,6.0,7.0,5.5,4.5,6.8,2.6,8.0,5.5,6.25,7.2
Cantábrico Occidental,Alfilorios,9,5.0,6.0,4.6,3.6,5.75,2.25,7.75,5.0,5.4,5.75
Cantábrico Occidental,Alfilorios,10,4.0,5.0,3.0,3.25,4.75,2.4,6.4,4.0,5.75,4.5
Cantábrico Occidental,Alfilorios,11,4.5,5.0,3.0,4.0,4.2,2.75,7.0,5.25,6.0,4.2
Cantábrico Occidental,Alfilorios,12,5.5,5.2,3.6,4.0,4.5,4.5,7.0,7.4,6.0,6.0
Cantábrico Occidental,Alsa - Mediajo,1,19.0,21.0,21.0,20.75,17.0,17.4,21.2,18.5,21.0,20.75
Cantábrico Occidental,Alsa - Mediajo,2,21.0,22.0,21.75,23.0,18.25,18.5,21.75,22.0,20.25,21.5
Cantábrico Occidental,Alsa - Mediajo,3,21.0,21.5,20.5,24.6,21.6,19.5,21.25,20.5,20.8,20.6
Cantábrico Occidental,Alsa - Mediajo,4,22.25,22.0,21.8,22.0,23.0,20.0,21.0,21.4,22.0,21.25
Cantábrico Occidental,Alsa - Mediajo,5,22.0,22.25,22.0,22.0,22.4,21.0,22.0,21.75,22.0,21.0
Cantábrico Occidental,Alsa - Mediajo,6,22.0,22.75,22.0,21.6,22.5,22.75,22.0,21.0,21.6,21.0
Cantábrico Occidental,Alsa - Mediajo,7,21.4,21.8,20.8,20.5,21.75,18.25,21.8,20.4,21.25,21.0
Cantábrico Occidental,Alsa - Mediajo,8,20.0,20.0,20.75,20.5,21.0,21.4,20.5,20.5,20.5,20.2
Cantábrico Occidental,Alsa - Mediajo,9,19.25,20.25,19.2,20.6,19.5,20.5,19.75,21.0,19.6,19.0
Cantábrico Occidental,Alsa - Mediajo,10,17.6,17.8,17.0,18.25,16.5,19.4,17.2,19.4,20.25,18.25
Cantábrico Occidental,Alsa - Mediajo,11,18.75,17.25,16.0,17.0,16.2,20.25,18.75,21.25,21.0,18.6
Cantábrico Occidental,Alsa - Mediajo,12,21.0,21.6,19.2,18.0,16.25,21.75,18.25,21.6,21.2,22.0
Cantábrico Occidental,Arbón,1,35.4,34.75,35.25,35.25,35.0,36.6,37.4,37.0,37.25,36.5
Cantábrico Occidental,Arbón,2,35.5,34.25,34.25,36.25,35.0,38.0,37.75,37.0,37.25,37.0
Cantábrico Occidental,Arbón,3,34.75,34.0,35.25,35.0,35.2,37.0,37.5,37.25,37.2,37.0
Cantábrico Occidental,Arbón,4,35.0,34.8,35.2,35.25,34.0,36.75,37.25,37.2,37.75,36.75
