FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;Nº VICTIMAS *;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
01/01/2013;DE 00:00 A 00:59;MARTES;FUENCARRAL-EL PARDO           ;AUTOVIA  M-30 CALZADA 1 KM.                                                                         ;31400;2013/102;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;TURISMO                                 ;CONDUCTOR;HOMBRE;IL                                      ;DE 35 A 39 AÑOS
01/01/2013;DE 00:00 A 00:59;MARTES;FUENCARRAL-EL PARDO           ;AUTOVIA  M-30 CALZADA 1 KM.                                                                         ;31400;2013/102;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;TURISMO                                 ;CONDUCTOR;HOMBRE;HL                                      ;DE 70 A 74 AÑOS
01/01/2013;DE 00:00 A 00:59;MARTES;FUENCARRAL-EL PARDO           ;AUTOVIA  M-30 CALZADA 1 KM.                                                                         ;31400;2013/102;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;TURISMO                                 ;VIAJERO                                 ;HOMBRE;IL                                      ;DE 30 A 34 ANOS
01/01/2013;DE 00:00 A 00:59;MARTES;TETUAN                        ;AVENIDA DE ASTURIAS - CALLE DEL CAÑAVERAL                                                           ;0;2013/165;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;3;COLISIÓN DOBLE                          ;TURISMO                                 ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
01/01/2013;DE 00:00 A 00:59;MARTES;TETUAN                        ;AVENIDA DE ASTURIAS - CALLE DEL CAÑAVERAL                                                           ;0;2013/165;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;3;COLISIÓN DOBLE                          ;TURISMO                                 ;CONDUCTOR;HOMBRE;IL                                      ;DE 60 A 64 AÑOS
01/01/2013;DE 00:00 A 00:59;MARTES;TETUAN                        ;AVENIDA DE ASTURIAS - CALLE DEL CAÑAVERAL                                                           ;0;2013/165;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;3;COLISIÓN DOBLE                          ;TURISMO                                 ;VIAJERO                                 ;MUJER;HL                                      ;DE 55 A 59 AÑOS
01/01/2013;DE 00:00 A 00:59;MARTES;TETUAN                        ;AVENIDA DE ASTURIAS - CALLE DEL CAÑAVERAL                                                           ;0;2013/165;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;3;COLISIÓN DOBLE                          ;TURISMO                                 ;VIAJERO                                 ;MUJER;HL                                      ;DE 25 A 29 AÑOS
01/01/2013;DE 00:00 A 00:59;MARTES;TETUAN                        ;AVENIDA DE ASTURIAS - CALLE DEL CAÑAVERAL                                                           ;0;2013/165;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;3;COLISIÓN DOBLE                          ;TURISMO                                 ;VIAJERO                                 ;MUJER;IL                                      ;DE 30 A 34 ANOS
01/01/2013;DE 2:00 A 2:59;MARTES;CHAMARTIN                     ;AUTOVIA  M-30 CALZADA 1 - AVENIDA DE AMERICA                                                        ;0;2013/216;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;CHOQUE CON OBJETO FIJO                  ;TURISMO                                 ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
01/01/2013;DE 4:00 A 4:59;MARTES;CHAMBERI                      ;CALLE DE GUZMAN EL BUENO - CALLE DE FERNANDEZ DE LOS RIOS                                           ;0;2013/6;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;ATROPELLO                               ;NO ASIGNADO;PEATON                                  ;HOMBRE;HL                                      ;DE 15 A 17 AÑOS
01/01/2013;DE 4:00 A 4:59;MARTES;CHAMBERI                      ;CALLE DE GUZMAN EL BUENO - CALLE DE FERNANDEZ DE LOS RIOS                                           ;0;2013/6;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;ATROPELLO                               ;TURISMO                                 ;CONDUCTOR;MUJER;IL                                      ;DE 30 A 34 ANOS
01/01/2013;DE 4:00 A 4:59;MARTES;CHAMBERI                      ;CALLE DE GUZMAN EL BUENO - CALLE DE FERNANDEZ DE LOS RIOS                                           ;0;2013/6;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;ATROPELLO                               ;TURISMO                                 ;VIAJERO                                 ;HOMBRE;IL                                      ;DE 25 A 29 AÑOS
01/01/2013;DE 6:00 A 6:59;MARTES;MONCLOA-ARAVACA               ;CARRETERA DE HUMERA NUM                                                                             ;2;2013/51;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;VUELCO                                  ;TURISMO                                 ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;ARGANZUELA                    ;RONDA DE TOLEDO - CALLE DE LA RIBERA DE CURTIDORES                                                  ;          ;2013/8;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;4;COLISIÓN DOBLE                          ;NO ASIGNADO;TESTIGO                                 ;MUJER;IL                                      ;DE 25 A 29 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;ARGANZUELA                    ;RONDA DE TOLEDO - CALLE DE LA RIBERA DE CURTIDORES                                                  ;          ;2013/8;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;4;COLISIÓN DOBLE                          ;NO ASIGNADO;TESTIGO                                 ;HOMBRE;IL                                      ;DE 25 A 29 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;ARGANZUELA                    ;RONDA DE TOLEDO - CALLE DE LA RIBERA DE CURTIDORES                                                  ;          ;2013/8;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;4;COLISIÓN DOBLE                          ;TURISMO                                 ;CONDUCTOR;HOMBRE;IL                                      ;DE 21 A 24 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;ARGANZUELA                    ;RONDA DE TOLEDO - CALLE DE LA RIBERA DE CURTIDORES                                                  ;          ;2013/8;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;4;COLISIÓN DOBLE                          ;TURISMO                                 ;CONDUCTOR;MUJER;HL                                      ;DE 25 A 29 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;ARGANZUELA                    ;RONDA DE TOLEDO - CALLE DE LA RIBERA DE CURTIDORES                                                  ;          ;2013/8;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;4;COLISIÓN DOBLE                          ;TURISMO                                 ;VIAJERO                                 ;MUJER;IL                                      ;DE 18 A 20 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;ARGANZUELA                    ;RONDA DE TOLEDO - CALLE DE LA RIBERA DE CURTIDORES                                                  ;          ;2013/8;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;4;COLISIÓN DOBLE                          ;TURISMO                                 ;VIAJERO                                 ;MUJER;IL                                      ;DE 18 A 20 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;ARGANZUELA                    ;RONDA DE TOLEDO - CALLE DE LA RIBERA DE CURTIDORES                                                  ;          ;2013/8;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;4;COLISIÓN DOBLE                          ;TURISMO                                 ;VIAJERO                                 ;MUJER;HL                                      ;DE 18 A 20 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;ARGANZUELA                    ;RONDA DE TOLEDO - CALLE DE LA RIBERA DE CURTIDORES                                                  ;          ;2013/8;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;4;COLISIÓN DOBLE                          ;TURISMO                                 ;VIAJERO                                 ;HOMBRE;IL                                      ;DE 18 A 20 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;ARGANZUELA                    ;RONDA DE TOLEDO - CALLE DE LA RIBERA DE CURTIDORES                                                  ;          ;2013/8;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;4;COLISIÓN DOBLE                          ;TURISMO                                 ;VIAJERO                                 ;MUJER;HL                                      ;DE 30 A 34 ANOS
01/01/2013;DE 7:00 A 7:59;MARTES;ARGANZUELA                    ;RONDA DE TOLEDO - CALLE DE LA RIBERA DE CURTIDORES                                                  ;          ;2013/8;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;4;COLISIÓN DOBLE                          ;TURISMO                                 ;VIAJERO                                 ;MUJER;HL                                      ;DE 35 A 39 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;ARGANZUELA                    ;RONDA DE TOLEDO - CALLE DE LA RIBERA DE CURTIDORES                                                  ;          ;2013/8;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;4;COLISIÓN DOBLE                          ;TURISMO                                 ;VIAJERO                                 ;MUJER;IL                                      ;DE 18 A 20 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;MORATALAZ                     ;AVENIDA DE MORATALAZ NUM                                                                            ;47;2013/10;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;2;COLISIÓN DOBLE                          ;TURISMO                                 ;CONDUCTOR;HOMBRE;IL                                      ;DE 21 A 24 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;MORATALAZ                     ;AVENIDA DE MORATALAZ NUM                                                                            ;47;2013/10;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;2;COLISIÓN DOBLE                          ;TURISMO                                 ;CONDUCTOR;MUJER;HL                                      ;DE 25 A 29 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;MORATALAZ                     ;AVENIDA DE MORATALAZ NUM                                                                            ;47;2013/10;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;2;COLISIÓN DOBLE                          ;TURISMO                                 ;CONDUCTOR;NO ASIGNADO;NO ASIGNADA;DESCONOCIDA
01/01/2013;DE 7:00 A 7:59;MARTES;MORATALAZ                     ;AVENIDA DE MORATALAZ NUM                                                                            ;47;2013/10;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;2;COLISIÓN DOBLE                          ;TURISMO                                 ;CONDUCTOR;NO ASIGNADO;NO ASIGNADA;DESCONOCIDA
01/01/2013;DE 7:00 A 7:59;MARTES;MORATALAZ                     ;AVENIDA DE MORATALAZ NUM                                                                            ;47;2013/10;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;2;COLISIÓN DOBLE                          ;TURISMO                                 ;VIAJERO                                 ;MUJER;HL                                      ;DE 25 A 29 AÑOS
01/01/2013;DE 7:00 A 7:59;MARTES;MORATALAZ                     ;AVENIDA DE MORATALAZ NUM                                                                            ;47;2013/10;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;2;COLISIÓN DOBLE                          ;TURISMO                                 ;VIAJERO                                 ;MUJER;IL                                      ;DE 25 A 29 AÑOS
01/01/2013;DE 9:00 A 9:59;MARTES;CIUDAD LINEAL                 ;CALLE DE ARRIAGA NUM                                                                                ;65;2013/12;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;CHOQUE CON OBJETO FIJO                  ;TURISMO                                 ;CONDUCTOR;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
01/01/2013;DE 9:00 A 9:59;MARTES;CIUDAD LINEAL                 ;CALLE DE ARRIAGA NUM                                                                                ;65;2013/12;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;CHOQUE CON OBJETO FIJO                  ;TURISMO                                 ;VIAJERO                                 ;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
01/01/2013;DE 9:00 A 9:59;MARTES;SALAMANCA                     ;CALLE DEL DOCTOR ESQUERDO - CALLE DE GOYA                                                           ;0;2013/14;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;COLISIÓN MÚLTIPLE                       ;NO ASIGNADO;PEATON                                  ;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
01/01/2013;DE 9:00 A 9:59;MARTES;SALAMANCA                     ;CALLE DEL DOCTOR ESQUERDO - CALLE DE GOYA                                                           ;0;2013/14;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;COLISIÓN MÚLTIPLE                       ;NO ASIGNADO;PEATON                                  ;MUJER;HL                                      ;DE 18 A 20 AÑOS
01/01/2013;DE 9:00 A 9:59;MARTES;SALAMANCA                     ;CALLE DEL DOCTOR ESQUERDO - CALLE DE GOYA                                                           ;0;2013/14;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;COLISIÓN MÚLTIPLE                       ;TURISMO                                 ;CONDUCTOR;HOMBRE;IL                                      ;DE 45 A 49 AÑOS
01/01/2013;DE 9:00 A 9:59;MARTES;SALAMANCA                     ;CALLE DEL DOCTOR ESQUERDO - CALLE DE GOYA                                                           ;0;2013/14;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;COLISIÓN MÚLTIPLE                       ;TURISMO                                 ;CONDUCTOR;HOMBRE;IL                                      ;DE 35 A 39 AÑOS
01/01/2013;DE 9:00 A 9:59;MARTES;SALAMANCA                     ;CALLE DEL DOCTOR ESQUERDO - CALLE DE GOYA                                                           ;0;2013/14;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;COLISIÓN MÚLTIPLE                       ;FURGONETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 40 A 44 AÑOS
01/01/2013;DE 10:00 A 10:59;MARTES;PUENTE DE VALLECAS            ;CALLE DE MARTINEZ DE LA RIVA - CALLE DE EDUARDO ROJO                                                ;          ;2013/33;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;1;CAÍDA MOTOCICLETA                       ;MOTOCICLETA                             ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
01/01/2013;DE 12:00 A 12:59;MARTES;MONCLOA-ARAVACA               ;CUESTA DE SAN VICENTE NUM                                                                           ;2;2013/15;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;NO ASIGNADO;PEATON                                  ;MUJER;HL                                      ;DE MAS DE 74 AÑOS 
