FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;Nº VICTIMAS * ;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
01/01/2016;DE 00:00 A 00:59;VIERNES;PUENTE DE VALLECAS            ;AVENIDA DE PABLO NERUDA - CALLE DEL GOLFO DE DARIEN                                                 ;0;2016/4;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;4;ATROPELLO                               ;NO ASIGNADO;PEATON                                  ;HOMBRE;HL                                      ;DE 6 A 9 AÑOS 
01/01/2016;DE 00:00 A 00:59;VIERNES;PUENTE DE VALLECAS            ;AVENIDA DE PABLO NERUDA - CALLE DEL GOLFO DE DARIEN                                                 ;0;2016/4;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;4;ATROPELLO                               ;NO ASIGNADO;PEATON                                  ;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
01/01/2016;DE 00:00 A 00:59;VIERNES;PUENTE DE VALLECAS            ;AVENIDA DE PABLO NERUDA - CALLE DEL GOLFO DE DARIEN                                                 ;0;2016/4;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;4;ATROPELLO                               ;NO ASIGNADO;PEATON                                  ;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
01/01/2016;DE 00:00 A 00:59;VIERNES;PUENTE DE VALLECAS            ;AVENIDA DE PABLO NERUDA - CALLE DEL GOLFO DE DARIEN                                                 ;0;2016/4;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;4;ATROPELLO                               ;NO ASIGNADO;PEATON                                  ;MUJER;HL                                      ;DE 35 A 39 AÑOS
01/01/2016;DE 00:00 A 00:59;VIERNES;PUENTE DE VALLECAS            ;AVENIDA DE PABLO NERUDA - CALLE DEL GOLFO DE DARIEN                                                 ;0;2016/4;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;4;ATROPELLO                               ;NO ASIGNADO;TESTIGO                                 ;MUJER;IL                                      ;DE 40 A 44 AÑOS
01/01/2016;DE 00:00 A 00:59;VIERNES;PUENTE DE VALLECAS            ;AVENIDA DE PABLO NERUDA - CALLE DEL GOLFO DE DARIEN                                                 ;0;2016/4;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;4;ATROPELLO                               ;NO ASIGNADO;TESTIGO                                 ;HOMBRE;IL                                      ;DE 40 A 44 AÑOS
01/01/2016;DE 00:00 A 00:59;VIERNES;PUENTE DE VALLECAS            ;AVENIDA DE PABLO NERUDA - CALLE DEL GOLFO DE DARIEN                                                 ;0;2016/4;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;4;ATROPELLO                               ;NO ASIGNADO;TESTIGO                                 ;MUJER;IL                                      ;DE 40 A 44 AÑOS
01/01/2016;DE 00:00 A 00:59;VIERNES;PUENTE DE VALLECAS            ;AVENIDA DE PABLO NERUDA - CALLE DEL GOLFO DE DARIEN                                                 ;0;2016/4;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;4;ATROPELLO                               ;NO ASIGNADO;TESTIGO                                 ;HOMBRE;IL                                      ;DE 35 A 39 AÑOS
01/01/2016;DE 00:00 A 00:59;VIERNES;PUENTE DE VALLECAS            ;AVENIDA DE PABLO NERUDA - CALLE DEL GOLFO DE DARIEN                                                 ;0;2016/4;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;4;ATROPELLO                               ;TURISMO                                 ;CONDUCTOR;HOMBRE;IL                                      ;DE 30 A 34 ANOS
01/01/2016;DE 1:00 A 1:59;VIERNES;CIUDAD LINEAL                 ;AVENIDA DEL MARQUES DE CORBERA NUM                                                                  ;7;2016/437;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;TURISMO                                 ;CONDUCTOR;MUJER;IL                                      ;DE 30 A 34 ANOS
