Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO EDAD;SEXO;LESIVIDAD*;* La correspondencia de los códigos se encuentra descrito en la estructura del fichero.
2019S000020;01/01/2019;23:30;CALL. FUENCARRAL;149;CHAMBERÍ;Caída;Despejado;Ciclomotor;Conductor;DE 25 A 29 AÑOS;Hombre;01;
2019S000017;01/01/2019;22:15;CALL. OCA / CALL. PINZON;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;14;
2019S000017;01/01/2019;22:15;CALL. OCA / CALL. PINZON;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Ciclomotor;Conductor;DE 35 A 39 AÑOS;Hombre;03;
2019S001812;01/01/2019;21:40;CALL. BAILEN / CUSTA. SAN VICENTE;-;CENTRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;14;
2019S001812;01/01/2019;21:40;CALL. BAILEN / CUSTA. SAN VICENTE;-;CENTRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;07;
2019S001812;01/01/2019;21:40;CALL. BAILEN / CUSTA. SAN VICENTE;-;CENTRO;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Mujer;14;
2019S001336;01/01/2019;20:25;CALL. MESONERO ROMANOS;1;CENTRO;Atropello a persona;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;14;
2019S001336;01/01/2019;20:25;CALL. MESONERO ROMANOS;1;CENTRO;Atropello a persona;Despejado;Turismo;Pasajero;DE 30 A 34 AÑOS;Hombre;14;
2019S001336;01/01/2019;20:25;CALL. MESONERO ROMANOS;1;CENTRO;Atropello a persona;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Mujer;14;
2019S001336;01/01/2019;20:25;CALL. MESONERO ROMANOS;1;CENTRO;Atropello a persona;Despejado;Turismo;Peatón;DE 55 A 59 AÑOS;Hombre;07;
2019S000595;01/01/2019;20:03;CALL. DOCTOR SANCHIS BANUS / CALL. DOCTOR CARMENA RUIZ;-;USERA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S000595;01/01/2019;20:03;CALL. DOCTOR SANCHIS BANUS / CALL. DOCTOR CARMENA RUIZ;-;USERA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S000028;01/01/2019;19:15;PASEO RECOLETOS-PLAZA COLON;-;SALAMANCA;Alcance;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;07;
2019S000028;01/01/2019;19:15;PASEO RECOLETOS-PLAZA COLON;-;SALAMANCA;Alcance;Despejado;Turismo;Pasajero;DE 45 A 49 AÑOS;Mujer;07;
2019S000028;01/01/2019;19:15;PASEO RECOLETOS-PLAZA COLON;-;SALAMANCA;Alcance;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Hombre;07;
2019S000028;01/01/2019;19:15;PASEO RECOLETOS-PLAZA COLON;-;SALAMANCA;Alcance;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;07;
2019S000015;01/01/2019;19:06;CALL. CARPESA;5;LATINA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;;
2019S000015;01/01/2019;19:06;CALL. CARPESA;5;LATINA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S000065;01/01/2019;17:00;CALL. JOSE FELIU Y CODINA;4;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;;
2019S000065;01/01/2019;17:00;CALL. JOSE FELIU Y CODINA;4;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S000014;01/01/2019;15:55;CALL. PUEBLA DE SANABRIA;2;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Mujer;;
2019S000014;01/01/2019;15:55;CALL. PUEBLA DE SANABRIA;2;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S000014;01/01/2019;15:55;CALL. PUEBLA DE SANABRIA;2;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S000101;01/01/2019;15:00;CALL. FEDERICO GUTIERREZ / CALL. ELFO;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;14;
2019S000101;01/01/2019;15:00;CALL. FEDERICO GUTIERREZ / CALL. ELFO;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Hombre;14;
2019S000101;01/01/2019;15:00;CALL. FEDERICO GUTIERREZ / CALL. ELFO;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;02;
2019S001089;01/01/2019;14:10;CALL. BERRUGUETE;11;TETUÁN;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;;
2019S001089;01/01/2019;14:10;CALL. BERRUGUETE;11;TETUÁN;Choque contra obstáculo fijo;Despejado;Todo terreno;Conductor;DE 65 A 69 AÑOS;Hombre;;
2019S001089;01/01/2019;14:10;CALL. BERRUGUETE;11;TETUÁN;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;;
2019S000659;01/01/2019;14:00;CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ;-;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;01;
2019S000659;01/01/2019;14:00;CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ;-;SALAMANCA;Alcance;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;14;
2019S000022;01/01/2019;12:29;CALL. CONDE DE TORRALBA;4;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;07;
2019S000022;01/01/2019;12:29;CALL. CONDE DE TORRALBA;4;CHAMARTÍN;Alcance;Despejado;Turismo;Pasajero;DE 65 A 69 AÑOS;Mujer;14;
2019S000022;01/01/2019;12:29;CALL. CONDE DE TORRALBA;4;CHAMARTÍN;Alcance;Despejado;Turismo;Pasajero;DE 55 A 59 AÑOS;Hombre;02;
2019S000022;01/01/2019;12:29;CALL. CONDE DE TORRALBA;4;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;14;
2019S000018;01/01/2019;8:25;CALL. ALMAGRO / CALL. GENERAL ARRANDO;-;CHAMBERÍ;Choque contra obstáculo fijo;Despejado;Todo terreno;Conductor;DE 60 A 64 AÑOS;Hombre;;
2019S000018;01/01/2019;8:25;CALL. ALMAGRO / CALL. GENERAL ARRANDO;-;CHAMBERÍ;Choque contra obstáculo fijo;Despejado;Motocicleta hasta 125cc;Conductor;DE 25 A 29 AÑOS;;;
2019S000018;01/01/2019;8:25;CALL. ALMAGRO / CALL. GENERAL ARRANDO;-;CHAMBERÍ;Choque contra obstáculo fijo;Despejado;Motocicleta hasta 125cc;Conductor;DESCONOCIDA;;;
2019S000018;01/01/2019;8:25;CALL. ALMAGRO / CALL. GENERAL ARRANDO;-;CHAMBERÍ;Choque contra obstáculo fijo;Despejado;Motocicleta > 125cc;Conductor;DESCONOCIDA;;;
2019S000018;01/01/2019;8:25;CALL. ALMAGRO / CALL. GENERAL ARRANDO;-;CHAMBERÍ;Choque contra obstáculo fijo;Despejado;Ciclomotor;Conductor;DESCONOCIDA;;;
2019S000018;01/01/2019;8:25;CALL. ALMAGRO / CALL. GENERAL ARRANDO;-;CHAMBERÍ;Choque contra obstáculo fijo;Despejado;Ciclomotor;Conductor;DESCONOCIDA;;;
2019S000700;01/01/2019;8:25;CALL. CANAL DE PANAMA;6;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S000700;01/01/2019;8:25;CALL. CANAL DE PANAMA;6;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S000700;01/01/2019;8:25;CALL. CANAL DE PANAMA;6;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S000019;01/01/2019;8:15;AVDA. FUEROS / CALL. ANTEQUERA;-;USERA;Choque contra obstáculo fijo;Se desconoce;Turismo;Conductor;DESCONOCIDA;;;
2019S000009;01/01/2019;8:10;CALL. REAL DE ARGANDA / AVDA. LA GAVIA;-;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14;
2019S000009;01/01/2019;8:10;CALL. REAL DE ARGANDA / AVDA. LA GAVIA;-;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Mujer;14;
2019S000009;01/01/2019;8:10;CALL. REAL DE ARGANDA / AVDA. LA GAVIA;-;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Mujer;07;
2019S000009;01/01/2019;8:10;CALL. REAL DE ARGANDA / AVDA. LA GAVIA;-;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Hombre;14;
2019S000006;01/01/2019;8:10;CALL. CASTRO DE ORO / CALL. FERREIRA;-;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14;
2019S000006;01/01/2019;8:10;CALL. CASTRO DE ORO / CALL. FERREIRA;-;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;14;
2019S000006;01/01/2019;8:10;CALL. CASTRO DE ORO / CALL. FERREIRA;-;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S000006;01/01/2019;8:10;CALL. CASTRO DE ORO / CALL. FERREIRA;-;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S000007;01/01/2019;8:05;CALL. ARROYO FONTARRON / CALL. HACIENDA DE PAVONES;-;MORATALAZ;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14;
2019S000007;01/01/2019;8:05;CALL. ARROYO FONTARRON / CALL. HACIENDA DE PAVONES;-;MORATALAZ;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Hombre;14;
2019S000007;01/01/2019;8:05;CALL. ARROYO FONTARRON / CALL. HACIENDA DE PAVONES;-;MORATALAZ;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 21 A 24 AÑOS;Hombre;14;
2019S000007;01/01/2019;8:05;CALL. ARROYO FONTARRON / CALL. HACIENDA DE PAVONES;-;MORATALAZ;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Hombre;14;
2019S000007;01/01/2019;8:05;CALL. ARROYO FONTARRON / CALL. HACIENDA DE PAVONES;-;MORATALAZ;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Mujer;14;
2019S000007;01/01/2019;8:05;CALL. ARROYO FONTARRON / CALL. HACIENDA DE PAVONES;-;MORATALAZ;Colisión fronto-lateral;Despejado;Autobús;Conductor;DE 40 A 44 AÑOS;Hombre;14;
2019S000007;01/01/2019;8:05;CALL. ARROYO FONTARRON / CALL. HACIENDA DE PAVONES;-;MORATALAZ;Colisión fronto-lateral;Despejado;Autobús;Pasajero;DE 60 A 64 AÑOS;Mujer;02;
2019S000007;01/01/2019;8:05;CALL. ARROYO FONTARRON / CALL. HACIENDA DE PAVONES;-;MORATALAZ;Colisión fronto-lateral;Despejado;Autobús;Pasajero;DE 15 A 17 AÑOS;Hombre;14;
2019S000007;01/01/2019;8:05;CALL. ARROYO FONTARRON / CALL. HACIENDA DE PAVONES;-;MORATALAZ;Colisión fronto-lateral;Despejado;Autobús;Pasajero;DE 15 A 17 AÑOS;Hombre;14;
2019S001185;01/01/2019;7:22;GTA. LOPEZ DE HOYOS;4;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;;
2019S001185;01/01/2019;7:22;GTA. LOPEZ DE HOYOS;4;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;;
2019S000008;01/01/2019;7:19;AUTOV. M-30 / AUTOV. M-11;-;SALAMANCA;Caída;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;05;
2019S001956;01/01/2019;6:27;AVDA. NUESTRA SEÑORA DE VALVANERA / CALL. VIA CARPETANA;-;LATINA;Alcance;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;;
2019S001956;01/01/2019;6:27;AVDA. NUESTRA SEÑORA DE VALVANERA / CALL. VIA CARPETANA;-;LATINA;Alcance;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;;
2019S001956;01/01/2019;6:27;AVDA. NUESTRA SEÑORA DE VALVANERA / CALL. VIA CARPETANA;-;LATINA;Alcance;Despejado;Turismo;Pasajero;DE 40 A 44 AÑOS;Hombre;;
2019S000140;01/01/2019;6:20;AVDA. CIUDAD DE BARCELONA;71;RETIRO;Caída;Despejado;Motocicleta > 125cc;Conductor;DE 45 A 49 AÑOS;Hombre;14;
