Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;;
2020S000057;01/01/2020;23:15;AVDA. CIUDAD DE BARCELONA / CALL. DOCTOR ESQUERDO;-;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;;;
2020S000038;01/01/2020;22:35;CALL. VALLE DE TORANZO / CALL. SIERRA DE PAJAREJO;-;MONCLOA-ARAVACA;Caída;Despejado;Ciclomotor;Conductor;DE 21 A 24 AÑOS;Mujer;06;;
2020S000060;01/01/2020;20:15;GTA. MARIANO SALVADOR MAELLA;1;FUENCARRAL-EL PARDO;Caída;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;14;;
2020S000060;01/01/2020;20:15;GTA. MARIANO SALVADOR MAELLA;1;FUENCARRAL-EL PARDO;Caída;Despejado;Motocicleta hasta 125cc;Conductor;DE 25 A 29 AÑOS;Hombre;07;;
2020S000033;01/01/2020;19:45;CALL. OLIVAR;40;CENTRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;;
2020S000035;01/01/2020;19:30;CALL. ANTONIO DE LEYVA / CALL. FUENLABRADA;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;14;;
2020S000035;01/01/2020;19:30;CALL. ANTONIO DE LEYVA / CALL. FUENLABRADA;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 21 A 24 AÑOS;Mujer;02;;
2020S000073;01/01/2020;18:48;AVDA. PIO XII;81;CHAMARTÍN;Atropello a persona;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;14;;
2020S000073;01/01/2020;18:48;AVDA. PIO XII;81;CHAMARTÍN;Atropello a persona;Despejado;Turismo;Peatón;DE 18 A 20 AÑOS;Hombre;07;;
2020S000067;01/01/2020;18:40;PLAZA. BEATA MARIA ANA DE JESUS / PASEO. DELICIAS;-;ARGANZUELA;Caída;;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;14;;
2020S000067;01/01/2020;18:40;PLAZA. BEATA MARIA ANA DE JESUS / PASEO. DELICIAS;-;ARGANZUELA;Caída;;Motocicleta hasta 125cc;Conductor;DE 35 A 39 AÑOS;Hombre;14;;
2020S000063;01/01/2020;16:46;CALL. BAHIA DE ALGECIRAS / CALL. UBRIQUE;-;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;;;
2020S000063;01/01/2020;16:46;CALL. BAHIA DE ALGECIRAS / CALL. UBRIQUE;-;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;;;
2020S000063;01/01/2020;16:46;CALL. BAHIA DE ALGECIRAS / CALL. UBRIQUE;-;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;;;
2020S000030;01/01/2020;16:30;AVDA. SAN DIEGO / AVDA. MONTE IGUELDO;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Furgoneta;Conductor;DE 45 A 49 AÑOS;Hombre;14;;
2020S000030;01/01/2020;16:30;AVDA. SAN DIEGO / AVDA. MONTE IGUELDO;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;02;;
2020S000030;01/01/2020;16:30;AVDA. SAN DIEGO / AVDA. MONTE IGUELDO;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 40 A 44 AÑOS;Hombre;02;;
2020S000030;01/01/2020;16:30;AVDA. SAN DIEGO / AVDA. MONTE IGUELDO;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 45 A 49 AÑOS;Mujer;02;;
2020S000061;01/01/2020;15:50;AVDA. VIRGEN DEL CARMEN;1;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14;;
2020S000061;01/01/2020;15:50;AVDA. VIRGEN DEL CARMEN;1;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Mujer;;;
2020S000061;01/01/2020;15:50;AVDA. VIRGEN DEL CARMEN;1;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;;;
2020S000061;01/01/2020;15:50;AVDA. VIRGEN DEL CARMEN;1;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;;;
