id_terraza,id_local,id_distrito_local,desc_distrito_local,wikidata_distrito,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_clase_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,Escalera,id_planta_agrupado,id_local_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra
2706,280009803,1,Centro,http://www.wikidata.org/entity/Q1763376,104,JUSTICIA,11004774,1,670700,CALLE,SAN GREGORIO,NUM,8,28004,"440867,59","4475050,52",1,Puerta Calle,1,Abierto,20,,PB,,,,FRIDA,1,Anual,1,Abierta,"28,75","28,75",15/06/2015,11004774,1,670700,CALLE,SAN GREGORIO,NUM,8,,Plaza peatonal,10:00:00,00:00:00,10:00:00,23:00:00,10:00:00,01:30:00,10:00:00,23:00:00,0,0,9,9,30,
2707,280007810,1,Centro,http://www.wikidata.org/entity/Q1763376,101,PALACIO,11001071,1,797800,TRAVESIA,VISTILLAS,NUM,13,28005,"439347,6","4473713,54",1,Puerta Calle,1,Abierto,40,,PB,,,,CASA PILUCA,2,Estacional,1,Abierta,"3,1",,15/06/2015,11001056,1,319900,PLAZA,GABRIEL MIRO,NUM,6,,Acera,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,,3,,6,
2708,285001360,1,Centro,http://www.wikidata.org/entity/Q1763376,101,PALACIO,11000624,1,542500,CALLE,NUNCIO,NUM,4,28005,"439846,59","4473895,53",1,Puerta Calle,1,Abierto,10,,PB,,,,BAR - RESTAURANTE,1,Anual,1,Abierta,540,540,15/06/2015,11000624,1,542500,CALLE,NUNCIO,NUM,4,,Calle peatonal,10:00:00,00:30:00,10:00:00,23:00:00,10:00:00,02:00:00,10:00:00,23:00:00,0,0,4,4,8,
2711,270041313,1,Centro,http://www.wikidata.org/entity/Q1763376,102,EMBAJADORES,11002341,1,71000,CALLE,ARGUMOSA,NUM,4,28012,"440603,59","4473300,52",1,Puerta Calle,1,Abierto,30,,PB,,,,EUCALIPTO,1,Anual,1,Abierta,"36,18","36,18",15/06/2015,11002341,1,71000,CALLE,ARGUMOSA,NUM,4,,Acera,10:00:00,00:30:00,10:00:00,23:00:00,10:00:00,02:00:00,10:00:00,23:00:00,0,0,12,12,45,
2712,285002923,1,Centro,http://www.wikidata.org/entity/Q1763376,104,JUSTICIA,11004218,1,207300,CALLE,CONDE DE XIQUENA,NUM,2,28004,"441118,59","4474824,52",1,Puerta Calle,1,Abierto,40,,PB,,,,RENCAJAL,1,Anual,1,Abierta,"0,97","0,97",15/06/2015,20005394,1,609000,CALLE,PRIM,NUM,7,,Acera,10:00:00,00:00:00,10:00:00,23:00:00,10:00:00,01:30:00,10:00:00,23:00:00,0,0,1,1,2,
2713,270224434,1,Centro,http://www.wikidata.org/entity/Q1763376,102,EMBAJADORES,11003171,1,81600,CALLE,ATOCHA,NUM,84,28012,"440886,59","4473607,52",1,Puerta Calle,1,Abierto,10,,PB,,,,EL TERREMOTO DE ATOCHA,2,Estacional,1,Abierta,"8,67",,15/06/2015,11003171,1,81600,CALLE,ATOCHA,NUM,84,,Acera,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,,4,,16,
2714,280010456,1,Centro,http://www.wikidata.org/entity/Q1763376,105,UNIVERSIDAD,11005645,1,313100,CALLE,FUENCARRAL,NUM,43,28004,"440539,59","4474940,53",1,Puerta Calle,1,Abierto,30,,PB,,,,DUNKIN COFFEE (CON HMC),1,Anual,1,Abierta,"24,19","24,19",15/06/2015,11005645,1,313100,CALLE,FUENCARRAL,NUM,43,,Plaza peatonal,09:00:00,23:30:00,09:00:00,23:00:00,09:00:00,01:00:00,09:00:00,23:00:00,0,0,8,8,30,
2715,280010388,1,Centro,http://www.wikidata.org/entity/Q1763376,105,UNIVERSIDAD,11005486,1,313100,CALLE,FUENCARRAL,NUM,93,28004,"440475,59","4475362,53",1,Puerta Calle,1,Abierto,10,,PB,,,,JUICY AVENUE,1,Anual,1,Abierta,"18,05","18,05",15/06/2015,11005486,1,313100,CALLE,FUENCARRAL,NUM,93,,Acera,09:00:00,23:30:00,09:00:00,23:00:00,09:00:00,00:30:00,09:00:00,23:00:00,0,0,7,7,20,
2717,110001626,11,Carabanchel,http://www.wikidata.org/entity/Q1001991,1102,OPAÑEL,11070474,1,332700,CALLE,GENERAL RICARDOS,NUM,139,28019,"438087,6","4471284,54",1,Puerta Calle,1,Abierto,10,,PB,,,,SALON DE JUEGOS 22,2,Estacional,1,Abierta,"7,2",,15/06/2015,11070474,1,332700,CALLE,GENERAL RICARDOS,NUM,139,,Acera,10:00:00,00:00:00,,,10:00:00,00:30:00,,,0,,5,,10,
2718,270380715,6,Tetuán,http://www.wikidata.org/entity/Q1773540,602,CUATRO CAMINOS,11029335,1,88906676,CALLE,EDGAR NEVILLE,NUM,17,28020,"440889,6","4477794,53",1,Puerta Calle,1,Abierto,10,,PB,,,,,1,Anual,1,Abierta,"4,32","4,32",15/06/2015,11029335,1,88906676,CALLE,EDGAR NEVILLE,NUM,17,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:00:00,10:00:00,00:00:00,0,0,3,3,6,
