CCAA,Droga,Parque,Resultado positivo,Ratio
La Rioja,Etanol,217685.0,6,2.7562762707582057e-05
País Vasco,Etanol,1375688.0,16,1.1630544135007357e-05
Comunidad Foral de Navarra,Etanol,469899.0,9,1.915305203884239e-05
Región de Murcia,Etanol,1166017.0,22,1.886764944250384e-05
Melilla,Etanol,70780.0,0,0.0
Comunidad de Madrid,Etanol,5118257.0,40,7.815160512651084e-06
Galicia,Etanol,2111164.0,45,2.1315255470441898e-05
Extremadura,Etanol,879372.0,15,1.705762748870785e-05
Comunidad Valenciana,Etanol,3770745.0,54,1.432077745909628e-05
Ciudad Autónoma de Ceuta,Etanol,66400.0,0,0.0
Cataluña,Etanol,5450236.0,93,1.706348128778277e-05
Castilla-La Mancha,Etanol,1632254.0,36,2.2055390888918023e-05
Castilla y León,Etanol,1829318.0,33,1.8039509806386862e-05
Cantabria,Etanol,431107.0,8,1.855687799084682e-05
Canarias,Etanol,1753830.0,26,1.4824697946779334e-05
Islas Baleares,Etanol,1116413.0,17,1.5227339703138534e-05
Principado de Asturias,Etanol,700043.0,12,1.7141804146316725e-05
Aragón,Etanol,898301.0,17,1.892461435532188e-05
Andalucía,Etanol,6398915.0,140,2.187870912490633e-05
La Rioja,Drogas,217685.0,5,2.296896892298505e-05
País Vasco,Drogas,1375688.0,9,6.542181075941638e-06
Comunidad Foral de Navarra,Drogas,469899.0,5,1.064058446602355e-05
Región de Murcia,Drogas,1166017.0,18,1.543716772568496e-05
Melilla,Drogas,70780.0,0,0.0
Comunidad de Madrid,Drogas,5118257.0,29,5.665991371672036e-06
Galicia,Drogas,2111164.0,18,8.52610218817676e-06
Extremadura,Drogas,879372.0,12,1.364610199096628e-05
Comunidad Valenciana,Drogas,3770745.0,21,5.569191234092998e-06
Ciudad Autónoma de Ceuta,Drogas,66400.0,1,1.5060240963855421e-05
Cataluña,Drogas,5450236.0,57,1.0458262724770083e-05
Castilla-La Mancha,Drogas,1632254.0,23,1.409094417903096e-05
Castilla y León,Drogas,1829318.0,32,1.749285799407211e-05
Cantabria,Drogas,431107.0,2,4.639219497711705e-06
Canarias,Drogas,1753830.0,18,1.0263252424693386e-05
Islas Baleares,Drogas,1116413.0,9,8.061532784014517e-06
Principado de Asturias,Drogas,700043.0,5,7.142418394298636e-06
Aragón,Drogas,898301.0,10,1.1132126091365811e-05
Andalucía,Drogas,6398915.0,82,1.2814672487445138e-05
La Rioja,Cocaína,217685.0,0,0.0
País Vasco,Cocaína,1375688.0,5,3.6345450421897987e-06
Comunidad Foral de Navarra,Cocaína,469899.0,3,6.38435067961413e-06
Región de Murcia,Cocaína,1166017.0,14,1.200668600886608e-05
Melilla,Cocaína,70780.0,0,0.0
Comunidad de Madrid,Cocaína,5118257.0,13,2.5399271666116024e-06
Galicia,Cocaína,2111164.0,13,6.157740469238771e-06
Extremadura,Cocaína,879372.0,9,1.023457649322471e-05
Comunidad Valenciana,Cocaína,3770745.0,18,4.7735924863654265e-06
Ciudad Autónoma de Ceuta,Cocaína,66400.0,0,0.0
Cataluña,Cocaína,5450236.0,36,6.605218563012684e-06
Castilla-La Mancha,Cocaína,1632254.0,17,1.0415045697544623e-05
Castilla y León,Cocaína,1829318.0,21,1.1479688058609821e-05
Cantabria,Cocaína,431107.0,2,4.639219497711705e-06
Canarias,Cocaína,1753830.0,8,4.561445522085949e-06
Islas Baleares,Cocaína,1116413.0,4,3.582903459562008e-06
Principado de Asturias,Cocaína,700043.0,1,1.4284836788597273e-06
Aragón,Cocaína,898301.0,5,5.5660630456829055e-06
Andalucía,Cocaína,6398915.0,47,7.3449952062185546e-06
La Rioja,Cannabis,217685.0,4,1.8375175138388038e-05
País Vasco,Cannabis,1375688.0,3,2.1807270253138793e-06
Comunidad Foral de Navarra,Cannabis,469899.0,2,4.25623378640942e-06
Región de Murcia,Cannabis,1166017.0,8,6.86096343363776e-06
Melilla,Cannabis,70780.0,0,0.0
Comunidad de Madrid,Cannabis,5118257.0,20,3.907580256325542e-06
Galicia,Cannabis,2111164.0,10,4.736723437875977e-06
Extremadura,Cannabis,879372.0,3,3.41152549774157e-06
Comunidad Valenciana,Cannabis,3770745.0,4,1.0607983303034281e-06
Ciudad Autónoma de Ceuta,Cannabis,66400.0,1,1.5060240963855421e-05
Cataluña,Cannabis,5450236.0,24,4.403479042008456e-06
Castilla-La Mancha,Cannabis,1632254.0,12,7.3517969629726745e-06
Castilla y León,Cannabis,1829318.0,17,9.293080809350807e-06
Cantabria,Cannabis,431107.0,0,0.0
Canarias,Cannabis,1753830.0,14,7.98252966365041e-06
Islas Baleares,Cannabis,1116413.0,2,1.791451729781004e-06
Principado de Asturias,Cannabis,700043.0,4,5.713934715438909e-06
Aragón,Cannabis,898301.0,4,4.452850436546325e-06
Andalucía,Cannabis,6398915.0,49,7.657548193717216e-06
La Rioja,Opiáceos,217685.0,0,0.0
País Vasco,Opiáceos,1375688.0,0,0.0
Comunidad Foral de Navarra,Opiáceos,469899.0,0,0.0
Región de Murcia,Opiáceos,1166017.0,0,0.0
Melilla,Opiáceos,70780.0,0,0.0
Comunidad de Madrid,Opiáceos,5118257.0,1,1.953790128162771e-07
Galicia,Opiáceos,2111164.0,1,4.7367234378759777e-07
Extremadura,Opiáceos,879372.0,0,0.0
Comunidad Valenciana,Opiáceos,3770745.0,0,0.0
Ciudad Autónoma de Ceuta,Opiáceos,66400.0,0,0.0
Cataluña,Opiáceos,5450236.0,0,0.0
Castilla-La Mancha,Opiáceos,1632254.0,0,0.0
Castilla y León,Opiáceos,1829318.0,1,5.466518123147534e-07
Cantabria,Opiáceos,431107.0,0,0.0
Canarias,Opiáceos,1753830.0,1,5.701806902607436e-07
Islas Baleares,Opiáceos,1116413.0,0,0.0
Principado de Asturias,Opiáceos,700043.0,0,0.0
Aragón,Opiáceos,898301.0,0,0.0
Andalucía,Opiáceos,6398915.0,4,6.251059749973237e-07
La Rioja,Anfetamina y relacionados,217685.0,1,4.5937937845970094e-06
País Vasco,Anfetamina y relacionados,1375688.0,6,4.361454050627759e-06
Comunidad Foral de Navarra,Anfetamina y relacionados,469899.0,0,0.0
Región de Murcia,Anfetamina y relacionados,1166017.0,0,0.0
Melilla,Anfetamina y relacionados,70780.0,0,0.0
