Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Almería, Andalucía/Cádiz, Andalucía/Córdoba, Andalucía/Granada, Andalucía/Huelva, Andalucía/Jaén, Andalucía/Málaga, Andalucía/Sevilla, Aragón/Huesca, Aragón/Teruel, Aragón/Zaragoza, Asturias (Principado de)/Asturias, Balears (Illes)/Balears (Illes), Canarias/Palmas (Las), Canarias/Santa Cruz de Tenerife, Cantabria/Cantabria, Castilla y León/Ávila, Castilla y León/Burgos, Castilla y León/León, Castilla y León/Palencia, Castilla y León/Salamanca, Castilla y León/Segovia, Castilla y León/Soria, Castilla y León/Valladolid, Castilla y León/Zamora, Castilla-La Mancha/Albacete, Castilla-La Mancha/Ciudad Real, Castilla-La Mancha/Cuenca, Castilla-La Mancha/Guadalajara, Castilla-La Mancha/Toledo, Cataluña/Barcelona, Cataluña/Girona, Cataluña/Lleida, Cataluña/Tarragona, Ceuta/Ceuta, Comunitat Valenciana/Alicante/Alacant, Comunitat Valenciana/Castellón/Castelló, Comunitat Valenciana/Valencia/València, Desconocida/Desconocido, Extranjero/Extranjero, Extremadura/Badajoz, Extremadura/Cáceres, Galicia/Coruña (A), Galicia/Lugo, Galicia/Ourense, Galicia/Pontevedra, Madrid (Comunidad de)/Madrid, Melilla/Melilla, Murcia (Región de)/Murcia, Navarra (Comunidad Foral de)/Navarra, País Vasco/Araba/Álava, País Vasco/Gipuzkoa, País Vasco/Bizkaia, Rioja (La)/Rioja (La)
Tipo de Vehículo: CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, FURGONETAS, MOTOCICLETAS, TURISMOS
Carburante: 

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;35350001
TOTAL;CAMIONES HASTA 3500kg;TOTAL;2195901
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;346759
TOTAL;CICLOMOTORES;TOTAL;1902677
TOTAL;FURGONETAS;TOTAL;2498274
TOTAL;MOTOCICLETAS;TOTAL;3689002
TOTAL;TURISMOS;TOTAL;24717388
Andalucía/Almería;CAMIONES HASTA 3500kg;TOTAL;48068
Andalucía/Almería;CAMIONES HASTA 3500kg;Diesel;47426
Andalucía/Almería;CAMIONES HASTA 3500kg;Eléctrico;9
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;6
Andalucía/Almería;CAMIONES HASTA 3500kg;Gasolina;627
Andalucía/Almería;CAMIONES MÁS DE 3500kg;TOTAL;8889
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Diesel;8817
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;4
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;1
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gasolina;67
Andalucía/Almería;CICLOMOTORES;TOTAL;41766
Andalucía/Almería;CICLOMOTORES;Diesel;1186
Andalucía/Almería;CICLOMOTORES;Eléctrico;158
Andalucía/Almería;CICLOMOTORES;Gasolina;40420
Andalucía/Almería;CICLOMOTORES;Sin especificar;2
Andalucía/Almería;FURGONETAS;TOTAL;41154
Andalucía/Almería;FURGONETAS;Diesel;35428
Andalucía/Almería;FURGONETAS;Eléctrico;28
Andalucía/Almería;FURGONETAS;Gas Licuado de Petroleo;34
Andalucía/Almería;FURGONETAS;Gasolina;5661
Andalucía/Almería;FURGONETAS;Otros;1
