Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Almería, Andalucía/Cádiz, Andalucía/Córdoba, Andalucía/Granada, Andalucía/Huelva, Andalucía/Jaén, Andalucía/Málaga, Andalucía/Sevilla, Aragón/Huesca, Aragón/Teruel, Aragón/Zaragoza, Asturias (Principado de)/Asturias, Balears (Illes)/Balears (Illes), Canarias/Palmas (Las), Canarias/Santa Cruz de Tenerife, Cantabria/Cantabria, Castilla y León/Ávila, Castilla y León/Burgos, Castilla y León/León, Castilla y León/Palencia, Castilla y León/Salamanca, Castilla y León/Segovia, Castilla y León/Soria, Castilla y León/Valladolid, Castilla y León/Zamora, Castilla-La Mancha/Albacete, Castilla-La Mancha/Ciudad Real, Castilla-La Mancha/Cuenca, Castilla-La Mancha/Guadalajara, Castilla-La Mancha/Toledo, Cataluña/Barcelona, Cataluña/Girona, Cataluña/Lleida, Cataluña/Tarragona, Ceuta/Ceuta, Comunitat Valenciana/Alicante/Alacant, Comunitat Valenciana/Castellón/Castelló, Comunitat Valenciana/Valencia/València, Desconocida/Desconocido, Extranjero/Extranjero, Extremadura/Badajoz, Extremadura/Cáceres, Galicia/Coruña (A), Galicia/Lugo, Galicia/Ourense, Galicia/Pontevedra, Madrid (Comunidad de)/Madrid, Melilla/Melilla, Murcia (Región de)/Murcia, Navarra (Comunidad Foral de)/Navarra, País Vasco/Araba/Álava, País Vasco/Gipuzkoa, País Vasco/Bizkaia, Rioja (La)/Rioja (La)
Tipo de Vehículo: CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, FURGONETAS, MOTOCICLETAS, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;35422044
TOTAL;CAMIONES HASTA 3500kg;TOTAL;2167944
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;346199
TOTAL;CICLOMOTORES;TOTAL;1888519
TOTAL;FURGONETAS;TOTAL;2525884
TOTAL;MOTOCICLETAS;TOTAL;3751159
TOTAL;TURISMOS;TOTAL;24742339
Andalucía/Almería;CAMIONES HASTA 3500kg;TOTAL;47971
Andalucía/Almería;CAMIONES HASTA 3500kg;Diesel;47312
Andalucía/Almería;CAMIONES HASTA 3500kg;Eléctrico;9
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;13
Andalucía/Almería;CAMIONES HASTA 3500kg;Gasolina;637
Andalucía/Almería;CAMIONES MÁS DE 3500kg;TOTAL;9049
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Diesel;8978
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gasolina;67
Andalucía/Almería;CICLOMOTORES;TOTAL;41628
Andalucía/Almería;CICLOMOTORES;Diesel;1194
Andalucía/Almería;CICLOMOTORES;Eléctrico;196
Andalucía/Almería;CICLOMOTORES;Gasolina;40236
Andalucía/Almería;CICLOMOTORES;Sin especificar;2
Andalucía/Almería;FURGONETAS;TOTAL;41607
Andalucía/Almería;FURGONETAS;Diesel;35855
Andalucía/Almería;FURGONETAS;Eléctrico;34
Andalucía/Almería;FURGONETAS;Gas Licuado de Petroleo;33
Andalucía/Almería;FURGONETAS;Gasolina;5682
Andalucía/Almería;FURGONETAS;Otros;1
Andalucía/Almería;FURGONETAS;Sin especificar;2
Andalucía/Almería;MOTOCICLETAS;TOTAL;48443
Andalucía/Almería;MOTOCICLETAS;Diesel;97
Andalucía/Almería;MOTOCICLETAS;Eléctrico;88
Andalucía/Almería;MOTOCICLETAS;Gasolina;48254
Andalucía/Almería;MOTOCICLETAS;Sin especificar;4
Andalucía/Almería;TURISMOS;TOTAL;383316
Andalucía/Almería;TURISMOS;Butano;2
Andalucía/Almería;TURISMOS;Diesel;257988
Andalucía/Almería;TURISMOS;Eléctrico;253
Andalucía/Almería;TURISMOS;Etanol;1
Andalucía/Almería;TURISMOS;Gas Licuado de Petroleo;473
Andalucía/Almería;TURISMOS;Gas Natural Comprimido;4
Andalucía/Almería;TURISMOS;Gas Natural Licuado;1
Andalucía/Almería;TURISMOS;Gasolina;124576
Andalucía/Almería;TURISMOS;Otros;15
Andalucía/Almería;TURISMOS;Sin especificar;3
Andalucía/Cádiz;CAMIONES HASTA 3500kg;TOTAL;47893
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Diesel;46865
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Eléctrico;25
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;16
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Natural Comprimido;7
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gasolina;978
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Sin especificar;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;TOTAL;5682
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Diesel;5626
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Eléctrico;3
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;14
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gasolina;36
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Otros;1
Andalucía/Cádiz;CICLOMOTORES;TOTAL;103490
Andalucía/Cádiz;CICLOMOTORES;Diesel;2487
Andalucía/Cádiz;CICLOMOTORES;Eléctrico;425
Andalucía/Cádiz;CICLOMOTORES;Gasolina;100576
Andalucía/Cádiz;CICLOMOTORES;Sin especificar;2
Andalucía/Cádiz;FURGONETAS;TOTAL;39398
Andalucía/Cádiz;FURGONETAS;Biodiesel;1
Andalucía/Cádiz;FURGONETAS;Diesel;33228
Andalucía/Cádiz;FURGONETAS;Eléctrico;40
Andalucía/Cádiz;FURGONETAS;Gas Licuado de Petroleo;36
Andalucía/Cádiz;FURGONETAS;Gas Natural Comprimido;4
Andalucía/Cádiz;FURGONETAS;Gasolina;6088
Andalucía/Cádiz;FURGONETAS;Otros;1
Andalucía/Cádiz;MOTOCICLETAS;TOTAL;113182
Andalucía/Cádiz;MOTOCICLETAS;Diesel;113
Andalucía/Cádiz;MOTOCICLETAS;Eléctrico;1720
Andalucía/Cádiz;MOTOCICLETAS;Gas Licuado de Petroleo;8
Andalucía/Cádiz;MOTOCICLETAS;Gasolina;111329
Andalucía/Cádiz;MOTOCICLETAS;Otros;2
Andalucía/Cádiz;MOTOCICLETAS;Sin especificar;10
Andalucía/Cádiz;TURISMOS;TOTAL;592337
Andalucía/Cádiz;TURISMOS;Biodiesel;2
Andalucía/Cádiz;TURISMOS;Biometano;1
Andalucía/Cádiz;TURISMOS;Butano;2
Andalucía/Cádiz;TURISMOS;Diesel;354591
Andalucía/Cádiz;TURISMOS;Eléctrico;369
Andalucía/Cádiz;TURISMOS;Etanol;1
Andalucía/Cádiz;TURISMOS;Gas Licuado de Petroleo;561
Andalucía/Cádiz;TURISMOS;Gas Natural Comprimido;59
Andalucía/Cádiz;TURISMOS;Gasolina;236737
Andalucía/Cádiz;TURISMOS;Hidrógeno;1
Andalucía/Cádiz;TURISMOS;Otros;8
Andalucía/Cádiz;TURISMOS;Sin especificar;5
Andalucía/Córdoba;CAMIONES HASTA 3500kg;TOTAL;34455
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Diesel;33896
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Eléctrico;37
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;10
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gasolina;511
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;TOTAL;6516
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Diesel;6457
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;5
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Gasolina;54
Andalucía/Córdoba;CICLOMOTORES;TOTAL;51461
Andalucía/Córdoba;CICLOMOTORES;Diesel;1582
Andalucía/Córdoba;CICLOMOTORES;Eléctrico;126
Andalucía/Córdoba;CICLOMOTORES;Gasolina;49750
Andalucía/Córdoba;CICLOMOTORES;Sin especificar;3
Andalucía/Córdoba;FURGONETAS;TOTAL;51412
Andalucía/Córdoba;FURGONETAS;Diesel;45241
Andalucía/Córdoba;FURGONETAS;Eléctrico;33
Andalucía/Córdoba;FURGONETAS;Gas Licuado de Petroleo;42
Andalucía/Córdoba;FURGONETAS;Gas Natural Comprimido;1
Andalucía/Córdoba;FURGONETAS;Gasolina;6094
Andalucía/Córdoba;FURGONETAS;Otros;1
Andalucía/Córdoba;MOTOCICLETAS;TOTAL;58076
Andalucía/Córdoba;MOTOCICLETAS;Diesel;80
Andalucía/Córdoba;MOTOCICLETAS;Eléctrico;75
Andalucía/Córdoba;MOTOCICLETAS;Gas Licuado de Petroleo;4
Andalucía/Córdoba;MOTOCICLETAS;Gasolina;57913
Andalucía/Córdoba;MOTOCICLETAS;Sin especificar;4
Andalucía/Córdoba;TURISMOS;TOTAL;390623
Andalucía/Córdoba;TURISMOS;Biodiesel;1
Andalucía/Córdoba;TURISMOS;Butano;2
Andalucía/Córdoba;TURISMOS;Diesel;255424
Andalucía/Córdoba;TURISMOS;Eléctrico;254
Andalucía/Córdoba;TURISMOS;Gas Licuado de Petroleo;438
Andalucía/Córdoba;TURISMOS;Gas Natural Comprimido;21
Andalucía/Córdoba;TURISMOS;Gasolina;134465
Andalucía/Córdoba;TURISMOS;Otros;13
Andalucía/Córdoba;TURISMOS;Sin especificar;5
Andalucía/Granada;CAMIONES HASTA 3500kg;TOTAL;46876
Andalucía/Granada;CAMIONES HASTA 3500kg;Biometano;1
Andalucía/Granada;CAMIONES HASTA 3500kg;Diesel;45940
Andalucía/Granada;CAMIONES HASTA 3500kg;Eléctrico;7
Andalucía/Granada;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;21
Andalucía/Granada;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Granada;CAMIONES HASTA 3500kg;Gasolina;906
Andalucía/Granada;CAMIONES MÁS DE 3500kg;TOTAL;6792
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Diesel;6721
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;3
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;1
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Gasolina;65
Andalucía/Granada;CICLOMOTORES;TOTAL;69150
Andalucía/Granada;CICLOMOTORES;Diesel;1154
Andalucía/Granada;CICLOMOTORES;Eléctrico;170
Andalucía/Granada;CICLOMOTORES;Gasolina;67826
Andalucía/Granada;FURGONETAS;TOTAL;59265
Andalucía/Granada;FURGONETAS;Diesel;50679
Andalucía/Granada;FURGONETAS;Eléctrico;32
Andalucía/Granada;FURGONETAS;Gas Licuado de Petroleo;59
Andalucía/Granada;FURGONETAS;Gas Natural Comprimido;6
Andalucía/Granada;FURGONETAS;Gasolina;8485
Andalucía/Granada;FURGONETAS;Otros;4
Andalucía/Granada;MOTOCICLETAS;TOTAL;101195
Andalucía/Granada;MOTOCICLETAS;Diesel;96
Andalucía/Granada;MOTOCICLETAS;Eléctrico;207
Andalucía/Granada;MOTOCICLETAS;Gas Licuado de Petroleo;1
Andalucía/Granada;MOTOCICLETAS;Gasolina;100889
