CCAA,Tipo de Vehículo,Total
Andalucía,Camiones,396540.0
Andalucía,Camiones,59027.0
Andalucía,Ciclomotores,565640.0
Andalucía,Furgonetas,429915.0
Andalucía,Motocicletas,711974.0
Andalucía,Turismos,4235819.0
Aragón,Camiones,61271.0
Aragón,Camiones,10225.0
Aragón,Ciclomotores,46519.0
Aragón,Furgonetas,73341.0
Aragón,Motocicletas,82211.0
Aragón,Turismos,624734.0
Principado de Asturias,Camiones,31865.0
Principado de Asturias,Camiones,7630.0
Principado de Asturias,Ciclomotores,23989.0
Principado de Asturias,Furgonetas,49106.0
Principado de Asturias,Motocicletas,61525.0
Principado de Asturias,Turismos,525928.0
Islas Baleares,Camiones,77393.0
Islas Baleares,Camiones,8674.0
Islas Baleares,Ciclomotores,79643.0
Islas Baleares,Furgonetas,61150.0
Islas Baleares,Motocicletas,153775.0
Islas Baleares,Turismos,735778.0
Canarias,Camiones,210918.0
Canarias,Camiones,18467.0
Canarias,Ciclomotores,54790.0
Canarias,Furgonetas,144606.0
Canarias,Motocicletas,146095.0
Canarias,Turismos,1178954.0
Cantabria,Camiones,25600.0
Cantabria,Camiones,4486.0
Cantabria,Ciclomotores,17290.0
Cantabria,Furgonetas,26846.0
Cantabria,Motocicletas,42882.0
Cantabria,Turismos,314003.0
Castilla y León,Camiones,112475.0
Castilla y León,Camiones,23917.0
Castilla y León,Ciclomotores,67802.0
Castilla y León,Furgonetas,142262.0
Castilla y León,Motocicletas,142307.0
Castilla y León,Turismos,1340555.0
Castilla-La Mancha,Camiones,128355.0
Castilla-La Mancha,Camiones,20587.0
Castilla-La Mancha,Ciclomotores,106107.0
Castilla-La Mancha,Furgonetas,134876.0
Castilla-La Mancha,Motocicletas,122568.0
Castilla-La Mancha,Turismos,1119761.0
Cataluña,Camiones,306394.0
Cataluña,Camiones,52968.0
Cataluña,Ciclomotores,263286.0
Cataluña,Furgonetas,391256.0
Cataluña,Motocicletas,883241.0
Cataluña,Turismos,3553091.0
Ciudad Autónoma de Ceuta,Camiones,2074.0
Ciudad Autónoma de Ceuta,Camiones,286.0
Ciudad Autónoma de Ceuta,Ciclomotores,3397.0
Ciudad Autónoma de Ceuta,Furgonetas,5081.0
Ciudad Autónoma de Ceuta,Motocicletas,13604.0
Ciudad Autónoma de Ceuta,Turismos,41958.0
Comunidad Valenciana,Camiones,235290.0
Comunidad Valenciana,Camiones,32191.0
Comunidad Valenciana,Ciclomotores,238862.0
Comunidad Valenciana,Furgonetas,208164.0
Comunidad Valenciana,Motocicletas,415113.0
Comunidad Valenciana,Turismos,2641125.0
Extremadura,Camiones,58087.0
Extremadura,Camiones,9879.0
Extremadura,Ciclomotores,66194.0
Extremadura,Furgonetas,72167.0
Extremadura,Motocicletas,60510.0
Extremadura,Turismos,612535.0
Galicia,Camiones,108836.0
Galicia,Camiones,23641.0
Galicia,Ciclomotores,97784.0
Galicia,Furgonetas,124879.0
Galicia,Motocicletas,173758.0
Galicia,Turismos,1582266.0
Comunidad de Madrid,Camiones,220223.0
Comunidad de Madrid,Camiones,40730.0
Comunidad de Madrid,Ciclomotores,95281.0
Comunidad de Madrid,Furgonetas,435280.0
Comunidad de Madrid,Motocicletas,403204.0
Comunidad de Madrid,Turismos,3923539.0
Melilla,Camiones,3529.0
Melilla,Camiones,367.0
Melilla,Ciclomotores,3131.0
Melilla,Furgonetas,8945.0
Melilla,Motocicletas,7761.0
Melilla,Turismos,47047.0
Región de Murcia,Camiones,72398.0
Región de Murcia,Camiones,13798.0
Región de Murcia,Ciclomotores,93548.0
Región de Murcia,Furgonetas,69640.0
Región de Murcia,Motocicletas,120269.0
Región de Murcia,Turismos,796364.0
Comunidad Foral de Navarra,Camiones,31774.0
Comunidad Foral de Navarra,Camiones,4747.0
Comunidad Foral de Navarra,Ciclomotores,18518.0
Comunidad Foral de Navarra,Furgonetas,39994.0
Comunidad Foral de Navarra,Motocicletas,38196.0
Comunidad Foral de Navarra,Turismos,336670.0
País Vasco,Camiones,75992.0
País Vasco,Camiones,12497.0
País Vasco,Ciclomotores,39461.0
País Vasco,Furgonetas,87117.0
País Vasco,Motocicletas,142045.0
País Vasco,Turismos,1018576.0
La Rioja,Camiones,17440.0
La Rioja,Camiones,2623.0
La Rioja,Ciclomotores,9154.0
La Rioja,Furgonetas,18214.0
La Rioja,Motocicletas,18175.0
La Rioja,Turismos,152079.0
