fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,ts_20,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010,evap
1991-1,2331,12.3(11),13.0,85.0,0.0,3.0,2.9,930.3(21),3.0,1027.2,921.3,-1.5,11.3(10),7.4,0.0,0.0,3.0,21/16.9(07),1.0,15.0,31.0,0.0,3.4,14.0,-8.8(15),360.0,64.0,0.0,1.0,26.4,5.0,0.0,3.2,16.0,22.0,1.4,8.0,2.1,5.8,0.0,4.7,912.9(07),6.0,
1991-2,2331,13.7(03),10.0,81.0,1.0,4.0,3.9,926.2(23),3.0,1018.9,913.9,-2.4,17.2(25),2.3,0.0,0.0,1.0,25/21.1(07),2.0,17.0,37.0,0.0,3.6,13.0,-9.3(15),309.0,61.0,0.0,3.0,54.6,1.0,0.0,4.0,14.0,21.0,1.0,5.0,2.2,6.8,0.0,4.1,897.1(28),11.0,
1991-3,2331,9.9(08),13.0,79.0,1.0,1.0,3.2,927.5(19),6.0,1012.5,909.9,2.8,18.0(20),7.9,0.0,0.0,0.0,11/31.9(24),0.0,18.0,26.0,1.0,7.7,17.0,-2.5(18),414.0,82.0,0.0,1.0,55.1,16.0,0.0,8.5,18.0,6.0,4.6,1.0,7.0,11.1,0.0,7.3,880.8(07),13.0,621.0
1991-4,2331,36.6(12),9.0,69.0,0.0,2.0,6.2,923.6(07),2.0,1018.3,915.1,0.5,22.3(11),6.0,0.0,0.0,4.0,23/20.3(04),2.0,17.0,46.0,0.0,9.1,11.0,-3.8(22),332.0,72.0,1.0,3.0,75.3,7.0,1.0,10.3,16.0,13.0,2.8,3.0,6.6,12.6,0.0,8.6,904.3(04),7.0,817.0
1991-5,2331,7.5(30),10.0,68.0,1.0,0.0,6.6,930.3(22),5.0,1020.6,918.4,4.4,26.8(28),11.2,0.0,0.0,7.0,07/18.1(20),0.0,14.0,45.0,0.0,12.6,7.0,-1.8(07),391.0,91.0,0.0,0.0,15.8,12.0,2.0,14.4,18.0,2.0,6.4,1.0,9.9,15.4,0.0,11.2,907.2(08),4.0,1056.0
1991-6,2331,2.3(01),3.0,58.0,0.0,1.0,10.0,923.6(23),,1016.9,917.3,7.8,33.0(25),13.3,2.0,0.0,9.0,,0.0,18.0,66.0,,19.1,4.0,1.6(19),,112.0,0.0,1.0,6.7,5.0,1.0,22.2,17.0,0.0,15.1,0.0,15.5,23.2,0.0,16.4,905.9(07),4.0,1530.0
1991-7,2331,3.3(01),5.0,54.0,0.0,1.0,9.4,923.0(13),1.0,1015.4,917.2,11.6,35.0(10),15.3,12.0,0.0,9.0,29/17.5(05),0.0,17.0,63.0,0.0,23.1,7.0,5.2(06),373.0,128.0,0.0,0.0,9.7,1.0,2.0,26.3,17.0,0.0,14.0,0.0,19.4,27.3,0.0,20.2,907.4(28),3.0,1769.0
1991-8,2331,0.0(--),1.0,53.0,0.0,3.0,10.4,924.5(09),5.0,1015.8,918.2,13.1,36.8(06),16.6,20.0,0.0,13.0,05/18.1(09),0.0,17.0,75.0,0.0,25.2,0.0,6.0(09),345.0,142.0,0.0,1.0,0.0,0.0,0.0,28.0,16.0,0.0,17.6,0.0,21.7,30.2,0.0,22.5,911.4(21),0.0,2051.0
1991-9,2331,7.9(29),2.0,67.0,0.0,4.0,6.4,923.6(16),3.0,1015.8,916.6,10.6,32.4(18),14.0,3.0,0.0,5.0,22/20.3(28),0.0,23.0,51.0,0.0,20.4,12.0,4.0(27),287.0,136.0,0.0,3.0,43.1,12.0,5.0,21.5,13.0,0.0,11.6,0.0,17.8,24.9,0.0,20.1,897.1(28),12.0,1119.0
1991-10,2331,13.7(10),10.0,79.0,0.0,3.0,3.7,927.5(02),,1018.0,915.4,4.2,23.4(04),9.0,0.0,0.0,4.0,,1.0,17.0,33.0,,11.4,15.0,-2.2(24),,92.0,0.0,2.0,38.2,19.0,0.0,11.5,,5.0,7.4,0.0,8.9,13.5,0.0,13.1,901.9(10),6.0,503.0
1991-11,2331,6.9(03),10.0,80.0,0.0,4.0,3.4,930.2(07),,1020.5,916.7,1.2,17.8(01),10.6,0.0,1.0,3.0,,0.0,17.0,34.0,,7.3,13.0,-6.0(23),,79.0,0.0,1.0,39.8,10.0,0.0,7.5,,14.0,3.5,2.0,5.6,10.0,1.0,9.0,904.8(15),8.0,379.0
1991-12,2331,2.9(14),,80.0,0.0,8.0,2.8,931.9(24),2.0,1029.9,924.2,-1.0,12.2(05),4.0,0.0,0.0,,04/15.6(28),0.0,,31.0,0.0,4.4,4.0,-8.0(31),252.0,64.0,0.0,2.0,3.8,5.0,0.0,4.2,12.0,21.0,3.4,0.0,3.5,7.9,1.0,,909.6(01),1.0,
1991-13,2331,36.6(12/abr),,71.0,3.0,34.0,5.7,931.9(24/dic),,1019.2,917.0,4.3,36.8(06/ago),16.6,37.0,1.0,,,6.0,,45.0,,12.3,117.0,-9.3(15/feb),,94.0,1.0,18.0,368.5,93.0,11.0,13.5,,104.0,1.0,20.0,10.0,15.7,2.0,,880.8(07/mar),75.0,
