fecha,indicativo,p_max,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,w_racha,np_100,p_sol,nw_91,ts_20,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,evap,n_cub,n_des,n_nub,ts_50
1992-1,2331,7.3(08),84.0,0.0,4.0,3.3,932.9(25),3.0,1029.3,922.6,-4.0,11.8(31),3.3,0.0,0.0,19/21.7(08),0.0,35.0,0.0,1.6,9.0,-11.5(06),298.0,57.0,0.0,1.0,13.5,5.0,0.0,1.4,13.0,28.0,0.8,5.0,1.0,5.9,0.0,908.9(08),4.0,,,,,
1992-2,2331,2.9(12),71.0,0.0,3.0,5.0,929.2(03),1.0,1028.1,922.6,-3.4,17.4(07),3.2,0.0,0.0,23/16.9(12),0.0,47.0,0.0,2.5,5.0,-7.8(03),308.0,58.0,0.0,1.0,5.9,4.0,0.0,3.2,14.0,25.0,0.6,2.0,3.5,10.3,0.0,912.5(12),2.0,,,,,
1992-3,2331,16.4(26),71.0,1.0,2.0,5.0,931.0(21),5.0,1022.5,918.6,-0.6,21.8(20),3.7,0.0,,22/22.2(30),2.0,41.0,0.0,,8.0,-6.0(10),336.0,68.0,0.0,,49.0,1.0,0.0,,16.0,20.0,2.0,6.0,5.9,12.4,,887.5(31),6.0,,,,,
1992-4,2331,13.7(02),70.0,1.0,0.0,6.9,930.3(17),5.0,1017.5,915.1,2.2,23.6(22),7.2,0.0,,25/19.4(01),2.0,51.0,0.0,,12.0,-3.4(06),359.0,82.0,0.0,,52.5,0.0,1.0,,17.0,10.0,5.4,0.0,8.4,14.7,,895.1(01),7.0,,,,,
1992-5,2331,18.7(01),67.0,0.0,0.0,7.7,926.0(16),8.0,1016.4,916.0,6.9,27.8(17),11.4,0.0,,34/19.2(20),3.0,52.0,0.0,,13.0,1.1(12),361.0,114.0,0.0,,66.4,2.0,4.0,,17.0,0.0,7.8,0.0,13.3,19.7,,906.3(27),10.0,,,,,
1992-6,2331,31.0(23),75.0,0.0,0.0,5.4,919.9(20),3.0,1015.2,914.4,6.9,27.8(28),13.2,0.0,,23/16.9(30),6.0,35.0,0.0,,18.0,0.0(05),273.0,116.0,1.0,,146.0,2.0,5.0,,13.0,1.0,10.8,0.0,12.3,17.6,,905.9(22),14.0,,,,,
1992-7,2331,5.0(28),65.0,0.0,0.0,8.7,923.6(27),3.0,1017.2,918.6,11.2,33.7(26),17.8,11.0,0.0,18/18.3(28),0.0,58.0,0.0,21.3,7.0,4.5(11),303.0,150.0,0.0,0.0,10.9,7.0,5.0,22.8,14.0,0.0,14.6,0.0,18.8,26.4,0.0,911.0(20),3.0,1227.0,,,,
1992-8,2331,18.0(28),54.0,0.0,1.0,8.7,922.9(12),8.0,1015.4,917.1,11.3,35.6(25),18.0,11.0,,18/21.9(19),1.0,63.0,0.0,,10.0,4.2(31),313.0,127.0,0.0,,36.7,9.0,5.0,,14.0,0.0,17.8,0.0,19.6,27.9,,906.6(28),6.0,,,,,
1992-9,2331,9.9(27),66.0,0.0,3.0,7.8,926.7(03),,1018.3,918.1,7.5,32.4(16),14.4,1.0,,,0.0,62.0,,,6.0,1.6(01),,117.0,0.0,,24.2,1.0,0.0,,,0.0,11.0,0.0,15.0,22.5,,904.5(26),4.0,,,,,
1992-10,2331,35.8(29),82.0,0.0,1.0,2.7,923.9(24),,1014.2,912.0,5.1,21.9(01),11.2,0.0,,,3.0,24.0,,,20.0,0.5(15),,96.0,1.0,,94.5,4.0,0.0,,,0.0,7.0,0.0,8.9,12.6,,895.6(16),12.0,,,,,
1992-11,2331,4.4(14),82.0,0.0,6.0,2.7,929.2(06),1.0,1025.4,921.8,3.6,20.0(08),9.4,0.0,1.0,21/16.1(25),0.0,27.0,0.0,4.6,5.0,-3.3(23),282.0,92.0,0.0,3.0,11.9,1.0,0.0,9.2,12.0,4.0,7.6,0.0,8.2,12.6,0.0,906.7(15),3.0,448.0,,,,
1992-12,2331,15.8(04),90.0,0.0,8.0,1.4,925.6(12),5.0,1020.5,916.0,1.3,12.5(02),8.0,0.0,0.0,23/22.2(02),1.0,15.0,0.0,0.5,16.0,-3.5(29),359.0,79.0,0.0,5.0,57.0,18.0,0.0,5.6,15.0,10.0,0.0,1.0,4.3,7.3,0.0,896.0(04),13.0,300.0,14.0,1.0,16.0,7.2
1992-13,2331,35.8(29/oct),73.0,2.0,28.0,5.4,932.9(25/ene),,1020.0,917.7,4.0,35.6(25/ago),18.0,23.0,,,18.0,43.0,,,129.0,-11.5(06/ene),,96.0,2.0,,568.5,54.0,20.0,,,98.0,0.0,14.0,9.9,15.8,,887.5(31/mar),84.0,,,,,
