fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,p_sol,ts_20,np_001,ta_min,e,np_300,nv_1000,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010,nw_55,w_racha,nw_91,w_rec,evap
1993-1,2331,1.4(12),11.0,87.0,0.0,16.0,3.4,932.5(21),1031.5,925.2,-2.8,13.0(13),7.0,0.0,0.0,2.0,0.0,18.0,36.0,-1.8,2.0,-8.9(24),66.0,0.0,11.0,1.5,3.0,0.0,4.1,9.0,26.0,3.0,2.0,2.4,7.6,2.0,4.9,911.1(29),1.0,,,,,
1993-2,2331,14.1(27),6.0,79.0,0.0,7.0,3.9,928.9(15),1027.5,921.7,-2.7,11.6(07),1.1,0.0,0.0,2.0,1.0,20.0,37.0,,10.0,-9.7(25),61.0,0.0,5.0,35.4,4.0,0.0,,15.0,26.0,-1.0,6.0,2.7,8.0,0.0,,902.6(28),6.0,1.0,03/25.0(27),0.0,314.0,
1993-3,2331,5.0(23),9.0,71.0,0.0,4.0,5.7,929.6(16),1020.6,916.8,-0.1,21.0(18),8.8,0.0,0.0,7.0,0.0,15.0,48.0,,11.0,-6.6(04),69.0,0.0,3.0,23.5,11.0,0.0,,13.0,16.0,-1.2,2.0,5.9,11.9,0.0,,897.5(01),7.0,4.0,06/16.1(25),0.0,289.0,
1993-4,2331,15.2(25),10.0,68.0,6.0,1.0,5.4,924.2(16),1013.7,911.4,2.3,21.9(08),8.7,0.0,0.0,2.0,1.0,18.0,40.0,10.2,16.0,-4.8(02),75.0,0.0,0.0,57.1,9.0,4.0,11.1,14.0,5.0,5.4,2.0,8.1,13.7,0.0,9.4,895.0(25),14.0,3.0,26/16.7(10),0.0,314.0,907.0
1993-5,2331,30.7(26),9.0,71.0,1.0,0.0,6.2,920.0(20),1012.6,911.7,5.6,22.0(24),10.8,0.0,0.0,1.0,5.0,20.0,43.0,13.6,18.0,-0.6(21),102.0,1.0,0.0,120.6,3.0,7.0,14.8,17.0,1.0,12.1,0.0,11.4,17.1,0.0,,903.4(13),15.0,8.0,21/18.6(26),0.0,360.0,902.0
1993-6,2331,11.1(22),1.0,68.0,0.0,1.0,8.1,923.9(15),1016.4,916.9,8.8,31.0(18),14.7,1.0,0.0,2.0,1.0,27.0,53.0,18.9,17.0,3.9(12),135.0,0.0,1.0,51.7,18.0,9.0,20.6,14.0,0.0,15.2,0.0,15.8,22.8,0.0,,909.6(09),10.0,3.0,23/18.6(10),0.0,294.0,997.0
1993-7,2331,4.6(04),2.0,61.0,0.0,0.0,9.9,925.2(22),1018.7,919.5,9.2,36.2(29),14.5,8.0,0.0,12.0,0.0,17.0,66.0,21.4,3.0,0.1(11),129.0,0.0,0.0,6.9,0.0,3.0,23.3,16.0,0.0,15.4,0.0,17.1,25.0,0.0,19.2,909.8(09),2.0,1.0,20/21.7(29),0.0,349.0,1319.0
1993-8,2331,9.3(23),2.0,58.0,0.0,1.0,8.8,924.3(19),1016.2,917.7,11.0,35.0(06),14.6,12.0,0.0,7.0,0.0,22.0,63.0,22.4,6.0,4.6(30),132.0,0.0,1.0,24.6,8.0,3.0,23.9,15.0,0.0,14.0,0.0,19.1,27.1,0.0,20.7,909.2(24),4.0,1.0,21/16.4(06),0.0,342.0,1499.0
1993-9,2331,14.6(17),11.0,66.0,0.0,2.0,5.0,920.4(25),1014.2,913.6,7.4,29.5(02),12.1,0.0,0.0,1.0,1.0,18.0,40.0,16.2,15.0,-1.4(28),102.0,0.0,1.0,40.1,17.0,1.0,16.6,15.0,1.0,11.6,0.0,13.3,19.1,0.0,16.7,904.0(13),7.0,5.0,22/22.5(12),0.0,339.0,869.0
1993-10,2331,24.6(11),16.0,81.0,1.0,3.0,2.4,924.9(19),1013.8,911.5,5.3,19.2(03),11.2,0.0,0.0,0.0,4.0,15.0,22.0,10.2,22.0,2.0(20),91.0,0.0,1.0,114.6,23.0,0.0,10.0,19.0,0.0,5.9,0.0,8.9,12.4,1.0,11.7,893.8(13),15.0,9.0,21/23.3(13),0.0,440.0,565.0
1993-11,2331,12.3(28),11.0,82.0,0.0,7.0,3.4,927.4(15),1019.3,915.3,0.4,17.2(01),8.8,0.0,0.0,1.0,1.0,18.0,35.0,6.8,11.0,-6.9(18),76.0,0.0,3.0,30.9,10.0,0.0,6.5,12.0,17.0,2.5,0.0,5.2,10.0,3.0,8.4,900.5(03),7.0,1.0,16/15.8(03),0.0,263.0,
1993-12,2331,13.9(25),24.0,89.0,0.0,13.0,0.7,929.5(19),1025.1,920.3,2.0,10.7(30),9.0,0.0,2.0,1.0,1.0,6.0,8.0,5.6,11.0,-4.2(22),79.0,0.0,5.0,31.0,15.0,0.0,5.4,13.0,10.0,2.6,1.0,4.7,7.3,0.0,6.8,908.2(25),6.0,2.0,24/16.9(25),0.0,308.0,
1993-13,2331,30.7(26/may),112.0,73.0,8.0,55.0,5.2,932.5(21/ene),1019.1,916.8,3.9,36.2(29/jul),14.7,21.0,2.0,38.0,15.0,214.0,41.0,,142.0,-9.7(25/feb),93.0,1.0,31.0,537.9,121.0,27.0,,14.0,102.0,-1.2,13.0,9.6,15.2,6.0,,893.8(13/oct),94.0,,,,,
