fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,ts_20,ts_10,ts_50,evap
1994-1,2331,19.0(05),18.0,85.0,0.0,6.0,2.1,933.2(28),6.0,1024.1,918.8,-0.7,14.4(31),7.0,0.0,1.0,4.0,20/23.3(05),2.0,9.0,22.0,0.0,14.0,-13.4(19),415.0,67.0,0.0,2.0,52.0,10.0,0.0,16.0,19.0,-0.4,7.0,3.0,6.6,0.0,886.6(06),9.0,,,,
1994-2,2331,11.8(22),10.0,74.0,0.0,0.0,4.3,928.8(09),8.0,1017.3,913.2,-1.1,16.0(03),6.0,0.0,0.0,1.0,18/20.3(03),1.0,17.0,40.0,0.0,15.0,-6.5(05),357.0,64.0,0.0,0.0,48.6,14.0,0.0,15.0,18.0,2.5,2.0,4.2,9.4,0.0,897.2(03),12.0,4.7,4.5,4.8,
1994-3,2331,5.5(05),9.0,68.0,0.0,4.0,6.6,928.5(14),1.0,1023.9,920.9,2.0,22.4(24),8.8,0.0,0.0,3.0,22/18.1(31),0.0,19.0,55.0,0.0,6.0,-3.9(27),300.0,79.0,0.0,3.0,7.4,10.0,1.0,13.0,8.0,8.6,0.0,8.7,15.4,0.0,910.7(01),1.0,9.9,10.6,8.5,711.0
1994-4,2331,12.3(23),9.0,66.0,2.0,0.0,6.4,925.9(28),6.0,1018.5,915.5,0.6,26.0(29),5.8,0.0,0.0,1.0,22/20.6(23),1.0,20.0,48.0,0.0,11.0,-4.6(15),337.0,70.0,0.0,0.0,26.2,11.0,0.0,14.0,14.0,5.3,4.0,6.9,13.1,0.0,901.8(20),5.0,9.9,10.2,9.0,856.0
1994-5,2331,15.3(15),11.0,64.0,2.0,2.0,7.2,923.1(05),3.0,1012.3,911.9,5.7,27.6(31),10.2,0.0,0.0,2.0,19/16.4(20),3.0,17.0,49.0,0.0,15.0,-0.3(08),351.0,97.0,0.0,0.0,83.2,15.0,3.0,16.0,2.0,11.3,0.0,12.1,18.4,0.0,900.0(13),12.0,14.8,15.7,12.8,1030.0
1994-6,2331,14.0(24),2.0,58.0,2.0,1.0,9.7,927.5(09),4.0,1019.1,919.5,8.1,34.0(30),12.5,4.0,0.0,9.0,18/16.7(24),1.0,19.0,64.0,0.0,7.0,2.6(11),348.0,115.0,0.0,0.0,35.8,5.0,6.0,16.0,0.0,14.8,0.0,15.8,23.6,0.0,910.9(24),5.0,19.4,20.6,16.8,1354.0
1994-7,2331,3.4(15),0.0,52.0,0.0,3.0,10.8,922.5(06),1.0,1014.3,916.8,12.8,35.2(27),15.6,19.0,0.0,10.0,20/16.9(29),0.0,21.0,72.0,0.0,6.0,7.5(03),346.0,137.0,0.0,0.0,14.6,3.0,6.0,14.0,0.0,23.8,0.0,21.5,30.2,0.0,908.9(30),6.0,24.9,26.8,21.5,1788.0
1994-8,2331,10.3(04),1.0,55.0,1.0,1.0,9.9,920.7(26),7.0,1013.8,916.0,11.9,34.8(03),16.6,16.0,0.0,14.0,20/32.5(04),1.0,16.0,72.0,1.0,4.0,7.2(25),335.0,131.0,0.0,0.0,26.6,3.0,2.0,14.0,0.0,19.6,0.0,20.4,28.9,0.0,908.2(09),3.0,,,,1573.0
1994-9,2331,22.6(23),4.0,66.0,0.0,0.0,6.4,925.1(17),3.0,1016.4,915.8,7.4,30.3(06),13.5,1.0,0.0,3.0,27/20.8(14),1.0,23.0,51.0,0.0,11.0,0.3(19),357.0,104.0,0.0,0.0,38.7,18.0,1.0,16.0,0.0,10.5,0.0,13.7,19.9,0.0,906.5(21),7.0,17.7,17.6,18.1,1062.0
1994-10,2331,13.4(27),12.0,79.0,0.0,8.0,4.9,924.8(13),2.0,1016.4,915.0,5.9,23.5(13),11.4,0.0,0.0,3.0,22/16.9(22),3.0,16.0,44.0,0.0,14.0,-0.5(27),247.0,110.0,0.0,6.0,73.2,15.0,1.0,11.0,2.0,7.5,0.0,11.3,16.6,0.0,900.5(19),10.0,13.0,12.7,13.6,464.0
1994-11,2331,22.6(04),9.0,82.0,0.0,3.0,4.4,929.5(24),2.0,1021.8,918.6,2.9,17.5(23),10.0,0.0,0.0,7.0,26/18.9(09),3.0,14.0,46.0,0.0,14.0,-2.5(27),287.0,92.0,0.0,1.0,76.9,14.0,0.0,13.0,9.0,7.5,0.0,8.4,13.8,1.0,901.6(04),10.0,8.9,8.4,9.7,420.0
1994-12,2331,17.2(31),13.0,84.0,1.0,7.0,2.5,931.9(11),3.0,1026.5,921.7,1.5,18.4(13),8.2,0.0,0.0,4.0,24/21.1(30),2.0,14.0,28.0,0.0,11.0,-3.5(26),332.0,79.0,0.0,3.0,49.5,11.0,0.0,15.0,13.0,0.8,3.0,5.3,9.1,0.0,903.8(31),7.0,6.2,5.4,7.4,
1994-13,2331,22.6(23/sep),98.0,69.0,8.0,35.0,6.3,933.2(28/ene),46.0,1018.7,917.0,4.8,35.2(27/jul),16.6,40.0,1.0,61.0,20/32.5(04/ago),18.0,205.0,49.0,1.0,128.0,-13.4(19/ene),334.0,95.0,0.0,15.0,532.7,129.0,20.0,14.0,85.0,-0.4,16.0,10.9,17.1,1.0,886.6(06/ene),87.0,,,,
