fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010,ts_20
1995-1,2331,8.9(17),13.0,82.0,1.0,3.0,2.7,933.9(13),11.0,1027.0,921.8,0.2,12.9(24),7.8,0.0,0.0,4.0,20/21.7(17),0.0,14.0,28.0,0.0,20.0,-6.0(15),390.0,70.0,0.0,0.0,448.0,36.9,15.0,0.0,3.8,17.0,16.0,3.2,7.0,4.1,7.9,0.0,5.1,906.0(01),8.0,
1995-2,2331,14.2(09),12.0,78.0,0.0,1.0,4.2,930.9(04),5.0,1023.7,919.5,0.9,17.2(05),9.4,0.0,0.0,3.0,23/28.1(17),2.0,13.0,39.0,1.0,16.0,-3.6(03),366.0,76.0,0.0,0.0,422.0,54.4,12.0,0.0,5.7,16.0,14.0,3.9,5.0,5.8,10.7,0.0,6.1,904.3(26),9.0,5.7
1995-3,2331,13.2(05),7.0,65.0,0.0,3.0,7.4,929.5(31),3.0,1020.7,917.2,0.3,19.5(27),6.0,0.0,0.0,4.0,22/18.1(03),1.0,20.0,62.0,0.0,4.0,-4.8(22),379.0,66.0,0.0,2.0,864.0,15.7,4.0,0.0,7.6,18.0,15.0,8.1,1.0,6.7,13.2,1.0,6.9,903.1(10),2.0,7.3
1995-4,2331,10.8(27),7.0,58.0,0.0,3.0,8.8,929.8(01),2.0,1017.2,915.0,1.9,23.5(02),7.6,0.0,0.0,12.0,02/15.6(13),1.0,11.0,66.0,0.0,5.0,-4.0(25),325.0,70.0,0.0,3.0,1126.0,14.5,0.0,0.0,11.4,15.0,8.0,7.0,1.0,9.1,16.3,0.0,9.8,903.5(21),2.0,10.8
1995-5,2331,10.8(17),5.0,61.0,0.0,1.0,8.0,922.9(20),5.0,1015.9,915.4,7.0,26.8(28),12.2,0.0,0.0,1.0,05/17.5(30),1.0,25.0,55.0,0.0,14.0,0.0(13),315.0,100.0,0.0,0.0,1114.0,51.6,15.0,4.0,15.9,14.0,1.0,10.6,0.0,13.6,20.2,1.0,13.4,899.0(11),12.0,15.2
1995-6,2331,32.5(30),4.0,58.0,0.0,0.0,10.0,922.6(21),6.0,1015.2,915.7,8.6,31.0(19),13.8,1.0,0.0,4.0,05/20.0(04),2.0,22.0,66.0,0.0,6.0,4.0(10),390.0,112.0,1.0,0.0,1315.0,58.3,1.0,4.0,20.3,19.0,0.0,16.4,0.0,16.0,23.3,0.0,17.2,910.5(12),4.0,19.5
1995-7,2331,22.2(10),4.0,55.0,1.0,0.0,10.9,921.5(04),2.0,1013.6,915.9,12.9,37.4(21),19.2,11.0,0.0,8.0,22/20.6(25),2.0,19.0,73.0,0.0,7.0,7.8(05),322.0,137.0,0.0,0.0,1608.0,47.2,4.0,3.0,23.0,14.0,0.0,18.4,0.0,20.6,28.3,0.0,20.1,909.3(25),6.0,22.0
1995-8,2331,8.1(09),0.0,57.0,0.0,1.0,10.4,925.6(12),3.0,1015.7,917.3,12.2,34.2(17),17.0,8.0,0.0,8.0,10/17.8(09),0.0,22.0,75.0,0.0,3.0,6.6(29),373.0,131.0,0.0,1.0,1424.0,11.6,3.0,2.0,23.7,18.0,0.0,19.8,0.0,19.5,26.8,0.0,21.5,910.7(03),3.0,23.0
1995-9,2331,7.8(10),9.0,68.0,0.0,1.0,6.5,925.2(27),3.0,1016.6,915.8,7.5,29.4(02),12.4,0.0,0.0,3.0,24/21.1(07),0.0,18.0,52.0,0.0,11.0,1.2(27),314.0,104.0,0.0,1.0,846.0,30.7,5.0,1.0,15.6,14.0,0.0,13.5,0.0,13.7,19.9,0.0,16.6,903.6(07),6.0,15.7
1995-10,2331,6.2(14),4.0,64.0,0.0,0.0,6.9,929.6(18),3.0,1020.0,919.1,7.2,27.8(02),12.8,0.0,0.0,9.0,21/20.3(24),0.0,17.0,61.0,0.0,8.0,0.0(30),292.0,103.0,0.0,0.0,1091.0,17.7,2.0,1.0,15.3,13.0,1.0,15.0,0.0,14.1,21.1,0.0,15.1,912.8(24),5.0,14.8
1995-11,2331,13.0(15),12.0,75.0,0.0,2.0,3.1,926.7(22),4.0,1017.3,914.7,3.7,21.7(01),9.6,0.0,0.0,0.0,21/18.1(15),1.0,18.0,31.0,0.0,15.0,-3.7(06),333.0,85.0,0.0,1.0,568.0,63.8,5.0,1.0,9.0,14.0,4.0,5.7,0.0,8.6,13.4,1.0,10.7,895.4(11),11.0,9.1
1995-12,2331,51.0(25),18.0,87.0,0.0,9.0,1.6,927.2(02),,1015.1,911.4,1.8,13.6(24),10.0,0.0,0.0,0.0,,3.0,13.0,17.0,,17.0,-5.2(15),,80.0,1.0,3.0,,153.4,9.0,0.0,4.6,16.0,13.0,-1.0,2.0,4.8,7.9,1.0,6.4,895.2(30),15.0,5.0
1995-13,2331,51.0(25/dic),95.0,67.0,2.0,24.0,6.7,933.9(13/ene),,1018.2,916.6,5.4,37.4(21/jul),19.2,20.0,0.0,56.0,,13.0,212.0,52.0,,126.0,-6.0(15/ene),,95.0,2.0,11.0,,555.8,75.0,16.0,13.0,16.0,72.0,-1.0,16.0,11.4,17.4,4.0,12.4,895.2(30/dic),83.0,
