fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,ts_20,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010
1997-1,2331,13.6(20),19.0,86.0,0.0,9.0,1.6,926.2(28),2.0,1018.1,913.6,0.4,15.0(12),6.4,0.0,0.0,0.0,21/16.4(17),2.0,12.0,17.0,0.0,3.8,18.0,-7.8(07),271.0,71.0,0.0,5.0,892.0,66.0,14.0,0.0,3.6,12.0,14.0,1.5,4.0,3.9,7.3,0.0,4.7,893.6(03),13.0
1997-2,2331,1.5(22),8.0,74.0,0.0,5.0,4.7,933.0(27),3.0,1029.2,924.7,1.0,20.5(27),7.4,0.0,0.0,4.0,25/20.6(14),0.0,16.0,45.0,0.0,6.0,7.0,-4.4(10),292.0,75.0,0.0,3.0,448.0,4.8,8.0,0.0,6.1,13.0,15.0,7.4,0.0,6.6,12.1,2.0,6.0,913.5(14),2.0
1997-3,2331,0.0(--),1.0,53.0,0.0,1.0,9.1,932.0(03),1.0,1025.4,922.5,1.1,22.4(17),6.0,0.0,0.0,16.0,08/16.1(29),0.0,14.0,76.0,0.0,9.6,0.0,-2.4(11),255.0,63.0,0.0,1.0,1069.0,0.0,0.0,0.0,10.2,12.0,10.0,8.2,0.0,9.6,18.2,0.0,8.6,913.4(24),0.0
1997-4,2331,4.6(20),7.0,57.0,0.0,0.0,8.0,925.8(10),2.0,1017.3,915.7,3.3,23.5(16),10.0,0.0,0.0,13.0,09/15.8(04),0.0,10.0,60.0,0.0,12.3,8.0,-3.0(23),320.0,76.0,0.0,0.0,1131.0,13.6,9.0,0.0,13.0,15.0,4.0,9.6,0.0,10.7,18.1,0.0,10.8,901.1(20),3.0
1997-5,2331,19.7(30),10.0,69.0,1.0,1.0,6.2,920.8(03),8.0,1013.5,913.0,7.0,27.7(02),12.6,0.0,0.0,1.0,23/21.9(05),4.0,20.0,43.0,0.0,13.9,22.0,0.0(08),344.0,107.0,0.0,0.0,909.0,119.5,22.0,7.0,15.0,15.0,1.0,9.8,0.0,12.8,18.6,0.0,12.9,901.6(05),17.0
1997-6,2331,17.9(01),8.0,66.0,1.0,0.0,7.7,919.6(08),4.0,1011.8,912.1,9.5,26.9(09),14.8,0.0,0.0,3.0,21/20.0(06),4.0,19.0,50.0,0.0,17.7,9.0,5.4(24),341.0,116.0,0.0,0.0,1036.0,69.8,9.0,5.0,18.6,15.0,0.0,11.4,0.0,14.9,20.4,0.0,16.6,903.5(05),7.0
1997-7,2331,20.9(16),7.0,69.0,0.0,3.0,8.3,927.8(05),1.0,1017.5,918.3,11.4,30.8(29),16.2,4.0,0.0,1.0,08/18.9(15),2.0,23.0,56.0,0.0,19.1,10.0,7.0(03),329.0,144.0,0.0,2.0,928.0,53.9,12.0,4.0,19.9,15.0,0.0,12.6,0.0,17.6,23.8,0.0,17.5,907.2(02),6.0
1997-8,2331,23.1(27),3.0,65.0,0.0,1.0,8.7,923.5(13),4.0,1014.4,916.4,12.9,32.9(14),17.6,11.0,0.0,5.0,15/16.7(08),2.0,23.0,63.0,0.0,21.1,11.0,7.5(30),280.0,157.0,0.0,1.0,1190.0,63.8,12.0,8.0,21.8,12.0,0.0,17.6,0.0,20.2,27.5,0.0,19.7,907.9(27),7.0
1997-9,2331,20.6(01),5.0,71.0,1.0,3.0,7.8,924.4(07),1.0,1018.1,918.6,10.3,30.0(05),14.0,2.0,0.0,6.0,09/16.1(06),2.0,19.0,62.0,0.0,19.1,5.0,5.3(03),244.0,143.0,0.0,1.0,812.0,42.4,8.0,3.0,19.3,11.0,0.0,15.2,0.0,17.3,24.4,0.0,18.0,912.0(12),4.0
1997-10,2331,30.3(27),10.0,73.0,0.0,2.0,5.8,923.6(29),2.0,1016.7,916.0,8.2,27.6(04),15.4,0.0,0.0,6.0,21/19.4(19),2.0,15.0,52.0,0.0,14.8,12.0,-1.7(30),300.0,118.0,1.0,1.0,772.0,54.5,13.0,0.0,14.8,13.0,2.0,11.2,0.0,13.9,19.5,0.0,15.3,907.2(06),8.0
1997-11,2331,52.4(05),19.0,86.0,0.0,3.0,1.9,920.5(30),9.0,1011.1,908.7,4.3,15.8(03),9.4,0.0,0.0,0.0,14/19.4(25),4.0,11.0,20.0,0.0,8.3,21.0,-1.6(23),389.0,91.0,1.0,0.0,347.0,151.5,21.0,0.0,7.9,17.0,2.0,7.0,0.0,7.4,10.4,1.0,10.0,886.3(06),16.0
1997-12,2331,35.7(17),18.0,85.0,0.0,4.0,2.1,927.9(23),2.0,1018.1,914.0,1.5,12.0(11),9.6,0.0,0.0,2.0,17/17.5(17),3.0,11.0,23.0,0.0,5.2,19.0,-5.6(06),357.0,76.0,1.0,2.0,,111.9,17.0,0.0,4.8,15.0,11.0,1.2,3.0,4.7,7.8,0.0,6.7,893.2(17),11.0
1997-13,2331,52.4(05/nov),115.0,71.0,3.0,32.0,6.0,933.0(27/feb),39.0,1017.6,916.1,5.9,32.9(14/ago),17.6,17.0,0.0,57.0,23/21.9(05/may),25.0,193.0,47.0,0.0,12.6,142.0,-7.8(07/ene),310.0,103.0,3.0,16.0,,751.7,145.0,27.0,12.9,14.0,59.0,1.2,7.0,11.6,17.3,3.0,12.2,886.3(06/nov),94.0
