fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,ts_20,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010,w_rec
2002-1,2331,10.3(01),12.0,83.0,1.0,9.0,2.8,930.2(11),2.0,1028.1,922.9,0.7,17.2(29),7.2,0.0,0.0,1.0,18/17.5(02),1.0,18.0,30.0,0.0,3.8,15.0,-5.6(12),72.0,0.0,5.0,332.0,34.8,14.0,0.0,3.1,13.0,12.0,4.2,0.0,5.0,9.3,1.0,3.7,905.5(23),9.0,
2002-2,2331,9.0(05),11.0,74.0,0.0,2.0,3.7,931.3(19),7.0,1025.0,920.6,1.0,16.5(13),5.6,0.0,0.0,3.0,26/19.7(27),0.0,14.0,35.0,0.0,5.5,9.0,-4.5(20),70.0,0.0,2.0,517.0,17.7,13.0,1.0,5.0,16.0,6.0,3.7,1.0,5.7,10.4,0.0,5.4,907.7(28),4.0,
2002-3,2331,5.2(13),14.0,68.0,0.0,2.0,4.8,927.5(22),15.0,1017.7,914.8,2.8,23.8(22),8.0,0.0,0.0,4.0,22/21.1(14),0.0,13.0,40.0,0.0,8.1,13.0,-4.5(02),73.0,0.0,0.0,806.0,23.1,13.0,0.0,7.9,21.0,5.0,5.6,2.0,8.2,13.6,1.0,7.3,900.2(14),8.0,473.0
2002-4,2331,17.4(05),8.0,66.0,2.0,1.0,7.2,929.3(22),9.0,1014.7,912.8,2.1,25.0(25),6.8,0.0,0.0,5.0,21/19.4(06),3.0,17.0,53.0,0.0,11.2,8.0,-2.4(15),79.0,0.0,0.0,863.0,57.0,8.0,1.0,11.1,15.0,8.0,6.0,3.0,9.2,16.3,0.0,9.8,893.1(11),7.0,355.0
2002-5,2331,9.4(07),8.0,64.0,1.0,1.0,7.0,923.1(14),12.0,1015.3,914.3,5.4,29.3(31),12.7,0.0,0.0,1.0,24/24.4(13),0.0,22.0,48.0,0.0,15.1,14.0,-1.4(02),93.0,0.0,1.0,1012.0,36.5,15.0,2.0,15.1,20.0,2.0,10.6,0.0,12.1,18.7,0.0,13.1,902.5(21),8.0,425.0
2002-6,2331,9.5(04),9.0,62.0,0.0,3.0,7.9,923.9(24),16.0,1016.0,916.9,10.1,36.4(17),16.2,9.0,0.0,6.0,07/20.6(18),0.0,15.0,52.0,0.0,20.1,10.0,0.1(09),128.0,0.0,0.0,1257.0,35.4,13.0,2.0,20.4,19.0,0.0,12.2,0.0,17.7,25.3,0.0,17.5,902.5(04),5.0,421.0
2002-7,2331,24.9(22),1.0,58.0,1.0,0.0,10.0,924.7(14),13.0,1015.9,917.3,10.4,35.0(27),15.6,9.0,0.0,6.0,11/20.0(17),1.0,24.0,67.0,0.0,21.9,5.0,5.0(14),131.0,0.0,0.0,1408.0,36.0,4.0,4.0,22.3,19.0,0.0,20.4,0.0,18.9,27.4,0.0,19.5,910.9(08),3.0,423.0
2002-8,2331,11.0(09),6.0,62.0,0.0,2.0,9.2,923.9(31),7.0,1015.3,916.4,10.5,36.2(14),14.2,10.0,0.0,6.0,08/19.4(24),2.0,19.0,66.0,0.0,21.5,9.0,6.5(01),127.0,0.0,0.0,1306.0,30.0,9.0,4.0,21.7,17.0,0.0,16.4,0.0,18.4,26.3,0.0,19.9,909.7(10),6.0,394.0
2002-9,2331,11.1(08),6.0,66.0,1.0,0.0,7.5,923.9(01),9.0,1015.6,915.7,8.3,28.5(02),15.5,0.0,0.0,4.0,26/16.7(07),1.0,20.0,60.0,0.0,17.5,11.0,0.5(28),119.0,0.0,0.0,871.0,49.8,11.0,7.0,17.2,14.0,0.0,15.3,0.0,15.8,23.3,0.0,17.1,907.7(08),9.0,324.0
2002-10,2331,41.7(09),14.0,79.0,0.0,3.0,4.3,928.1(27),,1016.8,915.4,7.2,22.8(29),12.8,0.0,0.0,0.0,25/28.6(22),4.0,17.0,39.0,,13.4,16.0,0.6(11),111.0,1.0,1.0,567.0,117.4,17.0,0.0,12.7,17.0,0.0,11.8,0.0,12.4,17.6,0.0,13.4,899.9(09),13.0,
2002-11,2331,14.2(22),20.0,84.0,1.0,2.0,2.0,927.1(30),8.0,1015.0,912.3,4.5,17.1(03),11.4,0.0,0.0,0.0,20/25.6(13),3.0,10.0,20.0,1.0,9.4,20.0,0.6(24),90.0,0.0,2.0,379.0,75.3,21.0,0.0,8.5,18.0,0.0,5.7,0.0,7.9,11.3,0.0,10.1,887.8(14),16.0,440.0
2002-12,2331,14.0(10),22.0,86.0,1.0,4.0,1.4,926.5(01),11.0,1018.4,914.8,3.5,16.3(18),10.5,0.0,0.0,0.0,19/21.4(14),1.0,9.0,15.0,0.0,7.2,22.0,-2.0(13),84.0,0.0,2.0,358.0,63.2,23.0,0.0,6.2,20.0,3.0,5.0,1.0,6.5,9.4,0.0,7.7,896.5(27),17.0,472.0
2002-13,2331,41.7(09/oct),131.0,71.0,8.0,29.0,5.7,931.3(19/feb),,1017.8,916.2,5.5,36.4(17/jun),16.2,28.0,0.0,36.0,25/28.6(22/oct),16.0,198.0,44.0,,12.9,152.0,-5.6(12/ene),98.0,1.0,13.0,9676.0,576.2,161.0,21.0,12.6,17.0,36.0,3.7,7.0,11.5,17.4,2.0,12.0,887.8(14/nov),105.0,
