fecha,indicativo,p_max,n_cub,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,ts_20,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010,hr
2007-1,2331,18.3(22),15.0,0.0,7.0,2.4,935.9(02),3.0,1029.0,923.3,-0.1,16.2(12),6.0,0.0,0.0,3.0,08/18.1(26),1.0,13.0,25.0,0.0,4.2,13.0,-6.6(26),333.0,72.0,0.0,4.0,133.0,28.9,9.0,0.0,3.4,15.0,17.0,-1.6,4.0,3.4,7.0,0.0,4.5,902.2(25),4.0,
2007-2,2331,10.8(11),14.0,1.0,2.0,3.4,925.9(01),13.0,1018.1,914.6,2.3,16.3(15),7.5,0.0,0.0,0.0,20/30.8(16),1.0,14.0,32.0,1.0,5.8,23.0,-3.0(26),516.0,77.0,0.0,1.0,461.0,65.8,23.0,0.0,5.3,20.0,8.0,5.0,0.0,6.3,10.2,0.0,5.1,900.3(08),13.0,
2007-3,2331,29.2(20),11.0,0.0,0.0,5.0,933.7(09),7.0,1021.8,917.7,0.1,19.0(04),8.2,0.0,0.0,2.0,30/28.9(07),4.0,18.0,42.0,1.0,6.4,12.0,-5.5(22),409.0,69.0,0.0,2.0,513.0,92.5,6.0,0.0,6.1,19.0,18.0,1.3,7.0,5.6,11.1,0.0,6.2,906.5(07),7.0,74.0
2007-4,2331,17.2(26),10.0,0.0,5.0,6.0,921.9(22),6.0,1016.6,914.9,4.1,25.7(24),8.7,0.0,0.0,1.0,10/16.9(12),2.0,19.0,45.0,0.0,10.9,14.0,-3.7(01),342.0,93.0,0.0,2.0,584.0,56.2,12.0,4.0,10.9,16.0,3.0,8.4,2.0,10.5,16.9,0.0,9.0,907.4(01),9.0,72.0
2007-5,2331,44.0(20),10.0,2.0,3.0,7.0,927.1(08),7.0,1016.0,915.2,6.3,25.8(18),13.0,0.0,0.0,2.0,25/21.4(13),3.0,19.0,48.0,0.0,15.0,15.0,0.9(01),382.0,106.0,1.0,0.0,812.0,105.8,14.0,4.0,15.0,18.0,0.0,12.4,1.0,12.7,19.0,0.0,13.0,904.8(02),11.0,70.0
2007-6,2331,16.2(09),3.0,0.0,1.0,9.7,924.3(01),4.0,1014.1,914.8,9.1,29.5(30),14.0,0.0,0.0,4.0,25/19.7(17),2.0,23.0,64.0,0.0,18.1,7.0,3.8(01),388.0,122.0,0.0,0.0,1012.0,47.2,9.0,3.0,18.3,20.0,0.0,18.2,0.0,16.1,23.1,0.0,15.8,907.1(14),7.0,64.0
2007-7,2331,3.8(22),0.0,0.0,0.0,11.0,924.0(04),8.0,1015.7,917.3,10.4,36.5(31),14.0,13.0,0.0,13.0,28/21.9(23),0.0,18.0,74.0,0.0,21.4,4.0,5.4(10),399.0,122.0,0.0,0.0,1601.0,5.2,5.0,0.0,21.7,18.0,0.0,20.7,0.0,19.1,27.7,0.0,18.5,906.2(23),2.0,54.0
2007-8,2331,8.5(06),3.0,1.0,0.0,9.2,923.0(26),8.0,1015.5,916.6,10.6,36.8(04),16.0,7.0,0.0,4.0,12/19.7(26),0.0,24.0,66.0,0.0,20.8,10.0,6.0(09),424.0,124.0,0.0,0.0,1308.0,16.9,10.0,4.0,20.7,19.0,0.0,16.6,0.0,18.2,25.7,0.0,18.9,909.9(11),5.0,60.0
2007-9,2331,40.8(30),5.0,0.0,0.0,7.7,923.0(06),4.0,1018.9,918.8,8.4,28.0(09),12.9,0.0,0.0,10.0,23/18.9(30),1.0,15.0,62.0,0.0,17.8,5.0,-1.0(28),413.0,119.0,1.0,0.0,893.0,59.4,8.0,3.0,17.4,18.0,1.0,13.2,0.0,15.8,23.1,0.0,17.1,909.9(28),5.0,66.0
2007-10,2331,13.2(01),11.0,0.0,7.0,5.7,926.9(09),2.0,1021.3,919.2,5.4,22.5(02),13.4,0.0,0.0,6.0,06/16.7(31),2.0,14.0,51.0,0.0,11.9,8.0,-1.9(28),300.0,102.0,0.0,3.0,510.0,43.6,8.0,0.0,11.1,13.0,3.0,9.9,0.0,11.2,17.0,0.0,12.4,910.6(24),6.0,76.0
2007-11,2331,24.6(19),11.0,0.0,3.0,4.6,928.9(06),7.0,1022.9,918.5,0.1,18.8(11),5.0,0.0,0.0,8.0,06/26.7(27),2.0,11.0,46.0,1.0,6.1,6.0,-9.9(17),423.0,70.0,0.0,3.0,364.0,48.3,10.0,0.0,5.1,17.0,12.0,5.2,0.0,5.4,10.6,0.0,7.2,898.7(20),3.0,77.0
2007-12,2331,3.6(01),12.0,0.0,10.0,3.6,929.5(06),4.0,1028.0,922.1,-2.0,10.6(09),3.6,0.0,0.0,6.0,16/20.0(19),0.0,13.0,39.0,0.0,3.3,8.0,-9.2(17),321.0,62.0,0.0,7.0,263.0,6.2,11.0,0.0,2.4,14.0,20.0,3.8,0.0,2.6,7.3,1.0,4.6,912.6(09),1.0,82.0
2007-13,2331,44.0(20/may),105.0,4.0,38.0,6.3,935.9(02/ene),73.0,1019.8,917.8,4.6,36.8(04/ago),16.0,20.0,0.0,59.0,20/30.8(16/feb),18.0,201.0,50.0,3.0,11.8,125.0,-9.9(17/nov),388.0,95.0,2.0,22.0,8454.0,576.0,125.0,18.0,11.5,17.0,82.0,-1.6,14.0,10.6,16.6,1.0,11.0,898.7(20/nov),73.0,
