fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,p_sol,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,nw_55,w_racha,nw_91
1991-1,5402,14.0(11),6.0,78.0,0.0,5.0,5.7,1024.0(05),1026.0,1014.7,2.8,18.8(10),12.2,0.0,0.0,7.0,1.0,18.0,57.0,8.0,-2.0(31),152.0,92.0,0.0,5.0,449.0,28.8,8.0,0.0,7.0,9.0,9.2,0.0,8.6,14.5,0.0,1006.7(24),7.0,,,
1991-2,5402,39.7(17),9.0,80.0,0.0,4.0,4.7,1019.3(23),1019.3,1008.1,3.9,20.6(24),9.0,0.0,1.0,2.0,5.0,17.0,43.0,12.0,-1.6(03),197.0,96.0,1.0,2.0,342.0,133.3,13.0,0.0,8.0,7.0,6.4,0.0,8.9,13.9,0.0,987.7(19),11.0,0.0,05/12.8(17),0.0
1991-3,5402,39.7(12),12.0,75.0,0.0,0.0,4.9,1019.1(19),1013.2,1002.2,8.3,26.4(20),12.6,0.0,0.0,0.0,6.0,19.0,41.0,11.0,4.0(02),,120.0,2.0,0.0,548.0,152.9,13.0,3.0,10.0,0.0,14.0,0.0,13.5,18.8,0.0,971.7(07),10.0,,,
1991-4,5402,4.8(16),3.0,61.0,0.0,2.0,8.3,1015.6(06),1017.6,1006.7,7.7,30.0(30),12.6,1.0,0.0,5.0,0.0,22.0,62.0,8.0,3.0(27),,107.0,0.0,1.0,1129.0,16.7,8.0,1.0,13.0,0.0,17.6,0.0,14.9,22.1,0.0,997.6(17),5.0,,,
1991-5,5402,9.5(31),1.0,48.0,0.0,0.0,10.4,1019.1(22),1016.9,1006.2,9.3,34.8(24),16.0,15.0,0.0,11.0,0.0,19.0,73.0,1.0,2.4(09),214.0,113.0,0.0,0.0,2025.0,9.5,1.0,1.0,12.0,0.0,19.0,0.0,18.6,27.9,0.0,998.2(08),1.0,3.0,29/16.9(08),0.0
1991-6,5402,9.1(01),2.0,52.0,0.0,0.0,10.3,1011.4(23),1015.7,1005.2,16.5,40.6(25),19.8,23.0,0.0,14.0,0.0,14.0,70.0,3.0,12.4(11),232.0,173.0,0.0,0.0,2112.0,10.6,3.0,2.0,12.0,0.0,25.2,0.0,25.1,33.6,0.0,998.5(14),1.0,,,
1991-7,5402,0.0(--),0.0,48.0,0.0,0.0,11.1,1011.5(07),1014.8,1004.4,18.7,44.4(14),24.0,29.0,0.0,18.0,0.0,13.0,76.0,0.0,13.0(30),235.0,190.0,0.0,0.0,2760.0,0.0,2.0,0.0,12.0,0.0,28.4,0.0,27.9,37.1,0.0,995.3(14),0.0,1.0,20/15.6(18),0.0
1991-8,5402,0.0(--),0.0,44.0,0.0,0.0,10.3,1009.0(03),1015.3,1004.9,19.4,44.4(06),23.6,31.0,0.0,19.0,0.0,12.0,76.0,0.0,16.2(01),,174.0,0.0,0.0,3208.0,0.0,1.0,0.0,13.0,0.0,33.0,0.0,28.8,38.3,0.0,1000.0(06),0.0,,,
1991-9,5402,66.0(05),2.0,55.0,0.0,1.0,8.1,1011.3(07),1016.1,1005.5,17.6,39.8(19),22.4,23.0,0.0,13.0,3.0,15.0,65.0,6.0,9.4(27),,173.0,2.0,1.0,1889.0,108.4,6.0,3.0,9.0,0.0,18.6,0.0,24.9,32.3,0.0,993.4(29),3.0,,,
1991-10,5402,26.3(25),7.0,73.0,0.0,6.0,6.2,1014.0(03),1016.8,1006.0,10.7,30.2(06),16.0,2.0,0.0,10.0,4.0,14.0,55.0,11.0,5.0(21),143.0,139.0,0.0,5.0,830.0,102.8,11.0,3.0,8.0,0.0,14.8,0.0,16.3,21.9,0.0,993.9(10),7.0,0.0,22/12.2(11),0.0
1991-11,5402,24.0(30),5.0,72.0,0.0,0.0,6.4,1020.7(07),1021.2,1010.0,5.6,24.4(02),13.4,0.0,0.0,10.0,2.0,15.0,62.0,7.0,-1.0(23),,106.0,0.0,0.0,661.0,43.4,8.0,0.0,,3.0,13.2,0.0,12.1,18.5,0.0,1000.8(30),5.0,,,
1991-12,5402,14.0(14),9.0,78.0,0.0,2.0,4.7,1024.5(21),1026.1,1014.9,5.2,19.5(05),11.2,0.0,0.0,14.0,1.0,8.0,49.0,7.0,-0.7(28),140.0,101.0,0.0,1.0,445.0,25.8,8.0,0.0,7.0,4.0,11.8,0.0,10.4,15.6,0.0,1002.6(01),3.0,0.0,07/9.7(23),0.0
1991-13,5402,66.0(05/sep),56.0,64.0,0.0,20.0,7.6,1024.5(21/dic),1018.3,1007.4,10.5,44.4(14/jul),24.0,124.0,1.0,123.0,22.0,186.0,61.0,74.0,-2.0(31/ene),,132.0,5.0,15.0,16398.0,632.2,82.0,13.0,,23.0,6.4,0.0,17.5,24.5,0.0,971.7(07/mar),53.0,,,
