fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,p_sol,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,nw_55,w_racha,nw_91,w_rec
1992-1,5402,2.1(09),5.0,69.0,0.0,3.0,5.6,1024.4(02),1025.8,1014.4,0.8,17.6(30),8.0,0.0,0.0,18.0,0.0,8.0,56.0,5.0,-6.4(23),75.0,0.0,2.0,579.0,4.6,5.0,0.0,9.0,17.0,7.4,0.0,7.3,13.8,0.0,1005.1(21),3.0,,,,
1992-2,5402,42.7(19),7.0,66.0,0.0,2.0,6.8,1020.5(13),1025.1,1013.8,2.3,21.6(06),7.6,0.0,0.0,15.0,2.0,7.0,63.0,7.0,-4.4(04),85.0,1.0,2.0,699.0,69.2,7.0,0.0,7.0,8.0,11.0,0.0,10.0,17.6,0.0,1000.9(19),4.0,,,,
1992-3,5402,28.8(30),6.0,61.0,0.0,0.0,6.6,1022.8(10),1020.4,1009.4,5.8,29.8(22),10.6,0.0,0.0,14.0,1.0,11.0,54.0,4.0,-2.0(26),97.0,0.0,0.0,1294.0,32.3,5.0,1.0,10.0,1.0,16.0,0.0,13.6,21.5,0.0,989.0(31),2.0,4.0,23/23.1(30),0.0,208.0
1992-4,5402,40.4(02),6.0,58.0,0.0,1.0,9.2,1020.6(17),1016.4,1005.5,8.6,31.5(27),11.2,3.0,0.0,13.0,4.0,11.0,69.0,5.0,5.0(06),110.0,1.0,1.0,1372.0,96.1,5.0,1.0,11.0,0.0,14.4,0.0,16.3,24.0,0.0,991.6(04),5.0,1.0,25/16.4(02),0.0,223.0
1992-5,5402,17.2(23),4.0,53.0,0.0,0.0,8.5,1012.9(16),1016.1,1005.4,12.8,35.0(18),17.0,12.0,0.0,6.0,1.0,21.0,60.0,5.0,7.0(04),133.0,0.0,0.0,1924.0,29.0,8.0,2.0,12.0,0.0,20.6,0.0,20.7,28.6,0.0,999.2(20),4.0,3.0,36/20.6(20),0.0,200.0
1992-6,5402,43.0(21),5.0,62.0,0.0,1.0,7.6,1010.0(05),1014.9,1004.2,13.9,33.8(27),17.0,5.0,0.0,5.0,4.0,20.0,52.0,13.0,9.2(05),149.0,1.0,1.0,1501.0,122.5,14.0,7.0,12.0,0.0,20.6,0.0,20.2,26.6,0.0,998.2(14),11.0,,,,246.0
1992-7,5402,0.3(15),0.0,43.0,0.0,0.0,11.3,1009.8(17),1015.2,1004.8,17.9,41.5(28),22.2,31.0,0.0,20.0,0.0,11.0,78.0,1.0,13.4(02),161.0,0.0,0.0,2668.0,0.3,3.0,0.0,8.0,0.0,30.4,0.0,27.4,36.8,0.0,998.2(05),0.0,0.0,35/13.9(15),0.0,156.0
1992-8,5402,1.2(28),0.0,43.0,0.0,0.0,10.4,1010.5(26),1016.0,1005.6,18.6,43.1(24),26.4,30.0,0.0,15.0,0.0,16.0,76.0,1.0,12.4(30),158.0,0.0,0.0,3082.0,1.2,3.0,1.0,10.0,0.0,27.4,0.0,27.8,37.0,0.0,1001.0(07),1.0,1.0,25/15.6(19),0.0,170.0
1992-9,5402,20.6(26),1.0,48.0,0.0,0.0,8.9,1013.8(02),1017.4,1006.8,14.9,40.8(15),19.2,22.0,0.0,18.0,1.0,11.0,71.0,2.0,10.4(23),138.0,0.0,0.0,2311.0,29.1,2.0,1.0,8.0,0.0,20.4,0.0,23.8,32.7,0.0,998.7(26),2.0,1.0,24/18.6(25),0.0,129.0
1992-10,5402,54.0(18),10.0,72.0,0.0,0.0,5.5,1016.5(24),1014.9,1004.0,10.3,32.2(02),15.6,3.0,0.0,8.0,4.0,13.0,49.0,13.0,5.0(22),132.0,1.0,0.0,944.0,133.7,14.0,3.0,8.0,0.0,15.2,0.0,16.0,21.7,0.0,987.5(16),8.0,2.0,29/19.2(30),0.0,190.0
1992-11,5402,4.3(15),1.0,74.0,0.0,3.0,7.1,1022.5(25),1025.1,1014.0,5.9,24.2(05),10.2,0.0,0.0,13.0,0.0,16.0,70.0,2.0,1.2(30),115.0,0.0,3.0,544.0,5.2,2.0,0.0,5.0,0.0,15.6,0.0,13.1,20.2,1.0,1003.0(16),1.0,0.0,06/9.2(07),0.0,100.0
1992-12,5402,13.8(15),5.0,77.0,0.0,2.0,4.8,1015.2(06),1020.2,1009.0,4.9,18.6(03),10.6,0.0,0.0,7.0,1.0,19.0,50.0,8.0,-0.4(09),100.0,0.0,1.0,519.0,26.0,10.0,0.0,9.0,1.0,9.2,0.0,10.0,15.2,0.0,997.9(04),3.0,,,,
1992-13,5402,54.0(18/oct),50.0,61.0,0.0,12.0,7.7,1024.4(02/ene),1019.0,1008.1,9.7,43.1(24/ago),26.4,106.0,0.0,152.0,18.0,164.0,62.0,66.0,-6.4(23/ene),121.0,4.0,10.0,17437.0,549.2,78.0,16.0,9.0,27.0,7.4,0.0,17.2,24.6,1.0,987.5(16/oct),44.0,,,,
