fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010
1998-1,5402,9.9(12),11.0,80.0,0.0,3.0,4.2,1022.0(15),1.0,1022.0,1010.8,6.0,18.4(19),13.2,0.0,0.0,2.0,17/19.4(31),0.0,18.0,43.0,0.0,12.0,1.8(18),153.0,103.0,0.0,3.0,333.0,42.1,12.0,0.0,6.0,0.0,9.6,0.0,10.3,14.7,0.0,992.0(31),8.0
1998-2,5402,37.5(03),7.0,72.0,0.0,1.0,5.9,1026.5(23),0.0,1024.6,1013.5,8.0,23.6(16),11.0,0.0,0.0,7.0,24/12.8(02),2.0,14.0,53.0,0.0,7.0,3.0(25),184.0,113.0,1.0,2.0,526.0,76.4,7.0,0.0,8.0,0.0,13.6,0.0,13.3,18.6,0.0,990.6(04),7.0
1998-3,5402,14.3(29),2.0,51.0,0.0,0.0,8.4,1019.7(07),0.0,1023.2,1012.2,7.9,28.5(18),14.2,0.0,0.0,14.0,35/13.9(11),1.0,15.0,71.0,0.0,3.0,1.8(14),171.0,92.0,0.0,0.0,1357.0,26.0,4.0,0.0,8.0,0.0,17.4,0.0,16.0,24.1,0.0,994.3(29),3.0
1998-4,5402,9.4(14),1.0,61.0,0.0,0.0,8.0,1014.1(24),2.0,1016.3,1005.4,9.2,32.2(25),13.8,1.0,0.0,4.0,33/19.4(22),0.0,25.0,61.0,0.0,12.0,2.0(12),300.0,107.0,0.0,0.0,1361.0,38.4,14.0,2.0,13.0,0.0,16.0,0.0,15.3,21.3,0.0,996.1(14),10.0
1998-5,5402,33.9(23),7.0,64.0,0.0,2.0,7.8,1010.7(08),1.0,1015.1,1004.3,13.2,32.0(18),19.0,2.0,0.0,1.0,25/23.3(23),4.0,23.0,55.0,0.0,12.0,6.8(02),204.0,142.0,1.0,1.0,1041.0,111.0,14.0,9.0,10.0,0.0,18.8,0.0,18.9,24.7,0.0,998.6(01),11.0
1998-6,5402,9.1(05),3.0,53.0,0.0,0.0,10.9,1014.0(17),0.0,1017.0,1006.4,16.8,38.6(20),20.6,22.0,0.0,17.0,27/11.4(30),0.0,10.0,74.0,0.0,3.0,13.0(03),232.0,174.0,0.0,0.0,2314.0,11.1,3.0,1.0,9.0,0.0,22.2,0.0,24.6,32.5,0.0,998.8(04),2.0
1998-7,5402,0.2(10),1.0,45.0,0.0,0.0,11.9,1009.9(04),,1014.7,1004.3,19.5,40.6(12),22.4,30.0,0.0,25.0,,0.0,5.0,82.0,,1.0,14.0(03),,177.0,0.0,0.0,2965.0,0.2,2.0,1.0,9.0,0.0,23.2,0.0,28.1,36.7,0.0,999.7(13),0.0
1998-8,5402,0.0(--),0.0,43.0,0.0,0.0,10.6,1012.5(04),0.0,1015.2,1004.8,19.9,41.8(25),23.2,31.0,0.0,13.0,07/10.8(03),0.0,18.0,78.0,0.0,0.0,15.8(04),231.0,166.0,0.0,0.0,2908.0,0.0,0.0,0.0,10.0,0.0,30.6,0.0,28.4,36.9,0.0,998.1(31),0.0
1998-9,5402,23.4(26),4.0,54.0,0.0,0.0,7.1,1009.5(03),1.0,1015.1,1004.5,17.9,37.4(09),22.4,17.0,0.0,7.0,22/18.1(28),2.0,19.0,56.0,0.0,8.0,15.0(11),264.0,162.0,0.0,0.0,2013.0,49.5,9.0,2.0,10.0,0.0,24.2,0.0,24.3,30.7,0.0,999.7(25),4.0
1998-10,5402,2.7(05),1.0,57.0,0.0,1.0,8.9,1018.8(28),1.0,1021.5,1010.6,10.2,30.8(13),16.0,2.0,0.0,12.0,22/18.1(04),0.0,18.0,79.0,0.0,4.0,4.8(21),171.0,119.0,0.0,0.0,1353.0,6.6,4.0,0.0,7.0,0.0,19.8,0.0,17.8,25.4,0.0,998.5(04),3.0
1998-11,5402,19.0(04),7.0,68.0,0.0,2.0,6.6,1018.4(09),0.0,1022.0,1010.9,7.7,25.2(11),15.2,0.0,0.0,11.0,21/10.8(04),1.0,12.0,66.0,0.0,4.0,0.2(23),146.0,112.0,0.0,1.0,619.0,30.3,4.0,0.0,6.0,0.0,14.6,0.0,13.7,19.8,0.0,1000.6(04),4.0
1998-12,5402,9.7(29),3.0,65.0,0.0,1.0,6.9,1024.4(13),1.0,1024.2,1012.9,1.4,21.6(12),8.7,0.0,0.0,19.0,18/22.5(31),0.0,9.0,72.0,0.0,4.0,-3.2(05),178.0,76.0,0.0,1.0,609.0,18.6,6.0,0.0,7.0,15.0,11.2,0.0,8.7,15.9,0.0,986.1(31),3.0
1998-13,5402,37.5(03/feb),47.0,59.0,0.0,10.0,8.1,1026.5(23/feb),,1019.2,1008.4,11.5,41.8(25/ago),23.2,105.0,0.0,132.0,,10.0,186.0,66.0,,70.0,-3.2(05/dic),,129.0,2.0,8.0,17399.0,410.2,79.0,15.0,9.0,15.0,9.6,0.0,18.3,25.1,0.0,986.1(31/dic),55.0
