fecha,indicativo,p_max,n_cub,n_gra,n_fog,inso,q_max,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,p_sol,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo,hr,nw_55,w_racha,nw_91,w_rec
2007-1,5402,3.2(25),3.0,0.0,2.0,6.0,1029.0(01),1026.3,1015.0,2.4,22.9(20),6.7,0.0,0.0,8.0,0.0,20.0,61.0,8.0,-2.6(25),88.0,0.0,1.0,403.0,13.3,8.0,0.0,7.0,3.0,5.9,1.0,9.3,16.2,0.0,996.5(25),5.0,,,,,,
2007-2,5402,16.2(08),13.0,0.0,5.0,3.9,1017.7(27),1020.5,1009.4,8.1,23.7(16),14.6,0.0,0.0,0.0,2.0,15.0,36.0,17.0,2.9(07),120.0,0.0,4.0,526.0,63.3,17.0,0.0,9.0,0.0,13.4,0.0,12.8,17.4,0.0,995.8(08),12.0,23847.0,80.0,2.0,22/18.1(16),0.0,203.0
2007-3,5402,24.9(31),3.0,0.0,0.0,7.9,1021.5(09),1020.4,1009.3,5.8,26.6(03),12.3,0.0,0.0,8.0,1.0,20.0,66.0,5.0,0.3(23),86.0,0.0,0.0,1545.0,30.5,6.0,0.0,9.0,0.0,13.6,0.0,13.3,20.8,0.0,998.5(24),4.0,55621.0,57.0,,,,
2007-4,5402,14.2(25),14.0,1.0,0.0,6.4,1009.9(22),1015.0,1004.1,10.6,30.1(23),13.8,1.0,0.0,3.0,3.0,13.0,48.0,15.0,5.3(06),117.0,0.0,0.0,1244.0,60.3,14.0,5.0,9.0,0.0,12.1,0.0,16.4,22.2,0.0,997.2(01),11.0,54250.0,63.0,1.0,31/16.9(25),0.0,177.0
2007-5,5402,41.4(02),6.0,1.0,2.0,9.2,1016.2(08),1015.5,1004.8,12.8,36.0(18),17.2,8.0,0.0,12.0,3.0,13.0,65.0,9.0,8.4(06),123.0,2.0,0.0,2015.0,116.6,10.0,2.0,10.0,0.0,16.7,0.0,19.9,26.9,0.0,993.8(19),8.0,76085.0,52.0,,,,
2007-6,5402,5.9(15),3.0,0.0,0.0,10.7,1010.6(02),1014.0,1003.5,16.1,38.3(30),19.1,20.0,0.0,13.0,0.0,14.0,72.0,2.0,11.8(01),134.0,0.0,0.0,2902.0,7.6,5.0,0.0,11.0,0.0,23.6,0.0,23.8,31.4,0.0,995.0(06),2.0,79957.0,44.0,,,,
2007-7,5402,0.0(--),0.0,0.0,0.0,12.6,1008.2(10),1014.0,1003.6,19.1,43.6(28),21.3,31.0,0.0,29.0,0.0,2.0,87.0,0.0,15.1(22),118.0,0.0,0.0,4253.0,0.0,0.0,0.0,10.0,0.0,32.4,0.0,28.4,37.5,0.0,998.6(23),0.0,,29.0,,,,
2007-8,5402,0.1(04),2.0,0.0,0.0,10.8,1007.2(14),1011.9,1001.5,18.8,43.2(04),22.7,31.0,0.0,23.0,0.0,6.0,80.0,2.0,14.9(23),129.0,0.0,0.0,3622.0,0.2,2.0,1.0,10.0,0.0,31.8,0.0,27.5,36.1,0.0,993.3(21),0.0,77212.0,35.0,0.0,26/13.9(09),0.0,217.0
2007-9,5402,23.1(20),4.0,0.0,0.0,7.6,1012.0(21),1015.6,1005.1,18.3,38.8(05),21.1,22.0,0.0,9.0,1.0,17.0,61.0,5.0,14.3(27),152.0,0.0,0.0,2177.0,29.5,6.0,5.0,8.0,0.0,24.2,0.0,25.1,31.9,0.0,997.8(27),2.0,53433.0,50.0,1.0,20/16.4(20),0.0,175.0
2007-10,5402,11.1(02),5.0,0.0,0.0,7.8,1012.5(28),1017.3,1006.6,12.7,31.5(09),16.8,5.0,0.0,13.0,1.0,13.0,70.0,4.0,7.5(31),127.0,0.0,0.0,1393.0,25.6,6.0,4.0,7.0,0.0,16.9,0.0,19.6,26.5,0.0,999.0(25),4.0,,57.0,0.0,26/11.4(02),0.0,137.0
2007-11,5402,109.3(20),3.0,0.0,0.0,7.4,1016.5(07),1018.4,1007.4,5.8,27.4(06),14.2,0.0,0.0,16.0,1.0,11.0,72.0,5.0,-0.3(17),84.0,1.0,0.0,943.0,114.8,5.0,1.0,5.0,1.0,16.1,0.0,13.3,20.8,0.0,994.3(20),3.0,,57.0,,,,
2007-12,5402,17.6(25),6.0,0.0,5.0,5.9,1021.5(28),1024.4,1013.1,4.4,20.5(04),10.2,0.0,0.0,13.0,1.0,12.0,61.0,7.0,-0.2(16),91.0,0.0,4.0,514.0,26.6,6.0,0.0,5.0,1.0,13.8,0.0,10.5,16.5,0.0,1001.2(21),4.0,,72.0,0.0,10/9.2(04),0.0,113.0
2007-13,5402,109.3(20/nov),62.0,2.0,14.0,8.0,1029.0(01/ene),1017.8,1007.0,11.2,43.6(28/jul),22.7,118.0,0.0,147.0,13.0,156.0,65.0,79.0,-2.6(25/ene),114.0,3.0,9.0,21537.0,488.3,85.0,18.0,8.0,5.0,5.9,1.0,18.3,25.4,0.0,993.3(21/ago),55.0,,,,,,
