fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo
2008-1,5402,38.9(02),9.0,76.0,0.0,3.0,5.5,1024.7(27),1.0,1025.0,1013.8,5.1,21.8(23),10.2,0.0,0.0,11.0,22/20.0(03),2.0,11.0,55.0,0.0,9.0,1.2(12),109.0,101.0,1.0,3.0,470.0,70.0,11.0,0.0,5.0,0.0,11.6,0.0,11.1,16.9,0.0,989.3(03),6.0,
2008-2,5402,22.3(19),8.0,67.0,0.0,3.0,6.2,1021.0(06),0.0,1022.8,1011.7,7.4,24.0(27),12.2,0.0,0.0,6.0,22/10.8(03),2.0,15.0,58.0,0.0,8.0,1.5(10),135.0,104.0,0.0,2.0,701.0,52.0,9.0,1.0,6.0,0.0,14.5,0.0,13.6,19.7,0.0,1003.6(03),6.0,
2008-3,5402,5.1(19),6.0,56.0,0.0,0.0,8.0,1017.7(05),1.0,1017.4,1006.4,6.3,28.0(13),10.7,0.0,0.0,10.0,26/16.1(22),0.0,15.0,67.0,0.0,3.0,0.2(07),184.0,93.0,0.0,0.0,1514.0,6.5,3.0,1.0,8.0,0.0,15.5,0.0,14.1,21.9,0.0,988.4(22),2.0,57924.0
2008-4,5402,60.7(08),8.0,57.0,1.0,0.0,8.4,1016.1(01),7.0,1013.9,1003.1,9.5,32.2(25),14.4,6.0,0.0,9.0,22/22.2(10),4.0,13.0,63.0,0.0,10.0,4.1(12),268.0,109.0,3.0,1.0,1545.0,179.5,9.0,1.0,12.0,0.0,15.1,0.0,17.0,24.3,0.0,986.9(10),10.0,61895.0
2008-5,5402,23.4(08),13.0,58.0,0.0,0.0,7.5,1009.1(04),1.0,1012.2,1001.5,13.0,32.6(06),16.5,5.0,0.0,1.0,29/19.7(25),2.0,17.0,52.0,0.0,15.0,7.6(01),216.0,130.0,0.0,0.0,1457.0,56.9,16.0,3.0,11.0,0.0,19.3,0.0,19.1,25.2,0.0,994.9(25),10.0,66238.0
2008-6,5402,0.2(08),0.0,35.0,0.0,0.0,12.1,1008.6(20),1.0,1014.2,1003.7,16.3,41.1(27),22.3,24.0,0.0,17.0,99/16.1(08),0.0,13.0,82.0,0.0,1.0,11.6(03),188.0,118.0,0.0,0.0,2725.0,0.2,1.0,0.0,9.0,0.0,26.2,0.0,25.2,34.0,0.0,996.4(16),0.0,88713.0
2008-7,5402,1.0(16),1.0,30.0,0.0,0.0,12.2,1012.5(15),0.0,1013.9,1003.6,18.7,40.9(19),22.5,31.0,0.0,18.0,99/12.5(06),0.0,12.0,85.0,0.0,1.0,13.9(13),209.0,118.0,0.0,0.0,3432.0,1.0,1.0,0.0,10.0,0.0,32.3,0.0,27.6,36.5,0.0,998.3(18),1.0,89286.0
2008-8,5402,0.0(--),0.0,30.0,0.0,0.0,11.6,1008.6(15),0.0,1013.0,1002.6,19.3,41.7(04),22.8,31.0,0.0,21.0,22/12.5(29),0.0,10.0,86.0,0.0,0.0,14.6(16),205.0,116.0,0.0,0.0,3260.0,0.0,0.0,0.0,10.0,0.0,30.6,0.0,28.1,36.8,0.0,995.6(11),0.0,80446.0
2008-9,5402,20.4(21),6.0,51.0,0.0,0.0,7.5,1009.8(19),0.0,1014.6,1004.0,17.0,35.4(01),21.1,15.0,0.0,4.0,99/14.4(25),3.0,20.0,60.0,0.0,7.0,13.9(03),201.0,144.0,0.0,0.0,1720.0,60.2,9.0,3.0,10.0,0.0,20.4,0.0,23.5,30.0,0.0,997.2(08),7.0,52827.0
2008-10,5402,11.2(30),9.0,61.0,0.0,0.0,6.2,1013.9(25),2.0,1016.7,1005.9,13.0,29.0(20),19.0,0.0,0.0,8.0,06/16.4(10),1.0,14.0,55.0,0.0,13.0,3.3(30),196.0,133.0,0.0,0.0,1090.0,35.9,15.0,1.0,9.0,0.0,15.1,0.0,18.9,24.8,0.0,984.5(31),6.0,40564.0
2008-11,5402,14.1(28),3.0,68.0,0.0,2.0,6.5,1019.4(09),0.0,1018.5,1007.4,5.1,22.7(10),9.3,0.0,0.0,11.0,22/15.0(28),2.0,16.0,64.0,0.0,7.0,-1.8(28),150.0,92.0,0.0,1.0,615.0,38.8,7.0,1.0,6.0,1.0,11.6,0.0,11.5,17.9,0.0,989.9(01),5.0,32033.0
2008-12,5402,17.3(13),10.0,79.0,0.0,5.0,3.3,1021.1(21),0.0,1019.5,1008.3,3.7,19.9(22),11.9,0.0,0.0,9.0,29/12.5(14),1.0,12.0,34.0,0.0,13.0,-0.9(18),127.0,90.0,0.0,3.0,370.0,45.6,13.0,0.0,5.0,5.0,7.1,0.0,8.8,13.9,0.0,991.2(14),7.0,21896.0
2008-13,5402,60.7(08/abr),73.0,56.0,1.0,13.0,7.9,1024.7(27/ene),13.0,1016.8,1006.0,11.2,41.7(04/ago),22.8,112.0,0.0,125.0,22/22.2(10/abr),17.0,168.0,63.0,0.0,87.0,-1.8(28/nov),182.0,112.0,4.0,10.0,18899.0,546.6,94.0,11.0,8.0,6.0,7.1,0.0,18.2,25.2,0.0,984.5(31/oct),60.0,
