fecha,indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010
2013-1,5402,12.4(18),8.0,28231.0,80.0,0.0,7.0,5.2,1027.7(04),1.0,1023.5,1012.3,4.8,21.7(31),13.2,0.0,0.0,4.0,23/22.8(19),2.0,19.0,53.0,0.0,11.0,0.1(06),203.0,99.0,0.0,4.0,469.0,48.3,12.0,0.0,9.0,0.0,11.6,0.0,9.9,15.0,0.0,977.8(19),9.0
2013-2,5402,44.8(21),5.0,37692.0,70.0,0.0,0.0,7.3,1021.3(04),2.0,1019.5,1008.3,4.0,22.0(15),10.7,0.0,0.0,11.0,23/18.1(22),2.0,12.0,68.0,0.0,9.0,-0.8(10),183.0,88.0,1.0,0.0,681.0,94.0,9.0,0.0,8.0,2.0,8.2,1.0,9.9,15.8,0.0,992.7(23),8.0
2013-3,5402,38.8(19),19.0,39524.0,79.0,0.0,0.0,4.3,1010.1(20),7.0,1010.1,999.2,8.9,22.6(21),14.0,0.0,0.0,2.0,99/18.6(07),10.0,10.0,36.0,0.0,21.0,0.6(14),286.0,122.0,3.0,0.0,742.0,273.1,22.0,2.0,12.0,0.0,11.7,0.0,13.2,17.4,0.0,983.5(04),18.0
2013-4,5402,22.9(03),6.0,62806.0,63.0,0.0,0.0,8.2,1011.5(15),0.0,1014.8,1003.9,10.4,33.1(17),15.9,4.0,0.0,5.0,28/14.4(05),1.0,19.0,62.0,0.0,9.0,5.0(06),178.0,126.0,0.0,0.0,1313.0,37.0,10.0,2.0,8.0,0.0,13.5,0.0,16.9,23.3,0.0,991.4(03),6.0
2013-5,5402,5.7(17),2.0,76089.0,50.0,0.0,0.0,9.9,1010.9(06),2.0,1015.1,1004.3,11.2,32.3(12),15.9,10.0,0.0,7.0,27/18.6(18),0.0,22.0,70.0,0.0,7.0,6.3(01),206.0,116.0,0.0,0.0,2047.0,14.2,9.0,2.0,10.0,0.0,19.4,0.0,19.1,27.0,0.0,992.2(17),4.0
2013-6,5402,0.9(18),3.0,79948.0,37.0,0.0,0.0,11.4,1011.1(11),0.0,1015.9,1005.4,15.0,38.6(30),18.8,22.0,0.0,20.0,99/14.4(07),0.0,7.0,77.0,0.0,2.0,10.0(08),182.0,119.0,0.0,0.0,2738.0,1.2,2.0,0.0,9.0,0.0,22.0,0.0,24.0,33.0,0.0,997.9(04),0.0
2013-7,5402,0.0(--),0.0,86599.0,35.0,0.0,0.0,12.1,1012.4(29),0.0,1014.9,1004.6,18.8,41.6(04),21.1,30.0,0.0,21.0,26/11.4(27),0.0,10.0,83.0,0.0,0.0,15.0(29),201.0,138.0,0.0,0.0,3372.0,0.0,2.0,0.0,10.0,0.0,29.3,0.0,28.0,37.2,0.0,997.3(10),0.0
2013-8,5402,18.9(28),1.0,,34.0,0.0,0.0,11.3,1010.5(09),0.0,1014.0,1003.6,19.2,42.4(19),21.8,30.0,0.0,22.0,26/12.5(29),1.0,8.0,83.0,0.0,1.0,15.8(04),180.0,132.0,0.0,0.0,3522.0,18.9,2.0,1.0,8.0,0.0,28.5,0.0,28.5,37.7,0.0,996.6(25),1.0
2013-9,5402,8.0(29),4.0,54998.0,50.0,0.0,0.0,8.4,1012.0(09),0.0,1015.6,1005.1,17.8,36.0(03),20.9,24.0,0.0,11.0,23/14.4(28),0.0,15.0,67.0,0.0,4.0,14.8(23),186.0,155.0,0.0,0.0,1988.0,20.9,4.0,0.0,8.0,0.0,25.0,0.0,25.1,32.5,0.0,999.0(28),4.0
2013-10,5402,19.0(22),5.0,40996.0,61.0,0.0,1.0,7.1,1014.5(31),1.0,1017.3,1006.5,13.5,31.4(16),19.9,10.0,0.0,9.0,23/15.3(24),1.0,17.0,63.0,0.0,5.0,6.1(31),121.0,146.0,0.0,0.0,1227.0,22.8,8.0,1.0,6.0,0.0,21.5,0.0,20.5,27.4,0.0,996.6(02),2.0
2013-11,5402,6.7(17),3.0,31692.0,63.0,0.0,1.0,7.2,1019.0(10),0.0,1020.2,1009.0,4.4,26.5(02),12.2,0.0,0.0,11.0,02/12.8(15),0.0,16.0,71.0,0.0,2.0,-2.0(30),155.0,87.0,0.0,0.0,886.0,8.4,3.0,0.0,7.0,5.0,9.9,0.0,11.8,19.2,0.0,999.3(18),2.0
2013-12,5402,34.3(24),8.0,25380.0,69.0,0.0,0.0,6.6,1023.0(22),2.0,1025.5,1014.2,2.4,20.5(14),10.3,0.0,0.0,17.0,21/25.3(24),3.0,6.0,68.0,1.0,8.0,-2.7(08),159.0,80.0,1.0,0.0,587.0,74.0,8.0,0.0,7.0,6.0,12.5,0.0,9.5,16.5,0.0,992.8(25),4.0
2013-13,5402,44.8(21/feb),64.0,,58.0,0.0,9.0,8.3,1027.7(04/ene),15.0,1017.2,1006.4,10.9,42.4(19/ago),21.8,130.0,0.0,140.0,21/25.3(24/dic),20.0,161.0,67.0,1.0,79.0,-2.7(08/dic),187.0,117.0,5.0,4.0,19572.0,612.8,91.0,8.0,9.0,13.0,8.2,1.0,18.0,25.2,0.0,977.8(19/ene),58.0
