fecha,indicativo,p_max,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,w_racha,np_100,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,n_cub,n_des,n_nub
2017-1,5402,10.1(26),30998.0,70.0,0.0,1.0,7.2,1021.0(15),0.0,1023.0,1011.7,1.3,21.2(31),6.2,0.0,0.0,99/12.8(18),1.0,73.0,0.0,2.0,-2.9(18),128.0,79.0,0.0,0.0,656.0,14.1,2.0,0.0,6.0,10.0,9.8,0.0,8.7,16.0,0.0,998.2(26),2.0,,,
2017-2,5402,12.5(18),22993.0,73.0,0.0,1.0,4.2,1021.6(06),1.0,1019.6,1008.5,6.9,23.2(22),12.7,0.0,0.0,29/15.6(05),2.0,39.0,0.0,10.0,1.1(09),192.0,108.0,0.0,0.0,715.0,47.4,11.0,0.0,9.0,0.0,12.0,0.0,12.4,17.9,0.0,986.4(12),8.0,,,
2017-3,5402,22.0(04),48570.0,62.0,0.0,3.0,6.9,1018.0(07),,1020.1,1009.1,7.3,29.6(10),11.6,0.0,0.0,,1.0,58.0,,10.0,1.9(24),,105.0,0.0,3.0,1323.0,49.4,10.0,0.0,8.0,0.0,14.3,0.0,14.8,22.2,0.0,999.5(26),8.0,,,
2017-4,5402,33.1(27),64432.0,51.0,0.0,0.0,8.2,1014.0(01),0.0,1016.7,1005.9,10.1,34.0(18),14.2,6.0,0.0,05/11.7(06),3.0,63.0,0.0,5.0,5.1(02),177.0,111.0,1.0,0.0,1902.0,63.5,5.0,0.0,8.0,0.0,15.0,0.0,18.5,26.9,0.0,997.5(26),4.0,,,
2017-5,5402,20.1(10),77925.0,51.0,0.0,0.0,9.5,1015.0(15),,1015.0,1004.3,13.6,36.3(24),17.8,15.0,0.0,,2.0,67.0,,5.0,6.9(01),,137.0,0.0,0.0,2428.0,39.4,5.0,0.0,,0.0,21.2,0.0,21.6,29.7,0.0,992.3(11),4.0,,,
2017-6,5402,4.1(16),86606.0,32.0,0.0,0.0,12.1,1011.5(23),4.0,1013.8,1003.4,19.1,44.5(16),24.5,30.0,0.0,34/18.6(25),0.0,82.0,0.0,1.0,13.9(06),223.0,133.0,0.0,0.0,4110.0,4.1,1.0,1.0,10.0,0.0,30.0,0.0,28.4,37.7,0.0,997.2(25),1.0,,,
2017-7,5402,3.2(05),84952.0,32.0,0.0,0.0,11.6,1011.0(02),0.0,1013.6,1003.3,19.2,46.9(13),22.7,30.0,0.0,24/12.8(05),0.0,80.0,0.0,2.0,15.2(02),213.0,130.0,0.0,0.0,4472.0,6.2,3.0,0.0,10.0,0.0,25.3,0.0,28.9,38.6,0.0,997.2(30),2.0,,,
2017-8,5402,3.5(28),73907.0,32.0,0.0,0.0,10.9,1008.9(11),0.0,1014.0,1003.7,19.9,44.7(04),23.5,28.0,0.0,26/12.5(08),0.0,80.0,0.0,2.0,16.2(29),151.0,129.0,0.0,0.0,3772.0,4.4,3.0,1.0,7.0,0.0,24.1,0.0,29.4,38.8,0.0,999.1(05),1.0,,,
2017-9,5402,0.0(--),61649.0,36.0,0.0,0.0,9.2,1011.9(28),0.0,1016.3,1005.8,15.9,39.5(06),20.5,28.0,0.0,99/11.7(09),0.0,74.0,0.0,0.0,11.0(16),139.0,118.0,0.0,0.0,3051.0,0.0,0.0,0.0,6.0,0.0,28.3,0.0,25.2,34.5,0.0,997.2(09),0.0,1.0,17.0,12.0
2017-10,5402,18.0(17),45660.0,47.0,0.0,0.0,8.6,1016.6(27),0.0,1020.1,1009.4,14.0,35.7(14),17.4,20.0,0.0,18/10.3(04),2.0,77.0,0.0,2.0,8.6(30),116.0,119.0,0.0,0.0,1992.0,30.9,2.0,1.0,5.0,0.0,20.9,0.0,22.7,31.4,0.0,1000.5(19),2.0,1.0,19.0,9.0
2017-11,5402,30.8(03),31635.0,62.0,0.0,1.0,7.5,1018.9(10),0.0,1020.2,1009.1,6.0,27.4(01),13.5,0.0,0.0,24/12.8(04),2.0,73.0,0.0,4.0,2.0(10),127.0,94.0,1.0,1.0,1002.0,51.3,4.0,0.0,6.0,0.0,15.5,0.0,13.7,21.3,0.0,994.4(29),3.0,,,
2017-12,5402,13.3(10),25347.0,77.0,0.0,2.0,5.8,1028.1(22),,1026.7,1015.3,3.3,20.5(30),13.1,0.0,0.0,,1.0,60.0,,7.0,-1.6(03),,91.0,0.0,0.0,727.0,31.2,8.0,0.0,6.0,6.0,11.8,0.0,9.4,15.5,1.0,984.6(11),5.0,,,
2017-13,5402,33.1(27/abr),654674.0,52.0,0.0,8.0,8.5,1028.1(22/dic),,1018.3,1007.5,11.4,46.9(13/jul),24.5,157.0,0.0,,14.0,69.0,,50.0,-2.9(18/ene),,113.0,2.0,4.0,26150.0,341.9,54.0,3.0,,16.0,9.8,0.0,19.5,27.5,1.0,984.6(11/dic),40.0,,,
