trip_minutes,unlock_date,unlock_station_name,lock_station_name
13.35,2022-04-01T00:00:02,194 - Avenida de América 2,197 - Parque Berlín
6.53,2022-04-01T00:00:05,245 - Galileo,129 - José Abascal
9.67,2022-04-01T00:00:29,14 - Ventura Rodríguez,245 - Galileo
11.4,2022-04-01T00:02:00,196 - Prosperidad,3 - Plaza Conde Suchil
17.08,2022-04-01T00:02:03,95 - Villanueva,185 - Quinta Fuente del Berro
0.57,2022-04-01T00:02:08,71 - Doce de Octubre,71 - Doce de Octubre
9.7,2022-04-01T00:02:14,58 - Augusto Figueroa,38 - Plaza de los Carros
31.15,2022-04-01T00:02:21,223 - Ermita Santo,220 - Plaza del Encuentro
12.5,2022-04-01T00:02:27,151 - Orense 12,16 - San Bernardo
11.92,2022-04-01T00:02:29,181 - Retiro-Ibiza,17 - Carlos Cambronero
16.85,2022-04-01T00:02:42,196 - Prosperidad,27 - Huertas
0.32,2022-04-01T00:02:48,24 - Palacio de Oriente,24 - Palacio de Oriente
8.37,2022-04-01T00:03:15,71 - Doce de Octubre,80a - Atocha A
15.57,2022-04-01T00:03:22,130 - Santa Engracia 127,49 - Casa Encendida
10.35,2022-04-01T00:03:29,202 - Parque Santander,17 - Carlos Cambronero
4.12,2022-04-01T00:03:47,55 - Plaza de San Ildefonso,124 - Manuel Silvela
9.52,2022-04-01T00:03:48,9 - Plaza de San Miguel,117 - Altamirano
12.18,2022-04-01T00:03:54,53 - Plaza de Lavapiés,236 - Paseo Imperial
5.3,2022-04-01T00:03:56,194 - Avenida de América 2,197 - Parque Berlín
6.52,2022-04-01T00:03:58,24 - Palacio de Oriente,170 - Paseo de la Esperanza
8.77,2022-04-01T00:04:08,241 - Camilo José Cela,61 - Narváez
12.95,2022-04-01T00:04:14,204 - Cuatro Caminos 2,67 - Almadén
1444.8,2022-04-01T00:04:33,192 - Avenida de los Toreros,192 - Avenida de los Toreros
19.57,2022-04-01T00:04:57,197 - Parque Berlín,59 - Plaza de Juan Pujol
6.72,2022-04-01T00:05:07,157 - Castellana 164,160 - Colombia
0.25,2022-04-01T00:05:13,192 - Avenida de los Toreros,192 - Avenida de los Toreros
9.45,2022-04-01T00:05:41,192 - Avenida de los Toreros,75 - Menéndez Pelayo
5.75,2022-04-01T00:06:03,236 - Paseo Imperial,170 - Paseo de la Esperanza
22.87,2022-04-01T00:06:47,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,160 - Colombia
5.32,2022-04-01T00:06:57,129 - José Abascal,204 - Cuatro Caminos 2
9.03,2022-04-01T00:07:09,53 - Plaza de Lavapiés,118 - Juan Martín
21.78,2022-04-01T00:07:14,43 - Jesús y María,196 - Prosperidad
21.45,2022-04-01T00:07:33,43 - Jesús y María,196 - Prosperidad
14.9,2022-04-01T00:07:50,50 - Museo Reina Sofía,180 - Méndez Álvaro
12.9,2022-04-01T00:07:57,24 - Palacio de Oriente,118 - Juan Martín
10.83,2022-04-01T00:08:02,255 - López Pozas,241 - Camilo José Cela
0.37,2022-04-01T00:08:32,40 - Conde de Romanones,40 - Conde de Romanones
0.37,2022-04-01T00:08:35,129 - José Abascal,129 - José Abascal
15.4,2022-04-01T00:09:01,26 - Plaza de las Salesas,227 - Concordia
9.03,2022-04-01T00:09:02,80a - Atocha A,37 - Plaza de San Francisco
0.58,2022-04-01T00:09:04,153 - General Perón con Poeta Joan Maragall,153 - General Perón con Poeta Joan Maragall
5.18,2022-04-01T00:09:05,167 - Segovia 45,45 - Puerta de Toledo
5.97,2022-04-01T00:09:06,87 - Ayala,26 - Plaza de las Salesas
0.18,2022-04-01T00:09:07,129 - José Abascal,129 - José Abascal
18.2,2022-04-01T00:09:16,161 - Paseo de la Florida,222 - Antonio López
6.02,2022-04-01T00:09:19,167 - Segovia 45,45 - Puerta de Toledo
24.68,2022-04-01T00:09:29,4 - Malasaña,228 - San Delfín
20.42,2022-04-01T00:09:33,40 - Conde de Romanones,148 - Serrano 210
8.13,2022-04-01T00:09:35,129 - José Abascal,243 - Cartagena
24.17,2022-04-01T00:09:54,4 - Malasaña,228 - San Delfín
0.33,2022-04-01T00:10:01,153 - General Perón con Poeta Joan Maragall,153 - General Perón con Poeta Joan Maragall
0.33,2022-04-01T00:10:02,35 - Plaza del Cordón,35 - Plaza del Cordón
26.18,2022-04-01T00:10:22,116b - Plaza de España B,116b - Plaza de España B
0.22,2022-04-01T00:10:24,106a - Colón A,106a - Colón A
16.57,2022-04-01T00:10:30,35 - Plaza del Cordón,82 - Niño Jesús
0.18,2022-04-01T00:10:31,245 - Galileo,245 - Galileo
18.97,2022-04-01T00:10:34,139 - José Gutiérrez Abascal,132 - Glorieta de los Cuatro Caminos
44.98,2022-04-01T00:10:53,153 - General Perón con Poeta Joan Maragall,153 - General Perón con Poeta Joan Maragall
6.92,2022-04-01T00:11:12,251 - Corazón de María,188 - Puente de Ventas
0.22,2022-04-01T00:11:15,245 - Galileo,245 - Galileo
20.85,2022-04-01T00:11:42,146 - María Francisca 1,207 - Remonta
28.67,2022-04-01T00:11:57,61 - Narváez,209 - Plaza de Castilla 2
0.22,2022-04-01T00:12:05,245 - Galileo,245 - Galileo
13.28,2022-04-01T00:12:11,126 - General Álvarez de Castro,32 - Plaza de la Provincia
0.58,2022-04-01T00:12:40,106b - Colón B,106b - Colón B
10.4,2022-04-01T00:12:44,33 - Carretas,77 - Conde de Casal
38.88,2022-04-01T00:12:48,216 - Puerta del Ángel,27 - Huertas
11.47,2022-04-01T00:13:15,76 - Puerta de Mariano de Cavia,233 - Marqués de Corbera 12
10.53,2022-04-01T00:13:16,245 - Galileo,211 - Desengaño
12.58,2022-04-01T00:13:19,51 - Ronda de Atocha,213 - Glorieta de Cádiz
7.32,2022-04-01T00:13:42,50 - Museo Reina Sofía,176 - Beata
