source,target
Jesús y María,Plaza de Juan Pujol
Carlos Cambronero,Paseo de la Florida
Puerta de Madrid,Plaza de la Independencia
Puerta de Madrid,Plaza de la Independencia
Juan Bravo 50,Antonio Maura
Segovia 45,Plaza de San Miguel
Segovia 45,Plaza de San Miguel
Santa Engracia 87,Fernando el Católico
Madrid Río-Yeserías,Segovia 45
Marqués de Zafra,Parque Roma
Plaza de los Carros,Fernando el Católico
Sainz de Baranda,Valderribas
Palos de la Frontera,Manuel Silvela
Ermita Santo,Antonio López
Ermita Santo,Antonio López
Puerta de Granada,Santa María de la Cabeza
Paseo de la Esperanza,Embajadores 1
Alonso Martínez,Mártires Concepcionistas
José María Pereda,Mártires Concepcionistas
Ronda de Atocha,Plaza de Lavapiés
Valderribas,Menéndez Pelayo
Plaza de Pedro Zerolo,Quintana
Colombia,Corazón de María
San Bernardo,San Hermenegildo
Plaza de la Independencia,Plaza de Pedro Zerolo
Puerta de Granada,Legazpi
Plaza de las Salesas,José Abascal
Embajadores-Cáceres,Cibeles
Puerta del Ángel,Plaza de Lavapiés
San Hermenegildo,Plaza de Santa Ana
Glorieta de Cádiz,Plaza de Lavapiés
Plaza de Lavapiés,Augusto Figueroa
San Vicente Ferrer,Manuel Silvela
Manuel Silvela,Quevedo
Pablo Iglesias,Barceló
Plaza de Felipe II,Sainz de Baranda
Antonio López,Marqués de Vadillo
Pirámides,Entrada Matadero
Antón Martín,Beata
Caramuel,Paseo de la Florida
Conde Peñalver,Manuel Silvela
San Bernardo,Fernando el Católico
Embajadores-Cáceres,Jacinto Benavente
Velázquez-Diego de León,Mártires Concepcionistas
Jacinto Benavente,Segovia 45
Jaime el Conquistador,Plaza de Lavapiés
Zurbano,Prosperidad
Antonio López,Marqués de Vadillo
Plaza de la Cebada,Santa María de la Cabeza
Ferraz,Desengaño
Batalla del Salado,Bravo Murillo 44
Pedro Bosch,Méndez Álvaro
Jesús y María,San Hermenegildo
Avenida Donostiarra,Juan Bravo 50
Plaza de San Miguel,Santa Isabel
Plaza de Pedro Zerolo,Plaza de Lavapiés
Puerta del Doce de Octubre,Huertas
Jacinto Benavente,Puerta de Toledo
Plaza de la Cebada,Legazpi
Paseo de la Esperanza,Marqués de Vadillo
Plaza de la Cebada,Legazpi
Plaza de San Francisco,Calle Mayor
Colombia,Prosperidad
Carlos Cambronero,Plaza de Pedro Zerolo
Caramuel,Paseo de la Florida
Caramuel,Plaza de Pedro Zerolo
Menéndez Pelayo,Retiro-Ibiza
Santa María de la Cabeza,Embajadores 191
Fernando el Católico,Fuencarral
Antón Martín,San Bernardo
Antón Martín,San Bernardo
Glorieta de Cádiz,Plaza de los Carros
Altamirano,Fuencarral
Plaza de San Francisco,Manuel Silvela
Plaza de Pedro Zerolo,Santa Engracia 127
Mártires Concepcionistas,Alonso Martínez
Fernando el Católico,Santa Engracia 87
Embajadores 2,San Delfín
Embajadores 2,San Delfín
Paseo de la Florida,Antón Martín
Entrada Matadero,Segovia 45
Paseo de la Esperanza,Ronda de Atocha
Pirámides,Segovia 45
Sainz de Baranda,Valderribas
Plaza de los Carros,Quevedo
Desengaño,Plaza de los Astros
Jacometrezo,Metro Pirámides
Ortega y Gasset 87,Augusto Figueroa
Plaza de la Cebada,Ermita Santo
Plaza de la Cebada,Ermita Santo
Pedro Bosch,Jacinto Benavente
Fernando el Católico,Plaza de los Carros
Orense 12,San Germán 57
Puerta de Toledo,Embajadores 1
