Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Almería, Andalucía/Cádiz, Andalucía/Córdoba, Andalucía/Granada, Andalucía/Huelva, Andalucía/Jaén, Andalucía/Málaga, Andalucía/Sevilla, Aragón/Huesca, Aragón/Teruel, Aragón/Zaragoza, Asturias (Principado de)/Asturias, Balears (Illes)/Balears (Illes), Canarias/Palmas (Las), Canarias/Santa Cruz de Tenerife, Cantabria/Cantabria, Castilla y León/Ávila, Castilla y León/Burgos, Castilla y León/León, Castilla y León/Palencia, Castilla y León/Salamanca, Castilla y León/Segovia, Castilla y León/Soria, Castilla y León/Valladolid, Castilla y León/Zamora, Castilla-La Mancha/Albacete, Castilla-La Mancha/Ciudad Real, Castilla-La Mancha/Cuenca, Castilla-La Mancha/Guadalajara, Castilla-La Mancha/Toledo, Cataluña/Barcelona, Cataluña/Girona, Cataluña/Lleida, Cataluña/Tarragona, Ceuta/Ceuta, Comunitat Valenciana/Alicante/Alacant, Comunitat Valenciana/Castellón/Castelló, Comunitat Valenciana/Valencia/València, Desconocida/Desconocido, Extranjero/Extranjero, Extremadura/Badajoz, Extremadura/Cáceres, Galicia/Coruña (A), Galicia/Lugo, Galicia/Ourense, Galicia/Pontevedra, Madrid (Comunidad de)/Madrid, Melilla/Melilla, Murcia (Región de)/Murcia, Navarra (Comunidad Foral de)/Navarra, País Vasco/Araba/Álava, País Vasco/Gipuzkoa, País Vasco/Bizkaia, Rioja (La)/Rioja (La)
Tipo de Vehículo: CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, FURGONETAS, MOTOCICLETAS, TURISMOS
Carburante: 

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;33470385
TOTAL;CAMIONES HASTA 3500kg;TOTAL;2193515
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;346961
TOTAL;FURGONETAS;TOTAL;2501893
TOTAL;MOTOCICLETAS;TOTAL;3701513
TOTAL;TURISMOS;TOTAL;24726503
Andalucía/Almería;CAMIONES HASTA 3500kg;TOTAL;48083
Andalucía/Almería;CAMIONES HASTA 3500kg;Diesel;47439
Andalucía/Almería;CAMIONES HASTA 3500kg;Eléctrico;9
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;6
Andalucía/Almería;CAMIONES HASTA 3500kg;Gasolina;629
Andalucía/Almería;CAMIONES MÁS DE 3500kg;TOTAL;8893
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Diesel;8820
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;4
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;1
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gasolina;68
Andalucía/Almería;FURGONETAS;TOTAL;41244
Andalucía/Almería;FURGONETAS;Diesel;35517
Andalucía/Almería;FURGONETAS;Eléctrico;28
Andalucía/Almería;FURGONETAS;Gas Licuado de Petroleo;34
Andalucía/Almería;FURGONETAS;Gasolina;5662
Andalucía/Almería;FURGONETAS;Otros;1
Andalucía/Almería;FURGONETAS;Sin especificar;2
Andalucía/Almería;MOTOCICLETAS;TOTAL;47557
Andalucía/Almería;MOTOCICLETAS;Diesel;94
Andalucía/Almería;MOTOCICLETAS;Eléctrico;71
Andalucía/Almería;MOTOCICLETAS;Gas Licuado de Petroleo;1
Andalucía/Almería;MOTOCICLETAS;Gasolina;47387
Andalucía/Almería;MOTOCICLETAS;Sin especificar;4
Andalucía/Almería;TURISMOS;TOTAL;379826
Andalucía/Almería;TURISMOS;Butano;2
Andalucía/Almería;TURISMOS;Diesel;256667
Andalucía/Almería;TURISMOS;Eléctrico;206
Andalucía/Almería;TURISMOS;Etanol;1
Andalucía/Almería;TURISMOS;Gas Licuado de Petroleo;407
Andalucía/Almería;TURISMOS;Gas Natural Comprimido;2
Andalucía/Almería;TURISMOS;Gas Natural Licuado;1
Andalucía/Almería;TURISMOS;Gasolina;122523
Andalucía/Almería;TURISMOS;Otros;14
Andalucía/Almería;TURISMOS;Sin especificar;3
Andalucía/Cádiz;CAMIONES HASTA 3500kg;TOTAL;48442
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Diesel;47451
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Eléctrico;15
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;10
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gasolina;963
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Sin especificar;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;TOTAL;5645
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Diesel;5605
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Eléctrico;1
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gasolina;36
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Otros;1
Andalucía/Cádiz;FURGONETAS;TOTAL;38901
Andalucía/Cádiz;FURGONETAS;Biodiesel;1
Andalucía/Cádiz;FURGONETAS;Diesel;32776
Andalucía/Cádiz;FURGONETAS;Eléctrico;32
Andalucía/Cádiz;FURGONETAS;Gas Licuado de Petroleo;33
Andalucía/Cádiz;FURGONETAS;Gas Natural Comprimido;3
Andalucía/Cádiz;FURGONETAS;Gasolina;6055
Andalucía/Cádiz;FURGONETAS;Otros;1
Andalucía/Cádiz;MOTOCICLETAS;TOTAL;111636
Andalucía/Cádiz;MOTOCICLETAS;Diesel;106
Andalucía/Cádiz;MOTOCICLETAS;Eléctrico;2284
Andalucía/Cádiz;MOTOCICLETAS;Gas Licuado de Petroleo;7
Andalucía/Cádiz;MOTOCICLETAS;Gasolina;109229
Andalucía/Cádiz;MOTOCICLETAS;Otros;2
Andalucía/Cádiz;MOTOCICLETAS;Sin especificar;8
Andalucía/Cádiz;TURISMOS;TOTAL;589794
Andalucía/Cádiz;TURISMOS;Biodiesel;2
Andalucía/Cádiz;TURISMOS;Biometano;1
Andalucía/Cádiz;TURISMOS;Butano;2
Andalucía/Cádiz;TURISMOS;Diesel;354542
Andalucía/Cádiz;TURISMOS;Eléctrico;274
Andalucía/Cádiz;TURISMOS;Etanol;1
Andalucía/Cádiz;TURISMOS;Gas Licuado de Petroleo;483
Andalucía/Cádiz;TURISMOS;Gas Natural Comprimido;51
Andalucía/Cádiz;TURISMOS;Gasolina;234423
Andalucía/Cádiz;TURISMOS;Hidrógeno;3
Andalucía/Cádiz;TURISMOS;Otros;7
Andalucía/Cádiz;TURISMOS;Sin especificar;5
Andalucía/Córdoba;CAMIONES HASTA 3500kg;TOTAL;34724
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Diesel;34162
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Eléctrico;37
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;9
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gasolina;516
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;TOTAL;6486
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Diesel;6428
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;4
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Gasolina;54
Andalucía/Córdoba;FURGONETAS;TOTAL;51209
Andalucía/Córdoba;FURGONETAS;Diesel;45009
Andalucía/Córdoba;FURGONETAS;Eléctrico;23
Andalucía/Córdoba;FURGONETAS;Gas Licuado de Petroleo;31
Andalucía/Córdoba;FURGONETAS;Gasolina;6145
Andalucía/Córdoba;FURGONETAS;Otros;1
Andalucía/Córdoba;MOTOCICLETAS;TOTAL;57171
Andalucía/Córdoba;MOTOCICLETAS;Diesel;79
Andalucía/Córdoba;MOTOCICLETAS;Eléctrico;50
Andalucía/Córdoba;MOTOCICLETAS;Gas Licuado de Petroleo;3
Andalucía/Córdoba;MOTOCICLETAS;Gasolina;57035
Andalucía/Córdoba;MOTOCICLETAS;Sin especificar;4
Andalucía/Córdoba;TURISMOS;TOTAL;388724
Andalucía/Córdoba;TURISMOS;Biodiesel;1
