,fecha,valor
0,2019-01-01,15701309
1,2019-01-02,19471873
2,2019-01-03,20076314
3,2019-01-04,20198333
4,2019-01-05,17444148
5,2019-01-06,15841919
6,2019-01-07,20624705
7,2019-01-08,21444962
8,2019-01-09,21148356
9,2019-01-10,21569788
10,2019-01-11,22075383
11,2019-01-12,18823905
12,2019-01-13,17524486
13,2019-01-14,21223990
14,2019-01-15,21084019
15,2019-01-16,21079526
16,2019-01-17,20920020
17,2019-01-18,21425407
18,2019-01-19,18192589
19,2019-01-20,17460785
20,2019-01-21,21743488
21,2019-01-22,22523170
22,2019-01-23,22332141
23,2019-01-24,22275264
24,2019-01-25,21624610
25,2019-01-26,17906639
26,2019-01-27,16588284
27,2019-01-28,21499554
28,2019-01-29,22048573
29,2019-01-30,21785642
30,2019-01-31,20684877
31,2019-02-01,20061433
32,2019-02-02,17719478
33,2019-02-03,16757420
34,2019-02-04,21562527
35,2019-02-05,20960755
36,2019-02-06,20448661
37,2019-02-07,20376640
38,2019-02-08,19959287
39,2019-02-09,16812259
40,2019-02-10,15540451
41,2019-02-11,19842226
42,2019-02-12,20104345
43,2019-02-13,20261701
44,2019-02-14,20310107
45,2019-02-15,20050135
46,2019-02-16,17020585
47,2019-02-17,15821044
48,2019-02-18,20183219
49,2019-02-19,20241527
50,2019-02-20,20063886
51,2019-02-21,19826378
52,2019-02-22,19204332
53,2019-02-23,16055870
54,2019-02-24,15007127
55,2019-02-25,19269212
56,2019-02-26,19206921
57,2019-02-27,19071598
58,2019-02-28,18565223
59,2019-03-01,18526426
60,2019-03-02,15359751
61,2019-03-03,14107088
62,2019-03-04,18086680
63,2019-03-05,18637000
64,2019-03-06,18748913
65,2019-03-07,18520248
66,2019-03-08,18057081
67,2019-03-09,15483679
68,2019-03-10,14218506
69,2019-03-11,18246491
70,2019-03-12,18555111
71,2019-03-13,18890498
72,2019-03-14,18774947
73,2019-03-15,18288911
74,2019-03-16,15496313
75,2019-03-17,14324808
76,2019-03-18,18497820
77,2019-03-19,18722375
78,2019-03-20,18834802
79,2019-03-21,18954487
80,2019-03-22,18483264
81,2019-03-23,15621911
82,2019-03-24,14278881
83,2019-03-25,17903889
84,2019-03-26,18227781
85,2019-03-27,18242116
86,2019-03-28,18425365
87,2019-03-29,18183594
88,2019-03-30,15594027
89,2019-03-31,13739936
90,2019-04-01,18009946
91,2019-04-02,18291769
92,2019-04-03,18411242
93,2019-04-04,18688431
94,2019-04-05,18696823
95,2019-04-06,15882303
96,2019-04-07,14748532
97,2019-04-08,18249704
98,2019-04-09,18642464
99,2019-04-10,18653623
100,2019-04-11,18494770
101,2019-04-12,18065656
102,2019-04-13,15127937
103,2019-04-14,13849734
104,2019-04-15,17228894
105,2019-04-16,17365457
106,2019-04-17,17169258
107,2019-04-18,16425108
108,2019-04-19,13770196
109,2019-04-20,14116230
110,2019-04-21,13366064
111,2019-04-22,14977566
112,2019-04-23,17789238
113,2019-04-24,18056812
114,2019-04-25,18044221
115,2019-04-26,18019967
116,2019-04-27,15421279
117,2019-04-28,14326440
118,2019-04-29,17823149
119,2019-04-30,17755562
120,2019-05-01,14428707
121,2019-05-02,17584873
122,2019-05-03,18073231
123,2019-05-04,15153622
124,2019-05-05,14002364
125,2019-05-06,17709385
126,2019-05-07,18015833
127,2019-05-08,17957003
128,2019-05-09,17861010
129,2019-05-10,17712908
130,2019-05-11,15375550
131,2019-05-12,14183747
132,2019-05-13,17780530
133,2019-05-14,18049620
134,2019-05-15,17874444
135,2019-05-16,17912379
136,2019-05-17,17867138
137,2019-05-18,15233831
138,2019-05-19,14238346
139,2019-05-20,17497379
140,2019-05-21,17811075
141,2019-05-22,18084666
142,2019-05-23,18181565
143,2019-05-24,17881889
144,2019-05-25,15368729
145,2019-05-26,14169326
146,2019-05-27,17938004
147,2019-05-28,18149410
148,2019-05-29,18121983
149,2019-05-30,17905327
150,2019-05-31,17835633
151,2019-06-01,15547062
152,2019-06-02,14289783
153,2019-06-03,18566667
154,2019-06-04,18860535
155,2019-06-05,18873796
156,2019-06-06,18584926
157,2019-06-07,18746635
158,2019-06-08,15412285
159,2019-06-09,13895255
160,2019-06-10,15781208
161,2019-06-11,18358947
162,2019-06-12,18179529
163,2019-06-13,18359705
164,2019-06-14,18503373
165,2019-06-15,15896256
166,2019-06-16,14553188
167,2019-06-17,19094930
168,2019-06-18,19517304
169,2019-06-19,19855896
170,2019-06-20,19910611
171,2019-06-21,19739587
172,2019-06-22,16601788
173,2019-06-23,15084682
174,2019-06-24,16279910
175,2019-06-25,20868840
176,2019-06-26,21764173
177,2019-06-27,22506819
178,2019-06-28,23762598
179,2019-06-29,20375026
180,2019-06-30,18489432
181,2019-07-01,23288333
182,2019-07-02,23675821
183,2019-07-03,23855532
184,2019-07-04,23845642
185,2019-07-05,23924322
186,2019-07-06,20169099
187,2019-07-07,18967750
188,2019-07-08,22980724
189,2019-07-09,22456257
190,2019-07-10,22705176
191,2019-07-11,23528085
192,2019-07-12,23670782
193,2019-07-13,19405623
194,2019-07-14,16899319
195,2019-07-15,22317611
196,2019-07-16,22619504
197,2019-07-17,22692857
198,2019-07-18,22350183
199,2019-07-19,22790896
200,2019-07-20,19126489
201,2019-07-21,17455785
202,2019-07-22,23821450
203,2019-07-23,24377531
204,2019-07-24,24621090
205,2019-07-25,24569613
206,2019-07-26,23801202
207,2019-07-27,18483878
208,2019-07-28,15742509
209,2019-07-29,21788747
210,2019-07-30,22582628
211,2019-07-31,21177411
212,2019-08-01,21335590
213,2019-08-02,21480781
214,2019-08-03,18524699
215,2019-08-04,17337010
216,2019-08-05,21841950
217,2019-08-06,22286105
218,2019-08-07,22177503
219,2019-08-08,22728861
220,2019-08-09,23010075
221,2019-08-10,19798533
222,2019-08-11,17544846
223,2019-08-12,20451130
224,2019-08-13,19309827
225,2019-08-14,19392597
226,2019-08-15,17026782
227,2019-08-16,19381935
228,2019-08-17,18082071
229,2019-08-18,17053607
230,2019-08-19,20719562
231,2019-08-20,19945175
232,2019-08-21,19848538
233,2019-08-22,20365205
234,2019-08-23,20171747
235,2019-08-24,18085372
236,2019-08-25,17163768
237,2019-08-26,21638649
238,2019-08-27,20997628
239,2019-08-28,21323984
240,2019-08-29,21878738
241,2019-08-30,22312137
242,2019-08-31,19113190
243,2019-09-01,16761039
244,2019-09-02,21562280
245,2019-09-03,21353724
246,2019-09-04,21562404
247,2019-09-05,20807355
248,2019-09-06,19582045
249,2019-09-07,16524991
250,2019-09-08,15074624
251,2019-09-09,19494203
252,2019-09-10,18929879
253,2019-09-11,16183267
254,2019-09-12,19290601
255,2019-09-13,19108526
256,2019-09-14,16571099
257,2019-09-15,15334465
258,2019-09-16,19961340
259,2019-09-17,20532633
260,2019-09-18,20971211
261,2019-09-19,20895859
262,2019-09-20,20323981
263,2019-09-21,17084769
264,2019-09-22,15563973
265,2019-09-23,18972984
266,2019-09-24,17414015
267,2019-09-25,20288348
268,2019-09-26,20454403
269,2019-09-27,20431650
270,2019-09-28,17081435
271,2019-09-29,15768158
272,2019-09-30,20170775
273,2019-10-01,20244223
274,2019-10-02,19585874
275,2019-10-03,19007887
276,2019-10-04,18875762
277,2019-10-05,16048639
278,2019-10-06,14735089
279,2019-10-07,18652756
280,2019-10-08,19189944
281,2019-10-09,19158491
282,2019-10-10,18733533
283,2019-10-11,18741273
284,2019-10-12,15652634
285,2019-10-13,15057987
286,2019-10-14,19292198
287,2019-10-15,18350688
288,2019-10-16,18285716
289,2019-10-17,18446236
290,2019-10-18,17276618
291,2019-10-19,15767473
292,2019-10-20,14685721
293,2019-10-21,17998926
294,2019-10-22,18365161
295,2019-10-23,18282775
296,2019-10-24,18143970
297,2019-10-25,17978276
298,2019-10-26,15452877
299,2019-10-27,14896756
300,2019-10-28,17990929
301,2019-10-29,18230725
302,2019-10-30,18341318
303,2019-10-31,17898466
304,2019-11-01,19273862
305,2019-11-02,19945238
306,2019-11-03,18547552
307,2019-11-04,24088180
308,2019-11-05,24304325
309,2019-11-06,24172827
310,2019-11-07,24117897
311,2019-11-08,24305304
312,2019-11-09,21087656
313,2019-11-10,19855078
314,2019-11-11,25810919
315,2019-11-12,25671454
316,2019-11-13,25797481
317,2019-11-14,26240156
318,2019-11-15,26556701
319,2019-11-16,22533246
320,2019-11-17,21161897
321,2019-11-18,26644622
322,2019-11-19,27098562
323,2019-11-20,27148520
324,2019-11-21,26622080
325,2019-11-22,25899680
326,2019-11-23,21596235
327,2019-11-24,19906835
328,2019-11-25,25621644
329,2019-11-26,25590363
330,2019-11-27,25142797
331,2019-11-28,24939295
332,2019-11-29,24540172
333,2019-11-30,20455157
334,2019-12-01,14982413
335,2019-12-02,18903644
336,2019-12-03,19638836
337,2019-12-04,20399225
338,2019-12-05,19955897
339,2019-12-06,15953283
340,2019-12-07,15788881
341,2019-12-08,15703477
342,2019-12-09,19825993
