,dia_semana,dia_año,trimestre,mes,año,prediccion
2023-01-01,6,1,1,1,2023,14110495.0
2023-01-02,0,2,1,1,2023,16910986.0
2023-01-03,1,3,1,1,2023,16812232.0
2023-01-04,2,4,1,1,2023,17359950.0
2023-01-05,3,5,1,1,2023,16110056.0
2023-01-06,4,6,1,1,2023,15185173.0
2023-01-07,5,7,1,1,2023,16384100.0
2023-01-08,6,8,1,1,2023,15408845.0
2023-01-09,0,9,1,1,2023,19500152.0
2023-01-10,1,10,1,1,2023,19567050.0
2023-01-11,2,11,1,1,2023,19454204.0
2023-01-12,3,12,1,1,2023,19535236.0
2023-01-13,4,13,1,1,2023,19376316.0
2023-01-14,5,14,1,1,2023,17177528.0
2023-01-15,6,15,1,1,2023,16109442.0
2023-01-16,0,16,1,1,2023,20256120.0
2023-01-17,1,17,1,1,2023,20452318.0
2023-01-18,2,18,1,1,2023,20540028.0
2023-01-19,3,19,1,1,2023,20332834.0
2023-01-20,4,20,1,1,2023,20018854.0
2023-01-21,5,21,1,1,2023,17694540.0
2023-01-22,6,22,1,1,2023,16685004.0
2023-01-23,0,23,1,1,2023,20491192.0
2023-01-24,1,24,1,1,2023,20545728.0
2023-01-25,2,25,1,1,2023,20553668.0
2023-01-26,3,26,1,1,2023,20310166.0
2023-01-27,4,27,1,1,2023,19442906.0
2023-01-28,5,28,1,1,2023,16700182.0
2023-01-29,6,29,1,1,2023,15050606.0
2023-01-30,0,30,1,1,2023,18804876.0
2023-01-31,1,31,1,1,2023,19187278.0
2023-02-01,2,32,1,2,2023,18602680.0
2023-02-02,3,33,1,2,2023,18449210.0
2023-02-03,4,34,1,2,2023,18146404.0
2023-02-04,5,35,1,2,2023,15793109.0
2023-02-05,6,36,1,2,2023,14818031.0
2023-02-06,0,37,1,2,2023,18342622.0
2023-02-07,1,38,1,2,2023,18613696.0
2023-02-08,2,39,1,2,2023,18614274.0
2023-02-09,3,40,1,2,2023,18484786.0
2023-02-10,4,41,1,2,2023,18266860.0
2023-02-11,5,42,1,2,2023,15926446.0
2023-02-12,6,43,1,2,2023,15212726.0
2023-02-13,0,44,1,2,2023,18318274.0
2023-02-14,1,45,1,2,2023,18407564.0
2023-02-15,2,46,1,2,2023,18455772.0
2023-02-16,3,47,1,2,2023,18310040.0
2023-02-17,4,48,1,2,2023,17790408.0
2023-02-18,5,49,1,2,2023,15500366.0
2023-02-19,6,50,1,2,2023,14864375.0
2023-02-20,0,51,1,2,2023,18134728.0
2023-02-21,1,52,1,2,2023,18224018.0
2023-02-22,2,53,1,2,2023,18117702.0
2023-02-23,3,54,1,2,2023,17872496.0
2023-02-24,4,55,1,2,2023,17623446.0
2023-02-25,5,56,1,2,2023,15659796.0
2023-02-26,6,57,1,2,2023,14751403.0
2023-02-27,0,58,1,2,2023,18098622.0
2023-02-28,1,59,1,2,2023,18221602.0
2023-03-01,2,60,1,3,2023,18185848.0
2023-03-02,3,61,1,3,2023,17871870.0
2023-03-03,4,62,1,3,2023,17585994.0
2023-03-04,5,63,1,3,2023,15219668.0
2023-03-05,6,64,1,3,2023,14543359.0
2023-03-06,0,65,1,3,2023,18163046.0
2023-03-07,1,66,1,3,2023,18300458.0
2023-03-08,2,67,1,3,2023,18365756.0
2023-03-09,3,68,1,3,2023,18080574.0
2023-03-10,4,69,1,3,2023,17825784.0
2023-03-11,5,70,1,3,2023,15432108.0
2023-03-12,6,71,1,3,2023,14728162.0
2023-03-13,0,72,1,3,2023,17965990.0
2023-03-14,1,73,1,3,2023,18123194.0
2023-03-15,2,74,1,3,2023,18008938.0
2023-03-16,3,75,1,3,2023,17720104.0
2023-03-17,4,76,1,3,2023,17590182.0
2023-03-18,5,77,1,3,2023,15620875.0
2023-03-19,6,78,1,3,2023,14621938.0
2023-03-20,0,79,1,3,2023,17567632.0
2023-03-21,1,80,1,3,2023,17685650.0
2023-03-22,2,81,1,3,2023,18036414.0
2023-03-23,3,82,1,3,2023,17960584.0
2023-03-24,4,83,1,3,2023,17781880.0
2023-03-25,5,84,1,3,2023,15537771.0
2023-03-26,6,85,1,3,2023,14357370.0
2023-03-27,0,86,1,3,2023,17448246.0
2023-03-28,1,87,1,3,2023,17672090.0
2023-03-29,2,88,1,3,2023,17469460.0
2023-03-30,3,89,1,3,2023,17418276.0
2023-03-31,4,90,1,3,2023,16889854.0
2023-04-01,5,91,2,4,2023,15658592.0
2023-04-02,6,92,2,4,2023,14988245.0
2023-04-03,0,93,2,4,2023,18861198.0
2023-04-04,1,94,2,4,2023,18289078.0
2023-04-05,2,95,2,4,2023,17963430.0
2023-04-06,3,96,2,4,2023,17913382.0
2023-04-07,4,97,2,4,2023,16660909.0
2023-04-08,5,98,2,4,2023,14321905.0
2023-04-09,6,99,2,4,2023,13345333.0
2023-04-10,0,100,2,4,2023,15876966.0
2023-04-11,1,101,2,4,2023,16892670.0
2023-04-12,2,102,2,4,2023,16522512.0
2023-04-13,3,103,2,4,2023,16651607.0
2023-04-14,4,104,2,4,2023,13335064.0
2023-04-15,5,105,2,4,2023,13083759.0
2023-04-16,6,106,2,4,2023,12188293.0
2023-04-17,0,107,2,4,2023,14105782.0
2023-04-18,1,108,2,4,2023,16057786.0
2023-04-19,2,109,2,4,2023,15901560.0
2023-04-20,3,110,2,4,2023,17119338.0
2023-04-21,4,111,2,4,2023,16247399.0
2023-04-22,5,112,2,4,2023,14701944.0
2023-04-23,6,113,2,4,2023,13914823.0
2023-04-24,0,114,2,4,2023,16395419.0
2023-04-25,1,115,2,4,2023,16636573.0
2023-04-26,2,116,2,4,2023,16632464.0
2023-04-27,3,117,2,4,2023,16507709.0
2023-04-28,4,118,2,4,2023,16157043.0
2023-04-29,5,119,2,4,2023,14102217.0
2023-04-30,6,120,2,4,2023,13478189.0
2023-05-01,0,121,2,5,2023,15314046.0
2023-05-02,1,122,2,5,2023,16440105.0
2023-05-03,2,123,2,5,2023,16435996.0
2023-05-04,3,124,2,5,2023,16503181.0
2023-05-05,4,125,2,5,2023,16203595.0
2023-05-06,5,126,2,5,2023,14224236.0
2023-05-07,6,127,2,5,2023,13518391.0
2023-05-08,0,128,2,5,2023,16473497.0
2023-05-09,1,129,2,5,2023,16707667.0
2023-05-10,2,130,2,5,2023,16673881.0
2023-05-11,3,131,2,5,2023,16778110.0
2023-05-12,4,132,2,5,2023,16587520.0
2023-05-13,5,133,2,5,2023,14522510.0
2023-05-14,6,134,2,5,2023,13928221.0
2023-05-15,0,135,2,5,2023,17010244.0
2023-05-16,1,136,2,5,2023,17194820.0
2023-05-17,2,137,2,5,2023,17436120.0
2023-05-18,3,138,2,5,2023,18238842.0
2023-05-19,4,139,2,5,2023,18084686.0
2023-05-20,5,140,2,5,2023,15948092.0
2023-05-21,6,141,2,5,2023,15246455.0
2023-05-22,0,142,2,5,2023,18489180.0
2023-05-23,1,143,2,5,2023,18510662.0
2023-05-24,2,144,2,5,2023,17563404.0
2023-05-25,3,145,2,5,2023,17279846.0
2023-05-26,4,146,2,5,2023,17176006.0
2023-05-27,5,147,2,5,2023,15363329.0
2023-05-28,6,148,2,5,2023,14664064.0
2023-05-29,0,149,2,5,2023,17317292.0
2023-05-30,1,150,2,5,2023,17814190.0
2023-05-31,2,151,2,5,2023,17837406.0
2023-06-01,3,152,2,6,2023,18363266.0
2023-06-02,4,153,2,6,2023,17843152.0
2023-06-03,5,154,2,6,2023,15824229.0
2023-06-04,6,155,2,6,2023,14547063.0
2023-06-05,0,156,2,6,2023,16472455.0
2023-06-06,1,157,2,6,2023,18194412.0
2023-06-07,2,158,2,6,2023,19113204.0
2023-06-08,3,159,2,6,2023,19061694.0
2023-06-09,4,160,2,6,2023,18669640.0
2023-06-10,5,161,2,6,2023,16622212.0
2023-06-11,6,162,2,6,2023,16258703.0
2023-06-12,0,163,2,6,2023,19258218.0
2023-06-13,1,164,2,6,2023,20353526.0
2023-06-14,2,165,2,6,2023,20487102.0
2023-06-15,3,166,2,6,2023,21838932.0
2023-06-16,4,167,2,6,2023,21350964.0
2023-06-17,5,168,2,6,2023,18679100.0
2023-06-18,6,169,2,6,2023,17151138.0
2023-06-19,0,170,2,6,2023,21773448.0
2023-06-20,1,171,2,6,2023,21468454.0
2023-06-21,2,172,2,6,2023,20897210.0
2023-06-22,3,173,2,6,2023,21135860.0
2023-06-23,4,174,2,6,2023,19241840.0
2023-06-24,5,175,2,6,2023,13527146.0
2023-06-25,6,176,2,6,2023,15757449.0
2023-06-26,0,177,2,6,2023,19007476.0
2023-06-27,1,178,2,6,2023,19822772.0
2023-06-28,2,179,2,6,2023,20057168.0
2023-06-29,3,180,2,6,2023,19949938.0
2023-06-30,4,181,2,6,2023,19757284.0
2023-07-01,5,182,3,7,2023,16342808.0
2023-07-02,6,183,3,7,2023,15682521.0
2023-07-03,0,184,3,7,2023,20282364.0
2023-07-04,1,185,3,7,2023,20370894.0
2023-07-05,2,186,3,7,2023,20599302.0
2023-07-06,3,187,3,7,2023,20501016.0
2023-07-07,4,188,3,7,2023,20047450.0
2023-07-08,5,189,3,7,2023,17092920.0
2023-07-09,6,190,3,7,2023,16526356.0
2023-07-10,0,191,3,7,2023,20830982.0
2023-07-11,1,192,3,7,2023,20767594.0
2023-07-12,2,193,3,7,2023,21993318.0
2023-07-13,3,194,3,7,2023,22077350.0
2023-07-14,4,195,3,7,2023,22151148.0
2023-07-15,5,196,3,7,2023,18824836.0
2023-07-16,6,197,3,7,2023,17932792.0
2023-07-17,0,198,3,7,2023,21763046.0
2023-07-18,1,199,3,7,2023,22739416.0
2023-07-19,2,200,3,7,2023,22563006.0
2023-07-20,3,201,3,7,2023,22678370.0
2023-07-21,4,202,3,7,2023,22554460.0
2023-07-22,5,203,3,7,2023,19064734.0
2023-07-23,6,204,3,7,2023,18410434.0
2023-07-24,0,205,3,7,2023,22544412.0
2023-07-25,1,206,3,7,2023,22649812.0
2023-07-26,2,207,3,7,2023,22617628.0
2023-07-27,3,208,3,7,2023,21919716.0
2023-07-28,4,209,3,7,2023,21416006.0
2023-07-29,5,210,3,7,2023,17539794.0
2023-07-30,6,211,3,7,2023,16700616.0
2023-07-31,0,212,3,7,2023,20489016.0
2023-08-01,1,213,3,8,2023,20395278.0
2023-08-02,2,214,3,8,2023,20354310.0
2023-08-03,3,215,3,8,2023,20472662.0
2023-08-04,4,216,3,8,2023,19816436.0
2023-08-05,5,217,3,8,2023,17468702.0
2023-08-06,6,218,3,8,2023,15859329.0
2023-08-07,0,219,3,8,2023,18583158.0
2023-08-08,1,220,3,8,2023,18989150.0
2023-08-09,2,221,3,8,2023,19027354.0
2023-08-10,3,222,3,8,2023,19068036.0
2023-08-11,4,223,3,8,2023,19249030.0
2023-08-12,5,224,3,8,2023,17129924.0
2023-08-13,6,225,3,8,2023,16318591.0
2023-08-14,0,226,3,8,2023,16321530.0
2023-08-15,1,227,3,8,2023,17512500.0
2023-08-16,2,228,3,8,2023,17779062.0
2023-08-17,3,229,3,8,2023,16003637.0
2023-08-18,4,230,3,8,2023,15414491.0
2023-08-19,5,231,3,8,2023,14259403.0
2023-08-20,6,232,3,8,2023,14056636.0
2023-08-21,0,233,3,8,2023,17185678.0
2023-08-22,1,234,3,8,2023,17518900.0
2023-08-23,2,235,3,8,2023,17780992.0
2023-08-24,3,236,3,8,2023,18215304.0
2023-08-25,4,237,3,8,2023,18081774.0
2023-08-26,5,238,3,8,2023,15506226.0
2023-08-27,6,239,3,8,2023,15087322.0
2023-08-28,0,240,3,8,2023,18879020.0
2023-08-29,1,241,3,8,2023,19282284.0
2023-08-30,2,242,3,8,2023,18934290.0
2023-08-31,3,243,3,8,2023,18115308.0
2023-09-01,4,244,3,9,2023,19301958.0
2023-09-02,5,245,3,9,2023,16762374.0
2023-09-03,6,246,3,9,2023,16553471.0
2023-09-04,0,247,3,9,2023,21090380.0
2023-09-05,1,248,3,9,2023,21378066.0
2023-09-06,2,249,3,9,2023,21454086.0
2023-09-07,3,250,3,9,2023,20467174.0
2023-09-08,4,251,3,9,2023,19745244.0
