;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201001;Enero de 2010;1;Andalucía;4;Almería;44045;28276;12628;985;2156
201001;Enero de 2010;1;Andalucía;11;Cádiz;91066;54983;25855;4836;5392
201001;Enero de 2010;1;Andalucía;14;Córdoba;53444;28443;12972;1503;10526
201001;Enero de 2010;1;Andalucía;18;Granada;62750;37839;16076;1377;7458
201001;Enero de 2010;1;Andalucía;21;Huelva;41781;26044;10129;842;4766
201001;Enero de 2010;1;Andalucía;23;Jaén;37114;18596;8175;1077;9266
201001;Enero de 2010;1;Andalucía;29;Málaga;114634;79023;27616;2801;5194
201001;Enero de 2010;1;Andalucía;41;Sevilla;136093;82307;34150;3968;15668
201001;Enero de 2010;2;Aragón;22;Huesca;10215;8481;1673;61;0
201001;Enero de 2010;2;Aragón;44;Teruel;6833;5450;1346;37;0
201001;Enero de 2010;2;Aragón;50;Zaragoza;57443;47744;9243;456;0
201001;Enero de 2010;3;Asturias, Principado de;33;Asturias;53865;40201;12948;716;0
201001;Enero de 2010;4;Balears, Illes;7;Balears, Illes;103861;81790;21594;477;0
201001;Enero de 2010;5;Canarias;35;Palmas, Las;76304;49572;23755;2977;0
201001;Enero de 2010;5;Canarias;38;Santa Cruz de Tenerife;67972;46622;19568;1782;0
201001;Enero de 2010;6;Cantabria;39;Cantabria;30938;24871;5643;424;0
201001;Enero de 2010;7;Castilla y León;5;Ávila;8514;6508;1870;136;0
201001;Enero de 2010;7;Castilla y León;9;Burgos;18955;15626;3134;195;0
201001;Enero de 2010;7;Castilla y León;24;León;24322;18955;5010;357;0
201001;Enero de 2010;7;Castilla y León;34;Palencia;7536;5931;1442;163;0
201001;Enero de 2010;7;Castilla y León;37;Salamanca;16296;12189;3660;447;0
201001;Enero de 2010;7;Castilla y León;40;Segovia;6604;5498;1064;42;0
201001;Enero de 2010;7;Castilla y León;42;Soria;3694;3039;627;28;0
201001;Enero de 2010;7;Castilla y León;47;Valladolid;26402;21856;4075;471;0
201001;Enero de 2010;7;Castilla y León;49;Zamora;8160;6310;1691;159;0
201001;Enero de 2010;8;Castilla - La Mancha;2;Albacete;23659;17321;5699;639;0
201001;Enero de 2010;8;Castilla - La Mancha;13;Ciudad Real;29384;21542;7316;526;0
201001;Enero de 2010;8;Castilla - La Mancha;16;Cuenca;10066;7577;2326;163;0
201001;Enero de 2010;8;Castilla - La Mancha;19;Guadalajara;15916;13237;2612;67;0
201001;Enero de 2010;8;Castilla - La Mancha;45;Toledo;43430;34397;8539;494;0
201001;Enero de 2010;9;Cataluña;8;Barcelona;391067;327141;62021;1905;0
201001;Enero de 2010;9;Cataluña;17;Girona;55455;44177;11088;190;0
201001;Enero de 2010;9;Cataluña;25;Lleida;22131;18042;3981;108;0
201001;Enero de 2010;9;Cataluña;43;Tarragona;59427;47484;11591;352;0
201001;Enero de 2010;10;Comunitat Valenciana;3;Alicante/Alacant;117895;85328;29189;3378;0
201001;Enero de 2010;10;Comunitat Valenciana;12;Castellón/Castelló;50543;42984;7385;174;0
201001;Enero de 2010;10;Comunitat Valenciana;46;Valencia/Valéncia;164846;132424;30346;2076;0
201001;Enero de 2010;11;Extremadura;6;Badajoz;45386;24824;12897;2084;5581
201001;Enero de 2010;11;Extremadura;10;Cáceres;26070;15787;6151;526;3606
201001;Enero de 2010;12;Galicia;15;Coruña, A;57667;43739;12742;1186;0
201001;Enero de 2010;12;Galicia;27;Lugo;13717;10302;3130;285;0
201001;Enero de 2010;12;Galicia;32;Ourense;14954;10277;4238;439;0
201001;Enero de 2010;12;Galicia;36;Pontevedra;55621;41653;12894;1074;0
201001;Enero de 2010;13;Madrid, Comunidad de;28;Madrid;356954;304143;50622;2189;0
201001;Enero de 2010;14;Murcia, Región de;30;Murcia;89921;70112;18380;1429;0
201001;Enero de 2010;15;Navarra, Comunidad Foral de;31;Navarra;36589;30348;6047;194;0
