;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios;
201301;Enero de 2013;1;Andalucía;4;Almería;35767,67;21622,26;10194,37;2297,9;1752,13;
201301;Enero de 2013;1;Andalucía;11;Cádiz;71937,93;47171,79;23254,2;6005,71;4506,23;
201301;Enero de 2013;1;Andalucía;14;Córdoba;52561,55;27103,92;13429,77;2176;7741,76;
201301;Enero de 2013;1;Andalucía;17;Granada;56250,11;31699,79;15469,76;2714,74;6265,62;
201301;Enero de 2013;1;Andalucía;21;Huelva;37462,66;21332,63;1038,15;1679,97;4079,91;
201301;Enero de 2013;1;Andalucía;23;Jaén;41407,02;20962,61;10734,34;1713,4;7796,67;
201301;Enero de 2013;1;Andalucía;29;Málaga;100552,77;64207,47;26430,13;5719,24;4195,03;
201301;Enero de 2013;1;Andalucía;41;Sevilla;127110,27;74296,97;34033,43;6116,72;13663,06;
201301;Enero de 2013;2;Aragón;22;Huesca;1048,22;7529,09;1741,7;209,33;0;
201301;Enero de 2013;2;Aragón;44;Teruel;7253,07;5735,13;1375,77;142,17;0;
201301;Enero de 2013;2;Aragón;50;Zaragoza;55524,99;45716,93;7534,55;1273,51;0;
201301;Enero de 2013;3;Asturias, Principado de;33;Asturias;62040,16;47737,4;12593,47;189,29;0;
201301;Enero de 2013;4;Balears, Illes;7;Balears, Illes;101657,43;79260,07;21020,95;1376,41;0;
201301;Enero de 2013;5;Canarias;35;Palmas, Las;64207,35;40230,05;17777,33;5079,97;0;
201301;Enero de 2013;5;Canarias;37;Santa Cruz de Tenerife;57634,71;36500,75;17142,01;3992,05;0;
201301;Enero de 2013;6;Cantabria;39;Cantabria;34727,21;2844,56;587,62;775,03;0;
201301;Enero de 2013;7;Castilla y León;5;Ávila;7373,76;6005;2053,33;315,53;0;
201301;Enero de 2013;7;Castilla y León;9;Burgos;20755,02;16760,53;3643,77;450,61;0;
201301;Enero de 2013;7;Castilla y León;24;León;27656,31;21736,59;5260,26;659,46;0;
201301;Enero de 2013;7;Castilla y León;34;Palencia;7669,26;683,64;1607;257,62;0;
201301;Enero de 2013;7;Castilla y León;37;Salamanca;16754,23;12411,51;385,05;737,67;0;
201301;Enero de 2013;7;Castilla y León;40;Segovia;7452,63;6077,93;1201,14;162,56;0;
201301;Enero de 2013;7;Castilla y León;42;Soria;5177,77;4350,69;741,11;96,97;0;
201301;Enero de 2013;7;Castilla y León;47;Valladolid;27507,37;23031,47;4631,47;744,44;0;
201301;Enero de 2013;7;Castilla y León;49;Zamora;7711,31;6424,93;2067,67;317,71;0;
201301;Enero de 2013;8;Castilla - La Mancha;2;Albacete;25603,77;17746,72;5505,25;1351,71;0;
201301;Enero de 2013;8;Castilla - La Mancha;13;Ciudad Real;33520,43;24644,09;7399,47;1476,77;0;
201301;Enero de 2013;8;Castilla - La Mancha;16;Cuenca;11719,17;7777,77;2361,12;469,27;0;
201301;Enero de 2013;8;Castilla - La Mancha;19;Guadalajara;15754,66;12597,99;2775,01;371,66;0;
201301;Enero de 2013;8;Castilla - La Mancha;45;Toledo;47117,92;3587,97;9635,14;1775,71;0;
201301;Enero de 2013;9;Cataluña;7;Barcelona;335504,77;264765,97;63160,65;7577,15;0;
201301;Enero de 2013;9;Cataluña;17;Girona;47743,75;3680,95;10149,47;793,43;0;
201301;Enero de 2013;9;Cataluña;25;Lleida;22519,75;17773,01;4146,11;490,73;0;
201301;Enero de 2013;9;Cataluña;43;Tarragona;53691,05;40519,2;11662,72;1509,13;0;
201301;Enero de 2013;10;Comunitat Valenciana;3;Alicante/Alacant;97774,76;65419,57;26971,27;6473,91;0;
201301;Enero de 2013;10;Comunitat Valenciana;12;Castellón/Castelló;35647,1;26266,51;7152,57;1229,01;0;
201301;Enero de 2013;10;Comunitat Valenciana;46;Valencia/Valéncia;152395,94;113520,93;32439,72;6435,19;0;
201301;Enero de 2013;11;Extremadura;6;Badajoz;47601,11;26045,74;14127,47;2425,79;5002,01;
201301;Enero de 2013;11;Extremadura;10;Cáceres;27554,03;16592,5;7777,95;1067,39;3116,19;
201301;Enero de 2013;12;Galicia;15;Coruña, A;64063;49950,01;12255,29;1757,7;0;
