;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201901;Enero de 2019;1;Andalucía;4;Almería;25869,55;15428,94;7873,06;1363,75;1198
201901;Enero de 2019;1;Andalucía;11;Cádiz;57498,4;32312,77;18877,79;3540,49;2744,63
201901;Enero de 2019;1;Andalucía;14;Córdoba;34780,36;13265,44;12044,75;1636,12;7824,18
201901;Enero de 2019;1;Andalucía;18;Granada;40440,07;19925,48;13538,2;2023,45;4939,47
201901;Enero de 2019;1;Andalucía;21;Huelva;29922,46;16698,36;8624,12;1180,08;3410,16
201901;Enero de 2019;1;Andalucía;23;Jaén;23932,4;9152,16;7795,49;1101,35;5873,03
201901;Enero de 2019;1;Andalucía;29;Málaga;70420,77;45190,91;18644,16;3137,65;3437,17
201901;Enero de 2019;1;Andalucía;41;Sevilla;83854,74;39374,35;28245,23;4929,05;11271,79
201901;Enero de 2019;2;Aragón;22;Huesca;6100,96;4969,27;1007,35;124,17;0
201901;Enero de 2019;2;Aragón;44;Teruel;3582,33;2748,15;750,49;82,08;0
201901;Enero de 2019;2;Aragón;50;Zaragoza;26928,99;21331,58;4841,79;753,7;0
201901;Enero de 2019;3;Asturias, Principado de;33;Asturias;30170,08;22064,57;6839,28;1264,9;0
201901;Enero de 2019;4;Balears, Illes;7;Balears, Illes;104840,59;89433,18;14869,87;537,54;0
201901;Enero de 2019;5;Canarias;35;Palmas, Las;44966,01;30611,76;11626,99;2722,04;0
201901;Enero de 2019;5;Canarias;38;Santa Cruz de Tenerife;38990,43;24263,97;12051,28;2666,33;0
201901;Enero de 2019;6;Cantabria;39;Cantabria;18811,73;13891,32;4331,24;586,82;0
201901;Enero de 2019;7;Castilla y León;5;Ávila;4908,05;3267,66;1416,02;222,52;0
201901;Enero de 2019;7;Castilla y León;9;Burgos;11108,26;8401,45;2392,36;311,54;0
201901;Enero de 2019;7;Castilla y León;24;León;14113,2;10140,22;3456,49;514,45;0
201901;Enero de 2019;7;Castilla y León;34;Palencia;4974,73;3735,21;1086,05;152,91;0
201901;Enero de 2019;7;Castilla y León;37;Salamanca;9444,77;6248,38;2755,47;438,08;0
201901;Enero de 2019;7;Castilla y León;40;Segovia;3932,68;3003,2;817,81;111,23;0
201901;Enero de 2019;7;Castilla y León;42;Soria;2405,79;1900,7;453,98;51,07;0
201901;Enero de 2019;7;Castilla y León;47;Valladolid;13810,78;10551,3;2772,13;486,6;0
201901;Enero de 2019;7;Castilla y León;49;Zamora;4994,7;3194,41;1547,08;250;0
201901;Enero de 2019;8;Castilla - La Mancha;2;Albacete;13041,48;8130,3;4121,46;786,05;0
201901;Enero de 2019;8;Castilla - La Mancha;13;Ciudad Real;16423,66;9346,12;5797,65;1271,27;0
201901;Enero de 2019;8;Castilla - La Mancha;16;Cuenca;5297,87;3434,93;1557,54;304,25;0
201901;Enero de 2019;8;Castilla - La Mancha;19;Guadalajara;8314,26;6339,8;1729,96;242,79;0
201901;Enero de 2019;8;Castilla - La Mancha;45;Toledo;22332,54;13716,5;7267,82;1343,31;0
201901;Enero de 2019;9;Cataluña;8;Barcelona;176060,94;137899,63;33933,48;4212,47;0
201901;Enero de 2019;9;Cataluña;17;Girona;32500,1;25401,24;6471,36;617,31;0
201901;Enero de 2019;9;Cataluña;25;Lleida;12830,8;9827,2;2616,11;382,68;0
201901;Enero de 2019;9;Cataluña;43;Tarragona;34474,05;26202,48;7435,68;829,34;0
201901;Enero de 2019;10;Comunitat Valenciana;3;Alicante/Alacant;66760,92;44665,3;18596,56;3483,96;0
201901;Enero de 2019;10;Comunitat Valenciana;12;Castellón/Castelló;19376,76;13813,87;4799,8;756,32;0
201901;Enero de 2019;10;Comunitat Valenciana;46;Valencia/Valéncia;79173,38;53551,39;21121,67;4485,88;0
201901;Enero de 2019;11;Extremadura;6;Badajoz;33512,66;15169,05;12585,48;1591,94;4156,09
201901;Enero de 2019;11;Extremadura;10;Cáceres;19836,98;9572,3;6986,38;761,51;2511,88
201901;Enero de 2019;12;Galicia;15;Coruña, A;34919,59;25610,73;7967,27;1340,14;0
201901;Enero de 2019;12;Galicia;27;Lugo;8507,56;5903,1;2275,66;326,98;0
201901;Enero de 2019;12;Galicia;32;Ourense;8786,66;5679,48;2753,4;352,1;0
201901;Enero de 2019;12;Galicia;36;Pontevedra;33694,95;23577,34;8895,42;1215,18;0
201901;Enero de 2019;13;Madrid, Comunidad de;28;Madrid;184123,73;149826,68;29141,51;5140,94;0
201901;Enero de 2019;14;Murcia, Región de;30;Murcia;51247,77;37235,17;11483,93;2510,86;0
201901;Enero de 2019;15;Navarra, Comunidad Foral de;31;Navarra;18341,15;14906,33;3122,95;311,87;0
201901;Enero de 2019;16;País Vasco;1;Araba/Álava;9105,86;7673,91;1296,48;135,46;0
