05002 ADRADA (LA),     716
05013 ARENAL (EL),          61
05014 ARENAS DE SAN PEDRO,    1344
05016 AREVALO,          1865
05019 AVILA,          10169
05021 BARCO DE AVILA (EL),              683
05022 BARRACO (EL),               142
05041 BURGOHONDO,               102
05047 CANDELEDA,                  643
05049 CARDEÑOSA,                     54
05054 CASAVIEJA,                  105
05057 CEBREROS,                  533
05059 CILLAN,                  26
05065 CRESPOS,                 37
05074 FONTIVEROS,                126
05076 FRESNO (EL),                  67
05097 HORCAJADA (LA),                 32
05102 HOYO DE PINARES (EL),              244
05105 HOYOS DEL ESPINO,               60
05110 LANZAHITA,                99
05114 MADRIGAL DE LAS ALTAS TORRES,                103
05117 MAMBLAS,                   51
05127 MIJARES,                 74
05128 MINGORRIA,                     32
05135 MUÑANA,                  54
05138 MUÑOGALINDO,                   45
05152 NAVA DE AREVALO,                   58
05158 NAVALMORAL,                    46
05160 NAVALOSA,                   21
05161 NAVALPERAL DE PINARES,               118
05163 NAVALUENGA,                323
05168 NAVAS DEL MARQUES (LAS),              1075
05186 PIEDRAHITA,                 299
05187 PIEDRALAVES,                  220
05189 POYALES DEL HOYO,                  32
05204 SANCHIDRIAN,                   75
05207 SAN ESTEBAN DEL VALLE,                  70
05220 SAN PEDRO DEL ARROYO,                   73
05225 SANTA MARIA DEL BERROCAL,                   10
05227 SANTA MARIA DEL TIETAR,                   116
05232 SERRADA (LA),                0
05238 SOLOSANCHO,                 36
05240 SOTILLO DE LA ADRADA,              1025
05241 TIEMBLO (EL),            1161
05262 VILLAREJO DEL VALLE,                 39
09009 ALBILLOS,                   22
09018 ARANDA DE DUERO,             5565
09023 ARCOS,                   22
09048 BELORADO,                  257
09056 BRIVIESCA,                1249
09059 BURGOS,            21569
09064 CALERUEGA,                  35
09086 CASTRILLO DEL VAL,                   14
09091 CASTROJERIZ,                   37
09098 CEREZO DE RIO TIRON,                  6
09109 CONDADO DE TREVIÑO,                   59
09113 COVARRUBIAS,                    38
09124 ESPINOSA DE LOS MONTEROS,                  228
09134 FRIAS,                   14
09141 FUENTESPINA,                  156
09151 GUMIEL DE IZAN,                   39
09174 HUERTA DE REY,                   63
09177 IBEAS DE JUARROS,                 212
09194 LERMA,                   532
09209 MEDINA DE POMAR,                  1118
09211 MELGAR DE FERNAMENTAL,                   163
09218 MILAGROS,                   59
09219 MIRANDA DE EBRO,               5469
09238 OÑA,                     40
09246 PALACIOS DE LA SIERRA,                  29
09250 PAMPLIEGA,                   37
09251 PANCORBO,                   32
09261 PEÑARANDA DE DUERO,                   115
09274 PRADOLUENGO,                   54
09276 PUEBLA DE ARGANZON (LA),              0
09289 QUINTANAR DE LA SIERRA,                  209
09321 ROA,                  493
09330 SALAS DE LOS INFANTES,                  443
09350 SANTA MARIA DEL CAMPO,                    36
09363 SASAMON,                   22
09369 SOTILLO DE LA RIBERA,                  69
09377 TARDAJOS,                   173
09384 TORDOMAR,                  20
09390 TORRESANDINO,                  37
09394 TRESPADERNE,                   44
09410 VALLE DE MENA,                  417
09412 VALLE DE TOBALINA,                    32
09413 VALLE DE VALDEBEZANA,                   47
09425 VILVIESTRE DEL PINAR,                    60
09427 VILLADIEGO,                225
09434 VILLAGONZALO PEDERNALES,               365
09439 VILLALBILLA DE BURGOS,                  148
09902 VALLE DE SANTIBAÑEZ,                     15
09903 VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA,                   694
09905 VALLE DE SEDANO,                   13
09907 ALFOZ DE QUINTANADUEÑAS,                  238
09908 VALLE DE LOSA,                   27
24003 ALIJA DEL INFANTADO,                   27
24008 ASTORGA,               2203
24010 BAÑEZA (LA),         1608
24014 BEMBIBRE,             1387
24015 BENAVIDES,          290
24016 BENUZA,                 6
24021 BOÑAR,               190
24024 BURGO RANERO (EL),             81
24029 CABRILLANES,                   28
24030 CACABELOS,              922
24034 CAMPONARAYA,             257
24038 CARRACEDELO,               147
24039 CARRIZO,                 393
24041 CARUCEDO,               25
24047 CASTROCONTRIGO,                  8
24049 CASTROPODAME,                     75
24056 CISTIERNA,                  444
24057 CONGOSTO,                    99
24059 CORULLON,                 23
24061 CUADROS,                   324
24064 CUBILLOS DEL SIL,                  107
24066 DESTRIANA,                   24
24067 ENCINEDO,                    50
24070 FABERO,                 487
24082 HOSPITAL DE ORBIGO,              86
24083 IGÜEÑA,              9
24088 LAGUNA DE NEGRILLOS,                 35
24089 LEON,          20084
24094 MANSILLA DE LAS MULAS,                 253
24098 MATALLANA DE TORIO,                46
24102 NOCEDA DEL BIERZO,               15
24105 ONZONILLA,                   28
24109 PALACIOS DEL SIL,                    21
24110 PARAMO DEL SIL,                   39
24113 POBLADURA DE PELAYO GARCIA,                  13
24114 POLA DE GORDON (LA),              154
24115 PONFERRADA,            9517
24116 POSADA DE VALDEON,                18
