cuenca_hidrografica,embalse_nombre,fecha,capacidad_total,volumen_actual,porcentaje_actual,mes,año
Miño - Sil,Albarellos,2012-01-03,91.0,29.0,31.87,1,2012
Miño - Sil,Albarellos,2012-01-10,91.0,30.0,32.97,1,2012
Miño - Sil,Albarellos,2012-01-17,91.0,26.0,28.57,1,2012
Miño - Sil,Albarellos,2012-01-24,91.0,29.0,31.87,1,2012
Miño - Sil,Albarellos,2012-01-31,91.0,32.0,35.16,1,2012
Miño - Sil,Albarellos,2012-02-07,91.0,33.0,36.26,2,2012
Miño - Sil,Albarellos,2012-02-14,91.0,34.0,37.36,2,2012
Miño - Sil,Albarellos,2012-02-21,91.0,34.0,37.36,2,2012
Miño - Sil,Albarellos,2012-02-28,91.0,35.0,38.46,2,2012
Miño - Sil,Albarellos,2012-03-06,91.0,36.0,39.56,3,2012
Miño - Sil,Albarellos,2012-03-13,91.0,37.0,40.66,3,2012
Miño - Sil,Albarellos,2012-03-20,91.0,38.0,41.76,3,2012
Miño - Sil,Albarellos,2012-03-27,91.0,39.0,42.86,3,2012
Miño - Sil,Albarellos,2012-04-03,91.0,39.0,42.86,4,2012
Miño - Sil,Albarellos,2012-04-10,91.0,38.0,41.76,4,2012
Miño - Sil,Albarellos,2012-04-17,91.0,39.0,42.86,4,2012
Miño - Sil,Albarellos,2012-04-24,91.0,48.0,52.75,4,2012
Miño - Sil,Albarellos,2012-05-01,91.0,47.0,51.65,5,2012
Miño - Sil,Albarellos,2012-05-08,91.0,49.0,53.85,5,2012
Miño - Sil,Albarellos,2012-05-15,91.0,51.0,56.04,5,2012
Miño - Sil,Albarellos,2012-05-22,91.0,51.0,56.04,5,2012
Miño - Sil,Albarellos,2012-05-29,91.0,54.0,59.34,5,2012
Miño - Sil,Albarellos,2012-06-05,91.0,49.0,53.85,6,2012
Miño - Sil,Albarellos,2012-06-12,91.0,51.0,56.04,6,2012
Miño - Sil,Albarellos,2012-06-19,91.0,54.0,59.34,6,2012
Miño - Sil,Albarellos,2012-06-26,91.0,56.0,61.54,6,2012
Miño - Sil,Albarellos,2012-07-03,91.0,53.0,58.24,7,2012
Miño - Sil,Albarellos,2012-07-10,91.0,54.0,59.34,7,2012
Miño - Sil,Albarellos,2012-07-17,91.0,55.0,60.44,7,2012
Miño - Sil,Albarellos,2012-07-24,91.0,56.0,61.54,7,2012
Miño - Sil,Albarellos,2012-07-31,91.0,54.0,59.34,7,2012
Miño - Sil,Albarellos,2012-08-07,91.0,52.0,57.14,8,2012
Miño - Sil,Albarellos,2012-08-14,91.0,43.0,47.25,8,2012
Miño - Sil,Albarellos,2012-08-21,91.0,40.0,43.96,8,2012
Miño - Sil,Albarellos,2012-08-28,91.0,37.0,40.66,8,2012
Miño - Sil,Albarellos,2012-09-04,91.0,37.0,40.66,9,2012
Miño - Sil,Albarellos,2012-09-11,91.0,36.0,39.56,9,2012
Miño - Sil,Albarellos,2012-09-18,91.0,34.0,37.36,9,2012
Miño - Sil,Albarellos,2012-09-25,91.0,33.0,36.26,9,2012
Miño - Sil,Albarellos,2012-10-02,91.0,32.0,35.16,10,2012
Miño - Sil,Albarellos,2012-10-09,91.0,32.0,35.16,10,2012
Miño - Sil,Albarellos,2012-10-16,91.0,31.0,34.07,10,2012
Miño - Sil,Albarellos,2012-10-23,91.0,31.0,34.07,10,2012
Miño - Sil,Albarellos,2012-10-30,91.0,30.0,32.97,10,2012
Miño - Sil,Albarellos,2012-11-06,91.0,26.0,28.57,11,2012
Miño - Sil,Albarellos,2012-11-13,91.0,25.0,27.47,11,2012
Miño - Sil,Albarellos,2012-11-20,91.0,24.0,26.37,11,2012
Miño - Sil,Albarellos,2012-11-27,91.0,23.0,25.27,11,2012
Miño - Sil,Albarellos,2012-12-04,91.0,23.0,25.27,12,2012
Miño - Sil,Albarellos,2012-12-11,91.0,26.0,28.57,12,2012
Miño - Sil,Albarellos,2012-12-18,91.0,46.0,50.55,12,2012
Miño - Sil,Albarellos,2012-12-25,91.0,43.0,47.25,12,2012
Miño - Sil,Albarellos,2013-01-01,91.0,37.0,40.66,1,2013
Miño - Sil,Albarellos,2013-01-08,91.0,34.0,37.36,1,2013
Miño - Sil,Albarellos,2013-01-15,91.0,32.0,35.16,1,2013
Miño - Sil,Albarellos,2013-01-22,91.0,51.0,56.04,1,2013
Miño - Sil,Albarellos,2013-01-29,91.0,47.0,51.65,1,2013
Miño - Sil,Albarellos,2013-02-05,91.0,50.0,54.95,2,2013
Miño - Sil,Albarellos,2013-02-12,91.0,43.0,47.25,2,2013
Miño - Sil,Albarellos,2013-02-19,91.0,42.0,46.15,2,2013
Miño - Sil,Albarellos,2013-02-26,91.0,45.0,49.45,2,2013
Miño - Sil,Albarellos,2013-03-05,91.0,42.0,46.15,3,2013
Miño - Sil,Albarellos,2013-03-12,91.0,46.0,50.55,3,2013
Miño - Sil,Albarellos,2013-03-19,91.0,50.0,54.95,3,2013
Miño - Sil,Albarellos,2013-03-26,91.0,39.0,42.86,3,2013
Miño - Sil,Albarellos,2013-04-02,91.0,51.0,56.04,4,2013
Miño - Sil,Albarellos,2013-04-09,91.0,58.0,63.74,4,2013
Miño - Sil,Albarellos,2013-04-16,91.0,65.0,71.43,4,2013
Miño - Sil,Albarellos,2013-04-23,91.0,64.0,70.33,4,2013
Miño - Sil,Albarellos,2013-04-30,91.0,58.0,63.74,4,2013
Miño - Sil,Albarellos,2013-05-07,91.0,55.0,60.44,5,2013
Miño - Sil,Albarellos,2013-05-14,91.0,56.0,61.54,5,2013
Miño - Sil,Albarellos,2013-05-21,91.0,56.0,61.54,5,2013
Miño - Sil,Albarellos,2013-05-28,91.0,60.0,65.93,5,2013
Miño - Sil,Albarellos,2013-06-04,91.0,62.0,68.13,6,2013
Miño - Sil,Albarellos,2013-06-11,91.0,61.0,67.03,6,2013
Miño - Sil,Albarellos,2013-06-18,91.0,62.0,68.13,6,2013
Miño - Sil,Albarellos,2013-06-25,91.0,59.0,64.84,6,2013
Miño - Sil,Albarellos,2013-07-02,91.0,60.0,65.93,7,2013
Miño - Sil,Albarellos,2013-07-09,91.0,56.0,61.54,7,2013
Miño - Sil,Albarellos,2013-07-16,91.0,40.0,43.96,7,2013
Miño - Sil,Albarellos,2013-07-23,91.0,36.0,39.56,7,2013
Miño - Sil,Albarellos,2013-07-30,91.0,34.0,37.36,7,2013
Miño - Sil,Albarellos,2013-08-06,91.0,32.0,35.16,8,2013
Miño - Sil,Albarellos,2013-08-13,91.0,29.0,31.87,8,2013
Miño - Sil,Albarellos,2013-08-20,91.0,24.0,26.37,8,2013
Miño - Sil,Albarellos,2013-08-27,91.0,21.0,23.08,8,2013
Miño - Sil,Albarellos,2013-09-03,91.0,21.0,23.08,9,2013
Miño - Sil,Albarellos,2013-09-10,91.0,21.0,23.08,9,2013
Miño - Sil,Albarellos,2013-09-17,91.0,21.0,23.08,9,2013
Miño - Sil,Albarellos,2013-09-24,91.0,20.0,21.98,9,2013
Miño - Sil,Albarellos,2013-10-01,91.0,21.0,23.08,10,2013
Miño - Sil,Albarellos,2013-10-08,91.0,23.0,25.27,10,2013
Miño - Sil,Albarellos,2013-10-15,91.0,24.0,26.37,10,2013
Miño - Sil,Albarellos,2013-10-22,91.0,30.0,32.97,10,2013
Miño - Sil,Albarellos,2013-10-29,91.0,35.0,38.46,10,2013
Miño - Sil,Albarellos,2013-11-05,91.0,36.0,39.56,11,2013
Miño - Sil,Albarellos,2013-11-12,91.0,39.0,42.86,11,2013
Miño - Sil,Albarellos,2013-11-19,91.0,27.0,29.67,11,2013
Miño - Sil,Albarellos,2013-11-26,91.0,28.0,30.77,11,2013
