cuenca_hidrografica,embalse_nombre,porcentaje_medio_10
Cantábrico Occidental,Alfilorios,78.23
Cantábrico Occidental,Alsa - Mediajo,75.42
Cantábrico Occidental,Arbón,90.86
Cantábrico Occidental,"Barca, La",71.72
Cantábrico Occidental,"Cohilla, La",41.83
Cantábrico Occidental,Doiras,84.82
Cantábrico Occidental,Rioseco,76.01
Cantábrico Occidental,Salime,71.13
Cantábrico Occidental,Somiedo (Lagos),37.17
Cantábrico Occidental,Tanes,78.7
Cantábrico Oriental,Añarbe,76.81
Cantábrico Oriental,Ibiur,82.54
Cantábrico Oriental,Ordunte,82.0
Cantábrico Oriental,San Antón,93.91
Cuenca Mediterránea Andaluza,Benínar,13.05
Cuenca Mediterránea Andaluza,Béznar,74.56
Cuenca Mediterránea Andaluza,Casasola,52.69
Cuenca Mediterránea Andaluza,Charco Redondo,54.99
Cuenca Mediterránea Andaluza,Concepción,71.47
Cuenca Mediterránea Andaluza,Conde Guadalhorce,64.39
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,12.12
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,71.66
Cuenca Mediterránea Andaluza,Guadarranque,64.15
Cuenca Mediterránea Andaluza,Limonero,46.86
Cuenca Mediterránea Andaluza,Rules,74.94
Cuenca Mediterránea Andaluza,"Viñuela, La",52.25
Cuencas Internas de Cataluña,Boadella,65.34
Cuencas Internas de Cataluña,Catllar,3.54
Cuencas Internas de Cataluña,La Baells,82.37
Cuencas Internas de Cataluña,La Llosa del Cavall,81.67
Cuencas Internas de Cataluña,Riudecanyes,50.84
Cuencas Internas de Cataluña,Sant Pons,93.52
Cuencas Internas de Cataluña,Sau,71.53
Cuencas Internas de Cataluña,Susqueda,79.86
Cuencas Internas del País Vasco,Ibai-Eder,81.37
Cuencas Internas del País Vasco,Urkulu,84.12
Duero,"Agavanzal, Nª Sª de",83.34
Duero,Aguilar,55.4
Duero,Aldeadávila,94.05
Duero,Almendra,65.52
Duero,Arlanzón,79.37
Duero,Barrios de Luna,56.66
Duero,Burgomillodo,72.24
Duero,Camporredondo,52.75
Duero,Casares de Arbas,62.33
Duero,Castro,90.43
Duero,Castro de las Cogotas,55.6
Duero,Cernadilla,48.2
Duero,Cervera,61.89
Duero,Compuerto,57.51
Duero,Cuerda del Pozo,66.48
Duero,Linares del Arroyo,61.86
Duero,"Pontón Alto, El",88.12
Duero,Porma-(Juan Benet),59.0
Duero,Puente Porto,27.37
Duero,Requejada,47.06
Duero,Riaño,62.88
Duero,Ricobayo,56.1
Duero,Rábanos,100.0
Duero,San José,100.0
Duero,Santa Teresa,68.06
Duero,Saucelle,97.18
Duero,Serones,63.25
Duero,Valparaíso,89.97
Duero,"Vencías, Las",93.79
Duero,Villagonzalo,100.0
Duero,Villalcampo,93.29
Duero,Villameca,54.4
Duero,Águeda,60.76
Duero,Úzquiza,64.77
Ebro,Albiña,71.76
Ebro,Alcañiz (Estanca),72.22
Ebro,Alloz,62.83
Ebro,Barasona,69.23
Ebro,Baserca,59.01
Ebro,Búbal,50.36
Ebro,Calanda,57.28
Ebro,Camarasa,71.04
Ebro,Canelles,65.98
Ebro,Caspe,52.5
Ebro,Cavallers,61.69
Ebro,Certescáns,75.53
Ebro,Ciurana,66.95
Ebro,Cueva Foradada,63.07
Ebro,Ebro,68.15
Ebro,Enciso,45.79
Ebro,Escales,72.93
Ebro,Eúgui,76.04
Ebro,González Lacasa,58.65
Ebro,"Grado, El",86.06
Ebro,Guiamets,54.14
Ebro,Ip,54.02
Ebro,Irabia,62.44
Ebro,Itoiz,59.69
Ebro,Lanuza,55.68
Ebro,Las Fitas,78.33
Ebro,Laverné,69.82
Ebro,Lechago,54.19
Ebro,Llauset,65.81
Ebro,Loteta (La),33.2
Ebro,Maidevera,60.94
Ebro,Mansilla,62.31
Ebro,Mediano,59.81
Ebro,Mequinenza,77.8
Ebro,Moneva,29.21
Ebro,Monteagudo,44.67
Ebro,Montearagón,22.78
Ebro,Nagore,92.0
Ebro,Oliana,69.07
Ebro,Pajares,55.25
Ebro,Parras (Las),80.0
Ebro,Pena,68.17
Ebro,"Peña, La",77.02
Ebro,Puente de Santolea,81.08
Ebro,Rialb,71.42
Ebro,Ribarroja,95.89
Ebro,Sallente,33.49
Ebro,San Bartolomé,29.57
Ebro,San Lorenzo,90.0
Ebro,San Salvador,87.12
Ebro,Santa Ana,63.03
Ebro,Santa María de Belsué,13.76
Ebro,Santolea,48.77
Ebro,Sistema Aguas Limpias,48.1
Ebro,Sistema Alto Caldarés,41.59
Ebro,Sistema Capdella,60.0
Ebro,Sistema Escarra,59.85
Ebro,Sistema Lagos Espot,89.21
Ebro,Sistema Valle de Arán,53.04
Ebro,Sobrón,88.41
Ebro,Sotonera,71.28
Ebro,Terradets,94.74
Ebro,Terroba,12.5
Ebro,"Torcas, Las",57.61
Ebro,"Tranquera, La",59.4
