cuenca_hidrografica,embalse_nombre,volumen_medio_10
Cantábrico Occidental,Alfilorios,6.26
Cantábrico Occidental,Alsa - Mediajo,20.45
Cantábrico Occidental,Arbón,35.95
Cantábrico Occidental,"Barca, La",24.38
Cantábrico Occidental,"Cohilla, La",5.02
Cantábrico Occidental,Doiras,91.18
Cantábrico Occidental,Rioseco,3.04
Cantábrico Occidental,Salime,189.21
Cantábrico Occidental,Somiedo (Lagos),2.23
Cantábrico Occidental,Tanes,28.54
Cantábrico Oriental,Añarbe,31.26
Cantábrico Oriental,Ibiur,6.6
Cantábrico Oriental,Ordunte,18.04
Cantábrico Oriental,San Antón,4.7
Cuenca Mediterránea Andaluza,Benínar,8.16
Cuenca Mediterránea Andaluza,Béznar,39.52
Cuenca Mediterránea Andaluza,Casasola,11.83
Cuenca Mediterránea Andaluza,Charco Redondo,45.09
Cuenca Mediterránea Andaluza,Concepción,44.31
Cuenca Mediterránea Andaluza,Conde Guadalhorce,42.5
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,19.52
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,199.92
Cuenca Mediterránea Andaluza,Guadarranque,56.45
Cuenca Mediterránea Andaluza,Limonero,10.87
Cuenca Mediterránea Andaluza,Rules,83.19
Cuenca Mediterránea Andaluza,"Viñuela, La",86.22
Cuencas Internas de Cataluña,Boadella,39.85
Cuencas Internas de Cataluña,Catllar,2.09
Cuencas Internas de Cataluña,La Baells,89.78
Cuencas Internas de Cataluña,La Llosa del Cavall,65.34
Cuencas Internas de Cataluña,Riudecanyes,2.54
Cuencas Internas de Cataluña,Sant Pons,22.44
Cuencas Internas de Cataluña,Sau,118.03
Cuencas Internas de Cataluña,Susqueda,186.07
Cuencas Internas del País Vasco,Ibai-Eder,8.95
Cuencas Internas del País Vasco,Urkulu,8.41
Duero,"Agavanzal, Nª Sª de",30.0
Duero,Aguilar,136.83
Duero,Aldeadávila,107.27
Duero,Almendra,1733.48
Duero,Arlanzón,17.46
Duero,Barrios de Luna,174.52
Duero,Burgomillodo,10.11
Duero,Camporredondo,36.93
Duero,Casares de Arbas,23.06
Duero,Castro,24.36
Duero,Castro de las Cogotas,32.8
Duero,Cernadilla,122.92
Duero,Cervera,6.22
Duero,Compuerto,54.63
Duero,Cuerda del Pozo,165.53
Duero,Linares del Arroyo,34.11
Duero,"Pontón Alto, El",6.17
Duero,Porma-(Juan Benet),187.62
Duero,Puente Porto,6.3
Duero,Requejada,31.03
Duero,Riaño,403.8
Duero,Ricobayo,643.58
Duero,Rábanos,8.0
Duero,San José,6.0
Duero,Santa Teresa,337.6
Duero,Saucelle,175.89
Duero,Serones,3.8
Duero,Valparaíso,151.67
Duero,"Vencías, Las",4.69
Duero,Villagonzalo,6.0
Duero,Villalcampo,61.57
Duero,Villameca,10.88
Duero,Águeda,13.44
Duero,Úzquiza,48.58
Ebro,Albiña,3.59
Ebro,Alcañiz (Estanca),5.06
Ebro,Alloz,41.47
Ebro,Barasona,58.84
Ebro,Baserca,12.98
Ebro,Búbal,32.03
Ebro,Calanda,30.93
Ebro,Camarasa,95.77
Ebro,Canelles,448.03
Ebro,Caspe,43.05
Ebro,Cavallers,9.87
Ebro,Certescáns,12.08
Ebro,Ciurana,8.03
Ebro,Cueva Foradada,13.88
Ebro,Ebro,368.71
Ebro,Enciso,21.06
Ebro,Escales,110.85
Ebro,Eúgui,15.97
Ebro,González Lacasa,19.35
Ebro,"Grado, El",343.73
Ebro,Guiamets,5.41
Ebro,Ip,2.7
Ebro,Irabia,8.74
Ebro,Itoiz,248.91
Ebro,Lanuza,9.47
Ebro,Las Fitas,7.05
Ebro,Laverné,26.53
Ebro,Lechago,9.75
Ebro,Llauset,11.19
Ebro,Loteta (La),34.52
Ebro,Maidevera,12.19
Ebro,Mansilla,42.37
Ebro,Mediano,260.55
Ebro,Mequinenza,1193.42
Ebro,Moneva,2.34
Ebro,Monteagudo,4.47
Ebro,Montearagón,11.85
Ebro,Nagore,4.6
Ebro,Oliana,58.84
Ebro,Pajares,19.34
Ebro,Parras (Las),4.0
Ebro,Pena,12.27
Ebro,"Peña, La",11.55
Ebro,Puente de Santolea,14.59
Ebro,Rialb,288.55
Ebro,Ribarroja,201.36
Ebro,Sallente,2.01
Ebro,San Bartolomé,1.77
Ebro,San Lorenzo,9.0
Ebro,San Salvador,119.35
Ebro,Santa Ana,149.37
Ebro,Santa María de Belsué,1.93
Ebro,Santolea,28.36
Ebro,Sistema Aguas Limpias,8.66
Ebro,Sistema Alto Caldarés,7.49
Ebro,Sistema Capdella,30.0
Ebro,Sistema Escarra,2.99
Ebro,Sistema Lagos Espot,8.92
Ebro,Sistema Valle de Arán,12.0
Ebro,Sobrón,17.68
Ebro,Sotonera,134.72
Ebro,Terradets,25.87
Ebro,Terroba,1.0
Ebro,"Torcas, Las",4.03
Ebro,"Tranquera, La",49.23
Ebro,Tremp ó Talárn,147.74
Ebro,Ullivarri,113.92
Ebro,Urdalur,4.37
Ebro,Urdiceto,1.99
Ebro,Urrunaga,51.09
Ebro,Vadiello,11.09
Ebro,"Val, El",17.78
Ebro,Valdepatao,0.94
Ebro,Yesa,279.54
Galicia Costa,Barrie de la Maza,15.51
Galicia Costa,Cecebre,15.16
Galicia Costa,Eiras,19.22
Galicia Costa,Eume,102.79
Galicia Costa,Fervenza,63.74
Galicia Costa,"Forcadas, As",8.65
Galicia Costa,Portodemouros,216.73
Galicia Costa,"Ribeira, A",25.78
Galicia Costa,Riocobo,4.13
Galicia Costa,Sta Uxia,13.86
Galicia Costa,Villagudín,14.58
Guadalete-Barbate,Almodóvar,3.53
Guadalete-Barbate,Arcos de la Frontera,13.26
Guadalete-Barbate,Barbate,130.34
Guadalete-Barbate,Bornos,102.66
Guadalete-Barbate,Celemín,25.64
Guadalete-Barbate,Guadalcacín II,496.87
Guadalete-Barbate,"Hurones, Los",90.08
Guadalete-Barbate,Zahara-El Gastor,165.43
Guadalquivir,Agrio (Aznalcollar),13.69
Guadalquivir,Aguascebas,4.64
Guadalquivir,Alcalá del Río,17.0
Guadalquivir,Aracena,93.89
Guadalquivir,Arenoso,85.06
Guadalquivir,Bembézar,213.55
Guadalquivir,Bermejales,63.07
