nombre,acceso,observaciones,señalizacion externa,latitud,longitud
Observatorio de aves de Saucelle,Pista,,Si,41.19341344912929,-6.6710750659257165
Observatorio de aves de Aldeadávila,Pista,,Si,41.03463319994544,-6.763018047463989
Punto de información y  observación fauna,Entrada de La Fuentona,Se trata de un antiguo refugio de pescadores con un uso actual de punto de información. Está dotado de telescopio terrestre para que los visitantes puedan contemplar los buitres que nidifican en los cortados situados enfrente,Si,41.73131170037756,-2.8585024056938515
Observatorio Astronómico de La Lora,"Está sirtuado en el páramo de Lora en rebollar de ebro, Valderredible. A medio camino entre la carretea de Rocamundo y sargentes de la Lora",Con calendario de visitas. Pertenece a Cantabria.,No,42.770590409316014,-3.944962662860558
Observatorio del Valle Valderredible,"Está sirtuado en el páramo de Lora en rebollar de ebro, Valderredible. A medio camino entre la carretea de Rocamundo y sargentes de la Lora","Con cartel informativo en forma de mesa inclinada deteriorado, con información del valle de Valderredible.",No,42.770762592402164,-3.9440704034968417
Observatorio Lagunas de la Casa del Parque I,,,Si,41.854523074354084,-5.593781378915888
Observatorio Lagunas de la Casa del Parque II,,,Si,41.854523074354084,-5.593781378915888
Observatorio Lagunas de la Casa del Parque III,,,Si,41.854797019699596,-5.593206934707988
Observatorio Lagunas de la Casa del Parque IV,,,Si,41.85377712794998,-5.594567557515106
Observatorio Lagunas de la Casa del Parque V,,,Si,41.8533627416667,-5.592788648764648
Observatorio Lagunas de la Casa del Parque VI,,,Si,41.853259502997375,-5.590836543076818
Observatorio Lagunas de la Casa del Parque VII,,,Si,41.853259502997375,-5.590836543076818
Observatorio Lagunas de la Casa del Parque VIII,,,Si,41.85231775683457,-5.590601471379647
Observatorio Lagunas de la Casa del Parque IX,,,Si,41.85235230550294,-5.592426917049747
Observatorio Lagunas de la Casa del Parque X,,,Si,41.85189450462247,-5.595921379836227
Observatorio Laguna Revellinos,,Telescopio gratuito,Si,41.862963700669305,-5.56033223310901
Observatorio Laguna San Pedro,,Telescopio gratuito,Si,41.80215027860613,-5.638946462636192
Observatorio Laguna Grande,,Telescopio gratuito,Si,41.82422795614576,-5.605635549295762
Observatorio de aves Sobrón,,,Si,42.76683702489194,-3.203303738533867
Observatorio del Prao,,Estructura de madera,Si,42.0612697820966,-4.747407281076544
Observatorio Colada de Carrepalencia,,Adaptación asistida con rampa.,Si,42.064065487239375,-4.742975081135256
Observatorio Corralillos,,Puesto de observación adaptado para personanas con discapacidad.,Si,42.073237224624364,-4.765481456575472
Punto de observación Confitero,,,Si,42.06807924753696,-4.740842454477811
Punto de observación Cantarranas,,,Si,42.06015642233063,-4.7507289331816525
Observatorio de la Güera,,Tiene una rampa y puesto para personas con dicapacidad,Si,42.05158261552226,-4.732089168059188
Observatorio Laguna de Pedraza,,Asociado a Laguna de Pedraza,Si,42.00080743011788,-4.751886190744543
Observatorio Laguna de Boada,,,Si,41.98297488112767,-4.867987080607095
Punto de Observación de Aves Vega de Burón,,,No,43.021293328072915,-5.0412236337990475
Punto de Observación de Aves Vega de Pedrosa,,,No,42.973699499827084,-4.962244002970322
Observatorio de aves Senda Los Almendros,,"Situado sobre la lámina de agua del embalse de San José del Duero (Castronuño) y por tanto de la Confederación Hidrográfica del Duero, aunque el mirador-observatorio es de propiedad de la Consejería",No,41.39426798068789,-5.267731208975636
Observatorio La Lancha de las Víboras,,Caseta de madera,Si,40.404350384198196,-4.5783382089335
