nombre,acceso,observaciones,señalizacion externa,web,latitud,longitud
Área Recreativa de La Fuentona,"A las afueras de Torrearevalo, en la pista al Acebal",Propuesta de Fundación Patrimonio Natural pendiente de adjudicación,Si,,41.96025654952686,-2.3923898521272995
Área natural de Los Navazos,Pista,"No dispone de infraestructura de uso público, se han arreglado únicamente unos abrevaderos existentes",Si,,41.15819197929303,-6.651336362408923
Merendero de Saucelle,Carretera,Se colocaron unas mesas de piedra en un área (antigua escombrera) restaurada por el Ayuntamiento,No,,41.052627450065124,-6.7536629886596105
Parque municipal de Cerezal de Peñahorcada,Carretera,Se realizó un acondicionamiento por parte del Parque Natural,No,,41.12959038798246,-6.6533101821834215
Entorno de la ermita de La Peña,Carretera,Se acondicionó colocando unos bancos de piedra,No,,41.17414465892953,-6.521264823691921
El Charco de los Mozos,Este área recreativa se encuentra junto al río Agadón a unos 900 m. de la población de Monsagro y a la que se accede bajando por una pista asfaltada que sale del mismo pueblo hacia el río.,La barbacoa tiene matachispas,No,,40.49973560147001,-6.274533548383989
El Hortigal,Este área recreativa está situada en la segunda carretera que va a Monforte de la Sierra y a la que se accede desde la carretera que va de La Alberca a Sotoserrano.,La barbacoa tiene matachispas,Si,,40.47071866044174,-6.071085120308851
El Vao,"Este área recreativa está a unos 5,5 km del pueblo de Monsagro por una pista que sale por la parte oeste del pueblo.","En las inmediaciones de esta área recreativa se inicia el sendero GR 10 hacia la Peña de Francia.
La barbacoa tiene matachispas",Si,,40.49226908134078,-6.310771165324581
Fuente del Cántaro,"Este área recreativa está ubicado a la salida de la población de El Casarito (Nava de Francia), en la carretera SA- 201 (El Cabaco-La Alberca) .","En las inmediaciones de este área recreativa se inicia el sendero adaptado ""Senda de los Castaños Centenarios"" y el sendero PRCSA-17.
La barbacoa tiene matachispas",No,,40.5213443706462,-6.137815361171867
Fuente Castaño,"Este área recreativa está situada a un 1,3 km del casco urbano de La Alberca en la carretera que va desde La Alberca a Mogarraz y Sotoserrano.","Por la parte más alta de esta área recreativa pasa el sendero GR 10 en el tramo que va desde La Alberca a Monforte de la Sierra.
Una de las barbacoas tiene matachispas.",Si,,40.48910894712796,-6.0968830751430145
La Dehesa,Este área recreativa se encuentra a unos 500 m del pueblo de El Cabaco por la carretera SA-220 (a Ciudad Rodrigo).,"En las inmediaciones de este área recreativa está ubicado el camping ""Las Cávenes"". Este área recreativa está dotado de zona deportiva con frontón, campo de fútbol, pista polideportiva, además de contar con el centro de interpretación de la minería roman",Si,,40.56757509184169,-6.13373541738499
La Hoya,Este área recreativa está situada a las afueras del pueblo de El Maíllo (a unos 500 m) en la carretera que va desde El Maíllo a La Alberca y Peña de Francia.,"Este área recreativa cuenta con una pequeña piscina y con zona deportiva (frontón, pista fútbol)
Dos de las barbacoas tienen matachispas",Si,,40.561510797255444,-6.177113617666245
La Legoriza,Este área recreativa está situada a unos 3 km de San Martín del Castañar. En la carretera que va desde la población de El Casarito (Nava de Francia) hasta la población de San Martín del Castañar.,La barbacoa tiene matachispas,No,,40.522405258892164,-6.097219301449816
La Regajera,"Este área recreativa está situada en la carretera que va desde la población de Mogarraz a la población de Miranda del Castañar, a unos 2 km de Miranda del Castañar.","Este área recreativa está situada en el sendero GR 10, en el tramo que une Miranda del Castañar con Mogarraz
La barbacoa tiene matachispas",Si,,40.485850581734645,-6.011292948879307
Las Eras,"Este área recreativa está ubicada en la población de El Casarito (Nava de Francia), en el cruce de la carretera que sube a la Peña de Francia desde esta población .",La barbacoa tiene matachispas,No,,40.5265316115541,-6.13917111296748
Los Llanos,Este área recreativa está dentro del casco urbano de la población de Cepeda,"Esta área recreativa está en la trayectoria de los senderos PRSA-12 (Cepeda-Mogarraz) y PRSA-19 (Cepeda-Monforte)
Una de las barbacoas tiene matachispas",Si,,40.46946912612354,-6.036698033919245
Peñalvo,"Este área recreativa está ubicada en la carretera que va desde Mogarraz a la población de Las Casas del Conde, a unos 3,8 km de la población de Mogarraz.",La barbacoa tiene matachispas,No,,40.50497840876754,-6.046173568771711
Río Gabín,"Este área recreativa se encuentra a unos 3 km de el pueblo de El Cabaco. Está situada en la carretera SA-203, carretera que sube a la Peña de Francia y a la que se accede por la carretera SA-201 (El Cabaco-La Alberca).",La barbacoa tiene matachispas,Si,,40.54039420836892,-6.138574231538768
Fuente del Pino,Pista forestal dede Santa María de las Hoyas,Son mesas de madera con bancos adosados. Cuatro de las mesas se recogen durante el invierno. Barbacoas con matachispas.,Si,,41.793222631108506,-3.1432513807240112
Fuente Engomez,Pista forestal de entrada al cañón desde El Nacedero,Son mesas de piedra con bancos adosados. Hay un restaurante de propiedad particular. Pendiente de colocar matachispas en las barbacoas.,Si,,41.73373529184107,-3.048004368588054
Siete Ojos,Carretera S0-960 PK 5,Son mesas de piedra con bancos adosados. Hay un helipuerto y punto de agua para servicio de incendios,Si,,41.79419663289645,-3.106905169273457
Agualinos,Camino agrícola desde Hontoria del Pinar.,Son mesas de piedra con bancos adosados.,No,,41.842582849929066,-3.154944878093582
Ermita de la Virgen del Valle,Pista forestal de La Fuentona,Esta junto a la Ermita y a la necrópolis. Está dotado de riego,No,,41.72719127619774,-2.8576811431181834
N-623,Carretera,Area de descanso con 1 cubo de basura,Si,,42.72188430489911,-3.801441323455812
N-623,Carretera,Fuente no potable. Dos cubos de basura,Si,,42.715965628434624,-3.8004614374615913
N-623,Carretera,Area de descanso con 1 cubo de basura,Si,,42.693843592755535,-3.8024357382898457
N-623,Carretera,Area de descanso con 2 cubo de basura,Si,,42.68417658917882,-3.7965866363368623
N-623,Carretera,Area de descanso con 1 cubo de basura,Si,,42.705201704657256,-3.8021058177542923
N-623,Carretera,Area de descanso con 2 cubo de basura,Si,,42.74590446163405,-3.8035956471811843
San Felices del Rudrón,Puente,Junto a rio,No,,42.75281492711666,-3.8018275508943504
Valdelateja,Carretera,Vistas panorámicas con 3 cubos de basura,Si,,42.77398535551777,-3.77316701767574
Quintanilla Escalada,Carretera,Vistas panorámicas con 3 cubos de basura,Si,,42.78910568361796,-3.7663981851257895
Covanera,Calle,Junto al Rudrón,No,,42.73548047164158,-3.801714120409975
Tablada del Rudrón,Pasarela,5 cubos de basura,No,,42.723785909805265,-3.842638780357044
