nombre,acceso,observaciones,señalizacion externa,latitud,longitud
Refugio del Pastor,,Refugio de 20x20m adosado a la taina,No,41.97594421811293,-2.4216914915689713
Costalago,Pista forestal desde Hontoria del Pinar y desde Espeja de San Marcelino,Tiene cerca una fuente,No,41.8115972068461,-3.1753284543579663
Fuente del Pino,Pista forestal desde Santa María de las Hoyas,Tiene cerca una fuente,No,41.79015688693406,-3.1386832427237423
Refugio del Cristo Sierra,,"Refugio de piedra con dos estancias: una capilla y una estancia comedor-refugio con chimenea. Techo 2,15m, altura max. 4m aprox., anchura muro 40 cm. El interior del refugio tiene las paredes llenas de pintadas. Hay tres bancos y una mesa en el interior",No,42.85135142842837,-4.741300924280982
Refugio de Santa Marina,,"Refugio de montaña construído en piedra, en un enclave muy emblemático. Interior abajo: 480anchox390largox240alt. Arriba: 480x390x204en el centro y cero a los extremos. Frente ext. Incl. Alas de piedra 11,2 m",No,42.9742768284834,-4.606141419814238
Refugio de Mazobre,,"Refugio con paredes de piedra rejuntada. Anchura de muros 60 cm. y cubierta de tejas coloración gris. Tiene una puerta y una ventana, ambas de madera en la fachada. Dotaciones: 4bancos de metal, dos mesas en el interior y una escalera metalica en el inte",No,42.952532701694444,-4.777062127604179
Refugio de Postil Soña,,"Refugio de montaña. De planta rectangular con muros de piedra y cubierta de teja. Altura total: 1,80+2,30m, anchura pared 50 cm. Dotaciones: mesa de madera tipo camping con dos bancos acoplados, banco de piedra en el interior y banco de piedra en la fach",No,42.960162583759306,-4.693226582414925
Caseta refugio junto al sendero,,"Caseta refugio con estructura de madera y cubierta de tejas. Paredes de mampostería de coloración rojiza. Banco interior de madera en ángulo: 40 anch.x 50 alt x (1,80+3,50) long. Anch.muro 50, alt vita ant 2,70.",No,42.91675954859096,-4.475459701396004
Casa del Dolar,Río Frío-La Mina-Caseta el Dolar,Fuente natural cercana.,No,42.0456252507547,-2.944957870281135
Refugio en Matanoso,,RDM.01 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.132400914148484,-6.779486450184807
Refugio de la Agrupación Montañera Zamorana en Chanos de Anta,,RDM.02 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.15259603338269,-6.726680748182988
Refugio de la majada,,RDM.04 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.186176385904965,-6.7159186909896835
Refugio de Cubellos,,RDM.06 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.06988757250989,-6.7542775462475735
Refugio de Peña Cueva,,RDM.07 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.08640052552907,-6.750341153581084
Refugio de Puente Porto,,RDM.08 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.11748654855109,-6.828126383030869
Refugio en As Corvaceiras,,RDM.09 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.149923466714846,-6.860486300839933
Refugio de Valdesirgas,,RDM.10 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.14798903170844,-6.877477122158696
Chozo de la majada de Valdesirgas,,RDM.11 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.135728118108716,-6.880369443224023
Refugio de la Sierra de Rábano,,RDM.12 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.177218948686125,-6.809163907820946
Refugio de los Puertos de Ungilde y Quintana,,RDM.13 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.12518828682831,-6.833043090631666
Refugio de la Porpasa,,RDM.15 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.19218599582605,-6.885127307819423
Refugio de Corrais,,RDM.16 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.1853289587033,-6.919145558832725
Refugio de Pescadores Coto de Galende,,RDP.01 / Sirve principalmente para dar cobijo a los pescadores que vienen a este coto.,Si,42.122895365559515,-6.6858493913642665
Refugio de Pescadores Orilla del Lago,,RDP.02 / Se utiliza como centro de socorro durante los meses veraniegos.,Si,42.1175221550251,-6.720958987775617
Refugio de montaña de Ríopedro,,En el GR84,Si,42.21494586198043,-6.756860605873188
Refugio de montaña de Campo Laiol,,En el GR84,Si,42.102909333253265,-6.86509247235083
Refugio de montaña del Marmolin,,En el GR84,Si,42.086350718761736,-6.818191986359196
Refugio de montaña de Sotillo de Sanabria,,En el GR84,Si,42.102446350535324,-6.759349270005513
Refugio de la Agrupación Montañera Zamorana en Vega de Conde,,RDM.03 / Cabaña construida con piedra y cubierta de pizarras. Están equipadas con chimeneas y tarimas - camas.,Si,42.20435280323211,-6.770258176544844
Refugiode montaña de la Majada Murias,,En el GR84,Si,42.192225638785395,-6.725076889697868
Ocejo,,Se puede acceder por una pista forestal en vehículo pero restringida a vehiculos autorizados. Se puede solicitar permiso a la Casa Forestal.,No,42.71160479711914,-3.419929409591949
Pociles,,Se puede acceder por una pista forestal en vehículo pero restringida a vehiculos autorizados. Se puede solicitar permiso a la Casa Forestal.,No,42.76145633123603,-3.399780756652776
Refugio Pico del Ángel,Pista forestal de tierra-grava,Gestionado desde La Casa del Parque. Punto de agua no potable para extinción de incendios forestales. Señalización usos y servicios.,Si,43.06645719928565,-3.653533502410445
Ampurias-Finisterre-Tramo leonés,,De madera y piedra,No,43.05817191169544,-4.792625457655235
Aprisco La Horcada,,Paraje: La Horcada,No,43.081045266735245,-5.135296497925694
Arroyo de Orpiñas,,Piedra,No,43.05817191169544,-4.792625457655235
Becenes,,Paraje: Becenes,No,43.09371144340194,-5.067122901450807
Boca Culebrejas,,Paraje: Boca Culebrejas,No,43.05817191169544,-4.792625457655235
