Provincia de origen;Provincia de origen;CCAA y provincia de destino;CCAA y provincia de destino;CCAA y provincia de destino;Concepto turístico;Periodo;Total
Total Nacional;;Total Nacional;;;Turistas;2024M03;13.731.096
Total Nacional;;Total Nacional;;;Turistas;2024M02;11.417.409
Total Nacional;;Total Nacional;;;Turistas;2024M01;12.309.342
Total Nacional;;Total Nacional;;;Turistas;2023M12;13.798.843
Total Nacional;;Total Nacional;;;Turistas;2023M11;11.998.384
Total Nacional;;Total Nacional;;;Turistas;2023M10;15.408.034
Total Nacional;;Total Nacional;;;Turistas;2023M09;15.605.926
Total Nacional;;Total Nacional;;;Turistas;2023M08;20.479.322
Total Nacional;;Total Nacional;;;Turistas;2023M07;20.198.460
Total Nacional;;Total Nacional;;;Turistas;2023M06;14.863.822
Total Nacional;;Total Nacional;;;Turistas;2023M05;14.851.547
Total Nacional;;Total Nacional;;;Turistas;2023M04;15.697.635
Total Nacional;;Total Nacional;;;Turistas;2023M03;12.130.751
Total Nacional;;Total Nacional;;;Turistas;2023M02;10.800.776
Total Nacional;;Total Nacional;;;Turistas;2023M01;12.072.364
Total Nacional;;Total Nacional;;;Turistas;2022M12;12.735.424
Total Nacional;;Total Nacional;;;Turistas;2022M11;12.305.839
Total Nacional;;Total Nacional;;;Turistas;2022M10;14.235.901
Total Nacional;;Total Nacional;;;Turistas;2022M09;15.824.069
Total Nacional;;Total Nacional;;;Turistas;2022M08;20.374.277
Total Nacional;;Total Nacional;;;Turistas;2022M07;19.490.046
Total Nacional;;Total Nacional;;;Turistas;2022M06;15.204.532
Total Nacional;;Total Nacional;;;Turistas;2022M05;14.998.516
Total Nacional;;Total Nacional;;;Turistas;2022M04;14.901.521
Total Nacional;;Total Nacional;;;Turistas;2022M03;10.972.192
Total Nacional;;Total Nacional;;;Turistas;2022M02;10.187.141
Total Nacional;;Total Nacional;;;Turistas;2022M01;10.637.760
Total Nacional;;Total Nacional;;;Turistas;2021M12;12.756.693
Total Nacional;;Total Nacional;;;Turistas;2021M11;13.115.530
Total Nacional;;Total Nacional;;;Turistas;2021M10;14.940.382
Total Nacional;;Total Nacional;;;Turistas;2021M09;16.204.676
Total Nacional;;Total Nacional;;;Turistas;2021M08;22.502.659
Total Nacional;;Total Nacional;;;Turistas;2021M07;18.621.666
Total Nacional;;Total Nacional;;;Turistas;2021M06;15.191.492
Total Nacional;;Total Nacional;;;Turistas;2021M05;12.400.638
