ID;TERMS (PT-NPT);RELATIONS;PT;MT
c_9ffd3927;2G;;;3226 comunicación
c_18cee978;3G;;;3226 comunicación
c_ad1c90d4;4G;;;3226 comunicación
c_83235c0f;5G;;;3226 comunicación
4381;AAC;USE;arancel aduanero común;2011 política arancelaria
c_047e5912;ABE;USE;Autoridad Bancaria Europea;1006 instituciones de la Unión Europea y función pública europea
468;ABS;USE;dispositivo de seguridad;4811 organización de los transportes
434938;AC;USE;aplicación conjunta;5206 política del medio ambiente
c_896e199b;ACC;USE;calificación crediticia;2416 instituciones financieras y de crédito
7185;ACLC;;;7611 organizaciones europeas
8385;ACNUDH;USE;Alto Comisionado para los Derechos Humanos;7606 Naciones Unidas
3710;ACNUR;;;7606 Naciones Unidas
5446;ACRAS;USE;Asociación de Cooperación Regional del Sur de Asia;7616 organizaciones extraeuropeas
6260;ADN;;;3606 ciencias naturales y aplicadas
3700;ADNR;USE;Acuerdo ADN;4821 transporte marítimo y fluvial
435469;ADR;USE;modalidades alternativas de solución de conflictos;1221 justicia
4046;AEC;USE;Asociación Europea de Cooperación;1006 instituciones de la Unión Europea y función pública europea
7415;AEC (Asociación de Estados del Caribe);USE;Asociación de Estados del Caribe;7616 organizaciones extraeuropeas
8284;AECP;USE;Agencia Europea de Control de la Pesca;1006 instituciones de la Unión Europea y función pública europea
7982;AED;USE;Agencia Europea de Defensa;1016 construcción europea
2829;AEE;USE;Agencia Espacial Europea;7611 organizaciones europeas
388;AEE;USE;Agencia de Abastecimiento de Euratom;1016 construcción europea
428;AEEN;USE;Agencia para la Energía Nuclear;7621 organizaciones mundiales
5658;AEIE;USE;Agrupación Europea de Interés Económico;4016 forma jurídica de la sociedad
176;AELC;;;7611 organizaciones europeas
5310;AEMA;USE;Agencia Europea de Medio Ambiente;1006 instituciones de la Unión Europea y función pública europea
428;AEN;USE;Agencia para la Energía Nuclear;7621 organizaciones mundiales
421;AEP;USE;Asociación Europea de Centros Nacionales de Productividad;7611 organizaciones europeas
7221;AER;USE;Agencia Europea de Reconstrucción;1006 instituciones de la Unión Europea y función pública europea
7937;AESA;USE;Agencia Europea de Seguridad Aérea;1006 instituciones de la Unión Europea y función pública europea
c_f5ed5adb;AESPJ;USE;Autoridad Europea de Seguros y Pensiones de Jubilación;1006 instituciones de la Unión Europea y función pública europea
1283;AETR;USE;Acuerdo AETR;4816 transporte terrestre
c_96124aaf;AEVM;USE;Autoridad Europea de Valores y Mercados;1006 instituciones de la Unión Europea y función pública europea
7985;AFE;USE;Agencia Ferroviaria de la Unión Europea;1006 instituciones de la Unión Europea y función pública europea
6115;AGCS;;;2021 comercio internacional
1024;AIE;USE;Agencia Internacional de Energía;7621 organizaciones mundiales
703;AIF;USE;Asociación Internacional de Fomento;7606 Naciones Unidas
1044;AISS;USE;Asociación Internacional de la Seguridad Social;7626 organizaciones no gubernamentales
1094;ALADI;;;7616 organizaciones extraeuropeas
1094;ALALC;USE;ALADI;7616 organizaciones extraeuropeas
7220;ALCA;USE;Área de Libre Comercio de las Américas;7616 organizaciones extraeuropeas
5430;ALCAN;USE;TLCAN;7616 organizaciones extraeuropeas
c_9104c45f;ALPC;USE;arma ligera;0821 defensa
c_2f64fd66;AMA;USE;Agencia Mundial Antidopaje;7626 organizaciones no gubernamentales
4437;AME;USE;Acuerdo Monetario Europeo;2406 relaciones monetarias
4524;AMF;USE;Acuerdo Multifibras;2021 comercio internacional
1838;ANASE;USE;ASEAN;7616 organizaciones extraeuropeas
2603;ANT;USE;arma nuclear táctica;0821 defensa
2070;ANZUS;;;7621 organizaciones mundiales
c_6547ccb7;AO;USE;Asociación Oriental;1016 construcción europea
6146;APDIC;;;2021 comercio internacional
6131;APEC;USE;Cooperación Económica Asia-Pacífico;7616 organizaciones extraeuropeas
6131;APEC;USE;Cooperación Económica Asia-Pacífico;7621 organizaciones mundiales
c_e45400c4;API;USE;interfaz de programación de aplicaciones;3236 informática y tratamiento de datos
7934;APP;USE;asociación sectores público y privado;0436 poder ejecutivo y administración pública
4615;APPU;USE;Unión de Parlamentarios de Asia y el Pacífico;7616 organizaciones extraeuropeas
5713;ARYM;USE;Macedonia del Norte;7206 Europa
5713;ARYM;USE;Macedonia del Norte;7231 geografía económica
5713;ARYM;USE;Macedonia del Norte;7236 geografía política
1838;ASA;USE;ASEAN;7616 organizaciones extraeuropeas
1838;ASEAN;;;7616 organizaciones extraeuropeas
120;ASPAC;USE;Consejo de Asia y el Pacífico;7616 organizaciones extraeuropeas
5785;ATS;USE;personal sanitario;2841 sanidad
5652;Abjazia;USE;Georgia;7206 Europa
5652;Abjazia;USE;Georgia;7236 geografía política
5075;Abruzos;;;7211 regiones de los Estados miembros de la UE
c_9fe65404;Academia Internacional Anticorrupción;;;7621 organizaciones mundiales
3514;Acta Final de Helsinki;USE;OSCE;7621 organizaciones mundiales
12;Acta de adhesión;USE;adhesión a la Unión Europea;1016 construcción europea
4034;Acta Única Europea;;;1011 Derecho de la Unión Europea
3509;Acuerdo ABM;;;0816 seguridad internacional
3700;Acuerdo ADN;;;4821 transporte marítimo y fluvial
1195;Acuerdo ADR;;;4816 transporte terrestre
1283;Acuerdo AETR;;;4816 transporte terrestre
5401;Acuerdo ATP;;;4811 organización de los transportes
7185;Acuerdo Centroeuropeo de Libre Comercio;USE;ACLC;7611 organizaciones europeas
1136;Acuerdo General sobre Aranceles Aduaneros y Comercio;USE;GATT;2021 comercio internacional
6115;Acuerdo General sobre el Comercio de Servicios;USE;AGCS;2021 comercio internacional
5407;Acuerdo Interino (UE);;;1016 construcción europea
2949;Acuerdo MBFR;USE;reducción de fuerzas;0816 seguridad internacional
4437;Acuerdo Monetario Europeo;;;2406 relaciones monetarias
4524;Acuerdo Multifibras;;;2021 comercio internacional
4794;Acuerdo SALT;;;0816 seguridad internacional
3508;Acuerdo START;;;0816 seguridad internacional
4520;Acuerdo TIR;USE;transporte internacional por carretera;4816 transporte terrestre
1663;Acuerdo de Asociación;;;0806 política internacional
4048;Acuerdo de Asociación (UE);;;1016 construcción europea
4048;Acuerdo de Asociación CE;USE;Acuerdo de Asociación (UE);1016 construcción europea
1858;Acuerdo de Bretton Woods;;;2406 relaciones monetarias
1190;Acuerdo de Cartagena;USE;Comunidad Andina;7616 organizaciones extraeuropeas
2095;Acuerdo de Cooperación;;;0806 política internacional
5404;Acuerdo de Cooperación (UE);;;1016 construcción europea
5404;Acuerdo de Cooperación CE;USE;Acuerdo de Cooperación (UE);1016 construcción europea
7813;Acuerdo de Cotonú;;;1016 construcción europea
5430;Acuerdo de Libre Comercio de América del Norte;USE;TLCAN;7616 organizaciones extraeuropeas
