parameter,value,total_chargers,mean_chargers_per_segment,is_baseline
charging_probability_b1,0.06,3498,2.701,False
charging_probability_b1,0.07,3552,2.743,False
charging_probability_b1,0.08,3610,2.788,False
charging_probability_b1,0.09,3675,2.838,False
charging_probability_b1,0.1,3749,2.895,False
charging_probability_b1,0.11,3811,2.943,False
charging_probability_b1,0.12,3871,2.989,True
charging_probability_b1,0.13,3939,3.042,False
charging_probability_b1,0.14,3999,3.088,False
charging_probability_b1,0.15,4053,3.13,False
charging_probability_b1,0.16,4119,3.181,False
charging_probability_b1,0.17,4170,3.22,False
charging_probability_b1,0.18,4234,3.269,False
mediterranean_peak_multiplier,1.0,3546,2.738,False
mediterranean_peak_multiplier,1.25,3599,2.779,False
mediterranean_peak_multiplier,1.5,3657,2.824,False
mediterranean_peak_multiplier,1.75,3712,2.866,False
mediterranean_peak_multiplier,2.0,3772,2.913,False
mediterranean_peak_multiplier,2.25,3824,2.953,False
mediterranean_peak_multiplier,2.5,3871,2.989,True
mediterranean_peak_multiplier,2.75,3917,3.025,False
mediterranean_peak_multiplier,3.0,3953,3.053,False
