segment_id,route_segment,imd_total,daily_bev_traffic_2027,seasonal_multiplier,simulated_charging_rate,n_chargers_stochastic,is_tent,tent_tier
0,A-7S,102470.0,3513.3,2.5,0.131,12,True,Comprehensive
1,A-7S,35364.8,1212.5,2.5,0.132,8,True,Comprehensive
2,A-7S,62093.2,2128.9,2.5,0.1285,12,False,None
3,A-7S,39802.0,1364.6,2.5,0.122,8,True,Comprehensive
4,A-7S,25038.5,858.5,2.5,0.1315,6,True,Comprehensive
5,A-7S,54861.2,1881.0,2.5,0.1065,10,True,Comprehensive
6,A-7S,35364.8,1212.5,2.5,0.1325,8,True,Comprehensive
7,A-7S,67813.0,2325.0,2.5,0.1345,12,True,Core
8,A-7S,35364.8,1212.5,2.5,0.107,7,True,Core
9,A-7S,45253.0,1551.5,2.5,0.1255,10,True,Core
10,N-3,4061.0,139.2,1.0,0.123,2,False,None
11,N-3,1374.8,47.1,1.0,0.1095,2,False,None
12,N-3,8056.2,276.2,1.0,0.127,2,False,None
13,N-3,478.5,16.4,1.0,0.1265,2,False,None
14,A-1,23408.9,802.6,1.0,0.119,2,False,None
15,A-1,82398.6,2825.1,1.0,0.1255,7,True,Core
16,A-1,63356.8,2172.2,1.0,0.139,6,True,Core
17,A-1,23122.1,792.8,1.0,0.131,4,True,Core
18,A-1,16850.2,577.7,1.0,0.1245,4,True,Core
19,A-1,23695.7,812.4,1.0,0.1155,4,True,Core
20,A-1,23408.9,802.6,1.0,0.1355,4,True,Comprehensive
21,A-1,11521.8,395.0,1.0,0.1275,4,True,Comprehensive
22,A-1,8380.0,287.3,1.0,0.135,2,False,None
23,A-23,22326.0,765.5,1.0,0.122,4,True,Comprehensive
24,A-23,16353.5,560.7,1.0,0.124,4,True,Core
25,A-23,10213.1,350.2,1.0,0.1165,4,True,Core
26,A-23,8867.4,304.0,1.0,0.127,4,True,Core
27,A-23,12828.4,439.8,1.0,0.1235,4,True,Core
28,A-23,19014.0,651.9,1.0,0.1365,2,False,None
29,A-23,18935.2,649.2,1.0,0.135,4,True,Comprehensive
30,A-23,19066.6,653.7,1.0,0.132,4,True,Comprehensive
31,A-23,8993.8,308.4,1.0,0.133,4,True,Comprehensive
32,A-23,11520.8,395.0,1.0,0.1345,2,False,None
33,A-23,11520.8,395.0,1.0,0.1255,4,True,Comprehensive
34,A-23,11520.8,395.0,1.0,0.129,4,True,Comprehensive
35,A-23,11520.8,395.0,1.0,0.1325,4,True,Comprehensive
36,A-23,8007.0,274.5,1.0,0.1245,4,True,Comprehensive
37,A-23,7183.5,246.3,1.0,0.1205,4,True,Comprehensive
38,A-23,11520.8,395.0,1.0,0.1225,2,False,None
39,A-23,7707.5,264.3,1.0,0.1135,4,True,Comprehensive
40,A-23,11520.8,395.0,1.0,0.122,2,False,None
41,A-26,14400.8,493.7,1.0,0.133,2,False,None
42,A-26,14400.8,493.7,1.0,0.1325,2,False,None
43,A-27,25707.8,881.4,1.0,0.1205,4,True,Core
44,A-27,21133.8,724.6,1.0,0.122,4,True,Core
45,A-3,44162.3,1514.1,2.5,0.1225,9,False,None
46,A-3,65651.6,2250.9,2.5,0.1295,12,True,Core
47,A-3,31633.2,1084.6,2.5,0.127,7,True,Core
48,A-3,28484.2,976.6,2.5,0.126,6,True,Core
49,A-3,24079.0,825.6,2.5,0.125,5,True,Core
50,A-3,24586.3,843.0,2.5,0.119,5,True,Core
51,A-3,62115.5,2129.7,2.5,0.1385,12,True,Core
52,A-3,61221.5,2099.0,2.5,0.118,12,True,Core
53,A-3,37897.8,1299.4,2.5,0.1185,8,False,None
54,A-30,14681.0,503.3,2.5,0.12,4,True,Comprehensive
55,A-30,46830.1,1605.6,2.5,0.1175,9,True,Comprehensive
56,A-30,54109.7,1855.2,2.5,0.1265,11,False,None
57,A-55,21221.8,727.6,1.0,0.1275,4,True,Core
58,A-55,36506.3,1251.6,1.0,0.128,3,False,None
59,A-56,922.7,31.6,1.0,0.133,2,False,None
60,A-58,4945.1,169.5,1.0,0.129,2,False,None
61,A-5R,121782.2,4175.4,1.0,0.127,10,False,None
62,A-6,17205.8,589.9,1.5,0.137,3,False,None
63,A-6,66504.0,2280.1,1.5,0.1245,8,True,Comprehensive
64,A-6,57399.9,1968.0,1.5,0.1355,8,True,Comprehensive
65,A-6,17205.8,589.9,1.5,0.132,3,False,None
66,A-6,19871.7,681.3,1.5,0.131,4,True,Comprehensive
67,A-6,17205.8,589.9,1.5,0.1155,4,True,Comprehensive
68,A-6,17205.8,589.9,1.5,0.1255,4,True,Core
69,A-6,16907.1,579.7,1.5,0.1365,4,True,Comprehensive
70,A-6,17205.8,589.9,1.5,0.1285,4,True,Comprehensive
71,A-6,20716.2,710.3,1.5,0.118,4,True,Comprehensive
72,A-6,7338.5,251.6,1.5,0.108,4,True,Comprehensive
73,A-6,13365.4,458.2,1.5,0.13,4,True,Comprehensive
