segment_id,route_segment,corridor,is_tent,daily_bev_traffic_2027,seasonal_multiplier,n_chargers_det,n_chargers_abm,n_chargers_stoch,delta_seasonal,delta_mc_noise,simulated_charging_rate,capacity_kw_abm
0,A-7S,Mediterranean,True,3513.3,2.5,8,12,12,4,0,0.131,1800
1,A-7S,Mediterranean,True,1212.5,2.5,4,7,8,3,1,0.132,1050
2,A-7S,Mediterranean,False,2128.9,2.5,5,12,12,7,0,0.1285,1800
3,A-7S,Mediterranean,True,1364.6,2.5,4,8,8,4,0,0.122,1200
4,A-7S,Mediterranean,True,858.5,2.5,4,5,6,1,1,0.1315,750
5,A-7S,Mediterranean,True,1881.0,2.5,5,11,10,6,-1,0.1065,1650
6,A-7S,Mediterranean,True,1212.5,2.5,4,7,8,3,1,0.1325,1050
7,A-7S,Mediterranean,True,2325.0,2.5,6,12,12,6,0,0.1345,1800
8,A-7S,Mediterranean,True,1212.5,2.5,4,7,7,3,0,0.107,1050
9,A-7S,Mediterranean,True,1551.5,2.5,4,9,10,5,1,0.1255,1350
10,N-3,Standard,False,139.2,1.0,2,2,2,0,0,0.123,300
11,N-3,Standard,False,47.1,1.0,2,2,2,0,0,0.1095,300
12,N-3,Standard,False,276.2,1.0,2,2,2,0,0,0.127,300
13,N-3,Standard,False,16.4,1.0,2,2,2,0,0,0.1265,300
14,A-1,Standard,False,802.6,1.0,2,2,2,0,0,0.119,300
15,A-1,Standard,True,2825.1,1.0,7,7,7,0,0,0.1255,1050
16,A-1,Standard,True,2172.2,1.0,5,5,6,0,1,0.139,750
17,A-1,Standard,True,792.8,1.0,4,4,4,0,0,0.131,600
18,A-1,Standard,True,577.7,1.0,4,4,4,0,0,0.1245,600
19,A-1,Standard,True,812.4,1.0,4,4,4,0,0,0.1155,600
20,A-1,Standard,True,802.6,1.0,4,4,4,0,0,0.1355,600
21,A-1,Standard,True,395.0,1.0,4,4,4,0,0,0.1275,600
22,A-1,Standard,False,287.3,1.0,2,2,2,0,0,0.135,300
23,A-23,Standard,True,765.5,1.0,4,4,4,0,0,0.122,600
24,A-23,Standard,True,560.7,1.0,4,4,4,0,0,0.124,600
25,A-23,Standard,True,350.2,1.0,4,4,4,0,0,0.1165,600
26,A-23,Standard,True,304.0,1.0,4,4,4,0,0,0.127,600
27,A-23,Standard,True,439.8,1.0,4,4,4,0,0,0.1235,600
28,A-23,Standard,False,651.9,1.0,2,2,2,0,0,0.1365,300
29,A-23,Standard,True,649.2,1.0,4,4,4,0,0,0.135,600
30,A-23,Standard,True,653.7,1.0,4,4,4,0,0,0.132,600
31,A-23,Standard,True,308.4,1.0,4,4,4,0,0,0.133,600
32,A-23,Standard,False,395.0,1.0,2,2,2,0,0,0.1345,300
33,A-23,Standard,True,395.0,1.0,4,4,4,0,0,0.1255,600
34,A-23,Standard,True,395.0,1.0,4,4,4,0,0,0.129,600
35,A-23,Standard,True,395.0,1.0,4,4,4,0,0,0.1325,600
36,A-23,Standard,True,274.5,1.0,4,4,4,0,0,0.1245,600
37,A-23,Standard,True,246.3,1.0,4,4,4,0,0,0.1205,600
38,A-23,Standard,False,395.0,1.0,2,2,2,0,0,0.1225,300
39,A-23,Standard,True,264.3,1.0,4,4,4,0,0,0.1135,600
40,A-23,Standard,False,395.0,1.0,2,2,2,0,0,0.122,300
41,A-26,Standard,False,493.7,1.0,2,2,2,0,0,0.133,300
42,A-26,Standard,False,493.7,1.0,2,2,2,0,0,0.1325,300
43,A-27,Standard,True,881.4,1.0,4,4,4,0,0,0.1205,600
44,A-27,Standard,True,724.6,1.0,4,4,4,0,0,0.122,600
45,A-3,Mediterranean,False,1514.1,2.5,4,9,9,5,0,0.1225,1350
46,A-3,Mediterranean,True,2250.9,2.5,5,12,12,7,0,0.1295,1800
47,A-3,Mediterranean,True,1084.6,2.5,4,7,7,3,0,0.127,1050
48,A-3,Mediterranean,True,976.6,2.5,4,6,6,2,0,0.126,900
49,A-3,Mediterranean,True,825.6,2.5,4,5,5,1,0,0.125,750
50,A-3,Mediterranean,True,843.0,2.5,4,5,5,1,0,0.119,750
51,A-3,Mediterranean,True,2129.7,2.5,5,12,12,7,0,0.1385,1800
52,A-3,Mediterranean,True,2099.0,2.5,5,12,12,7,0,0.118,1800
53,A-3,Mediterranean,False,1299.4,2.5,3,8,8,5,0,0.1185,1200
54,A-30,Mediterranean,True,503.3,2.5,4,4,4,0,0,0.12,600
55,A-30,Mediterranean,True,1605.6,2.5,4,9,9,5,0,0.1175,1350
56,A-30,Mediterranean,False,1855.2,2.5,5,11,11,6,0,0.1265,1650
57,A-55,Standard,True,727.6,1.0,4,4,4,0,0,0.1275,600
58,A-55,Standard,False,1251.6,1.0,3,3,3,0,0,0.128,450
59,A-56,Standard,False,31.6,1.0,2,2,2,0,0,0.133,300
60,A-58,Standard,False,169.5,1.0,2,2,2,0,0,0.129,300
61,A-5R,Standard,False,4175.4,1.0,10,10,10,0,0,0.127,1500
62,A-6,Atlantic,False,589.9,1.5,2,2,3,0,1,0.137,300
63,A-6,Atlantic,True,2280.1,1.5,6,8,8,2,0,0.1245,1200
64,A-6,Atlantic,True,1968.0,1.5,5,7,8,2,1,0.1355,1050
65,A-6,Atlantic,False,589.9,1.5,2,2,3,0,1,0.132,300
66,A-6,Atlantic,True,681.3,1.5,4,4,4,0,0,0.131,600
67,A-6,Atlantic,True,589.9,1.5,4,4,4,0,0,0.1155,600
