id,brand,address,postal_code,locality,municipality,province,ccaa_id,latitude,longitude,road_side,sale_type,schedule
4375,Nº 10.935,"AVENIDA CASTILLA LA MANCHA, 26",2250,ABENGIBRE,Abengibre,ALBACETE,7,39.211417,-1.539167,D,P,L-D: 07:00-22:00
5122,REPSOL,"CR CM-332, 46,4",2152,ALATOZ,Alatoz,ALBACETE,7,39.100389,-1.346083,I,P,L-D: 7:00-23:00
13933,PLENERGY,"CALLE FEDERICO GARCIA LORCA, 1",2001,ALBACETE,Albacete,ALBACETE,7,39.000861,-1.849833,D,P,L-D: 24H
10765,CARREFOUR,"AVENIDA 1º DE MAYO, S/N",2001,ALBACETE,Albacete,ALBACETE,7,38.985667,-1.8685,N,P,L-S: 08:00-22:00; D: 09:00-21:00
12054,BP ROMICA,"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5",2001,ALBACETE,Albacete,ALBACETE,7,39.054694,-1.832,I,P,L-D: 06:00-22:00
4438,MOEVE,"CALLE FEDERICO GARCIA LORCA, 5",2001,ALBACETE,Albacete,ALBACETE,7,38.997722,-1.846361,I,R,L-S: 05:00-23:00
16011,PLENERGY,"CALLE CONSTANTINO ROMERO, S/N",2005,ALBACETE,Albacete,ALBACETE,7,39.005528,-1.884444,D,P,L-D: 24H
14123,MOEVE,"PASEO CUBA (LA), 36",2005,ALBACETE,Albacete,ALBACETE,7,39.005083,-1.859917,N,P,L-D: 06:00-22:00
5195,REPSOL,"CL PASEO DE LA CUBA, 15",2005,ALBACETE,Albacete,ALBACETE,7,38.999722,-1.854556,D,P,L-D: 06:00-22:00
15000,A&A,"AVENIDA ESCRITOR RODRIGO RUBIO, 3",2005,ALBACETE,Albacete,ALBACETE,7,39.006889,-1.885361,D,P,L-S: 09:00-21:30
5313,CEPSA,"CALLE HERMANOS FALCÓ, 2",2002,ALBACETE,Albacete,ALBACETE,7,38.98925,-1.849028,D,P,L-D: 06:30-22:30
5116,REPSOL,"CR N-322, 337,8",2006,ALBACETE,Albacete,ALBACETE,7,38.925833,-2.031861,I,P,L-S: 06:30-21:30
14377,P347,CARRETERA NACIONAL 322 PTO KM 347 KM. 347,2006,ALBACETE,Albacete,ALBACETE,7,38.965639,-1.9355,D,P,L-S: 07:00-22:00
5208,REPSOL,"CR N-301, 244",2006,ALBACETE,Albacete,ALBACETE,7,39.027778,-1.892972,I,P,L-D: 24H
5245,REPSOL,CARRETERA JAEN KM. 2,2006,ALBACETE,Albacete,ALBACETE,7,38.994667,-1.871722,D,P,L-D: 24H
4416,INPEALSA,"AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N",2006,ALBACETE,Albacete,ALBACETE,7,38.982167,-1.853306,N,P,L-D: 07:00-23:00
5289,REPSOL,CARRETERA N-322 KM. 359,2006,ALBACETE,Albacete,ALBACETE,7,39.033139,-1.845083,D,P,L-V: 07:00-21:00; S-D: 09:00-14:00
5191,REPSOL,"PG CAMPOLLANO-P. 2-CT, S.N.",2006,ALBACETE,Albacete,ALBACETE,7,39.012583,-1.874972,D,P,L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00
4415,INPEALSA,"AVDA. DE LOS TOREROS, S/N",2006,ALBACETE,Albacete,ALBACETE,7,38.998222,-1.869889,N,P,L-D: 07:00-23:00
4372,LA PULGOSA,"CARRETERA M 3203 KM. 2,6",2006,ALBACETE,Albacete,ALBACETE,7,38.963972,-1.875944,D,P,L-D: 06:00-22:00
4795,CEPSA,"CALLE ALMANSA, 2",2006,ALBACETE,Albacete,ALBACETE,7,38.984139,-1.847083,I,P,L-D: 06:00-23:00
4428,FAMILY ENERGY,"CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N",2006,ALBACETE,Albacete,ALBACETE,7,38.988972,-1.847361,N,P,L-S: 07:00-23:00; D: 08:00-23:00
5318,PETROCAMP,"AVENIDA 1º DE MAYO, S/N",2006,ALBACETE,Albacete,ALBACETE,7,38.985194,-1.866806,N,P,L-D: 07:00-23:00
5222,REPSOL,"CALLE CTRA. DE JAEN, 79",2006,ALBACETE,Albacete,ALBACETE,7,38.988111,-1.883694,I,P,L-D: 06:00-22:00
5129,INPEALSA,CARRETERA NACIONAL 301 KM. 256,2099,ALBACETE,Albacete,ALBACETE,7,38.929389,-1.831639,D,P,L-D: 24H
5272,REPSOL,"AVENIDA PRINCIPE, 2",2328,SANTA ANA,Albacete,ALBACETE,7,38.900944,-1.994028,D,P,L-D: 08:00-16:00
4394,LOZANO,"CM. 3203 km 14,1",2140,SALOBRAL (EL),Albacete,ALBACETE,7,38.867556,-1.9205,D,P,L-S: 07:00-14:00; D: 09:00-14:00
8915,CORYMAR,"CTRA.AGUASNUEVAS KM 0,25",2099,SALOBRAL (EL),Albacete,ALBACETE,7,38.870278,-1.922722,D,R,L-D: 24H
4413,ABOIL,"POLIGONO CAMPOLLANO AVENIDA -0-, 69",2007,ALBACETE,Albacete,ALBACETE,7,39.021972,-1.879639,D,P,L-V: 07:00-21:00; S-D: 09:00-14:00
4790,"INLOCOR S.L. ""CEPSA""","CARRETERA C-M 332 KM. 2,6",2007,ALBACETE,Albacete,ALBACETE,7,38.998111,-1.831611,D,P,L-D: 06:00-23:30
15547,LA GAVIOTA GASOLINERA 24 HORA,"CALLE AUTOVIA, SN",2007,ALBACETE,Albacete,ALBACETE,7,39.029167,-1.888333,N,P,L-D: 24H
14612,NATURGY ES  GNV ALBACETE,"CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N",2007,ALBACETE,Albacete,ALBACETE,7,39.029583,-1.888083,D,P,L-D: 24H
10129,AVANZA OIL,"POLIGONO CAMPOLLANO C/.F, 13",2007,ALBACETE,Albacete,ALBACETE,7,39.012472,-1.889417,D,P,L-D: 24H
13369,GMOIL,"AVENIDA PRIMERA, S/N",2007,ALBACETE,Albacete,ALBACETE,7,39.022139,-1.882056,D,P,L-D: 24H
9601,ALCAMPO,"SECTOR PARCELA T-3 LOCAL52, 14",2007,ALBACETE,Albacete,ALBACETE,7,39.009639,-1.878111,N,P,L-D: 24H
12801,ENERCOM CARBURANTES,"POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69",2007,ALBACETE,Albacete,ALBACETE,7,39.018,-1.874333,D,P,L-D: 24H
13620,CEPSA,"POLIGONO CAMPOLLANO, 55",2007,ALBACETE,Albacete,ALBACETE,7,39.015444,-1.871361,N,P,L-V: 05:30-23:00; S: 06:30-22:30; D: 07:30-21:00
4417,INPEALSA,"POLIGONO CAMPOLLANO AVENIDA 1, 0",2007,ALBACETE,Albacete,ALBACETE,7,39.016389,-1.893944,N,P,L-V: 06:00-22:00; S: 06:00-14:00
11297,REPSOL Nº ESTACIÓN 97179,"MADRID-CARTAGENA km 248,5",2007,ALBACETE,Albacete,ALBACETE,7,38.971778,-1.845306,I,P,L-V: 06:00-22:00
9546,"REPSOL. LOS ANGELES DE LA MANCHA, S.L.","MADRID-CARTAGENA km 248,5",2007,ALBACETE,Albacete,ALBACETE,7,38.971722,-1.845278,D,P,L-D: 06:00-22:00
11087,REPSOL,AUTOVIA A-31 KM. 69,2007,ALBACETE,Albacete,ALBACETE,7,39.031528,-1.891361,I,P,L-D: 06:00-22:00
13930,VALERO 24H,"AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67",2007,ALBACETE,Albacete,ALBACETE,7,39.021583,-1.886556,N,P,L-D: 24H
12763,FAST & GAS,"AVENIDA 3ª ESQUINA C/ F Nº3, 3",2007,ALBACETE,Albacete,ALBACETE,7,39.009417,-1.885694,N,P,L-D: 24H
14465,AREA LOS LLANOS,"CARRETERA DE LAS PEÑAS KM 0+238 KM. 0,238",2080,ALBACETE,Albacete,ALBACETE,7,38.970778,-1.873194,I,P,L-D: 07:00-22:00
5174,MOEVE,"AUTOVIA A-30 KM. 239,4",2080,ALBACETE,Albacete,ALBACETE,7,39.060528,-1.933056,I,P,L-D: 24H
5173,MOEVE,"AUTOVIA A-30 KM. 239,4",2080,ALBACETE,Albacete,ALBACETE,7,39.059806,-1.93325,D,P,L-D: 07:00-23:00
