substation_name,provincia,municipio,latitude,longitude,available_capacity_mw,distributor_network,voltage_kv,grid_status,is_friction
3001,Bizkaia,Bilbao,43.24329113358497,-2.9335561576283338,0.0,i-DE,132.0,Congested,True
3002,Gipuzkoa,Ormaiztegi,43.0427492765757,-2.242555340331213,0.0,i-DE,132.0,Congested,True
3003,Bizkaia,Bilbao,43.24690303979856,-2.9823764365388117,0.0,i-DE,132.0,Congested,True
3006,Navarra,Galar,42.78591210124372,-1.6351980428543909,0.0,i-DE,66.0,Congested,True
3007,Segovia,Otero de Herreros,40.80276619976269,-4.209073875462907,0.0,i-DE,45.0,Congested,True
3008,Burgos,Burgos,42.346985737958,-3.725055327478857,0.0,i-DE,132.0,Congested,True
3009,Gipuzkoa,Hernani,43.259530511208816,-1.9674046793034017,0.0,i-DE,132.0,Congested,True
3010,Gipuzkoa,Bergara,43.133802132801165,-2.4232288186467,0.0,i-DE,132.0,Congested,True
3011,Zamora,Muelas del Pan,41.52530857889278,-5.985541798025729,43.43,i-DE,132.0,Sufficient,False
3012,Bizkaia,Basauri,43.220829261684464,-2.895147173619158,0.0,i-DE,132.0,Congested,True
3014,Zamora,Benavente,42.01085219635982,-5.6675963824766304,0.0,i-DE,132.0,Congested,True
3015,Cáceres,Plasencia,40.022373623866486,-6.094354199059762,0.0,i-DE,132.0,Congested,True
3016,Bizkaia,Erandio,43.296985069947254,-2.952018617548698,0.0,i-DE,132.0,Congested,True
3017,Araba/Álava,Vitoria-Gasteiz,42.856075557311094,-2.707189890875853,0.0,i-DE,30.0,Congested,True
3018,Palencia,Soto de Cerrato,41.94289502371429,-4.421622871186391,0.0,i-DE,132.0,Congested,True
3019,Gipuzkoa,Altzo,43.11015100702121,-2.0953199355260113,0.0,i-DE,132.0,Congested,True
3020,Bizkaia,Amorebieta-Etxano,43.19642084402263,-2.6973549244660533,0.0,i-DE,132.0,Congested,True
3021,León,Villaquilambre,42.62209097008448,-5.572222151985262,0.0,i-DE,132.0,Congested,True
3022,Zamora,Valcabado,41.535549568497075,-5.736007913087067,36.0,i-DE,45.0,Sufficient,False
3023,Gipuzkoa,Donostia/San Sebastián,43.30003554885989,-1.9763071110861876,0.0,i-DE,132.0,Congested,True
3025,Valladolid,Valladolid,41.643711802107305,-4.679042724293734,0.0,i-DE,45.0,Congested,True
3026,Cáceres,Trujillo,39.4545003331212,-5.8901820656190464,0.0,i-DE,132.0,Congested,True
3027,Soria,Golmayo,41.77440032802181,-2.496122230487265,0.0,i-DE,132.0,Congested,True
3028,Bizkaia,Bilbao,43.24894922832033,-2.9042172230667567,0.0,i-DE,132.0,Congested,True
3029,Madrid,Madrid,40.33487833742667,-3.7229650486470303,13.08,i-DE,45.0,Sufficient,False
3032,Navarra,Altsasu/Alsasua,42.89768323672442,-2.179298103726445,0.0,i-DE,132.0,Congested,True
3033,Araba/Álava,Lantarón,42.75629679245992,-3.0480529646470913,0.0,i-DE,132.0,Congested,True
3035,Gipuzkoa,Irun,43.337816667518126,-1.811757916280188,0.0,i-DE,132.0,Congested,True
3036,Burgos,Villalbilla de Burgos,42.34033386150442,-3.781805852630334,0.0,i-DE,132.0,Congested,True
3037,Gipuzkoa,Elgoibar,43.20868678639092,-2.413585530841083,0.0,i-DE,132.0,Congested,True
3038,Salamanca,Salamanca,40.967854668279784,-5.675244531143979,0.0,i-DE,132.0,Congested,True
3039,Gipuzkoa,Usurbil,43.27805260587325,-2.017337413933208,0.0,i-DE,132.0,Congested,True
3040,Burgos,Aranda de Duero,41.69639275109629,-3.6847298983533814,0.0,i-DE,132.0,Congested,True
3043,Bizkaia,Bilbao,43.26752255112437,-2.935563537144769,0.0,i-DE,132.0,Congested,True
3045,Madrid,Moraleja de Enmedio,40.26016289075304,-3.875798733221332,0.0,i-DE,45.0,Congested,True
3046,Burgos,Burgos,42.37184382332291,-3.651235194208779,0.0,i-DE,45.0,Congested,True
3047,Valladolid,Tordesillas,41.506798750915394,-5.013093877043539,0.0,i-DE,45.0,Congested,True
3050,Madrid,Leganés,40.3135265149568,-3.7768218469162167,0.3,i-DE,45.0,Congested,True
3051,Gipuzkoa,Arrasate/Mondragón,43.07537093936774,-2.468306786931773,0.0,i-DE,132.0,Congested,True
3052,Bizkaia,Leioa,43.32767984207295,-2.9791551073744533,0.0,i-DE,132.0,Congested,True
3053,Bizkaia,Abadiño,43.13924525249568,-2.597168107252421,0.0,i-DE,132.0,Congested,True
3054,Araba/Álava,Vitoria-Gasteiz,42.869196961395,-2.666210834478695,0.0,i-DE,30.0,Congested,True
3056,Bizkaia,Galdakao,43.23890500058889,-2.8658005152264208,0.0,i-DE,132.0,Congested,True
