segment_id,Carretera,road_prefix,PK_inicio,PK_fin,length_km,imd_total,imd_ligeros,imd_pesados,n_stations,is_tent,max_spacing_km,cod_prov
0,A-7S,A,1042.61,1046.86,5.32281201171875,102470.0,96818.0,5652.0,1.0,True,60,29
1,A-7S,A,1046.86,1047.22,0.45083056640625,35364.8,,,,True,60,29
2,A-7S,A,1047.22,1068.55,22.38995703125,62093.25,58333.5,3759.75,4.0,False,120,29
3,A-7S,A,1068.55,1070.83,2.587326416015625,39802.0,35743.0,4059.0,1.0,True,60,29
4,A-7S,A,1070.83,1091.065,20.452484375,25038.5,23155.0,1883.5,2.0,True,60,
5,A-7S,A,1091.735,1114.64,22.153611328125,54861.25,50468.5,4392.75,4.0,True,60,11
6,A-7S,A,1114.64,1114.644,0.003913169145584107,35364.8,,,,True,60,11
7,A-7S,A,1114.644,1116.69,2.19084765625,67813.0,62711.0,5102.0,1.0,True,60,11
8,A-7S,A,1116.69,1116.82,0.13867440795898436,35364.8,,,,True,60,11
9,A-7S,A,1116.82,1122.6,5.75433251953125,45253.0,43335.0,1918.0,1.0,True,60,11
10,N-3,N,29.3,40.81,12.0063173828125,4061.0,3583.0,478.0,1.0,False,120,28
11,N-3,N,165.386,262.39,99.933375,1374.78125,971.03125,403.75,32.0,False,120,16
12,N-3,N,264.45,275.45,11.1705576171875,8056.25,7232.5,823.75,4.0,False,120,46
13,N-3,N,294.0,306.3,12.48571484375,478.5,430.75,47.75,4.0,False,120,46
14,A-1,A,12.0,12.69,0.6317365112304687,23408.859375,,,,False,120,28
15,A-1,A,12.69,21.05,9.2723662109375,82398.5625,79612.125,2786.4375,16.0,True,60,28
16,A-1,A,21.05,50.12,29.361072265625,63356.833333333336,57580.333333333336,5776.5,12.0,True,60,28
17,A-1,A,50.12,99.29,48.3314296875,23122.0625,19120.0,4002.0625,16.0,True,60,28
18,A-1,A,99.29,157.42,57.65953515625,16850.1875,13246.625,3603.5625,32.0,True,60,40
19,A-1,A,157.42,242.67,86.2464453125,23695.65625,18637.6875,5057.96875,32.0,True,60,09
20,A-1,A,242.67,244.86,1.8361939697265626,23408.859375,,,,True,60,09
21,A-1,A,244.86,247.29,2.54731103515625,11521.75,8879.5,2642.25,4.0,True,60,09
22,A-1,A,247.29,252.8,5.0826103515625,8380.0,5623.75,2756.25,4.0,False,120,09
23,A-23,A,0.2,2.34,2.310360595703125,22326.0,18967.25,3358.75,4.0,True,60,46
