province_code,province_name,month_name,month_number,occupancy_rate_pct,annual_occupancy_rate_pct,seasonal_multiplier
02,Albacete,Enero,1,20.64,36.45,0.5663
02,Albacete,Febrero,2,32.83,36.45,0.9007
02,Albacete,Marzo,3,30.56,36.45,0.8384
02,Albacete,Abril,4,36.17,36.45,0.9923
02,Albacete,Mayo,5,37.55,36.45,1.0302
02,Albacete,Junio,6,38.18,36.45,1.0475
02,Albacete,Julio,7,46.12,36.45,1.2653
02,Albacete,Agosto,8,39.56,36.45,1.0853
02,Albacete,Septiembre,9,40.87,36.45,1.1213
02,Albacete,Octubre,10,52.71,36.45,1.4461
02,Albacete,Noviembre,11,33.52,36.45,0.9196
02,Albacete,Diciembre,12,24.11,36.45,0.6615
03,Alicante/Alacant,Enero,1,44.79,63.71,0.703
03,Alicante/Alacant,Febrero,2,54.6,63.71,0.857
03,Alicante/Alacant,Marzo,3,59.59,63.71,0.9353
03,Alicante/Alacant,Abril,4,62.98,63.71,0.9885
03,Alicante/Alacant,Mayo,5,68.66,63.71,1.0777
03,Alicante/Alacant,Junio,6,71.95,63.71,1.1293
03,Alicante/Alacant,Julio,7,74.89,63.71,1.1755
03,Alicante/Alacant,Agosto,8,79.35,63.71,1.2455
03,Alicante/Alacant,Septiembre,9,70.88,63.71,1.1125
03,Alicante/Alacant,Octubre,10,65.27,63.71,1.0245
03,Alicante/Alacant,Noviembre,11,54.65,63.71,0.8578
03,Alicante/Alacant,Diciembre,12,46.6,63.71,0.7314
04,Almería,Enero,1,23.44,47.52,0.4933
04,Almería,Febrero,2,33.93,47.52,0.714
04,Almería,Marzo,3,38.72,47.52,0.8148
04,Almería,Abril,4,38.92,47.52,0.819
04,Almería,Mayo,5,42.14,47.52,0.8868
04,Almería,Junio,6,49.5,47.52,1.0417
04,Almería,Julio,7,62.14,47.52,1.3077
04,Almería,Agosto,8,70.89,47.52,1.4918
04,Almería,Septiembre,9,52.23,47.52,1.0991
04,Almería,Octubre,10,39.15,47.52,0.8239
04,Almería,Noviembre,11,30.39,47.52,0.6395
04,Almería,Diciembre,12,27.12,47.52,0.5707
01,Araba/Álava,Enero,1,39.99,54.91,0.7283
01,Araba/Álava,Febrero,2,44.66,54.91,0.8133
01,Araba/Álava,Marzo,3,53.54,54.91,0.9751
01,Araba/Álava,Abril,4,50.71,54.91,0.9235
01,Araba/Álava,Mayo,5,56.36,54.91,1.0264
01,Araba/Álava,Junio,6,57.17,54.91,1.0412
01,Araba/Álava,Julio,7,66.58,54.91,1.2125
01,Araba/Álava,Agosto,8,73.98,54.91,1.3473
01,Araba/Álava,Septiembre,9,62.08,54.91,1.1306
01,Araba/Álava,Octubre,10,54.8,54.91,0.998
01,Araba/Álava,Noviembre,11,49.68,54.91,0.9048
01,Araba/Álava,Diciembre,12,48.03,54.91,0.8747
33,Asturias,Enero,1,27.88,45.59,0.6115
33,Asturias,Febrero,2,29.42,45.59,0.6453
33,Asturias,Marzo,3,39.47,45.59,0.8658
33,Asturias,Abril,4,34.96,45.59,0.7668
33,Asturias,Mayo,5,41.07,45.59,0.9009
33,Asturias,Junio,6,47.92,45.59,1.0511
33,Asturias,Julio,7,60.76,45.59,1.3327
33,Asturias,Agosto,8,74.44,45.59,1.6328
33,Asturias,Septiembre,9,56.37,45.59,1.2365
33,Asturias,Octubre,10,43.72,45.59,0.959
33,Asturias,Noviembre,11,35.95,45.59,0.7886
33,Asturias,Diciembre,12,31.85,45.59,0.6986
05,Ávila,Enero,1,24.54,36.65,0.6696
05,Ávila,Febrero,2,32.09,36.65,0.8756
05,Ávila,Marzo,3,34.72,36.65,0.9473
05,Ávila,Abril,4,34.32,36.65,0.9364
05,Ávila,Mayo,5,40.68,36.65,1.11
05,Ávila,Junio,6,38.63,36.65,1.054
05,Ávila,Julio,7,37.35,36.65,1.0191
05,Ávila,Agosto,8,47.94,36.65,1.308
05,Ávila,Septiembre,9,42.61,36.65,1.1626
05,Ávila,Octubre,10,40.46,36.65,1.104
05,Ávila,Noviembre,11,33.56,36.65,0.9157
05,Ávila,Diciembre,12,30.04,36.65,0.8196
06,Badajoz,Enero,1,28.11,41.04,0.6849
06,Badajoz,Febrero,2,35.53,41.04,0.8657
06,Badajoz,Marzo,3,40.35,41.04,0.9832
06,Badajoz,Abril,4,43.21,41.04,1.0529
06,Badajoz,Mayo,5,43.29,41.04,1.0548
06,Badajoz,Junio,6,42.41,41.04,1.0334
06,Badajoz,Julio,7,42.42,41.04,1.0336
06,Badajoz,Agosto,8,50.81,41.04,1.2381
06,Badajoz,Septiembre,9,47.52,41.04,1.1579
06,Badajoz,Octubre,10,43.8,41.04,1.0673
06,Badajoz,Noviembre,11,37.86,41.04,0.9225
06,Badajoz,Diciembre,12,34.55,41.04,0.8419
07,"Balears, Illes",Enero,1,38.9,76.59,0.5079
07,"Balears, Illes",Febrero,2,53.26,76.59,0.6954
07,"Balears, Illes",Marzo,3,51.88,76.59,0.6774
07,"Balears, Illes",Abril,4,66.84,76.59,0.8727
07,"Balears, Illes",Mayo,5,70.9,76.59,0.9257
07,"Balears, Illes",Junio,6,80.69,76.59,1.0535
07,"Balears, Illes",Julio,7,87.06,76.59,1.1367
07,"Balears, Illes",Agosto,8,89.65,76.59,1.1705
07,"Balears, Illes",Septiembre,9,80.39,76.59,1.0496
07,"Balears, Illes",Octubre,10,68.96,76.59,0.9004
07,"Balears, Illes",Noviembre,11,47.69,76.59,0.6227
07,"Balears, Illes",Diciembre,12,43.93,76.59,0.5736
08,Barcelona,Enero,1,47.89,64.92,0.7377
08,Barcelona,Febrero,2,57.62,64.92,0.8876
08,Barcelona,Marzo,3,60.76,64.92,0.9359
08,Barcelona,Abril,4,65.69,64.92,1.0119
08,Barcelona,Mayo,5,69.83,64.92,1.0756
08,Barcelona,Junio,6,70.92,64.92,1.0924
08,Barcelona,Julio,7,74.46,64.92,1.147
08,Barcelona,Agosto,8,78.65,64.92,1.2115
08,Barcelona,Septiembre,9,68.58,64.92,1.0564
08,Barcelona,Octubre,10,65.99,64.92,1.0165
08,Barcelona,Noviembre,11,56.78,64.92,0.8746
08,Barcelona,Diciembre,12,49.85,64.92,0.7679
48,Bizkaia,Enero,1,37.25,56.71,0.6569
48,Bizkaia,Febrero,2,44.23,56.71,0.7799
48,Bizkaia,Marzo,3,52.14,56.71,0.9194
48,Bizkaia,Abril,4,56.45,56.71,0.9954
48,Bizkaia,Mayo,5,59.73,56.71,1.0533
48,Bizkaia,Junio,6,60.47,56.71,1.0663
48,Bizkaia,Julio,7,68.5,56.71,1.2079
48,Bizkaia,Agosto,8,79.25,56.71,1.3975
48,Bizkaia,Septiembre,9,66.29,56.71,1.1689
48,Bizkaia,Octubre,10,59.69,56.71,1.0525
48,Bizkaia,Noviembre,11,49.12,56.71,0.8662
48,Bizkaia,Diciembre,12,42.59,56.71,0.751
09,Burgos,Enero,1,29.05,47.13,0.6164
09,Burgos,Febrero,2,33.93,47.13,0.7199
09,Burgos,Marzo,3,42.6,47.13,0.9039
09,Burgos,Abril,4,44.26,47.13,0.9391
09,Burgos,Mayo,5,51.3,47.13,1.0885
09,Burgos,Junio,6,47.26,47.13,1.0028
09,Burgos,Julio,7,56.14,47.13,1.1912
09,Burgos,Agosto,8,63.7,47.13,1.3516
09,Burgos,Septiembre,9,56.17,47.13,1.1918
09,Burgos,Octubre,10,51.24,47.13,1.0872
09,Burgos,Noviembre,11,45.32,47.13,0.9616
09,Burgos,Diciembre,12,39.3,47.13,0.8339
10,Cáceres,Enero,1,24.63,38.88,0.6335
10,Cáceres,Febrero,2,31.24,38.88,0.8035
10,Cáceres,Marzo,3,39.96,38.88,1.0278
10,Cáceres,Abril,4,42.91,38.88,1.1037
10,Cáceres,Mayo,5,43.47,38.88,1.1181
10,Cáceres,Junio,6,39.84,38.88,1.0247
10,Cáceres,Julio,7,39.86,38.88,1.0252
10,Cáceres,Agosto,8,47.86,38.88,1.231
10,Cáceres,Septiembre,9,44.07,38.88,1.1335
10,Cáceres,Octubre,10,41.34,38.88,1.0633
10,Cáceres,Noviembre,11,37.71,38.88,0.9699
10,Cáceres,Diciembre,12,30.22,38.88,0.7773
11,Cádiz,Enero,1,29.86,54.72,0.5457
11,Cádiz,Febrero,2,41.3,54.72,0.7548
11,Cádiz,Marzo,3,41.44,54.72,0.7573
11,Cádiz,Abril,4,43.95,54.72,0.8032
11,Cádiz,Mayo,5,55.07,54.72,1.0064
11,Cádiz,Junio,6,62.18,54.72,1.1363
11,Cádiz,Julio,7,72.11,54.72,1.3178
11,Cádiz,Agosto,8,78.74,54.72,1.439
11,Cádiz,Septiembre,9,63.56,54.72,1.1615
11,Cádiz,Octubre,10,50.63,54.72,0.9253
11,Cádiz,Noviembre,11,41.04,54.72,0.75
11,Cádiz,Diciembre,12,31.27,54.72,0.5715
39,Cantabria,Enero,1,28.42,47.79,0.5947
39,Cantabria,Febrero,2,31.77,47.79,0.6648
39,Cantabria,Marzo,3,39.12,47.79,0.8186
39,Cantabria,Abril,4,38.52,47.79,0.806
39,Cantabria,Mayo,5,44.36,47.79,0.9282
39,Cantabria,Junio,6,48.26,47.79,1.0098
39,Cantabria,Julio,7,63.11,47.79,1.3206
39,Cantabria,Agosto,8,76.14,47.79,1.5932
39,Cantabria,Septiembre,9,50.85,47.79,1.064
39,Cantabria,Octubre,10,45.76,47.79,0.9575
39,Cantabria,Noviembre,11,36.08,47.79,0.755
39,Cantabria,Diciembre,12,29.77,47.79,0.6229
12,Castellón/Castelló,Enero,1,25.98,51.44,0.5051
12,Castellón/Castelló,Febrero,2,37.65,51.44,0.7319
12,Castellón/Castelló,Marzo,3,43.32,51.44,0.8421
12,Castellón/Castelló,Abril,4,39.7,51.44,0.7718
12,Castellón/Castelló,Mayo,5,46.64,51.44,0.9067
12,Castellón/Castelló,Junio,6,53.86,51.44,1.047
12,Castellón/Castelló,Julio,7,65.96,51.44,1.2823
12,Castellón/Castelló,Agosto,8,75.78,51.44,1.4732
12,Castellón/Castelló,Septiembre,9,60.82,51.44,1.1823
12,Castellón/Castelló,Octubre,10,44.18,51.44,0.8589
12,Castellón/Castelló,Noviembre,11,37.68,51.44,0.7325
