Provincias	Categoría	Meses	Total
02 Albacete	Total	Total	36,45
02 Albacete	Total	Enero	20,64
02 Albacete	Total	Febrero	32,83
02 Albacete	Total	Marzo	30,56
02 Albacete	Total	Abril	36,17
02 Albacete	Total	Mayo	37,55
02 Albacete	Total	Junio	38,18
02 Albacete	Total	Julio	46,12
02 Albacete	Total	Agosto	39,56
02 Albacete	Total	Septiembre	40,87
02 Albacete	Total	Octubre	52,71
02 Albacete	Total	Noviembre	33,52
02 Albacete	Total	Diciembre	24,11
02 Albacete	Total estrellas de oro	Total	46,29
02 Albacete	Total estrellas de oro	Enero	25,94
02 Albacete	Total estrellas de oro	Febrero	44,44
02 Albacete	Total estrellas de oro	Marzo	38,43
02 Albacete	Total estrellas de oro	Abril	45,86
02 Albacete	Total estrellas de oro	Mayo	46,05
02 Albacete	Total estrellas de oro	Junio	46,38
02 Albacete	Total estrellas de oro	Julio	61,28
02 Albacete	Total estrellas de oro	Agosto	46,16
02 Albacete	Total estrellas de oro	Septiembre	50,50
02 Albacete	Total estrellas de oro	Octubre	68,72
02 Albacete	Total estrellas de oro	Noviembre	43,32
02 Albacete	Total estrellas de oro	Diciembre	30,65
02 Albacete	Cinco estrellas de oro	Total	0,00
02 Albacete	Cinco estrellas de oro	Enero	0,00
02 Albacete	Cinco estrellas de oro	Febrero	0,00
02 Albacete	Cinco estrellas de oro	Marzo	0,00
02 Albacete	Cinco estrellas de oro	Abril	0,00
02 Albacete	Cinco estrellas de oro	Mayo	0,00
02 Albacete	Cinco estrellas de oro	Junio	0,00
02 Albacete	Cinco estrellas de oro	Julio	0,00
02 Albacete	Cinco estrellas de oro	Agosto	0,00
02 Albacete	Cinco estrellas de oro	Septiembre	0,00
02 Albacete	Cinco estrellas de oro	Octubre	0,00
02 Albacete	Cinco estrellas de oro	Noviembre	0,00
02 Albacete	Cinco estrellas de oro	Diciembre	0,00
02 Albacete	Cuatro estrellas de oro	Total	43,76
02 Albacete	Cuatro estrellas de oro	Enero	30,03
02 Albacete	Cuatro estrellas de oro	Febrero	41,22
02 Albacete	Cuatro estrellas de oro	Marzo	44,66
02 Albacete	Cuatro estrellas de oro	Abril	50,16
02 Albacete	Cuatro estrellas de oro	Mayo	46,90
02 Albacete	Cuatro estrellas de oro	Junio	46,20
02 Albacete	Cuatro estrellas de oro	Julio	41,11
02 Albacete	Cuatro estrellas de oro	Agosto	42,55
02 Albacete	Cuatro estrellas de oro	Septiembre	52,50
02 Albacete	Cuatro estrellas de oro	Octubre	45,21
02 Albacete	Cuatro estrellas de oro	Noviembre	48,94
02 Albacete	Cuatro estrellas de oro	Diciembre	34,18
02 Albacete	Tres estrellas de oro	Total	55,23
02 Albacete	Tres estrellas de oro	Enero	22,96
02 Albacete	Tres estrellas de oro	Febrero	57,20
02 Albacete	Tres estrellas de oro	Marzo	37,44
02 Albacete	Tres estrellas de oro	Abril	48,86
02 Albacete	Tres estrellas de oro	Mayo	52,52
02 Albacete	Tres estrellas de oro	Junio	52,28
02 Albacete	Tres estrellas de oro	Julio	84,36
02 Albacete	Tres estrellas de oro	Agosto	50,25
02 Albacete	Tres estrellas de oro	Septiembre	56,30
02 Albacete	Tres estrellas de oro	Octubre	100,09
02 Albacete	Tres estrellas de oro	Noviembre	46,74
02 Albacete	Tres estrellas de oro	Diciembre	29,99
02 Albacete	Dos estrellas de oro	Total	36,11
02 Albacete	Dos estrellas de oro	Enero	26,67
02 Albacete	Dos estrellas de oro	Febrero	35,59
02 Albacete	Dos estrellas de oro	Marzo	37,06
02 Albacete	Dos estrellas de oro	Abril	39,06
02 Albacete	Dos estrellas de oro	Mayo	36,60
02 Albacete	Dos estrellas de oro	Junio	35,83
02 Albacete	Dos estrellas de oro	Julio	38,66
02 Albacete	Dos estrellas de oro	Agosto	45,90
02 Albacete	Dos estrellas de oro	Septiembre	38,99
02 Albacete	Dos estrellas de oro	Octubre	36,03
02 Albacete	Dos estrellas de oro	Noviembre	31,83
02 Albacete	Dos estrellas de oro	Diciembre	30,58
02 Albacete	Una estrella de oro	Total	20,67
02 Albacete	Una estrella de oro	Enero	19,52
02 Albacete	Una estrella de oro	Febrero	17,73
02 Albacete	Una estrella de oro	Marzo	20,38
02 Albacete	Una estrella de oro	Abril	23,84
02 Albacete	Una estrella de oro	Mayo	21,75
02 Albacete	Una estrella de oro	Junio	25,46
02 Albacete	Una estrella de oro	Julio	19,18
02 Albacete	Una estrella de oro	Agosto	27,48
02 Albacete	Una estrella de oro	Septiembre	21,50
02 Albacete	Una estrella de oro	Octubre	19,74
02 Albacete	Una estrella de oro	Noviembre	16,47
02 Albacete	Una estrella de oro	Diciembre	15,15
02 Albacete	Total estrellas de plata	Total	16,67
02 Albacete	Total estrellas de plata	Enero	12,04
02 Albacete	Total estrellas de plata	Febrero	13,50
02 Albacete	Total estrellas de plata	Marzo	15,33
02 Albacete	Total estrellas de plata	Abril	17,02
02 Albacete	Total estrellas de plata	Mayo	20,24
02 Albacete	Total estrellas de plata	Junio	21,99
02 Albacete	Total estrellas de plata	Julio	16,54
02 Albacete	Total estrellas de plata	Agosto	25,37
02 Albacete	Total estrellas de plata	Septiembre	17,26
02 Albacete	Total estrellas de plata	Octubre	16,01
02 Albacete	Total estrellas de plata	Noviembre	13,67
02 Albacete	Total estrellas de plata	Diciembre	10,18
02 Albacete	Dos y tres estrellas de plata	Total	20,28
02 Albacete	Dos y tres estrellas de plata	Enero	12,78
02 Albacete	Dos y tres estrellas de plata	Febrero	19,30
02 Albacete	Dos y tres estrellas de plata	Marzo	21,45
02 Albacete	Dos y tres estrellas de plata	Abril	22,54
02 Albacete	Dos y tres estrellas de plata	Mayo	20,43
02 Albacete	Dos y tres estrellas de plata	Junio	21,09
02 Albacete	Dos y tres estrellas de plata	Julio	19,13
02 Albacete	Dos y tres estrellas de plata	Agosto	28,61
02 Albacete	Dos y tres estrellas de plata	Septiembre	21,62
02 Albacete	Dos y tres estrellas de plata	Octubre	21,54
02 Albacete	Dos y tres estrellas de plata	Noviembre	18,08
