province_code,province_name,metric,year,month_number,period,value
04,Almería,Viajero,2025,12,2025M12,50357
04,Almería,Viajero,2025,11,2025M11,55620
04,Almería,Viajero,2025,10,2025M10,115073
04,Almería,Viajero,2025,9,2025M09,188306
04,Almería,Viajero,2025,8,2025M08,276757
04,Almería,Viajero,2025,7,2025M07,238971
04,Almería,Viajero,2025,6,2025M06,211544
04,Almería,Viajero,2025,5,2025M05,147501
04,Almería,Viajero,2025,4,2025M04,112552
04,Almería,Viajero,2025,3,2025M03,69431
04,Almería,Viajero,2025,2,2025M02,64254
04,Almería,Viajero,2025,1,2025M01,36785
04,Almería,Viajero,2025,12,2025M12,38528
04,Almería,Viajero,2025,11,2025M11,42064
04,Almería,Viajero,2025,10,2025M10,81044
04,Almería,Viajero,2025,9,2025M09,146143
04,Almería,Viajero,2025,8,2025M08,230759
04,Almería,Viajero,2025,7,2025M07,194704
04,Almería,Viajero,2025,6,2025M06,175501
04,Almería,Viajero,2025,5,2025M05,115078
04,Almería,Viajero,2025,4,2025M04,85455
04,Almería,Viajero,2025,3,2025M03,52946
04,Almería,Viajero,2025,2,2025M02,51449
04,Almería,Viajero,2025,1,2025M01,26043
04,Almería,Viajero,2025,12,2025M12,11829
04,Almería,Viajero,2025,11,2025M11,13556
04,Almería,Viajero,2025,10,2025M10,34028
04,Almería,Viajero,2025,9,2025M09,42163
04,Almería,Viajero,2025,8,2025M08,45998
04,Almería,Viajero,2025,7,2025M07,44268
04,Almería,Viajero,2025,6,2025M06,36043
04,Almería,Viajero,2025,5,2025M05,32422
04,Almería,Viajero,2025,4,2025M04,27097
04,Almería,Viajero,2025,3,2025M03,16484
04,Almería,Viajero,2025,2,2025M02,12805
04,Almería,Viajero,2025,1,2025M01,10742
04,Almería,Pernoctaciones,2025,12,2025M12,113005
04,Almería,Pernoctaciones,2025,11,2025M11,137136
04,Almería,Pernoctaciones,2025,10,2025M10,319058
04,Almería,Pernoctaciones,2025,9,2025M09,688993
04,Almería,Pernoctaciones,2025,8,2025M08,1025660
04,Almería,Pernoctaciones,2025,7,2025M07,934056
04,Almería,Pernoctaciones,2025,6,2025M06,696228
04,Almería,Pernoctaciones,2025,5,2025M05,477718
04,Almería,Pernoctaciones,2025,4,2025M04,382981
04,Almería,Pernoctaciones,2025,3,2025M03,245142
04,Almería,Pernoctaciones,2025,2,2025M02,187060
04,Almería,Pernoctaciones,2025,1,2025M01,90711
04,Almería,Pernoctaciones,2025,12,2025M12,80823
04,Almería,Pernoctaciones,2025,11,2025M11,84812
04,Almería,Pernoctaciones,2025,10,2025M10,184681
04,Almería,Pernoctaciones,2025,9,2025M09,497553
04,Almería,Pernoctaciones,2025,8,2025M08,808303
04,Almería,Pernoctaciones,2025,7,2025M07,741323
04,Almería,Pernoctaciones,2025,6,2025M06,521661
04,Almería,Pernoctaciones,2025,5,2025M05,351956
04,Almería,Pernoctaciones,2025,4,2025M04,273876
04,Almería,Pernoctaciones,2025,3,2025M03,183413
04,Almería,Pernoctaciones,2025,2,2025M02,143553
04,Almería,Pernoctaciones,2025,1,2025M01,57276
04,Almería,Pernoctaciones,2025,12,2025M12,32182
04,Almería,Pernoctaciones,2025,11,2025M11,52324
04,Almería,Pernoctaciones,2025,10,2025M10,134377
04,Almería,Pernoctaciones,2025,9,2025M09,191440
04,Almería,Pernoctaciones,2025,8,2025M08,217357
04,Almería,Pernoctaciones,2025,7,2025M07,192732
04,Almería,Pernoctaciones,2025,6,2025M06,174567
04,Almería,Pernoctaciones,2025,5,2025M05,125763
04,Almería,Pernoctaciones,2025,4,2025M04,109105
04,Almería,Pernoctaciones,2025,3,2025M03,61729
04,Almería,Pernoctaciones,2025,2,2025M02,43507
04,Almería,Pernoctaciones,2025,1,2025M01,33435
11,Cádiz,Viajero,2025,12,2025M12,136573
11,Cádiz,Viajero,2025,11,2025M11,155202
11,Cádiz,Viajero,2025,10,2025M10,278880
11,Cádiz,Viajero,2025,9,2025M09,311452
11,Cádiz,Viajero,2025,8,2025M08,381409
11,Cádiz,Viajero,2025,7,2025M07,371412
11,Cádiz,Viajero,2025,6,2025M06,346407
11,Cádiz,Viajero,2025,5,2025M05,308771
11,Cádiz,Viajero,2025,4,2025M04,259883
11,Cádiz,Viajero,2025,3,2025M03,147453
11,Cádiz,Viajero,2025,2,2025M02,127353
11,Cádiz,Viajero,2025,1,2025M01,106835
11,Cádiz,Viajero,2025,12,2025M12,96936
11,Cádiz,Viajero,2025,11,2025M11,101636
11,Cádiz,Viajero,2025,10,2025M10,160796
11,Cádiz,Viajero,2025,9,2025M09,203871
11,Cádiz,Viajero,2025,8,2025M08,294193
11,Cádiz,Viajero,2025,7,2025M07,279008
11,Cádiz,Viajero,2025,6,2025M06,243945
11,Cádiz,Viajero,2025,5,2025M05,202150
11,Cádiz,Viajero,2025,4,2025M04,165206
11,Cádiz,Viajero,2025,3,2025M03,91488
11,Cádiz,Viajero,2025,2,2025M02,86588
11,Cádiz,Viajero,2025,1,2025M01,70464
11,Cádiz,Viajero,2025,12,2025M12,39636
11,Cádiz,Viajero,2025,11,2025M11,53566
11,Cádiz,Viajero,2025,10,2025M10,118085
11,Cádiz,Viajero,2025,9,2025M09,107580
11,Cádiz,Viajero,2025,8,2025M08,87216
11,Cádiz,Viajero,2025,7,2025M07,92404
11,Cádiz,Viajero,2025,6,2025M06,102462
11,Cádiz,Viajero,2025,5,2025M05,106621
11,Cádiz,Viajero,2025,4,2025M04,94677
11,Cádiz,Viajero,2025,3,2025M03,55965
11,Cádiz,Viajero,2025,2,2025M02,40765
11,Cádiz,Viajero,2025,1,2025M01,36371
11,Cádiz,Pernoctaciones,2025,12,2025M12,286419
11,Cádiz,Pernoctaciones,2025,11,2025M11,372704
11,Cádiz,Pernoctaciones,2025,10,2025M10,823552
11,Cádiz,Pernoctaciones,2025,9,2025M09,1046929
11,Cádiz,Pernoctaciones,2025,8,2025M08,1395922
11,Cádiz,Pernoctaciones,2025,7,2025M07,1285232
11,Cádiz,Pernoctaciones,2025,6,2025M06,1032410
11,Cádiz,Pernoctaciones,2025,5,2025M05,884462
11,Cádiz,Pernoctaciones,2025,4,2025M04,686011
11,Cádiz,Pernoctaciones,2025,3,2025M03,374464
