Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional			Viajero	Total		2026M01	5.948.424
Total Nacional			Viajero	Total		2025M12	6.937.385
Total Nacional			Viajero	Total		2025M11	7.413.495
Total Nacional			Viajero	Total		2025M10	11.041.430
Total Nacional			Viajero	Total		2025M09	12.050.972
Total Nacional			Viajero	Total		2025M08	13.828.672
Total Nacional			Viajero	Total		2025M07	13.044.764
Total Nacional			Viajero	Total		2025M06	12.256.716
Total Nacional			Viajero	Total		2025M05	11.803.477
Total Nacional			Viajero	Total		2025M04	10.018.537
Total Nacional			Viajero	Total		2025M03	7.680.722
Total Nacional			Viajero	Total		2025M02	6.539.960
Total Nacional			Viajero	Total		2025M01	5.774.050
Total Nacional			Viajero	Total		2024M12	6.561.380
Total Nacional			Viajero	Total		2024M11	7.152.418
Total Nacional			Viajero	Total		2024M10	10.757.739
Total Nacional			Viajero	Total		2024M09	11.753.507
Total Nacional			Viajero	Total		2024M08	13.622.908
Total Nacional			Viajero	Total		2024M07	12.692.328
Total Nacional			Viajero	Total		2024M06	11.865.112
Total Nacional			Viajero	Total		2024M05	11.768.411
Total Nacional			Viajero	Total		2024M04	9.386.103
Total Nacional			Viajero	Total		2024M03	8.433.226
Total Nacional			Viajero	Total		2024M02	6.512.168
Total Nacional			Viajero	Total		2024M01	5.660.859
Total Nacional			Viajero	Total		2023M12	6.586.138
Total Nacional			Viajero	Total		2023M11	6.798.815
Total Nacional			Viajero	Total		2023M10	10.390.441
Total Nacional			Viajero	Total		2023M09	11.627.872
Total Nacional			Viajero	Total		2023M08	13.266.497
Total Nacional			Viajero	Total		2023M07	12.680.483
Total Nacional			Viajero	Total		2023M06	11.535.550
Total Nacional			Viajero	Total		2023M05	10.580.202
Total Nacional			Viajero	Total		2023M04	9.829.384
Total Nacional			Viajero	Total		2023M03	7.361.364
Total Nacional			Viajero	Total		2023M02	5.967.064
Total Nacional			Viajero	Total		2023M01	5.367.962
Total Nacional			Viajero	Total		2022M12	6.054.556
Total Nacional			Viajero	Total		2022M11	6.284.698
Total Nacional			Viajero	Total		2022M10	9.743.259
Total Nacional			Viajero	Total		2022M09	11.050.305
Total Nacional			Viajero	Total		2022M08	12.889.916
Total Nacional			Viajero	Total		2022M07	12.292.936
Total Nacional			Viajero	Total		2022M06	10.990.468
Total Nacional			Viajero	Total		2022M05	9.920.671
Total Nacional			Viajero	Total		2022M04	8.689.822
Total Nacional			Viajero	Total		2022M03	6.061.398
Total Nacional			Viajero	Total		2022M02	5.133.961
Total Nacional			Viajero	Total		2022M01	3.770.578
Total Nacional			Viajero	Total		2021M12	4.881.952
Total Nacional			Viajero	Total		2021M11	5.391.958
Total Nacional			Viajero	Total		2021M10	8.131.666
Total Nacional			Viajero	Total		2021M09	8.256.057
Total Nacional			Viajero	Total		2021M08	10.408.035
Total Nacional			Viajero	Total		2021M07	8.544.001
Total Nacional			Viajero	Total		2021M06	5.676.067
Total Nacional			Viajero	Total		2021M05	3.404.118
Total Nacional			Viajero	Total		2021M04	1.955.719
Total Nacional			Viajero	Total		2021M03	1.770.722
Total Nacional			Viajero	Total		2021M02	1.179.236
Total Nacional			Viajero	Total		2021M01	1.124.601
Total Nacional			Viajero	Total		2020M12	1.417.815
Total Nacional			Viajero	Total		2020M11	1.184.922
Total Nacional			Viajero	Total		2020M10	2.406.759
Total Nacional			Viajero	Total		2020M09	3.513.294
Total Nacional			Viajero	Total		2020M08	5.924.218
Total Nacional			Viajero	Total		2020M07	4.407.783
Total Nacional			Viajero	Total		2020M06	944.923
Total Nacional			Viajero	Total		2020M05	98.561
Total Nacional			Viajero	Total		2020M04	0
Total Nacional			Viajero	Total		2020M03	2.656.776
Total Nacional			Viajero	Total		2020M02	6.456.402
Total Nacional			Viajero	Total		2020M01	5.577.618
Total Nacional			Viajero	Total		2019M12	6.240.788
Total Nacional			Viajero	Total		2019M11	6.693.210
Total Nacional			Viajero	Total		2019M10	9.772.631
Total Nacional			Viajero	Total		2019M09	11.038.778
Total Nacional			Viajero	Total		2019M08	13.028.096
Total Nacional			Viajero	Total		2019M07	12.124.664
Total Nacional			Viajero	Total		2019M06	11.371.775
Total Nacional			Viajero	Total		2019M05	10.509.949
Total Nacional			Viajero	Total		2019M04	9.138.989
Total Nacional			Viajero	Total		2019M03	7.534.311
Total Nacional			Viajero	Total		2019M02	6.011.298
Total Nacional			Viajero	Total		2019M01	5.251.558
Total Nacional			Viajero	Total		2018M12	6.071.139
Total Nacional			Viajero	Total		2018M11	6.485.702
Total Nacional			Viajero	Total		2018M10	9.666.570
Total Nacional			Viajero	Total		2018M09	11.000.902
Total Nacional			Viajero	Total		2018M08	12.500.596
Total Nacional			Viajero	Total		2018M07	11.707.840
Total Nacional			Viajero	Total		2018M06	10.846.347
Total Nacional			Viajero	Total		2018M05	10.040.281
Total Nacional			Viajero	Total		2018M04	8.499.926
Total Nacional			Viajero	Total		2018M03	7.532.288
Total Nacional			Viajero	Total		2018M02	5.826.145
