season,series,datetime,demand_mw
summer,Forecasted,2024-07-15T00:00:00.000+02:00,27774
summer,Forecasted,2024-07-15T00:05:00.000+02:00,27463
summer,Forecasted,2024-07-15T00:10:00.000+02:00,27235
summer,Forecasted,2024-07-15T00:15:00.000+02:00,27092
summer,Forecasted,2024-07-15T00:20:00.000+02:00,26981
summer,Forecasted,2024-07-15T00:25:00.000+02:00,26853
summer,Forecasted,2024-07-15T00:30:00.000+02:00,26708
summer,Forecasted,2024-07-15T00:35:00.000+02:00,26558
summer,Forecasted,2024-07-15T00:40:00.000+02:00,26415
summer,Forecasted,2024-07-15T00:45:00.000+02:00,26279
summer,Forecasted,2024-07-15T00:50:00.000+02:00,26152
summer,Forecasted,2024-07-15T00:55:00.000+02:00,26035
summer,Forecasted,2024-07-15T01:00:00.000+02:00,25926
summer,Forecasted,2024-07-15T01:05:00.000+02:00,25819
summer,Forecasted,2024-07-15T01:10:00.000+02:00,25706
summer,Forecasted,2024-07-15T01:15:00.000+02:00,25587
summer,Forecasted,2024-07-15T01:20:00.000+02:00,25470
summer,Forecasted,2024-07-15T01:25:00.000+02:00,25360
summer,Forecasted,2024-07-15T01:30:00.000+02:00,25257
summer,Forecasted,2024-07-15T01:35:00.000+02:00,25150
summer,Forecasted,2024-07-15T01:40:00.000+02:00,25024
summer,Forecasted,2024-07-15T01:45:00.000+02:00,24879
summer,Forecasted,2024-07-15T01:50:00.000+02:00,24764
summer,Forecasted,2024-07-15T01:55:00.000+02:00,24727
summer,Forecasted,2024-07-15T02:00:00.000+02:00,24768
summer,Forecasted,2024-07-15T02:05:00.000+02:00,24812
summer,Forecasted,2024-07-15T02:10:00.000+02:00,24784
summer,Forecasted,2024-07-15T02:15:00.000+02:00,24685
summer,Forecasted,2024-07-15T02:20:00.000+02:00,24563
summer,Forecasted,2024-07-15T02:25:00.000+02:00,24466
summer,Forecasted,2024-07-15T02:30:00.000+02:00,24395
summer,Forecasted,2024-07-15T02:35:00.000+02:00,24330
summer,Forecasted,2024-07-15T02:40:00.000+02:00,24254
summer,Forecasted,2024-07-15T02:45:00.000+02:00,24166
summer,Forecasted,2024-07-15T02:50:00.000+02:00,24094
summer,Forecasted,2024-07-15T02:55:00.000+02:00,24064
summer,Forecasted,2024-07-15T03:00:00.000+02:00,24077
summer,Forecasted,2024-07-15T03:05:00.000+02:00,24096
summer,Forecasted,2024-07-15T03:10:00.000+02:00,24088
summer,Forecasted,2024-07-15T03:15:00.000+02:00,24053
summer,Forecasted,2024-07-15T03:20:00.000+02:00,24007
summer,Forecasted,2024-07-15T03:25:00.000+02:00,23967
summer,Forecasted,2024-07-15T03:30:00.000+02:00,23934
summer,Forecasted,2024-07-15T03:35:00.000+02:00,23912
summer,Forecasted,2024-07-15T03:40:00.000+02:00,23903
summer,Forecasted,2024-07-15T03:45:00.000+02:00,23907
summer,Forecasted,2024-07-15T03:50:00.000+02:00,23893
summer,Forecasted,2024-07-15T03:55:00.000+02:00,23825
summer,Forecasted,2024-07-15T04:00:00.000+02:00,23705
summer,Forecasted,2024-07-15T04:05:00.000+02:00,23589
summer,Forecasted,2024-07-15T04:10:00.000+02:00,23533
summer,Forecasted,2024-07-15T04:15:00.000+02:00,23537
summer,Forecasted,2024-07-15T04:20:00.000+02:00,23563
summer,Forecasted,2024-07-15T04:25:00.000+02:00,23570
summer,Forecasted,2024-07-15T04:30:00.000+02:00,23559
summer,Forecasted,2024-07-15T04:35:00.000+02:00,23553
summer,Forecasted,2024-07-15T04:40:00.000+02:00,23576
summer,Forecasted,2024-07-15T04:45:00.000+02:00,23628
summer,Forecasted,2024-07-15T04:50:00.000+02:00,23666
summer,Forecasted,2024-07-15T04:55:00.000+02:00,23647
summer,Forecasted,2024-07-15T05:00:00.000+02:00,23569
summer,Forecasted,2024-07-15T05:05:00.000+02:00,23506
summer,Forecasted,2024-07-15T05:10:00.000+02:00,23528
summer,Forecasted,2024-07-15T05:15:00.000+02:00,23636
summer,Forecasted,2024-07-15T05:20:00.000+02:00,23786
summer,Forecasted,2024-07-15T05:25:00.000+02:00,23937
summer,Forecasted,2024-07-15T05:30:00.000+02:00,24088
summer,Forecasted,2024-07-15T05:35:00.000+02:00,24247
summer,Forecasted,2024-07-15T05:40:00.000+02:00,24423
summer,Forecasted,2024-07-15T05:45:00.000+02:00,24617
summer,Forecasted,2024-07-15T05:50:00.000+02:00,24824
summer,Forecasted,2024-07-15T05:55:00.000+02:00,25040
summer,Forecasted,2024-07-15T06:00:00.000+02:00,25265
summer,Forecasted,2024-07-15T06:05:00.000+02:00,25495
summer,Forecasted,2024-07-15T06:10:00.000+02:00,25723
