request_id,request_received_date,request_type,transport_node_name_voltage,transport_position,autonomous_community,requested_access_capacity_mw,publication_month_end_date,contest_node
GENT-AC7-49105-26,2026-01-30,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,ALBATARREC 220,AAC220-CMAB1,Cataluña,20,2026-03-16,NO
GENT-AC7-49293-26,2026-02-06,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,ARGANDA 220,ARD220-C1AD1,Comunidad de Madrid,100,2026-03-16,NO
GENT-AC9-49187-26,2026-02-02,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,ARCOS DE LA FRONTERA 400,ARF400-VALE,Andalucía,42,2026-03-16,NO
AUT-49021-26,2026-01-30,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,ARAGON 400,ARG400-CNU1,Aragón,100,2026-03-16,NO
AUT-49021-26,2026-01-30,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,ARAGON 400,ARG400-CNU1,Aragón,395.34,2026-03-16,NO
GENT-AC3-48729-26,2026-01-19,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,SAN SERVAN 400,ASV400-C1SR1,Extremadura,33,2026-03-16,NO
GENT-AC5-48730-26,2026-01-19,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,SAN SERVAN 400,ASV400-C1SR1,Extremadura,33,2026-03-16,NO
GENT-AC6-48724-26,2026-01-19,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,SAN SERVAN 400,ASV400-C1SR1,Extremadura,33,2026-03-16,NO
GENT-AC4-48563-26,2026-01-29,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,ALVARADO 220,AVR220-SCAL,Extremadura,45,2026-03-16,NO
DEA-49267-26,2026-02-10,Solicitud de consumo solicitando permiso en posición con motivación dedicada a la conexión de consumo.,BELINCHON 400,BLC400-CLBL1,Castilla-La Mancha,61.899000000000001,2026-03-16,NO
GENT-AC18-49388-26,2026-02-10,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,CARTUJA 220,CAR220-ANSL1,Andalucía,100,2026-03-16,NO
AUT-49218-26,2026-02-03,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,CARTUJA 220,CAR220-CTU,Andalucía,54,2026-03-16,NO
AUT-48842-26,2026-01-23,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,CATADAU 400,CAT400-IUSB1,Comunidad Valenciana,50.2,2026-03-16,NO
AUT-48842-26,2026-01-23,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,CATADAU 400,CAT400-IUSB1,Comunidad Valenciana,25.1,2026-03-16,NO
AUT-42317-25,2025-07-28,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,CHUCENA 220,CHUC220-CSCH1,Andalucía,20,2026-03-16,NO
GENT-AC12-49288-26,2026-02-05,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,CARMONITA 400,CMT400-CCAR1,Extremadura,35,2026-03-16,NO
GENT-AC10-48866-26,2026-01-26,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,CASAQUEMADA 220,CQU220-TRP1,Andalucía,30,2026-03-16,NO
GENT-AC19-48865-26,2026-01-26,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,CASAQUEMADA 220,CQU220-TRP1,Andalucía,30,2026-03-16,NO
GENT-AC6-48557-26,2026-01-14,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,DON RODRIGO 400,DRO400-MTLL1,Andalucía,40.83,2026-03-16,NO
GENT-AC6-48558-26,2026-01-14,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,DON RODRIGO 400,DRO400-MTLL1,Andalucía,40.83,2026-03-16,NO
GENT-AC6-48567-26,2026-01-14,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,DON RODRIGO 400,DRO400-MTLL1,Andalucía,40.83,2026-03-16,NO
GENT-AC6-48568-26,2026-01-14,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,DON RODRIGO 400,DRO400-MTLL1,Andalucía,40.83,2026-03-16,NO
