node_name_voltage,pss_number,substation_code,electrical_system,autonomous_community,possible_connection_transport,possible_connection_distribution,possible_connection_overall,wscr_nodal_capacity_mw,wscr_nodal_margin_mw,wscr_limiting_criterion,static_generation_nodal_capacity_mw,static_generation_zone,static_generation_nodal_margin_mw,static_generation_zonal_margin_mw,static_generation_limiting_scope,static_storage_nodal_capacity_mw,static_storage_zone,static_storage_nodal_margin_mw,static_storage_zonal_margin_mw,static_storage_limiting_scope
ABADES 400,14029,52065,SEPE,Castilla y León,SI,NO,SI,428,71,WSCR_Nudo,2406,E268_SEPE,2049,2049,Est_Gen_Nudo/Est_Gen_Zona,2408,E268_SEPE,2051,2051,Est_Alm_Nudo/Est_Alm_Zona
ABADES 220,24156,52065,SEPE,Castilla y León,NO,NO,NO,124,124,WSCR_Nudo,600,E268_SEPE,600,2049,Est_Gen_Nudo,600,E268_SEPE,600,2051,Est_Alm_Nudo
ABADIANO 220,22000,50000,SEPE,País Vasco,NO,SI,SI,538,538,WSCR_Nudo,908,N/A,780,N/A,Est_Gen_Nudo,980,N/A,847,N/A,Est_Alm_Nudo
ABANILLAS 400,14048,52072,SEPE,Región de Murcia,SI,NO,SI,753,753,WSCR_Nudo,2301,N/A,2301,N/A,Est_Gen_Nudo,2522,N/A,2522,N/A,Est_Alm_Nudo
ABANTO 400,12004,50001,SEPE,País Vasco,NO,SI,SI,780,780,WSCR_Nudo,5599,N/A,5599,N/A,Est_Gen_Nudo,5599,N/A,5599,N/A,Est_Alm_Nudo
ABEGONDO 400,11026,50700,SEPE,Galicia,NO,NO,NO,461,461,WSCR_Nudo,1785,E115_SEPE,1785,1680,Est_Gen_Zona,1925,E115_SEPE,1925,1928,Est_Alm_Nudo
ABEGONDO 220,21016,50700,SEPE,Galicia,SI,NO,SI,210,135,WSCR_Nudo,600,E115_SEPE,448,1680,Est_Gen_Nudo,600,E115_SEPE,448,1928,Est_Alm_Nudo
ABONA 220,29210,50701,SEC,Canarias,SI,NO,SI,101,36,WSCR_Nudo,158,E12_SEC,93,-15,Est_Gen_Zona,207,E12_SEC,142,33,Est_Alm_Zona
ABONA 66,39210,50701,SEC,Canarias,SI,NO,SI,75,-33,WSCR_Nudo,132,"E10_SEC, E12_SEC",24,-38,Est_Gen_Zona,149,"E10_SEC, E12_SEC",41,-21,Est_Alm_Zona
ABRERA 220,23000,50002,SEPE,Cataluña,NO,SI,SI,257,251,WSCR_Nudo,269,E205_SEPE,225,15,Est_Gen_Zona,306,E205_SEPE,262,509,Est_Alm_Nudo
ACECA 220,24000,50003,SEPE,Castilla-La Mancha,SI,SI,SI,548,48,WSCR_Nudo,652,N/A,-1024,N/A,Est_Gen_Nudo,1219,N/A,-458,N/A,Est_Alm_Nudo
ADRALL 220,23002,50004,SEPE,Cataluña,NO,SI,SI,220,220,WSCR_Nudo,436,E209_SEPE,368,-553,Est_Gen_Zona,477,E209_SEPE,409,-524,Est_Alm_Zona
AENA 220,24002,50005,SEPE,Comunidad de Madrid,SI,SI,SI,896,731,WSCR_Nudo,418,N/A,220,N/A,Est_Gen_Nudo,489,N/A,291,N/A,Est_Alm_Nudo
AENA OESTE 220,23007,50006,SEPE,Cataluña,NO,SI,SI,683,683,WSCR_Nudo,151,E290_SEPE,151,129,Est_Gen_Zona,285,E290_SEPE,285,1251,Est_Alm_Nudo
AEROPUERTO BARCELONA 220,23046,50007,SEPE,Cataluña,NO,SI,SI,701,691,WSCR_Nudo,151,E290_SEPE,129,129,Est_Gen_Nudo/Est_Gen_Zona,246,E290_SEPE,224,1251,Est_Alm_Nudo
AGUACATE 220,24026,50008,SEPE,Comunidad de Madrid,NO,SI,SI,900,900,WSCR_Nudo,553,E213_SEPE,553,433,Est_Gen_Zona,656,E213_SEPE,626,433,Est_Alm_Zona
AGUAYO 400,11000,50009,SEPE,Cantabria,SI,NO,SI,636,636,WSCR_Nudo,1779,E71_SEPE,986,440,Est_Gen_Zona,1980,E71_SEPE,986,440,Est_Alm_Zona
AGUAYO 220,21000,50009,SEPE,Cantabria,SI,NO,SI,644,460,WSCR_Nudo,1440,E71_SEPE,1112,440,Est_Gen_Zona,1658,E71_SEPE,1112,440,Est_Alm_Zona
AGÜIMES 66,39003,50702,SEC,Canarias,SI,NO,SI,61,22,WSCR_Nudo,96,E08_SEC,58,-31,Est_Gen_Zona,98,E08_SEC,59,-20,Est_Alm_Zona
ALARCOS 220,24003,50010,SEPE,Castilla-La Mancha,SI,SI,SI,207,206,WSCR_Nudo,485,N/A,212,N/A,Est_Gen_Nudo,587,N/A,308,N/A,Est_Alm_Nudo
ALBAL 220,24004,50011,SEPE,Comunidad Valenciana,NO,SI,SI,647,647,WSCR_Nudo,249,N/A,246,N/A,Est_Gen_Nudo,311,N/A,308,N/A,Est_Alm_Nudo
ALBARELLOS 220,21005,50012,SEPE,Galicia,SI,SI,SI,214,1,WSCR_Nudo,285,E1_SEPE,-11,640,Est_Gen_Nudo,285,E1_SEPE,-11,820,Est_Alm_Nudo
ALBATARREC 220,23013,50013,SEPE,Cataluña,SI,SI,SI,624,324,WSCR_Nudo,105,E204_SEPE,-207,-193,Est_Gen_Nudo/Est_Gen_Zona,131,E204_SEPE,-181,-130,Est_Alm_Nudo/Est_Alm_Zona
ALCIRA 220,24005,50014,SEPE,Comunidad Valenciana,NO,SI,SI,122,114,WSCR_Nudo,1112,E240_SEPE,1025,1020,Est_Gen_Zona,1250,E240_SEPE,1164,1278,Est_Alm_Nudo
ALCOBENDAS 220,24016,50015,SEPE,Comunidad de Madrid,NO,SI,SI,394,394,WSCR_Nudo,802,N/A,802,N/A,Est_Gen_Nudo,852,N/A,852,N/A,Est_Alm_Nudo
ALCOCERO DE MOLA 220,22057,50016,SEPE,Castilla y León,SI,SI,SI,412,1,WSCR_Nudo,1027,E178_SEPE,601,211,Est_Gen_Zona,1203,E178_SEPE,776,658,Est_Alm_Zona
ALCORES 220,25005,50017,SEPE,Andalucía,NO,SI,SI,418,70,WSCR_Nudo,935,"E298_SEPE, E42_SEPE",246,-514,Est_Gen_Zona,1042,"E298_SEPE, E42_SEPE",348,-480,Est_Alm_Zona
ALCUDIA BALEARES 66,39710,50018,SEB,Islas Baleares,NO,SI,SI,57,7,WSCR_Nudo,157,N/A,115,N/A,Est_Gen_Nudo,165,N/A,115,N/A,Est_Alm_Nudo
ALDAIA 220,24007,50019,SEPE,Comunidad Valenciana,SI,SI,SI,584,569,WSCR_Nudo,365,E185_SEPE,350,328,Est_Gen_Zona,438,E185_SEPE,418,377,Est_Alm_Zona
ALDEA BLANCA 66,39005,50020,SEC,Canarias,SI,SI,SI,94,13,WSCR_Nudo,135,E08_SEC,44,-31,Est_Gen_Zona,146,E08_SEC,56,-20,Est_Alm_Zona
ALDEADAVILA 400,12010,50021,SEPE,Castilla y León,SI,NO,SI,1209,1209,WSCR_Nudo,1481,E77_SEPE,1481,748,Est_Gen_Zona,2255,E77_SEPE,1827,1094,Est_Alm_Zona
ALDEADAVILA 220,22010,50021,SEPE,Castilla y León,SI,NO,SI,860,860,WSCR_Nudo,1481,E77_SEPE,748,748,Est_Gen_Nudo/Est_Gen_Zona,2162,E77_SEPE,1429,1094,Est_Alm_Zona
ALGECIRAS 220,25010,50022,SEPE,Andalucía,SI,SI,SI,0,0,WSCR_Nudo,1417,E350_SEPE,442,442,Est_Gen_Nudo/Est_Gen_Zona,1492,E350_SEPE,517,517,Est_Alm_Nudo
ALGECIRAS 132,5145,50022,SEPE,Andalucía,NO,NO,NO,44,44,WSCR_Nudo,271,"E349_SEPE, E350_SEPE",271,271,Est_Gen_Nudo/Est_Gen_Zona,271,"E349_SEPE, E350_SEPE",271,271,Est_Alm_Nudo/Est_Alm_Zona
ALGETE 220,24006,50023,SEPE,Comunidad de Madrid,SI,SI,SI,429,429,WSCR_Nudo,747,N/A,747,N/A,Est_Gen_Nudo,810,N/A,810,N/A,Est_Alm_Nudo
ALHAURIN 220,25015,50024,SEPE,Andalucía,SI,SI,SI,475,448,WSCR_Nudo,576,N/A,127,N/A,Est_Gen_Nudo,624,N/A,127,N/A,Est_Alm_Nudo
ALI 220,22015,50025,SEPE,País Vasco,NO,SI,SI,261,261,WSCR_Nudo,952,E335_SEPE,952,899,Est_Gen_Zona,952,E335_SEPE,952,1046,Est_Alm_Nudo
ALJARAFE 220,25128,50026,SEPE,Andalucía,NO,SI,SI,574,487,WSCR_Nudo,692,N/A,469,N/A,Est_Gen_Nudo,749,N/A,526,N/A,Est_Alm_Nudo
ALMADEN 400,14036,51411,SEPE,Castilla-La Mancha,NO,NO,NO,533,533,WSCR_Nudo,763,N/A,763,N/A,Est_Gen_Nudo,1014,N/A,1014,N/A,Est_Alm_Nudo
ALMARAZ CN 400,14000,50027,SEPE,Extremadura,SI,NO,SI,2036,1154,WSCR_Nudo,3146,E112_SEPE,308,308,Est_Gen_Nudo/Est_Gen_Zona,3784,E112_SEPE,946,946,Est_Alm_Nudo/Est_Alm_Zona
ALMARAZ CN 220,24010,50027,SEPE,Extremadura,NO,NO,NO,507,507,WSCR_Nudo,1232,E112_SEPE,1232,308,Est_Gen_Zona,1394,E112_SEPE,1394,946,Est_Alm_Zona
ALMARAZ E.T. 220,24060,50028,SEPE,Extremadura,SI,SI,SI,798,218,WSCR_Nudo,1549,E16_SEPE,789,240,Est_Gen_Zona,1564,E16_SEPE,804,240,Est_Alm_Zona
ALMAZAN 400,12015,50029,SEPE,Castilla y León,SI,SI,SI,446,98,WSCR_Nudo,1679,E260_SEPE,1140,1174,Est_Gen_Nudo,1914,E260_SEPE,1375,1424,Est_Alm_Nudo
ALMENDRALES 400,13049,51416,SEPE,Aragón,SI,NO,SI,692,478,WSCR_Nudo,2121,N/A,1906,N/A,Est_Gen_Nudo,2301,N/A,2086,N/A,Est_Alm_Nudo
ALMODOVAR DEL RIO 220,25017,50030,SEPE,Andalucía,SI,NO,SI,396,167,WSCR_Nudo,369,E285_SEPE,151,-161,Est_Gen_Zona,580,E285_SEPE,316,11,Est_Alm_Zona
ALONSOTEGUI 220,22020,50031,SEPE,País Vasco,NO,SI,SI,516,516,WSCR_Nudo,331,E9_SEPE,217,2787,Est_Gen_Nudo,344,E9_SEPE,230,3131,Est_Alm_Nudo
ALVARADO 220,25018,50032,SEPE,Extremadura,SI,SI,SI,340,156,WSCR_Nudo,825,E348_SEPE,476,-17,Est_Gen_Zona,889,E348_SEPE,518,4,Est_Alm_Zona
AMOEIRO 220,21011,50033,SEPE,Galicia,NO,NO,NO,341,341,WSCR_Nudo,202,E173_SEPE,202,220,Est_Gen_Nudo,257,E173_SEPE,257,455,Est_Alm_Nudo
AMOREBIETA 400,12016,50034,SEPE,País Vasco,SI,NO,SI,835,835,WSCR_Nudo,2171,N/A,1385,N/A,Est_Gen_Nudo,2275,N/A,1488,N/A,Est_Alm_Nudo
ANCHUELO 400,14001,50035,SEPE,Comunidad de Madrid,SI,NO,SI,586,174,WSCR_Nudo,1364,E121_SEPE,952,836,Est_Gen_Zona,1572,E121_SEPE,1160,1044,Est_Alm_Zona
ANCHUELO 220,24077,50035,SEPE,Comunidad de Madrid,SI,NO,SI,137,21,WSCR_Nudo,638,"E121_SEPE, E275_SEPE",522,295,Est_Gen_Zona,643,"E121_SEPE, E275_SEPE",528,301,Est_Alm_Zona
ANDRATX 66,39730,50036,SEB,Islas Baleares,NO,SI,SI,108,35,WSCR_Nudo,91,N/A,33,N/A,Est_Gen_Nudo,106,N/A,33,N/A,Est_Alm_Nudo
ANDUJAR 220,25020,50037,SEPE,Andalucía,SI,SI,SI,609,469,WSCR_Nudo,1252,N/A,554,N/A,Est_Gen_Nudo,1573,N/A,875,N/A,Est_Alm_Nudo
ANOIA 220,23016,50038,SEPE,Cataluña,SI,SI,SI,197,63,WSCR_Nudo,246,N/A,84,N/A,Est_Gen_Nudo,281,N/A,120,N/A,Est_Alm_Nudo
ANTAS 400,15050,51369,SEPE,Andalucía,SI,NO,SI,781,503,WSCR_Nudo,2713,N/A,2434,N/A,Est_Gen_Nudo,3282,N/A,3004,N/A,Est_Alm_Nudo
ANTONIO LEYVA 220,24054,50039,SEPE,Comunidad de Madrid,NO,SI,SI,901,901,WSCR_Nudo,729,E199_SEPE,729,1341,Est_Gen_Nudo,820,E199_SEPE,820,1449,Est_Alm_Nudo
AÑOVER 220,24013,50040,SEPE,Castilla-La Mancha,NO,NO,NO,610,610,WSCR_Nudo,806,N/A,806,N/A,Est_Gen_Nudo,869,N/A,869,N/A,Est_Alm_Nudo
APARECIDA 400,11012,50041,SEPE,Castilla y León,SI,NO,SI,487,245,WSCR_Nudo,3291,N/A,3049,N/A,Est_Gen_Nudo,3843,N/A,3600,N/A,Est_Alm_Nudo
AQUA 220,24117,50704,SEPE,Comunidad Valenciana,NO,SI,SI,633,633,WSCR_Nudo,786,"E184_SEPE, E340_SEPE",764,841,Est_Gen_Nudo,803,"E184_SEPE, E340_SEPE",764,841,Est_Alm_Nudo
ARAGON 400,13000,50042,SEPE,Aragón,SI,NO,SI,2098,257,WSCR_Nudo,2160,N/A,239,N/A,Est_Gen_Nudo,3549,N/A,1628,N/A,Est_Alm_Nudo
ARAÑUELO 400,14007,50043,SEPE,Extremadura,SI,NO,SI,341,-135,WSCR_Nudo,3780,N/A,3304,N/A,Est_Gen_Nudo,4851,N/A,4375,N/A,Est_Alm_Nudo
ARAVACA 220,24023,50044,SEPE,Comunidad de Madrid,NO,SI,SI,812,812,WSCR_Nudo,748,N/A,748,N/A,Est_Gen_Nudo,819,N/A,789,N/A,Est_Alm_Nudo
ARBILLERA 400,11019,50705,SEPE,Castilla y León,SI,NO,SI,589,589,WSCR_Nudo,2034,E80_SEPE,2034,1841,Est_Gen_Zona,2212,E80_SEPE,2212,2019,Est_Alm_Zona
ARBILLERA 220,21018,50705,SEPE,Castilla y León,SI,NO,SI,476,283,WSCR_Nudo,813,E80_SEPE,620,1841,Est_Gen_Nudo,876,E80_SEPE,683,2019,Est_Alm_Nudo
ARCHIDONA 400,15006,50045,SEPE,Andalucía,SI,NO,SI,750,437,WSCR_Nudo,2164,E308_SEPE,1851,1703,Est_Gen_Zona,2371,E308_SEPE,2058,2010,Est_Alm_Zona
ARCOS DE LA FRONTERA 400,15001,50046,SEPE,Andalucía,SI,NO,SI,1414,177,WSCR_Nudo,3445,N/A,912,N/A,Est_Gen_Nudo,4527,N/A,1995,N/A,Est_Alm_Nudo
ARDOZ 220,24187,50047,SEPE,Comunidad de Madrid,SI,SI,SI,913,544,WSCR_Nudo,695,N/A,326,N/A,Est_Gen_Nudo,771,N/A,402,N/A,Est_Alm_Nudo
ARENAL 66,39735,50048,SEB,Islas Baleares,NO,SI,SI,145,83,WSCR_Nudo,167,N/A,85,N/A,Est_Gen_Nudo,219,N/A,137,N/A,Est_Alm_Nudo
ARENAS DE SAN JUAN 220,24097,50049,SEPE,Castilla-La Mancha,SI,NO,SI,751,35,WSCR_Nudo,1000,E210_SEPE,205,111,Est_Gen_Zona,1089,E210_SEPE,273,277,Est_Alm_Nudo
