Nombre y tensión del nudo;Nº PSS;Código Subestación;Sistema Eléctrico;Comunidad Autónoma;POSICIONES DE GEN/ALM;;;;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;;;;;;;CRITERIO ESTÁTICO GENERACIÓN;;;;;;;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;;;;;;;CRITERIO DINÁMICO;;;;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO DE TRAMITACIÓN;;;;;;;MARGEN DE CAPACIDAD DE ACCESO TOTAL;;;;CRITERIOS LIMITANTES;;;;CAPACIDAD DE ACCESO NO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;;;;;;;;;;;;;;;;;NTJ;;;;Capacidad reservada para concurso por resolución SEE/posible concurso/NTJ/autoconsumo RDL 6 2022;;;;Motivo de reserva de capacidad de acceso en el nudo;Normativa específica reguladora de la concesión de la capacidad de acceso
;;;;;A red de transporte;;A red de distribución;;Posibilidad de conexión a la RdT;Posibilidad de conexión a la RdD;Posibilidad de conexión;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen nodal;Margen Binudo;Margen Binudo';Margen no ocupado;Margen no ocupado';Criterio limitante;¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal';Limitación interna por configuración del nudo;Margen no ocupado;Margen no ocupado';Ámbito limitante  (D_Nudo/D_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso otorgada MGE;Capacidad de acceso otorgada MGES;Capacidad de acceso otorgada MPE con afección WSCR;Capacidad de acceso otorgada MPE sin afección WSCR;Capacidad de acceso otorgada MPE;Capacidad de acceso otorgada GEN;Capacidad de acceso otorgada ALM;Capacidad de acceso solicitada en curso y pendiente resolver MGE;Capacidad de acceso solicitada en curso y pendiente resolver MGES;Capacidad de acceso solicitada en curso y pendiente resolver MPE con afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE sin afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE;Capacidad de acceso solicitada en curso y pendiente resolver GEN;Capacidad de acceso solicitada en curso y pendiente resolver ALM;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Motivo capacidad no disponible;Generación;;;;Almacenamiento;;;;Capacidad de acceso otorgada MGE (Situación M);Capacidad de acceso otorgada MGE (Situación M-1);Diferencia;Capacidad de acceso otorgada MGE durante M;Capacidad liberada MGE durante M;MW solicitados en nudo en 4 años anteriores [MWins];Condición b) 1.º);MW solicitados en 4 años anteriores  en nudos conectados al nudo [MWinst];Condición b) 2.º);NUDOS que cumplen condiciones para convocatoria de concurso;Fecha límite de reserva por posible resolución concurso;Resolución de concurso;Fecha de resolución;NTJ;Concurso celebrado y capacidad asignada;Capacidad de acceso NTJ para MGES RDL 11/2022;Capacidad de acceso NTJ para MPE RDL 11/2022;Generación;;Almacenamiento;;;
;;;;;E;P;E;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MGES 
[MW]";"MPE
[MW]";"MGES 
[MW]";" MPE
[MW]";MGES;MPE;MGES;MPE;"MGES 
[MW]";"MPE
[MW]";"MGES 
[MW]";" MPE
[MW]";;"MGES RdTo MPE con compensador síncrono RdT
[MW]";"MPE RdT
[MW]";"MGES RdD, MPE no conectado al primer nivel de transformación RdD o MPE con compensador síncrono RdD
[MW]";"MPE RdD
[MW]";"MGES RdTo MPE con compensador síncrono RdT
[MW]";"MPE RdT
[MW]";"MGES RdD, MPE no conectado al primer nivel de transformación RdD o MPE con compensador síncrono RdD
[MW]";"MPE RdD
[MW]";;;;;;;;;;;;;;;;;;"Capacidad de acceso para MGES 
[MW]";"Capacidad de acceso para MPE
[MW]";"Capacidad de acceso para MGES 
[MW]";"Capacidad de acceso para MPE
[MW]";;
ABADES 400;14029;52065;SEPE;Castilla y León;;✓;;;SI;NO;SI;428; N/A ;  ;71;N/A;N/A;71;71;WSCR_Nudo;N/A;2.406;E268_SEPE;2049;2049;2049;2.049;2.049;Est_Gen_Nudo/Est_Gen_Zona;NO;2.408;E268_SEPE;2051;2051;2051;2.051;2.051;Est_Alm_Nudo/Est_Alm_Zona;NO;906; D59_SEPE ;549;549;549;906;549;549;D_Nudo/D_Zona;NO;357;0;357;0;357;357;0;0;0;0;0;0;0;0;549;71;549;71;D_Nudo/D_Zona;WSCR_Nudo;D_Nudo/D_Zona;WSCR_Nudo;549;71;549;71;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;357;357;0;0;0;0; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;549;71;549;71;Concurso;
ABADES 220;24156;52065;SEPE;Castilla y León;;;;;NO;NO;NO;124; N/A ;  ;124;N/A;N/A;124;124;WSCR_Nudo;N/A;600;E268_SEPE;600;2049;1500;600;600;Est_Gen_Nudo;SI;600;E268_SEPE;600;2051;1502;600;600;Est_Alm_Nudo;SI;906; D59_SEPE ;906;549;0;N/A;549;0;D_Zona;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;549;124;549;124;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;549;124;549;124;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
ABADIANO 220;22000;50000;SEPE;País Vasco;;;✓;;NO;SI;SI;538; N/A ;  ;538;N/A;N/A;538;538;WSCR_Nudo;N/A;908;N/A;780;N/A;N/A;780;780;Est_Gen_Nudo;N/A;980;N/A;847;N/A;N/A;847;847;Est_Alm_Nudo;N/A;987; N/A ;854;N/A;N/A;N/A;854;854;D_Nudo;N/A;134;31;0;102;102;128;6;0;0;0;0;0;0;0;780;538;847;538;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;780;538;847;538;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;134;134;0;0;0;0; NO ;90; NO ; NO ;;SI;03/08/2022;;;;;780;538;847;538;Concurso;
ABANILLAS 400;14048;52072;SEPE;Región de Murcia;;✓;;;SI;NO;SI;753; N/A ;  ;753;N/A;N/A;753;753;WSCR_Nudo;N/A;2.301;N/A;2301;N/A;N/A;2.301;2.301;Est_Gen_Nudo;N/A;2.522;N/A;2522;N/A;N/A;2.522;2.522;Est_Alm_Nudo;N/A;270; N/A ;270;N/A;N/A;270;270;270;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;270;270;270;D_Nudo;D_Nudo;D_Nudo;D_Nudo;270;270;270;270;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;SI;03/08/2022;;;;;270;270;270;270;Concurso;
ABANTO 400;12004;50001;SEPE;País Vasco;;;;✓;NO;SI;SI;780; N/A ;  ;780;N/A;N/A;780;780;WSCR_Nudo;N/A;5.599;N/A;5599;N/A;N/A;5.599;5.599;Est_Gen_Nudo;N/A;5.599;N/A;5599;N/A;N/A;5.599;5.599;Est_Alm_Nudo;N/A;625; N/A ;625;N/A;N/A;625;625;625;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;625;625;625;625;D_Nudo;D_Nudo;D_Nudo;D_Nudo;625;625;625;625;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;1.536; SI ; NO ;;SI;03/08/2022;;;;;625;625;625;625;Concurso;
ABEGONDO 400;11026;50700;SEPE;Galicia;;;;;NO;NO;NO;461; N/A ;  ;461;N/A;N/A;461;461;WSCR_Nudo;N/A;1.785;E115_SEPE;1785;1680;1232;1.680;1.232;Est_Gen_Zona;SI;1.925;E115_SEPE;1925;1928;1480;1.925;1.480;Est_Alm_Nudo;SI;2.527; D24_SEPE ;2527;675;227;827;675;227;D_Zona;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;461;675;461;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;675;461;675;461;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;843; SI ; NO ;;;;;;;;;;;;;
ABEGONDO 220;21016;50700;SEPE;Galicia;;✓;;;SI;NO;SI;210; N/A ;  ;135;N/A;N/A;135;135;WSCR_Nudo;N/A;600;E115_SEPE;448;1680;1680;448;448;Est_Gen_Nudo;NO;600;E115_SEPE;448;1928;1928;448;448;Est_Alm_Nudo;NO;827; D24_SEPE ;675;675;675;N/A;675;675;D_Nudo/D_Zona;NO;152;0;75;77;152;152;0;4;0;4;0;4;4;0;448;135;448;135;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;448;135;448;135;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;152;152;0;0;0;636; SI ;0; NO ; NO ;;SI;17/11/2023;;;;;448;135;448;135;Concurso;
ABONA 220;29210;50701;SEC;Canarias;;✓;;;SI;NO;SI;101; N/A ;  ;36;N/A;N/A;36;36;WSCR_Nudo;N/A;158;E12_SEC;93;-15;-15;0;0;Est_Gen_Zona;NO;207;E12_SEC;142;33;33;33;33;Est_Alm_Zona;NO;0; N/A ;-65;N/A;N/A;N/A;0;0;D_Nudo;N/A;65;0;65;0;65;65;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona/D_Nudo;Est_Gen_Zona/D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;65;65;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
ABONA 66;39210;50701;SEC;Canarias;✓;✓;;;SI;NO;SI;75; N/A ;  ;-33;N/A;N/A;0;0;WSCR_Nudo;N/A;132;E10_SEC, E12_SEC;24;-38;-38;0;0;Est_Gen_Zona;NO;149;E10_SEC, E12_SEC;41;-21;-21;0;0;Est_Alm_Zona;NO;57; N/A ;-52;N/A;N/A;N/A;0;0;D_Nudo;N/A;108;0;108;0;108;108;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona/D_Nudo;WSCR_Nudo/Est_Gen_Zona/D_Nudo;Est_Alm_Zona/D_Nudo;WSCR_Nudo/Est_Alm_Zona/D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;108;108;0;0;0;0; NO ;199; NO ; NO ;;;;;;;;;;;;;
